gene,n_cells,cells,direction,theme,pathway
PSMA7,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL10,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL11,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL13A,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL14,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL28,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL30,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL32,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL41,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPLP2,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS19,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS27A,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS4X,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS9,5,"L6 IT Car3,Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
ABL2,4,"Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
ETF1,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
GPC1,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PAK1,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PSMB3,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PSMC4,4,"Micro-PVM,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PSMD11,4,"L6 IT Car3,Micro-PVM,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
PSMD7,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
