gene,n_cells,cells,direction,theme,pathway
TRIM28,4,"L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
UBE2L3,4,"L2_3 IT,L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
ACP1,3,"L2_3 IT,L4 IT,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
DEK,3,"L2_3 IT,L4 IT,Micro-PVM",up,growth_stress,HALLMARK_MYC_TARGETS_V1
EIF4G2,3,"L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
ILF2,3,"L2_3 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
NOLC1,3,"L2_3 IT,L4 IT,L6 IT",up,growth_stress,HALLMARK_MYC_TARGETS_V1
PCNA,3,"L2_3 IT,L4 IT,L6 IT",up,growth_stress,HALLMARK_MYC_TARGETS_V1
RAN,3,"L2_3 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
RPL14,3,"Micro-PVM,OPC,VLMC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
RPL18,3,"L2_3 IT,L6 IT,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
SERBP1,3,"L2_3 IT,L6 IT,Micro-PVM",up,growth_stress,HALLMARK_MYC_TARGETS_V1
SF3A1,3,"Chandelier,L4 IT,L6 IT",up,growth_stress,HALLMARK_MYC_TARGETS_V1
SF3B3,3,"L2_3 IT,L4 IT,L6 IT",up,growth_stress,HALLMARK_MYC_TARGETS_V1
SNRPA,3,"L2_3 IT,L4 IT,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
SNRPD2,3,"L2_3 IT,L4 IT,L6 IT",up,growth_stress,HALLMARK_MYC_TARGETS_V1
TARDBP,3,"L4 IT,L6 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
TOMM70,3,"Chandelier,L2_3 IT,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
UBA2,3,"L4 IT,Micro-PVM,OPC",up,growth_stress,HALLMARK_MYC_TARGETS_V1
USP1,3,"L2_3 IT,L4 IT,L6 IT",up,growth_stress,HALLMARK_MYC_TARGETS_V1
XPOT,3,"Chandelier,L2_3 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
YWHAQ,3,"Chandelier,L4 IT,L6b",up,growth_stress,HALLMARK_MYC_TARGETS_V1
RPL28,6,"L6 IT,Micro-PVM,OPC,Pvalb,Sncg,Sst",up,translation,REACTOME_TRANSLATION
RPL37A,6,"Endo,L6 IT,Micro-PVM,OPC,Sncg,Sst",up,translation,REACTOME_TRANSLATION
RPLP2,6,"Endo,Micro-PVM,OPC,Pvalb,Sncg,Sst",up,translation,REACTOME_TRANSLATION
EIF3H,5,"Endo,L6 IT,Micro-PVM,OPC,Sncg",up,translation,REACTOME_TRANSLATION
EIF3M,5,"Endo,L6 IT,Micro-PVM,OPC,Sncg",up,translation,REACTOME_TRANSLATION
GSPT1,5,"Endo,L6 IT,Micro-PVM,OPC,Sncg",up,translation,REACTOME_TRANSLATION
RPL10,5,"Micro-PVM,Pvalb,Sncg,Sst,VLMC",down,translation,REACTOME_TRANSLATION
RPL13,5,"L6 IT,Micro-PVM,Pvalb,Sst,VLMC",up,translation,REACTOME_TRANSLATION
RPL13A,5,"L6 IT,Micro-PVM,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPL14,5,"OPC,Pvalb,Sncg,Sst,VLMC",down,translation,REACTOME_TRANSLATION
RPL36,5,"L6 IT,Micro-PVM,OPC,Pvalb,Sst",up,translation,REACTOME_TRANSLATION
RPS19,5,"Micro-PVM,OPC,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
SEC11A,5,"Endo,Micro-PVM,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
EEF1D,4,"Endo,Micro-PVM,Pvalb,Sncg",up,translation,REACTOME_TRANSLATION
EIF3E,4,"Endo,L6 IT,Micro-PVM,OPC",up,translation,REACTOME_TRANSLATION
EIF3I,4,"L6 IT,OPC,Sncg,Sst",down,translation,REACTOME_TRANSLATION
EIF4A2,4,"L6 IT,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
MRPL33,4,"Endo,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
MRPS11,4,"L6 IT,OPC,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
MRPS21,4,"OPC,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPL11,4,"Micro-PVM,OPC,Pvalb,Sncg",up,translation,REACTOME_TRANSLATION
RPL15,4,"L6 IT,Micro-PVM,OPC,VLMC",up,translation,REACTOME_TRANSLATION
RPL23,4,"Micro-PVM,OPC,Sncg,Sst",up,translation,REACTOME_TRANSLATION
RPL23A,4,"L6 IT,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPL24,4,"OPC,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPL27A,4,"L6 IT,OPC,Pvalb,Sncg",down,translation,REACTOME_TRANSLATION
RPL30,4,"OPC,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPL35,4,"L6 IT,Micro-PVM,Sncg,Sst",up,translation,REACTOME_TRANSLATION
RPL41,4,"Pvalb,Sncg,Sst,VLMC",down,translation,REACTOME_TRANSLATION
RPL6,4,"Endo,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPL7A,4,"OPC,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPL8,4,"L6 IT,Micro-PVM,Sncg,VLMC",up,translation,REACTOME_TRANSLATION
RPN1,4,"Endo,Micro-PVM,Pvalb,Sst",up,translation,REACTOME_TRANSLATION
RPN2,4,"Endo,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPS11,4,"Endo,L6 IT,Micro-PVM,OPC",up,translation,REACTOME_TRANSLATION
RPS12,4,"OPC,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPS14,4,"Endo,Micro-PVM,OPC,Sst",up,translation,REACTOME_TRANSLATION
RPS15,4,"L6 IT,Micro-PVM,OPC,Sncg",up,translation,REACTOME_TRANSLATION
RPS16,4,"Endo,L6 IT,OPC,Sst",up,translation,REACTOME_TRANSLATION
RPS2,4,"Endo,L6 IT,Micro-PVM,OPC",up,translation,REACTOME_TRANSLATION
RPS20,4,"Endo,L6 IT,Micro-PVM,Sncg",up,translation,REACTOME_TRANSLATION
RPS24,4,"Micro-PVM,OPC,Pvalb,Sst",up,translation,REACTOME_TRANSLATION
RPS27A,4,"OPC,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPS4X,4,"Micro-PVM,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPS9,4,"Micro-PVM,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
SSR3,4,"Endo,L6 IT,Micro-PVM,OPC",up,translation,REACTOME_TRANSLATION
TUFM,4,"OPC,Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
AARS2,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
APEH,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
EEF1A1,3,"L6 IT,OPC,VLMC",up,translation,REACTOME_TRANSLATION
EEF1A2,3,"L6 IT,Sncg,Sst",down,translation,REACTOME_TRANSLATION
EEF2,3,"L6 IT,Sst,VLMC",up,translation,REACTOME_TRANSLATION
EIF2B4,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
EIF2S2,3,"Endo,Micro-PVM,OPC",up,translation,REACTOME_TRANSLATION
EIF2S3,3,"Micro-PVM,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
EIF3B,3,"Endo,Micro-PVM,Sst",up,translation,REACTOME_TRANSLATION
EIF3D,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
EIF3F,3,"Endo,L6 IT,OPC",up,translation,REACTOME_TRANSLATION
EIF3J,3,"L6 IT,Micro-PVM,Sst",up,translation,REACTOME_TRANSLATION
EIF3K,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
EIF3L,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
EIF4G1,3,"Endo,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
EIF5B,3,"Micro-PVM,Sncg,Sst",down,translation,REACTOME_TRANSLATION
ETF1,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
FAU,3,"OPC,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
GFM1,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
MRPL27,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
MRPL3,3,"L6 IT,Sncg,Sst",down,translation,REACTOME_TRANSLATION
MRPL4,3,"OPC,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
MRPL48,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
MRPL58,3,"OPC,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
MRPS25,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
MRPS26,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
MRRF,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
MTFMT,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
MTIF3,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPL10A,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPL12,3,"Endo,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
RPL19,3,"L6 IT,Micro-PVM,Sst",up,translation,REACTOME_TRANSLATION
RPL21,3,"OPC,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
RPL27,3,"Endo,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
RPL29,3,"L6 IT,Micro-PVM,OPC",up,translation,REACTOME_TRANSLATION
RPL3,3,"L6 IT,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPL32,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPL34,3,"OPC,Pvalb,Sncg",down,translation,REACTOME_TRANSLATION
RPL35A,3,"OPC,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
RPL4,3,"Endo,L6 IT,Micro-PVM",up,translation,REACTOME_TRANSLATION
RPL5,3,"Micro-PVM,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPLP1,3,"Micro-PVM,OPC,Pvalb",up,translation,REACTOME_TRANSLATION
RPS13,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPS18,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPS21,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPS23,3,"OPC,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
RPS25,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPS26,3,"OPC,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
RPS27,3,"L6 IT,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
RPS29,3,"Endo,L6 IT,OPC",up,translation,REACTOME_TRANSLATION
RPS3A,3,"L6 IT,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
RPS5,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPS6,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
RPS7,3,"Endo,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
RPS8,3,"Pvalb,Sncg,Sst",down,translation,REACTOME_TRANSLATION
SPCS1,3,"OPC,Pvalb,Sncg",down,translation,REACTOME_TRANSLATION
SPCS2,3,"Endo,Micro-PVM,Pvalb",up,translation,REACTOME_TRANSLATION
SRP14,3,"L6 IT,OPC,VLMC",up,translation,REACTOME_TRANSLATION
SRP68,3,"L6 IT,Pvalb,Sncg",down,translation,REACTOME_TRANSLATION
SRPRA,3,"Endo,Pvalb,Sst",down,translation,REACTOME_TRANSLATION
SRPRB,3,"OPC,Pvalb,Sncg",down,translation,REACTOME_TRANSLATION
UBA52,3,"L6 IT,Micro-PVM,Sncg",up,translation,REACTOME_TRANSLATION
