genes,cell_type,meta_est,meta_se,meta_p,meta_padj,xen_logFC,xen_p,xen_FDR,class,concordant,both_sig,xen_sig,tag,rep_label,nx,ny
CNDP1,Oligo,-0.299630329549649,0.0480426860412195,4.46748715237558e-10,1.18779314663786e-6,-0.2188069944985236,0.09592754318443056,0.3247953357391794,Glia,TRUE,FALSE,FALSE,CNDP1 (Oligo),,0,0
SMAD1,Sst,0.224349332712827,0.0392095842515867,1.05402393330596e-8,6.58343348742902e-5,0.12995698513257195,0.1077574562456075,0.3935496176541513,Inhibitory,TRUE,FALSE,FALSE,SMAD1 (Sst),,0,0
FGFR3,Astro,-0.291137878858053,0.0556820665527663,1.70821242714928e-7,1.5065119597897e-4,-0.19792623596103975,0.01996362221426102,0.32822697863646494,Glia,TRUE,TRUE,TRUE,FGFR3 (Astro),,0,0
TNK2,Astro,-0.229044337051323,0.0453439212165358,4.38884807022258e-7,2.9598907720648e-4,0.03308205543064922,0.7009125632016422,0.8761407040020527,Glia,FALSE,FALSE,FALSE,TNK2 (Astro),,0,0
CX3CR1,Micro-PVM,-0.543691140282205,0.11815149554596,4.19168869989342e-6,5.6707559982843e-4,-0.3369663951987421,0.00701151432661732,0.1595734181172099,Glia,TRUE,TRUE,TRUE,CX3CR1 (Micro-PVM),CX3CR1 (Micro-PVM),-0.34,0.04
SMAD1,Pvalb,0.185779341639527,0.0356317314354008,1.84937569388871e-7,7.5284234371924e-4,0.29979964382324664,0.00208169786104528,0.11625335457725064,Inhibitory,TRUE,TRUE,TRUE,SMAD1 (Pvalb),SMAD1 (Pvalb),-0.18,0.26
RERGL,VLMC,-0.642948859397535,0.1279297710838,5.0135009394305e-7,8.4126545763643e-4,-0.4443495709253707,0.07464062392394707,0.7088549484140628,Glia,TRUE,FALSE,FALSE,RERGL (VLMC),,0,0
SMAD1,Vip,0.170773269568708,0.0350645529225451,1.11455036565416e-6,8.6081934948255e-4,0.03865555107974908,0.5834656420568527,0.8319270877174263,Inhibitory,TRUE,FALSE,FALSE,SMAD1 (Vip),,0,0
FSTL4,L5 IT,-0.191990912208849,0.0394338560703012,1.123449244222e-6,9.1911365227291e-4,0.1523105683262574,0.1041437613959807,0.5485537356009356,Excitatory,FALSE,FALSE,FALSE,FSTL4 (L5 IT),,0,0
VGF,L5 IT,-0.558767361665207,0.117171395566416,1.85323311539535e-6,0.00122582402231866,-0.3635204970454796,0.10478363438473398,0.5485537356009356,Excitatory,TRUE,FALSE,FALSE,VGF (L5 IT),,0,0
MTURN,Micro-PVM,-0.291716914956079,0.0682269996796304,1.90553551691415e-5,0.00144363370761416,0.05361347548501505,0.44662599181645146,0.7028482713322052,Glia,FALSE,FALSE,FALSE,MTURN (Micro-PVM),,0,0
CHI3L1,L5 IT,-0.409541688577392,0.0883903846032718,3.59832857660275e-6,0.00156604249308722,-0.0350861832683382,0.8745724708314506,0.9910982703073196,Excitatory,TRUE,FALSE,FALSE,CHI3L1 (L5 IT),,0,0
TNFSF10,Endo,-0.633742366347256,0.132837536904108,1.83488499204866e-6,0.00164148811388673,-0.7113745674959111,0.00651919061813739,0.17747033607482873,Glia,TRUE,TRUE,TRUE,TNFSF10 (Endo),,0,0
CARTPT,L2_3 IT,0.533888110405772,0.114720819571626,3.2586793561516e-6,0.00172481898321104,-0.20192399751524023,0.450116198511765,0.7221115484145962,Excitatory,FALSE,FALSE,FALSE,CARTPT (L2_3 IT),,0,0
P2RY12,Micro-PVM,-0.399404165028079,0.0960798235224343,3.22449017830998e-5,0.00187913366083665,-0.6083840704648059,0.0306484265668133,0.2951485824475529,Glia,TRUE,TRUE,TRUE,P2RY12 (Micro-PVM),,0,0
VGF,Chandelier,-1.04241772228702,0.2099137035825,6.83709969176053e-7,0.00204583416396261,-0.6994365827935003,0.03593256654797205,0.2914743250240709,Inhibitory,TRUE,TRUE,TRUE,VGF (Chandelier),,0,0
