gene,xen_celltype,set,meta_est,meta_padj,xen_logFC,xen_p,xen_logCPM,ctrl_med,scz_med,ctrl_mean,scz_mean,ctrl_pctpos,scz_pctpos,n_ctrl,n_scz,concord,raw_up
FGFR3,Astrocyte,concordance,-0.291137878858053,0.0001506511959789,-0.1467171110877803,0.0746103084204961,14.08,14,11,16.29,13.9,96.0,95.0,71659,67822,True,False
SMAD1,Astrocyte,concordance,0.293034106066017,0.0454643602935298,-0.0187964131801973,0.9053148435176952,8.7,0,0,0.38,0.39,29.0,29.0,71659,67822,False,True
KIF1A,Astrocyte,concordance,-0.104748640781958,0.0963001831021191,0.0882729756200263,0.2033029321424554,12.57,4,5,5.21,5.5,92.0,93.0,71659,67822,False,True
TF,Astrocyte,concordance,-0.218096122255187,0.0111360050341631,-0.0163921974255067,0.8642301551502353,9.02,0,0,0.46,0.45,29.0,27.0,71659,67822,True,False
NOTCH1,Astrocyte,concordance,-0.202547409926363,0.0036332168698923,-0.2386370744064892,0.0194293117899742,11.94,3,2,3.79,3.19,82.0,77.0,71659,67822,True,False
ARPP19,Astrocyte,concordance,-0.109747405608252,0.0477157968717702,-0.1440544702819257,0.4867812284332736,9.16,0,0,0.55,0.46,35.0,31.0,71659,67822,True,False
TMEM144,Astrocyte,concordance,-0.185241569050096,0.0344819690170721,-0.2915068782558599,0.0887804648758112,9.63,0,0,0.78,0.64,43.0,37.0,71659,67822,True,False
CYP46A1,Astrocyte,concordance,-0.122199916531249,0.04160378924111,-0.0262058714367271,0.7021212263505656,10.35,1,1,1.18,1.12,59.0,57.0,71659,67822,True,False
SLC14A1,Astrocyte,concordance,0.526871050646432,0.0422036906424578,0.0158644518016411,0.9578812699724424,11.62,1,1,2.72,2.84,62.0,61.0,71659,67822,True,True
ABCA2,Astrocyte,concordance,-0.216608246406155,0.0252220621531478,0.0937859551417521,0.2220614631861958,10.88,1,1,1.63,1.73,69.0,69.0,71659,67822,False,True
ARRDC3,Astrocyte,concordance,0.525517434966393,0.0053026266360402,0.4351871465262459,0.0433722569592927,7.88,0,0,0.18,0.26,15.0,20.0,71659,67822,True,True
TNK2,Astrocyte,concordance,-0.229044337051323,0.0002959890772064,0.0130156954688262,0.8811976772185088,11.3,2,2,2.25,2.19,76.0,75.0,71659,67822,False,False
