cell_type,pathway,NES,padj,gene
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,GRIA1
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,RAB3A
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,GRIN2B
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,CACNB4
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,SLC6A1
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,CAMK4
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,MAPK3
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,KCNJ10
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,AP2A2
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,KCNJ16
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,NCALD
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,NRGN
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,STXBP1
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,LIN7B
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,PRKCB
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,AP2S1
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,ARHGEF7
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,PRKAB1
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,GLRB
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,GABRB2
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,SLC38A1
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,DLG2
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,TUBA4A
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,PRKAR1B
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,SNAP25
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,GLS
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,GRIN2A
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,CASK
