genes,cell_type,meta_est,meta_se,meta_p,meta_padj,xen_logFC,xen_p,xen_FDR,class,concordant,both_sig,xen_sig,combined,tag
CNDP1,Oligo,-0.299630329549649,0.0480426860412195,4.46748715237558e-10,1.18779314663786e-6,-0.2188069944985236,0.09592754318443056,0.3247953357391794,Glia,TRUE,FALSE,FALSE,6.943315863028887,CNDP1 (Oligo)
SMAD1,Sst,0.224349332712827,0.0392095842515867,1.05402393330596e-8,6.58343348742902e-5,0.12995698513257195,0.1077574562456075,0.3935496176541513,Inhibitory,TRUE,FALSE,FALSE,5.1491002170118225,SMAD1 (Sst)
FGFR3,Astro,-0.291137878858053,0.0556820665527663,1.70821242714928e-7,1.5065119597897e-4,-0.19792623596103975,0.01996362221426102,0.32822697863646494,Glia,TRUE,TRUE,TRUE,5.521788073420595,FGFR3 (Astro)
TNK2,Astro,-0.229044337051323,0.0453439212165358,4.38884807022258e-7,2.9598907720648e-4,0.03308205543064922,0.7009125632016422,0.8761407040020527,Glia,FALSE,FALSE,FALSE,3.6830604709051213,TNK2 (Astro)
CX3CR1,Micro-PVM,-0.543691140282205,0.11815149554596,4.19168869989342e-6,5.6707559982843e-4,-0.3369663951987421,0.00701151432661732,0.1595734181172099,Glia,TRUE,TRUE,TRUE,5.400547213402328,CX3CR1 (Micro-PVM)
SMAD1,Pvalb,0.185779341639527,0.0356317314354008,1.84937569388871e-7,7.5284234371924e-4,0.29979964382324664,0.00208169786104528,0.11625335457725064,Inhibitory,TRUE,TRUE,TRUE,5.804878265971598,SMAD1 (Pvalb)
RERGL,VLMC,-0.642948859397535,0.1279297710838,5.0135009394305e-7,8.4126545763643e-4,-0.4443495709253707,0.07464062392394707,0.7088549484140628,Glia,TRUE,FALSE,FALSE,4.202091681813254,RERGL (VLMC)
SMAD1,Vip,0.170773269568708,0.0350645529225451,1.11455036565416e-6,8.6081934948255e-4,0.03865555107974908,0.5834656420568527,0.8319270877174263,Inhibitory,TRUE,FALSE,FALSE,3.299072692223691,SMAD1 (Vip)
FSTL4,L5 IT,-0.191990912208849,0.0394338560703012,1.123449244222e-6,9.1911365227291e-4,0.1523105683262574,0.1041437613959807,0.5485537356009356,Excitatory,FALSE,FALSE,FALSE,4.0189975237663,FSTL4 (L5 IT)
VGF,L5 IT,-0.558767361665207,0.117171395566416,1.85323311539535e-6,0.00122582402231866,-0.3635204970454796,0.10478363438473398,0.5485537356009356,Excitatory,TRUE,FALSE,FALSE,3.8912784143567443,VGF (L5 IT)
MTURN,Micro-PVM,-0.291716914956079,0.0682269996796304,1.90553551691415e-5,0.00144363370761416,0.05361347548501505,0.44662599181645146,0.7028482713322052,Glia,FALSE,FALSE,FALSE,3.1905989924452967,MTURN (Micro-PVM)
CHI3L1,L5 IT,-0.409541688577392,0.0883903846032718,3.59832857660275e-6,0.00156604249308722,-0.0350861832683382,0.8745724708314506,0.9910982703073196,Excitatory,TRUE,FALSE,FALSE,2.8634006551347104,CHI3L1 (L5 IT)
TNFSF10,Endo,-0.633742366347256,0.132837536904108,1.83488499204866e-6,0.00164148811388673,-0.7113745674959111,0.00651919061813739,0.17747033607482873,Glia,TRUE,TRUE,TRUE,4.970568577878598,TNFSF10 (Endo)
CARTPT,L2_3 IT,0.533888110405772,0.114720819571626,3.2586793561516e-6,0.00172481898321104,-0.20192399751524023,0.450116198511765,0.7221115484145962,Excitatory,FALSE,FALSE,FALSE,3.10993183430989,CARTPT (L2_3 IT)
P2RY12,Micro-PVM,-0.399404165028079,0.0960798235224343,3.22449017830998e-5,0.00187913366083665,-0.6083840704648059,0.0306484265668133,0.2951485824475529,Glia,TRUE,TRUE,TRUE,4.239634144326615,P2RY12 (Micro-PVM)
VGF,Chandelier,-1.04241772228702,0.2099137035825,6.83709969176053e-7,0.00204583416396261,-0.6994365827935003,0.03593256654797205,0.2914743250240709,Inhibitory,TRUE,TRUE,TRUE,4.133641334686317,VGF (Chandelier)
SELPLG,Micro-PVM,-0.416352006971321,0.102141685627605,4.57736656350558e-5,0.00237521432089851,-0.4037843324428539,0.1251377951917725,0.472945280356946,Glia,TRUE,FALSE,FALSE,3.526908698053315,SELPLG (Micro-PVM)
ABCG2,Endo,-0.481613966493963,0.103914467854484,3.57429182092444e-6,0.00266463455249917,-0.34902882907297905,0.00836628416758152,0.17927751787674684,Glia,TRUE,TRUE,TRUE,4.6518297332227325,ABCG2 (Endo)
SMAD1,L4 IT,0.165391669492325,0.0344530237713578,1.58271607043834e-6,0.00283602935871671,0.080804042579062,0.38843917902848363,0.7007913814949605,Excitatory,TRUE,FALSE,FALSE,2.957966250063822,SMAD1 (L4 IT)
P2RY13,Micro-PVM,-0.39535777149111,0.0988118922767982,6.30446337142429e-5,0.00310146847415003,-0.5715135060710279,0.02799781499996839,0.2790896849358244,Glia,TRUE,TRUE,TRUE,4.06130848945996,P2RY13 (Micro-PVM)
SMAD1,L6 IT,0.192419617476897,0.0409105603168271,2.55837227673665e-6,0.0031015333872534,0.25844118113575076,0.0125692721621434,0.42022008733730976,Excitatory,TRUE,TRUE,TRUE,4.409113409296173,SMAD1 (L6 IT)
CAPZB,Micro-PVM,-0.187073382767407,0.0469987820620014,6.88029087809677e-5,0.00325781773077882,0.02386962926063767,0.7622895452206869,0.8600927321546619,Glia,FALSE,FALSE,FALSE,2.604953253892298,CAPZB (Micro-PVM)
PPM1K,Vip,0.112530974218193,0.0253638623437432,9.13630770068072e-6,0.00335535451357722,0.13767316278084743,0.22530325588320907,0.5686094875858302,Inhibitory,TRUE,FALSE,FALSE,3.1214941194132386,PPM1K (Vip)
NOTCH1,Astro,-0.202547409926363,0.0482617424447569,2.70650185488959e-5,0.00363321686989235,-0.2250256538513986,0.03953057086769229,0.348799154714932,Glia,TRUE,TRUE,TRUE,3.842775591837447,NOTCH1 (Astro)
SERPING1,Astro,0.507892192799225,0.12457178694617,4.56000025532877e-5,0.0047963672410407604,0.8903394044778481,0.00916978961156115,0.2850857312985184,Glia,TRUE,TRUE,TRUE,4.35672820040876,SERPING1 (Astro)
ARRDC3,Astro,0.525517434966393,0.130171614653095,5.4113154506473e-5,0.00530262663604028,0.570030803711852,0.01150874375671308,0.2850857312985184,Glia,TRUE,TRUE,TRUE,4.214481030409665,ARRDC3 (Astro)
FSTL4,L6 IT,-0.266831280521342,0.0601118942813047,9.04156691736789e-6,0.0063144042959168,0.03165299654539106,0.6952774224137201,0.9114093392609944,Excitatory,FALSE,FALSE,FALSE,2.357509487868172,FSTL4 (L6 IT)
TAGLN,Oligo,0.234394393606999,0.0577673030290931,4.95877289687722e-5,0.00742768306454778,0.4631444228558475,0.0023169871450996,0.11623468196191136,Glia,TRUE,TRUE,TRUE,4.764223011378254,TAGLN (Oligo)
FSTL4,L2_3 IT,-0.158312961682833,0.0385393228405949,3.99395009414793e-5,0.00764095584879216,0.01935016121542021,0.8115431818278843,0.9414186936790416,Excitatory,FALSE,FALSE,FALSE,2.207540676382786,FSTL4 (L2_3 IT)
