genes,cell_type,meta_est,meta_se,meta_p,meta_padj,xen_logFC,xen_p,xen_FDR,class,concordant,both_sig,xen_sig,combined,tag
BDNF,L4 IT,-0.337127494577122,0.078100973867971,1.58480032674638e-5,0.00892949906413322,-0.6571362030590918,6.4790709532363e-4,0.08598440764170286,Excitatory,TRUE,TRUE,TRUE,5.237660167916715,BDNF (L4 IT)
ENPP2,OPC,-0.341736291440985,0.0804621861392226,2.16491195727551e-5,0.00900098786224588,-0.3527023829929872,0.01928242331437768,0.22100623644940576,Glia,TRUE,TRUE,TRUE,3.760548211079027,ENPP2 (OPC)
SERPING1,OPC,0.351318739155525,0.0828701194377505,2.24128183820863e-5,0.00900098786224588,0.17279439352766648,0.13998185775935526,0.42484763316004515,Glia,TRUE,FALSE,FALSE,2.899638071016585,SERPING1 (OPC)
FSTL4,L4 IT,-0.148963817472518,0.035122421202424,2.22254453220547e-5,0.00965459874823193,0.04866277283136793,0.600357478744973,0.8176507781406532,Excitatory,FALSE,FALSE,FALSE,2.236855846010789,FSTL4 (L4 IT)
SMAD1,L5 IT,0.139400960916023,0.0353616097504997,8.07526244226798e-5,0.0103037385364278,0.25129355350143484,0.01053817808275542,0.2306660995005493,Excitatory,TRUE,TRUE,TRUE,3.964239636966262,SMAD1 (L5 IT)
VGF,Lamp5,-0.85273588806981,0.197362586698542,1.55565875222778e-5,0.0108254140774522,-0.7912881021791718,0.00917365769635273,0.24602082003855064,Inhibitory,TRUE,TRUE,TRUE,4.00301295173886,VGF (Lamp5)
PPM1K,L6b,0.200119356340366,0.0471583013557055,2.19995794962359e-5,0.0109382642264244,0.02585966621713099,0.8900996657935514,0.9728021668635386,Excitatory,TRUE,FALSE,FALSE,2.0116129519774897,PPM1K (L6b)
TF,Astro,-0.218096122255187,0.0585002372560082,1.9291067205811e-4,0.0111360050341631,0.04971679928898243,0.6415323211973027,0.8478400720669199,Glia,FALSE,FALSE,FALSE,2.146052039846489,TF (Astro)
HMGB2,Oligo,0.24055290064626,0.0620125423944494,1.0484332103862e-4,0.0116146741588104,0.26846105056836406,0.08232581784171503,0.3055743418859988,Glia,TRUE,FALSE,FALSE,3.0194569157302777,HMGB2 (Oligo)
DCC,Oligo,-0.264442965442228,0.0682194500849035,1.060319345951e-4,0.011625253859989,-0.00164920589442437,0.9831912021214152,0.9909102484267476,Glia,TRUE,FALSE,FALSE,1.941959570967803,DCC (Oligo)
TNK2,Vip,-0.0982903342149814,0.0250261000100798,8.58287675747295e-5,0.0120592342467077,0.05630071992740113,0.5569995840288365,0.8114725200815878,Inhibitory,FALSE,FALSE,FALSE,2.172825397889148,TNK2 (Vip)
GRIN2A,Oligo,-0.333985528190416,0.0868854846924907,1.2105792769006e-4,0.0127470402077605,-0.01270880089329451,0.938377680049402,0.9740944775599328,Glia,TRUE,FALSE,FALSE,1.922212975060323,GRIN2A (Oligo)
ITGB4,OPC,0.382459056471172,0.0949918370351474,5.66780681429048e-5,0.0142261951038691,0.1626928438591475,0.5842783930571134,0.7862335159227352,Glia,TRUE,FALSE,FALSE,2.0802914133512957,ITGB4 (OPC)
CYP46A1,L5 IT,0.113273277907732,0.0298233822687751,1.4578801219431e-4,0.0142790117859055,0.074379610605164,0.30501064715225756,0.709327086400599,Excitatory,TRUE,FALSE,FALSE,2.3609868482003358,CYP46A1 (L5 IT)
COMT,Lamp5,-0.148445473795547,0.036140181837825,3.99980255110732e-5,0.0142966345802516,0.08234607675639227,0.3698362216742964,0.7388524080363058,Inhibitory,FALSE,FALSE,FALSE,2.27675673957347,COMT (Lamp5)
LMO4,Oligo,-0.147299921400423,0.0389084197961974,1.5320812556472e-4,0.0150867445868598,-0.17012573472543344,0.05561654135279314,0.2566917293205837,Glia,TRUE,FALSE,FALSE,3.0762004843157786,LMO4 (Oligo)
PECAM1,L6b,0.321904511814421,0.0783081011380222,3.9438725391766e-5,0.0156128054144654,0.43127527681825983,0.05264537006125976,0.4721631627369235,Excitatory,TRUE,FALSE,FALSE,3.085158870127062,PECAM1 (L6b)
ATP2B4,Sst,0.211511064350211,0.0512823328202786,3.71632828733628e-5,0.0160084044708292,0.28220849985014623,0.00244896416264919,0.1264082821033975,Inhibitory,TRUE,TRUE,TRUE,4.406669521435515,ATP2B4 (Sst)
C1QA,Micro-PVM,0.294708702174264,0.0884941083298664,8.6763822948185e-4,0.0178620305069416,0.10891710040497224,0.5614997164325937,0.7726850216980498,Glia,TRUE,FALSE,FALSE,1.9987196319571747,C1QA (Micro-PVM)
KCNK1,Oligo,-0.181453805474866,0.048760943065764,1.982045074396e-4,0.0178636011577986,-0.3729935672993546,0.00251413527450455,0.11623468196191136,Glia,TRUE,TRUE,TRUE,4.347642344914902,KCNK1 (Oligo)
TF,Oligo,-0.121615982135858,0.0327764404884131,2.0687523624602e-4,0.0182595036603032,0.08758995317710142,0.3112544133304934,0.5799771676965716,Glia,FALSE,FALSE,FALSE,2.2453955137841066,TF (Oligo)
HMGB2,Astro,0.25726718146777,0.0734000495317581,4.566070996219e-4,0.0184346412088704,0.2262402961665551,0.18780043068082325,0.59311125595927106,Glia,TRUE,FALSE,FALSE,2.460668726700743,HMGB2 (Astro)
TNK2,L5 IT,-0.106100527424417,0.0290210423663589,2.5619523961268e-4,0.0187534915396484,0.00716706095499698,0.9499220086463448,0.9910982703073196,Excitatory,FALSE,FALSE,FALSE,1.7492299132084799,TNK2 (L5 IT)
TXNIP,Oligo,0.430108154250617,0.117019435740877,2.3735846894074e-4,0.0192018715698867,0.32343965220802867,0.1979812479102384,0.4868391342055043,Glia,TRUE,FALSE,FALSE,2.420032382017974,TXNIP (Oligo)
BCAS1,Pvalb,-0.276928999516186,0.0714215624013596,1.0558457091628e-4,0.0193798310370861,0.11278316552327412,0.33277233329273526,0.7123821164089835,Inhibitory,FALSE,FALSE,FALSE,2.190502801805822,BCAS1 (Pvalb)
RGS10,Micro-PVM,-0.192060207762146,0.0584587793779742,0.00101839329354685,0.0199879471293029,-0.1980544178215523,0.14690159377536868,0.5048686958486809,Glia,TRUE,FALSE,FALSE,2.532205300397988,RGS10 (Micro-PVM)
IRS2,Chandelier,0.228065745787852,0.0574585333525326,7.21073041965725e-5,0.0202786341487675,-0.06268655999760503,0.4081793621013036,0.7149176993016915,Inhibitory,FALSE,FALSE,FALSE,2.0821102572785595,IRS2 (Chandelier)
MT1E,OPC,0.37498886241449497,0.0971546339949099,1.1352094768308e-4,0.0215047229195886,-0.12546802970802087,0.5103491831762574,0.7449033280126585,Glia,FALSE,FALSE,FALSE,1.9595987247870266,MT1E (OPC)
ARRDC3,Oligo,0.317379208523548,0.0875036045627063,2.8668718783666e-4,0.0215310962578686,0.2935403824580753,0.07204201660587944,0.28065129986899157,Glia,TRUE,FALSE,FALSE,2.809347996344165,ARRDC3 (Oligo)
SMAD1,L2_3 IT,0.141709328907533,0.0387494414755243,2.551170660444e-4,0.0215478930410587,0.16308189167708603,0.06079215421167353,0.3647529252700412,Excitatory,TRUE,FALSE,FALSE,2.882747655681896,SMAD1 (L2_3 IT)
RASGRF2,Pvalb,-0.135870956885458,0.0356709972384629,1.3952792681062e-4,0.0217387754806457,-0.05791417680752254,0.37755868303817186,0.7296169702055034,Inhibitory,TRUE,FALSE,FALSE,2.0857804602936327,RASGRF2 (Pvalb)
AKAP8L,Astro,-0.121585512537678,0.0356004209426211,6.3715774499545e-4,0.0218712980430324,-0.03491039760822746,0.8297566435434224,0.930109261919469,Glia,TRUE,FALSE,FALSE,1.7411747028634228,AKAP8L (Astro)
BDNF,L5 IT,-0.406054253173907,0.114635449098326,3.9690207008487e-4,0.0242110262751773,-0.3537973349824506,0.1104759228267414,0.5617419804749563,Excitatory,TRUE,FALSE,FALSE,2.572719162971945,BDNF (L5 IT)
ITM2A,Oligo,-0.376571818759786,0.105224952205334,3.4526636149246e-4,0.0245160906675716,-0.4828212241639708,0.00781798946511611,0.14448359583520776,Glia,TRUE,TRUE,TRUE,3.717453700293891,ITM2A (Oligo)
ALCAM,Pvalb,0.145004333782003,0.0388259591017347,1.8791938594472e-4,0.0246856063948368,-0.00224344908593245,0.9862809007338166,0.999440926176832,Inhibitory,FALSE,FALSE,FALSE,1.613555576873758,ALCAM (Pvalb)
ACTA2,Astro,0.405000072299974,0.120841288638493,8.0373853675012e-4,0.0249169719582669,0.08992495328660313,0.5348508981399724,0.7904200465122746,Glia,TRUE,FALSE,FALSE,1.8752720071371853,ACTA2 (Astro)
ABCA2,Astro,-0.216608246406155,0.0647554611479898,8.2276940647861e-4,0.0252220621531478,0.10911304891584532,0.18781856438710248,0.59311125595927106,Glia,FALSE,FALSE,FALSE,2.3244808917964703,ABCA2 (Astro)
OSBPL1A,Lamp5,0.105428452240541,0.028338277772815,1.9894296931273e-4,0.0255494911665103,-0.06514039848557036,0.2979020408216102,0.7388524080363058,Inhibitory,FALSE,FALSE,FALSE,2.118544266255803,OSBPL1A (Lamp5)
ATP2B4,L4 IT,0.188413339798999,0.0498922289026702,1.5910721820667e-4,0.0256233350861571,0.09461521812000516,0.2536403972929315,0.603905707840313,Excitatory,TRUE,FALSE,FALSE,2.1871459191632106,ATP2B4 (L4 IT)
PPM1K,L2_3 IT,0.119165976564842,0.0334071811807907,3.609858887772e-4,0.0257435443196069,0.13807802837340363,0.32027691403118347,0.6244648908402717,Excitatory,TRUE,FALSE,FALSE,2.0838060252296398,PPM1K (L2_3 IT)
PPM1K,L4 IT,0.0899755695377865,0.0243858397002055,2.245499011885e-4,0.0306564079384498,-0.02709768370051146,0.8342073200606934,0.938690117928948,Excitatory,FALSE,FALSE,FALSE,1.5922047370925734,PPM1K (L4 IT)
VGF,Vip,-0.597449537306486,0.172871127320987,5.4817389156729e-4,0.0331345982841679,-0.7261810327456978,0.00861028883205751,0.1832761479966528,Inhibitory,TRUE,TRUE,TRUE,3.544700570219618,VGF (Vip)
TRABD2A,L5 IT,-0.131121797457009,0.0387041051616501,7.0455420330201e-4,0.0336832650207874,-0.00423682821119084,0.9784017531591106,0.9910982703073196,Excitatory,TRUE,FALSE,FALSE,1.4820685954299455,TRABD2A (L5 IT)
TMEM144,Astro,-0.185241569050096,0.0579568389287423,0.00139251213736628,0.0344819690170721,-0.3324208602927144,0.05317743435097927,0.3710053559370647,Glia,TRUE,FALSE,FALSE,2.7366805625903328,TMEM144 (Astro)
BDNF,L2_3 IT,-0.226301422805704,0.0659034960332276,5.9511660683156e-4,0.0344885277367823,-0.6828388023778581,0.0018691634155455,0.18691634155455036,Excitatory,TRUE,TRUE,TRUE,4.19067807246534,BDNF (L2_3 IT)
ITGAX,Micro-PVM,-0.270029899817266,0.0892278476168044,0.00247569617590953,0.0348718826441305,-0.2975955956467914,0.06352365036631667,0.36587420919445635,Glia,TRUE,FALSE,FALSE,2.6545891588080224,ITGAX (Micro-PVM)
OLR1,Micro-PVM,-0.44790029739093,0.147844448019853,0.00244928506338639,0.0348718826441305,-0.47861609753221546,0.02800230952533355,0.2790896849358244,Glia,TRUE,TRUE,TRUE,3.010330753740714,OLR1 (Micro-PVM)
MOG,L2_3 IT,-0.22543220367643,0.0658844127210163,6.2246540241872e-4,0.0350500997340672,-0.22470220924644216,0.11793909215751015,0.38791879735705215,Excitatory,TRUE,FALSE,FALSE,2.3836529614733246,MOG (L2_3 IT)
VGF,Pvalb,-0.600682919453112,0.169147697327443,3.8343051021488e-4,0.036436775931697,-0.5493802266011941,0.0617820291501775,0.4214451905243427,Inhibitory,TRUE,FALSE,FALSE,2.6475978900361037,VGF (Pvalb)
RASGRF2,Sst,-0.136317819168484,0.0377959975969586,3.1014762814456e-4,0.0367575304335924,-0.23645614839052975,0.01708031720872609,0.2544690230600799,Inhibitory,TRUE,TRUE,TRUE,3.2021577425501824,RASGRF2 (Sst)
CALB1,L6 IT,0.489145118575738,0.130167727466401,1.7140941951017e-4,0.0380492550916892,0.03624293759067042,0.8481435733931642,0.9474075608564732,Excitatory,TRUE,FALSE,FALSE,1.491184465529114,CALB1 (L6 IT)
SLC44A1,Micro-PVM,-0.147536518062815,0.0496010605239912,0.00293501872941273,0.0380748320103267,-0.2284752638467884,0.14594847053361423,0.5048686958486809,Glia,TRUE,FALSE,FALSE,2.2551624559743586,SLC44A1 (Micro-PVM)
CRHBP,Oligo,-0.237837811157281,0.069673446020129,6.410881648702e-4,0.038089232588797,-0.08517349248597383,0.6547738072388322,0.8577822802255444,Glia,TRUE,FALSE,FALSE,1.6031064791863188,CRHBP (Oligo)
PMP22,L2_3 IT,0.199216886616266,0.0590489987083647,7.4150186063519e-4,0.0395111008222358,0.14126624930143283,0.30352780563349224,0.6166244106514356,Excitatory,TRUE,FALSE,FALSE,1.9210823880674688,PMP22 (L2_3 IT)
PPM1K,L5 IT,0.0971966352871376,0.029452804759164,9.6656997867688e-4,0.0404961684168057,0.11427500400307682,0.4090954008860904,0.7550825868596052,Excitatory,TRUE,FALSE,FALSE,1.7807614689038647,PPM1K (L5 IT)
C1QB,Micro-PVM,0.322797598926336,0.110031378698929,0.00334962067357214,0.0405379013146685,0.23537049827187903,0.3361348206069339,0.6612125747465344,Glia,TRUE,FALSE,FALSE,1.8656252350122065,C1QB (Micro-PVM)
CYP46A1,Astro,-0.122199916531249,0.0392081540440705,0.00182889749476838,0.04160378924111,-0.04500082738596289,0.49264444160295984,0.7697569400046247,Glia,TRUE,FALSE,FALSE,1.6883335252587037,CYP46A1 (Astro)
IRS2,Vip,0.13148353089305,0.0392643832299854,8.1199935597946e-4,0.0419701583729564,-0.06356540715922404,0.31423646998754873,0.6342043476693631,Inhibitory,FALSE,FALSE,FALSE,1.8798028045540836,IRS2 (Vip)
MOG,Vip,-0.265369177796018,0.079302525049872,8.1900946342672e-4,0.0420369611376115,-0.245178237686022,0.1522743421742221,0.5198481763656694,Inhibitory,TRUE,FALSE,FALSE,2.1937419547417254,MOG (Vip)
TNK2,Lamp5,-0.104095263412436,0.0300082980737626,5.2262775605016e-4,0.0420781499032538,0.04377409097118553,0.7054972123476211,0.9366401331342754,Inhibitory,FALSE,FALSE,FALSE,1.5274480614894352,TNK2 (Lamp5)
SLC14A1,Astro,0.526871050646432,0.16937265183639,0.0018663123554929,0.0422036906424578,-0.04587825100940988,0.8819171328477273,0.9316026051208388,Glia,FALSE,FALSE,FALSE,1.429221789401628,SLC14A1 (Astro)
ABCA2,L5 IT,-0.102979792742602,0.0314412906692771,0.00105548235831922,0.042304462938051,-0.02919053575544523,0.7344317248376688,0.9522634195652524,Excitatory,TRUE,FALSE,FALSE,1.5076623854418054,ABCA2 (L5 IT)
HMGB2,L2_3 IT,0.154239410363312,0.0463268059430412,8.7040444612924e-4,0.0427092882002999,0.08916223917673201,0.4714099340021325,0.7327615554437293,Excitatory,TRUE,FALSE,FALSE,1.6960789363783837,HMGB2 (L2_3 IT)
EDIL3,Micro-PVM,-0.210820777407254,0.0726966112800505,0.00373152757486433,0.0435525865212143,-0.01109427114063391,0.9388895505219116,0.9766778189440742,Glia,TRUE,FALSE,FALSE,1.3883715422515654,EDIL3 (Micro-PVM)
PPM1K,L6 IT,0.129560196196176,0.0355789291151668,2.7106816045159e-4,0.043844036842468,0.12289014715283622,0.42670089782694054,0.7589316568924261,Excitatory,TRUE,FALSE,FALSE,1.727965909316385,PPM1K (L6 IT)
OLR1,L5 IT,-0.260771362783672,0.0801521455907346,0.00114010961892958,0.0439602001198413,-0.08327421911411349,0.6157357964838719,0.8880804756978922,Excitatory,TRUE,FALSE,FALSE,1.5675459366899216,OLR1 (L5 IT)
ITGB4,Oligo,0.409696261141204,0.124410269552021,9.9086951503594e-4,0.0454219710879624,0.24182605586625555,0.4939815316694811,0.7409722975042217,Glia,TRUE,FALSE,FALSE,1.6490233110863128,ITGB4 (Oligo)
SMAD1,Astro,0.293034106066017,0.0953158962564945,0.0021096414894163,0.0454643602935298,-0.00662216404182043,0.969089093103598,0.9755930467485888,Glia,FALSE,FALSE,FALSE,1.3559652095724009,SMAD1 (Astro)
MT2A,OPC,0.300490812131939,0.0875697847338569,6.0037707943782e-4,0.0465188648654227,0.09457646650136586,0.5883559531905032,0.7862335159227352,Glia,TRUE,FALSE,FALSE,1.5627307391382266,MT2A (OPC)
PAQR6,Astro,-0.206627685396684,0.0677357309985232,0.00228462500069238,0.047195001140429,-0.0537053373518702,0.5595934647072598,0.7994192352960855,Glia,TRUE,FALSE,FALSE,1.5782313652009905,PAQR6 (Astro)
PDXK,L6b,0.149543529323623,0.0434993087899993,5.8638075346771e-4,0.0473876760122206,0.00353820927296262,0.9698458854484164,0.9835539545006908,Excitatory,TRUE,FALSE,FALSE,1.337631861810063,PDXK (L6b)
ARPP19,Astro,-0.109747405608252,0.0361321442276467,0.00238636658464687,0.0477157968717702,-0.260989725816603,0.23981878573687,0.6127251410508593,Glia,TRUE,FALSE,FALSE,1.9414546191884763,ARPP19 (Astro)
BCAS1,Vip,-0.229910727173864,0.070348632653134,0.00108248390888961,0.0477189244167195,0.13892778562932126,0.19478961136872924,0.5527863080194195,Inhibitory,FALSE,FALSE,FALSE,2.0317435627595546,BCAS1 (Vip)
SST,Sst,-0.45816050414587,0.134019433860639,6.2941305807375e-4,0.0487464074202476,-0.27838753557613183,0.08717139111781104,0.37360421316832265,Inhibitory,TRUE,FALSE,FALSE,2.371683409322449,SST (Sst)
DDIT4,OPC,0.536853559016015,0.158822424933798,7.2429785311516e-4,0.0494690506481376,0.32442772815337906,0.05026006933427239,0.2674195582759038,Glia,TRUE,FALSE,FALSE,2.604443340654384,DDIT4 (OPC)
ARRDC3,OPC,0.288218918241295,0.0853158752620739,7.2946979011484e-4,0.0494856533294126,0.19466970609184311,0.15406473670392373,0.4290774910071895,Glia,TRUE,FALSE,FALSE,2.11781744556341,ARRDC3 (OPC)
MAPK3,L4 IT,0.197408812883491,0.0579118266953561,6.5253518143138e-4,0.0495088474750599,0.3777298023683057,0.00901800298499426,0.270540089549828,Excitatory,TRUE,TRUE,TRUE,3.3502068088427226,MAPK3 (L4 IT)
VGF,L4 IT,-0.381926399216921,0.112352169164776,6.7541705762374e-4,0.0495088474750599,-0.3667083738279026,0.0476736988232535,0.3575527411744013,Excitatory,TRUE,TRUE,TRUE,2.6270383350543542,VGF (L4 IT)
KIF5A,Oligo,-0.152511788447482,0.0468576227876861,0.0011347567390218,0.0496312254612017,0.13753771576179866,0.14478883778986038,0.39918867728098273,Glia,FALSE,FALSE,FALSE,2.1435099192855116,KIF5A (Oligo)
TMEM119,Micro-PVM,-0.237367595748283,0.0833647419635277,0.0044086529453359,0.0497023135622988,-0.3731820276496824,0.07322736669837374,0.37231426250886224,Glia,TRUE,FALSE,FALSE,2.438949978172408,TMEM119 (Micro-PVM)
ZBTB16,OPC,0.364663835946056,0.108371077494477,7.6556049341961e-4,0.0508118963756069,0.4977929660948772,2.2887275781219e-4,0.03410204091401634,Glia,TRUE,TRUE,TRUE,4.934440493574019,ZBTB16 (OPC)
HIF3A,OPC,0.686477251963683,0.204972317306573,8.1068155244506e-4,0.0521828815325559,0.878247196085245,0.00871832465777672,0.1497092014276308,Glia,TRUE,TRUE,TRUE,3.342038905403664,HIF3A (OPC)
DACH1,Endo,-0.393508115098583,0.118251257944497,8.755706162006e-4,0.0522207705112699,-0.22740511653892023,0.06588987742913648,0.4101075650277983,Glia,TRUE,FALSE,FALSE,2.4633380248451475,DACH1 (Endo)
TNK2,Pvalb,-0.0955568492108731,0.0284294963983745,7.7608307007319e-4,0.052328374538219,0.00311671701248801,0.9815083392975508,0.999440926176832,Inhibitory,FALSE,FALSE,FALSE,1.2893687615240175,TNK2 (Pvalb)
PECAM1,Micro-PVM,-0.182633689037016,0.0648295200470557,0.00484537374880163,0.0528941664566587,-0.18029030958150383,0.12591219820305644,0.472945280356946,Glia,TRUE,FALSE,FALSE,2.1765244163888546,PECAM1 (Micro-PVM)
OSBPL1A,L4 IT,0.0823827501102928,0.0247286102634816,8.6387018468437e-4,0.0531484081435647,-0.1670484547897924,0.03070258547815853,0.3507144852723897,Excitatory,FALSE,TRUE,TRUE,2.787334789423555,OSBPL1A (L4 IT)
BCAS1,Lamp5,-0.267699188946468,0.0796748791809717,7.7972239381155e-4,0.053511754051654,0.2537410394892686,0.03910397616901546,0.43904195848600813,Inhibitory,FALSE,TRUE,TRUE,2.6793298935797143,BCAS1 (Lamp5)
CALB1,L2_3 IT,0.268625766483772,0.0842007809494677,0.00142125087257012,0.0569373517043372,0.2990974568975867,0.022278808550536,0.3254875851599397,Excitatory,TRUE,TRUE,TRUE,2.8967107753517847,CALB1 (L2_3 IT)
BCAS1,L2_3 IT,-0.166060997250417,0.0525100696749203,0.00156442202671061,0.0584504879109125,0.19589587345289225,0.04601012016403031,0.33372237170799046,Excitatory,FALSE,TRUE,TRUE,2.5703584917400137,BCAS1 (L2_3 IT)
