source,term_name,term_id,p_value,term_size,intersection_size,query_set,cell_type,dir
GO:BP,rhythmic behavior,GO:0007622,0.02284289198195373,29,8,Astro|down,Astro,down
GO:BP,regulation of neural precursor cell proliferation,GO:2000177,0.02323116219441323,63,12,Astro|down,Astro,down
GO:BP,hindlimb morphogenesis,GO:0035137,0.024077533307070662,16,6,Astro|down,Astro,down
GO:BP,regulation of synaptic plasticity,GO:0048167,0.025137398777622035,149,20,Astro|down,Astro,down
GO:BP,positive regulation of nervous system development,GO:0051962,0.025137398777622035,196,24,Astro|down,Astro,down
GO:BP,monoatomic cation transport,GO:0006812,0.03415565852269912,569,51,Astro|down,Astro,down
GO:BP,"regulation of synaptic transmission, glutamatergic",GO:0051966,0.03415565852269912,48,10,Astro|down,Astro,down
GO:BP,protein-containing complex localization,GO:0031503,0.04002634827422223,68,12,Astro|down,Astro,down
GO:BP,regulation of excitatory synapse assembly,GO:1904889,0.041360642955501396,18,6,Astro|down,Astro,down
GO:BP,cellular component organization,GO:0016043,0.04497655856600961,4474,281,Astro|down,Astro,down
GO:BP,system development,GO:0048731,0.046357897296350106,2527,171,Astro|down,Astro,down
GO:BP,sterol metabolic process,GO:0016125,0.05053878744589558,102,15,Astro|down,Astro,down
GO:BP,central nervous system development,GO:0007417,0.05085677430158177,687,58,Astro|down,Astro,down
GO:BP,locomotor rhythm,GO:0045475,0.05382303995670311,13,5,Astro|down,Astro,down
GO:BP,neurotransmitter transport,GO:0006836,0.05382303995670311,138,18,Astro|down,Astro,down
GO:BP,embryonic hindlimb morphogenesis,GO:0035116,0.05382303995670311,13,5,Astro|down,Astro,down
GO:BP,postsynapse assembly,GO:0099068,0.05382303995670311,62,11,Astro|down,Astro,down
GO:BP,neurotransmitter secretion,GO:0007269,0.05565843311972041,105,15,Astro|down,Astro,down
GO:BP,anatomical structure development,GO:0048856,0.05565843311972041,3549,228,Astro|down,Astro,down
GO:BP,transmembrane transport,GO:0055085,0.05565843311972041,864,69,Astro|down,Astro,down
GO:BP,developmental process,GO:0032502,0.05565843311972041,3869,246,Astro|down,Astro,down
GO:BP,signal release from synapse,GO:0099643,0.05565843311972041,105,15,Astro|down,Astro,down
GO:BP,regulation of transport,GO:0051049,0.059813578198441464,962,75,Astro|down,Astro,down
GO:BP,protein localization to synapse,GO:0035418,0.059813578198441464,64,11,Astro|down,Astro,down
GO:BP,neuron development,GO:0048666,0.059813578198441464,821,66,Astro|down,Astro,down
GO:BP,cholesterol metabolic process,GO:0008203,0.061651586161995786,96,14,Astro|down,Astro,down
GO:BP,multicellular organismal process,GO:0032501,0.06574578088373073,3996,252,Astro|down,Astro,down
GO:BP,"positive regulation of synaptic transmission, glutamatergic",GO:0051968,0.06609563203331893,21,6,Astro|down,Astro,down
GO:BP,fatty-acyl-CoA biosynthetic process,GO:0046949,0.07837956820722639,22,6,Astro|down,Astro,down
GO:BP,glycerophospholipid catabolic process,GO:0046475,0.07837956820722639,22,6,Astro|down,Astro,down
GO:BP,vocalization behavior,GO:0071625,0.07837956820722639,15,5,Astro|down,Astro,down
GO:BP,excitatory synapse assembly,GO:1904861,0.07837956820722639,30,7,Astro|down,Astro,down
GO:BP,negative regulation of oligodendrocyte differentiation,GO:0048715,0.07837956820722639,9,4,Astro|down,Astro,down
GO:BP,isoprenoid biosynthetic process,GO:0008299,0.07837956820722639,22,6,Astro|down,Astro,down
GO:BP,regulation of AMPA receptor activity,GO:2000311,0.07837956820722639,9,4,Astro|down,Astro,down
GO:BP,negative regulation of neuron differentiation,GO:0045665,0.0787202344854108,48,9,Astro|down,Astro,down
GO:BP,neuron projection morphogenesis,GO:0048812,0.0787202344854108,474,42,Astro|down,Astro,down
GO:BP,cell projection morphogenesis,GO:0048858,0.08134030453719358,490,43,Astro|down,Astro,down
GO:BP,purine-containing compound metabolic process,GO:0072521,0.08134030453719358,361,34,Astro|down,Astro,down
GO:BP,regulation of neurogenesis,GO:0050767,0.08134030453719358,251,26,Astro|down,Astro,down
GO:BP,cell morphogenesis,GO:0000902,0.08348184571803052,702,57,Astro|down,Astro,down
GO:BP,postsynaptic specialization organization,GO:0099084,0.08839886177871904,40,8,Astro|down,Astro,down
GO:BP,glycerolipid catabolic process,GO:0046503,0.08839886177871904,40,8,Astro|down,Astro,down
GO:BP,long-term synaptic potentiation,GO:0060291,0.09002835463247558,71,11,Astro|down,Astro,down
GO:BP,fatty acid derivative biosynthetic process,GO:1901570,0.09002835463247558,32,7,Astro|down,Astro,down
GO:BP,cell differentiation,GO:0030154,0.09002835463247558,2595,170,Astro|down,Astro,down
GO:BP,positive regulation of biological process,GO:0048518,0.09002835463247558,3826,240,Astro|down,Astro,down
GO:BP,secondary alcohol metabolic process,GO:1902652,0.09002835463247558,103,14,Astro|down,Astro,down
GO:BP,gliogenesis,GO:0042063,0.09002835463247558,228,24,Astro|down,Astro,down
GO:BP,myelination,GO:0042552,0.09002835463247558,115,15,Astro|down,Astro,down
GO:BP,cellular developmental process,GO:0048869,0.09002835463247558,2596,170,Astro|down,Astro,down
GO:BP,regulation of postsynaptic specialization assembly,GO:0099150,0.09002835463247558,17,5,Astro|down,Astro,down
GO:BP,regulation of astrocyte differentiation,GO:0048710,0.09002835463247558,17,5,Astro|down,Astro,down
GO:BP,dorsal spinal cord development,GO:0021516,0.09002835463247558,5,3,Astro|down,Astro,down
GO:BP,"synaptic transmission, glutamatergic",GO:0035249,0.09002835463247558,72,11,Astro|down,Astro,down
GO:BP,plasma membrane bounded cell projection morphogenesis,GO:0120039,0.09002835463247558,488,42,Astro|down,Astro,down
GO:BP,neuron projection development,GO:0031175,0.09002835463247558,723,58,Astro|down,Astro,down
GO:BP,transport,GO:0006810,0.09002835463247558,2734,178,Astro|down,Astro,down
GO:BP,multicellular organismal movement,GO:0050879,0.09002835463247558,33,7,Astro|down,Astro,down
GO:BP,positive regulation of RNA splicing,GO:0033120,0.09002835463247558,33,7,Astro|down,Astro,down
GO:BP,small molecule metabolic process,GO:0044281,0.09002835463247558,1044,78,Astro|down,Astro,down
GO:BP,regulation of cellular component organization,GO:0051128,0.09002835463247558,1707,118,Astro|down,Astro,down
GO:BP,fatty acid biosynthetic process,GO:0006633,0.09002835463247558,94,13,Astro|down,Astro,down
GO:BP,positive regulation of lipid biosynthetic process,GO:0046889,0.09002835463247558,51,9,Astro|down,Astro,down
GO:BP,regulation of neurotransmitter receptor activity,GO:0099601,0.09002835463247558,10,4,Astro|down,Astro,down
GO:BP,musculoskeletal movement,GO:0050881,0.09002835463247558,32,7,Astro|down,Astro,down
GO:BP,axon ensheathment,GO:0008366,0.09002835463247558,116,15,Astro|down,Astro,down
GO:BP,regulation of neuron differentiation,GO:0045664,0.09002835463247558,118,15,Astro|down,Astro,down
GO:BP,aspartate metabolic process,GO:0006531,0.09002835463247558,5,3,Astro|down,Astro,down
GO:BP,postsynaptic density organization,GO:0097106,0.09002835463247558,33,7,Astro|down,Astro,down
GO:BP,ensheathment of neurons,GO:0007272,0.09002835463247558,116,15,Astro|down,Astro,down
GO:BP,sterol biosynthetic process,GO:0016126,0.09003715350719405,52,9,Astro|down,Astro,down
GO:BP,cellular component organization or biogenesis,GO:0071840,0.09857740479501209,4646,284,Astro|down,Astro,down
GO:BP,cell communication,GO:0007154,0.10331358288214995,3636,228,Astro|down,Astro,down
GO:BP,regulation of synapse structure or activity,GO:0050803,0.10331358288214995,223,23,Astro|down,Astro,down
GO:BP,metal ion transport,GO:0030001,0.10331358288214995,464,40,Astro|down,Astro,down
GO:BP,signaling,GO:0023052,0.10331358288214995,3618,227,Astro|down,Astro,down
GO:BP,regulation of localization,GO:0032879,0.10331358288214995,1234,89,Astro|down,Astro,down
GO:BP,lipid biosynthetic process,GO:0008610,0.10580024940885169,465,40,Astro|down,Astro,down
GO:BP,regulation of signaling,GO:0023051,0.10601309088692341,2231,148,Astro|down,Astro,down
GO:BP,positive regulation of synapse assembly,GO:0051965,0.10702721203420264,44,8,Astro|down,Astro,down
GO:BP,positive regulation of cellular process,GO:0048522,0.10702721203420264,3610,226,Astro|down,Astro,down
GO:BP,cell morphogenesis involved in neuron differentiation,GO:0048667,0.10702721203420264,423,37,Astro|down,Astro,down
GO:BP,postsynaptic specialization assembly,GO:0098698,0.10702721203420264,26,6,Astro|down,Astro,down
GO:BP,monoatomic cation transmembrane transport,GO:0098655,0.10702721203420264,467,40,Astro|down,Astro,down
GO:BP,phospholipid catabolic process,GO:0009395,0.10702721203420264,35,7,Astro|down,Astro,down
GO:BP,synaptic membrane adhesion,GO:0099560,0.10702721203420264,26,6,Astro|down,Astro,down
GO:BP,positive regulation of neural precursor cell proliferation,GO:2000179,0.10702721203420264,35,7,Astro|down,Astro,down
GO:BP,oligodendrocyte development,GO:0014003,0.10702721203420264,35,7,Astro|down,Astro,down
GO:BP,steroid metabolic process,GO:0008202,0.10909271526727919,173,19,Astro|down,Astro,down
GO:BP,vesicle docking,GO:0048278,0.11335746172621508,45,8,Astro|down,Astro,down
GO:BP,positive regulation of excitatory synapse assembly,GO:1904891,0.11800760566804672,2,2,Astro|down,Astro,down
GO:BP,farnesyl diphosphate biosynthetic process,GO:0045337,0.11800760566804672,2,2,Astro|down,Astro,down
GO:BP,nucleoside phosphate metabolic process,GO:0006753,0.11800760566804672,428,37,Astro|down,Astro,down
GO:BP,regulation of neurotransmitter secretion,GO:0046928,0.11800760566804672,56,9,Astro|down,Astro,down
GO:BP,regulation of ARF protein signal transduction,GO:0032012,0.11800760566804672,19,5,Astro|down,Astro,down
GO:BP,monoatomic ion transmembrane transport,GO:0034220,0.11800760566804672,563,46,Astro|down,Astro,down
GO:BP,L-aspartate biosynthetic process,GO:0006532,0.11800760566804672,2,2,Astro|down,Astro,down
GO:BP,vitamin transmembrane transport,GO:0035461,0.11800760566804672,12,4,Astro|down,Astro,down
GO:BP,axon ensheathment in central nervous system,GO:0032291,0.11800760566804672,19,5,Astro|down,Astro,down
