pathway,pval,padj,log2err,ES,NES,size,cell_type
Complex V (ATP syn),0.8430366760707874,0.94019970829126,0.010344836260201636,-0.27992610375970794,-0.7120764679487201,11,L5 ET
Inner membrane,0.721258310361602,0.94019970829126,0.01907669863484328,0.19579513535625312,0.8858490619342768,84,L5 ET
Mito import / fold,0.7321955003878976,0.94019970829126,0.010792430726885092,-0.234115672520962,-0.8381830331709241,42,L5 ET
Mito translation,0.86524209486166,0.94019970829126,0.013895378895180508,0.2464303144604933,0.7018215676426666,13,L5 ET
TCA cycle,0.5093613747114645,0.94019970829126,0.015662173629785548,-0.37905436273089943,-0.9642390907768675,11,L5 ET
Aerobic resp / OxPhos summary,0.9224521369174241,0.9992895564802599,0.010682623124253271,-0.16635666963191703,-0.8393370092575922,272,L5 IT
Complex I (NADH:UQ),0.2863575887831338,0.8210016388701437,0.02529712442757016,0.27139793600381124,1.0971479328661322,63,L5 IT
Complex III (UQ:Cyt c),0.31469428007889544,0.8210016388701437,0.023415778035147734,-0.34799770492938376,-1.1036036500817654,22,L5 IT
Complex IV (CytOx),0.9549196393571149,0.9992895564802599,0.010466628150457468,-0.18171448165072726,-0.66766827564835,40,L5 IT
Complex V (ATP syn),0.9992895564802599,0.9992895564802599,0.010360368142817843,0.1308860021579168,0.551290307142736,78,L5 IT
Inner membrane,0.3648896172756194,0.8210016388701437,0.021116489656536907,-0.19454235966010403,-1.026678203362502,416,L5 IT
Mito import / fold,0.8950440303092361,0.9992895564802599,0.011578576484459079,0.17292619477307497,0.8329951681703129,178,L5 IT
Mito translation,0.6819749679708288,0.9992895564802599,0.014026109593601803,-0.20007599362803213,-0.9044323199346788,121,L5 IT
TCA cycle,0.04047432379459036,0.36426891415131324,0.07029704592475078,-0.3959265625202442,-1.4547415422254109,40,L5 IT
Aerobic resp / OxPhos summary,0.8443227091633466,0.9148851939825812,0.011894534593445201,-0.1735165270431023,-0.8636975320207229,213,L5_6 NP
Complex I (NADH:UQ),0.6919099756690997,0.8895985401459854,0.014174589353571916,0.22292829748440293,0.8719762659627436,52,L5_6 NP
Complex III (UQ:Cyt c),0.04949414798651061,0.44544733187859553,0.06380592845298738,-0.5104784405757963,-1.514807053513354,17,L5_6 NP
Complex IV (CytOx),0.48422231270358307,0.7778165503489531,0.018262483265439014,0.2890889334880444,0.9785209321669263,28,L5_6 NP
Complex V (ATP syn),0.2264957264957265,0.6794871794871795,0.028450241563914947,-0.2786384610174931,-1.1409435553239826,64,L5_6 NP
Inner membrane,0.5185443668993021,0.7778165503489531,0.017209268834271606,-0.1897382506069062,-0.9793054794214561,286,L5_6 NP
Mito import / fold,0.13923046410154702,0.6265370884569615,0.0371337953554478,-0.25266953185242313,-1.1812311244362586,134,L5_6 NP
Mito translation,0.9148851939825812,0.9148851939825812,0.011004782757678886,-0.17909017015831127,-0.753250813360138,73,L5_6 NP
TCA cycle,0.5133674071161785,0.7778165503489531,0.01716021474708108,-0.2706817949612956,-0.9634725337216792,34,L5_6 NP
Aerobic resp / OxPhos summary,1,1,0.01214139692602494,0.1243132125942773,0.6193497995889029,203,L6 CT
Complex I (NADH:UQ),0.791416402751993,1,0.013533594819260955,0.21151759367442424,0.8205711044758514,48,L6 CT
Complex III (UQ:Cyt c),0.9626758541487224,1,0.010142018104490646,-0.19914005107563681,-0.5744377422782552,16,L6 CT
Complex IV (CytOx),0.9948088721094857,1,0.00966523970605835,-0.15246538982778945,-0.49472962827046674,25,L6 CT
Complex V (ATP syn),0.993430057486997,1,0.009333928846657109,-0.1508147561187285,-0.595335487315013,60,L6 CT
Inner membrane,0.3911769630001674,1,0.01847660618654446,-0.20472365236477144,-1.0219020318612182,273,L6 CT
Mito import / fold,0.35784881132579466,1,0.020344062807521008,-0.2329159826583826,-1.0454549729155116,124,L6 CT
Mito translation,0.5312699135184342,1,0.01589363973407555,-0.23334641850435006,-0.9568420516417144,73,L6 CT
TCA cycle,0.06816486385676986,0.6134837747109287,0.052394394348549235,-0.3984957070552001,-1.3943249567187839,34,L6 CT
Aerobic resp / OxPhos summary,0.9974348365742656,0.9974348365742656,0.008283218787186747,-0.14265419867036486,-0.6981056189590583,223,L6 IT
Complex I (NADH:UQ),0.9948769350707206,0.9974348365742656,0.011355393145741783,0.14646845437167394,0.5895140520895396,56,L6 IT
Complex III (UQ:Cyt c),0.23955484296897103,0.7352395098403268,0.026749431524803784,-0.40224410132522515,-1.1852669343188387,17,L6 IT
Complex IV (CytOx),0.43878504672897195,0.7898130841121496,0.01842002834880483,-0.2997687894395881,-1.0071714511318295,28,L6 IT
Complex V (ATP syn),0.954570184983678,0.9974348365742656,0.009677848182785158,-0.1725480150175806,-0.7014164438782874,68,L6 IT
Inner membrane,0.2684265762492936,0.7352395098403268,0.02284740525997824,-0.2103663351288127,-1.0701929222867668,317,L6 IT
Mito import / fold,0.2140845070422535,0.7352395098403268,0.032207893857401755,0.23513868278828887,1.1132351296004972,137,L6 IT
Mito translation,0.9642575262149059,0.9974348365742656,0.011803661316768374,0.16430760617111698,0.7172280219656798,83,L6 IT
TCA cycle,0.3267731154845897,0.7352395098403268,0.022075238565705858,-0.3068228941885468,-1.0868373191940341,35,L6 IT
Aerobic resp / OxPhos summary,0.8771913637202435,0.8771913637202435,0.01071801389743385,0.17532144634172542,0.8498375455799239,219,L6 IT Car3
Complex I (NADH:UQ),0.7588531282635527,0.8537097692964968,0.012503975936142426,0.21686669283778504,0.8403332169944969,56,L6 IT Car3
Complex III (UQ:Cyt c),0.2997014310717595,0.8537097692964968,0.024719594343746563,-0.3911729695537039,-1.1287029890652474,16,L6 IT Car3
Complex IV (CytOx),0.7343194697915666,0.8537097692964968,0.012969359220694756,0.24920088196407672,0.8265058985094021,28,L6 IT Car3
Complex V (ATP syn),0.5669680403700589,0.8537097692964968,0.016790143768766405,-0.23187406085450288,-0.9430657954112273,67,L6 IT Car3
Inner membrane,0.7175589336858339,0.8537097692964968,0.014679274166065686,-0.1811904169559846,-0.9226911611501605,293,L6 IT Car3
Mito import / fold,0.30460415496911847,0.8537097692964968,0.023140221725864177,0.236325877261666,1.0716805992206728,135,L6 IT Car3
Mito translation,0.6478659979180468,0.8537097692964968,0.014141547960635341,0.21815651357773588,0.9066210970009752,80,L6 IT Car3
TCA cycle,0.6719392597279342,0.8537097692964968,0.014919877725229376,-0.24754359253215688,-0.8685393939466883,34,L6 IT Car3
Aerobic resp / OxPhos summary,0.9479327259985985,0.9753469528488924,0.007057448885648903,0.16579871505372346,0.7780743053680396,192,L6b
Complex I (NADH:UQ),0.9576162342666324,0.9753469528488924,0.013232778943425536,-0.17242088842246547,-0.6865063178222824,46,L6b
Complex III (UQ:Cyt c),0.6883484162895928,0.9753469528488924,0.015427617903797956,-0.28654920760811253,-0.8309766410448922,14,L6b
Complex IV (CytOx),0.9753469528488924,0.9753469528488924,0.008938123299608107,0.18045937044513116,0.5718346917996727,23,L6b
Complex V (ATP syn),0.8247149510197527,0.9753469528488924,0.009929210980324957,0.2056667808732851,0.7960008369363468,57,L6b
Inner membrane,0.06869784591500097,0.30914030661750436,0.07605142896180477,-0.22368602665469023,-1.1928021272642828,261,L6b
Mito import / fold,0.15961153532507968,0.4788346059752391,0.029374961543096042,0.26872906105155175,1.184604575196725,120,L6b
Mito translation,0.014997973246858533,0.1349817592217268,0.13686388853092002,-0.3569946983843718,-1.5131630140214982,62,L6b
TCA cycle,0.8349253000244918,0.9753469528488924,0.014185631195534565,-0.21445489645949078,-0.7705492547860742,30,L6b
Aerobic resp / OxPhos summary,9.344685919418753e-6,4.205108663738439e-5,0.5933254763964051,-0.3451388207143076,-1.6904097194785845,269,Lamp5
Complex I (NADH:UQ),0.07643009731782578,0.11464514597673867,0.0452954307051947,-0.3378973887335913,-1.3338652831437496,63,Lamp5
Complex III (UQ:Cyt c),0.4143003763256928,0.4143003763256928,0.018046005474289094,-0.3354856554633048,-1.0311468841508138,21,Lamp5
Complex IV (CytOx),0.03328949531481177,0.059921091566661186,0.07100328663993918,-0.41249808356079426,-1.4870983254378247,40,Lamp5
Complex V (ATP syn),0.008252238224990268,0.018567536006228104,0.14008712425050301,-0.38038421619593693,-1.5569162787070452,77,Lamp5
Inner membrane,7.485487108682695e-9,6.736938397814426e-8,0.7477396631498854,-0.3559972720945494,-1.8185465999916282,407,Lamp5
Mito import / fold,0.21841633823002507,0.2457183805087782,0.024060549081991844,-0.2410518778116763,-1.1234459528281464,178,Lamp5
Mito translation,0.18465119771720356,0.23740868277926175,0.02724950114773298,-0.2635283606544433,-1.1611673548270225,119,Lamp5
TCA cycle,1.5670906215007615e-4,4.7012718645022845e-4,0.5188480777437918,-0.549410857354233,-1.9806830589272917,40,Lamp5
Aerobic resp / OxPhos summary,0.8183429672447013,0.9714767932489452,0.009589894634653935,-0.2877902556301793,-0.7393319222148365,13,Micro-PVM
Inner membrane,0.9714767932489452,0.9714767932489452,0.01604884598935845,0.17166001216342142,0.6112053280071483,27,Micro-PVM
Mito import / fold,0.692643391521197,0.9714767932489452,0.019087737109800225,0.2568915713862988,0.8436728688556224,20,Micro-PVM
Aerobic resp / OxPhos summary,0.0545761893262497,0.20271196770015998,0.04689997215776819,-0.27316812856741574,-1.259301235370388,250,Oligo
Complex I (NADH:UQ),0.21450875027231137,0.3217631254084671,0.02450809770634417,-0.30977511703695004,-1.1648311875267119,60,Oligo
Complex III (UQ:Cyt c),0.38273966053071956,0.49209384925378236,0.018147367945190118,-0.3481891625060522,-1.0562481023732908,22,Oligo
Complex IV (CytOx),0.744108527131783,0.8371220930232559,0.010619665861903538,-0.24879629895129396,-0.8223265540223317,32,Oligo
Complex V (ATP syn),0.0035460992907801418,0.031914893617021274,0.2047983459543141,-0.4232031830324332,-1.6492158320861474,73,Oligo
Inner membrane,0.15407941412060877,0.2785536,0.02586423853340716,-0.23929532747625748,-1.141500467372417,365,Oligo
Mito import / fold,0.154752,0.2785536,0.027511695475077192,-0.26621765959032956,-1.1716259849476598,165,Oligo
Mito translation,0.98529611058409,0.98529611058409,0.006251162135736242,-0.16026361310197812,-0.6652070449337645,109,Oligo
