X,cell_type,genes,estimate,se,pval,ci.lb,ci.ub,k,tau2,I2,padj,direction
5291,Astro,RUFY4,0.529407220591585,0.0949896350421234,2.49936101126883e-08,0.343230957004419,0.715583484178751,5,0.0,0.0,9.55172466473238e-05,up
4359,Astro,SPTLC3,0.400283481059914,0.074837146271275,8.85749252204162e-08,0.253605369662459,0.546961592457369,6,0.0,0.0,0.0001063254787709,up
4643,Astro,HMGCLL1,0.36029874286268,0.0676847809521205,1.01964855108614e-07,0.227639009895041,0.492958475830318,6,1.33487878838451e-06,0.004372502052731,0.0001063254787709,up
4343,Astro,FOXP1,0.279107809417742,0.0526071455379389,1.12357556623387e-07,0.175999698833925,0.382215920001559,6,0.0,0.0,0.0001073482822239,up
2300,Astro,SP110,0.276094854213121,0.0568826907277675,1.21143137034283e-06,0.164606829042966,0.387582879383276,7,0.0,0.0,0.0005256961202221,up
4793,Astro,FAT4,0.271244779189115,0.0586927934745364,3.81099462368285e-06,0.156209017826976,0.386280540551254,6,0.0,0.0,0.0012136959266812,up
5695,Astro,P3H2,0.399280315211827,0.0873900518605908,4.90186060145266e-06,0.227998960957982,0.570561669465673,6,0.0,0.0,0.0014410213280937,up
4880,Astro,SLC27A3,0.414863874008504,0.0912126786235604,5.4077490486958e-06,0.2360903089729,0.593637439044109,5,0.0,0.0,0.0015154552673877,up
6197,Astro,PDZRN4,0.377965130130725,0.0839554033362084,6.73248903691884e-06,0.213415563284223,0.542514696977227,6,0.0,0.0,0.0017542724274607,up
4520,Astro,BNC2,0.411914224289278,0.0931219485520043,9.71663925384051e-06,0.229398558957158,0.594429889621399,6,0.0,0.0,0.0023208597717767,up
1220,Astro,ADAMTS9-AS2,0.323061884738047,0.0751540617735527,1.71832538443565e-05,0.175762630369986,0.470361139106109,7,0.0,0.0,0.0030782188332116,up
1559,Astro,LRMDA,0.427918151769351,0.0993596816548259,1.65664318928447e-05,0.233176754210527,0.622659549328175,5,0.0,0.0,0.0030782188332116,up
4445,Astro,SLC24A4,0.372185229068592,0.0863965958786967,1.6483485455057e-05,0.202851012759484,0.541519445377699,6,0.0014703249855458,3.10068611985148,0.0030782188332116,up
5182,Astro,TMEM255A,0.528731944990819,0.122841385081821,1.6760219962689e-05,0.287967254419433,0.769496635562204,5,1.64608804041378e-07,0.0001901640409969,0.0030782188332116,up
5195,Astro,ANKRD31,0.27011665525588,0.0627696350192799,1.68271723370948e-05,0.147090431295367,0.393142879216392,6,2.67951566043396e-07,0.0009565121676602,0.0030782188332116,up
4777,Astro,BRIP1,0.29877743937931,0.069859638875214,1.89577842999491e-05,0.161855063210916,0.435699815547704,5,0.0,0.0,0.0032260621454857,up
5908,Astro,KLF8,0.307042290675977,0.0726453642991156,2.37257654508065e-05,0.164659993005919,0.449424588346035,5,1.78348768000483e-07,0.0005984126638265,0.0035957881111917,up
4851,Astro,TRIM25,0.237181547407825,0.0562951257190382,2.51799253358827e-05,0.126845128493356,0.347517966322294,6,0.0,0.0,0.0036085980496986,up
5066,Astro,CNTLN,0.160227512435199,0.0381139185087843,2.62342394271e-05,0.0855256048482869,0.23492942002211,6,0.0,0.0,0.0036238018678518,up
4363,Astro,TUSC3,0.416108660626639,0.0992482961288384,2.75772337100772e-05,0.22158557468715,0.610631746566128,6,0.0231861475636914,45.7195050883352,0.0036332168698923,up
4591,Astro,OXTR,0.619894759519984,0.148034391508486,2.82037768356231e-05,0.329752683690049,0.910036835349919,5,0.0030199477650408,2.49708186003332,0.0036332168698923,up
11459,Astro,CP,0.559646806502127,0.133913466958803,2.92578165763005e-05,0.297181234217978,0.822112378786275,5,2.11093367006659e-06,0.0018275100659064,0.0036961706989927,up
