CellType,mean_depth
Sst_1,0.7743189682693686
Sst_10,0.6340055326282885
Sst_11,0.3472059866699415
Sst_12,0.74712015259133
Sst_13,0.6272396174047635
Sst_19,0.5492398778379283
Sst_2,0.36011539280601296
Sst_20,0.325901802794321
Sst_22,0.32328464353048714
Sst_23,0.21063881043735325
Sst_25,0.23641959834899326
Sst_3,0.4522560872230188
Sst_4,0.7356291157846552
Sst_5,0.7029247278198435
Sst_7,0.8093257828635755
Sst_9,0.6228692679269977
