sample_id,x,y,subclass,supertype,layer,qc_pass
Br1139,2429.971524,3144.014056,Astrocyte,Astro_2,L4,True
Br1139,2421.199532,3134.57056,Sst,Sst_5,L4,True
Br1139,2418.029024,3125.331056,L5 IT,L5 IT_6,L4,False
Br1139,2529.319532,3916.298572,Oligodendrocyte,Oligo_4,L5,True
Br1139,2541.984528,3913.306548,Astrocyte,Astro_2,L5,True
Br1139,2519.842052,3914.64956,Oligodendrocyte,Oligo_2_1-SEAAD,L5,True
Br1139,2490.619032,3990.869076,Pvalb,Pvalb_12,L5,True
Br1139,2506.029528,3971.625116,L5 IT,L5 IT_2,L5,True
Br1139,2492.880036,4001.494076,Pvalb,Pvalb_12,L5,True
Br1139,2520.454036,3970.409552,Astrocyte,Astro_5,L5,True
Br1139,2534.14754,3964.50208,Microglia-PVM,Lymphocyte,L5,True
Br1139,2543.60802,3957.9826,Oligodendrocyte,Oligo_2_1-SEAAD,L5,True
Br1139,2521.737532,3960.770576,Microglia-PVM,Micro-PVM_2_1-SEAAD,L5,True
Br1139,2540.106032,4742.813088,Endothelial,Endo_2,L5,True
Br1139,2549.048028,4702.837576,Sst,Sst_13,L5,True
Br1139,2516.748028,4726.340064,Astrocyte,Astro_5,L5,True
Br1139,2524.57652,4953.298568,Endothelial,Endo_2,L5,True
Br1139,2535.34602,4978.1781,L5 IT,L5 IT_2,L5,False
Br1139,2497.835536,5007.477592,Astrocyte,Astro_5,L5,True
Br1139,2525.171528,4996.14716,L5 IT,L5 IT_7,L5,True
Br1139,2516.246532,4992.53464,L5 IT,L5 IT_5,L5,True
Br1139,2479.824032,5013.708056,Astrocyte,Astro_2,L5,True
Br1139,2530.509532,4833.363616,L5/6 NP,L5/6 NP_3,L5,False
Br1139,2551.58952,4830.524632,Oligodendrocyte,Oligo_2_1-SEAAD,L5,True
Br1139,2539.179516,4857.614164,Lamp5,Lamp5_1,L5,True
Br1139,2531.53804,4873.19452,Pvalb,Pvalb_1,L5,True
Br1139,2538.58454,4881.023112,Sst,Sst_11,L5,True
Br1139,2497.45304,4902.358088,Astrocyte,Astro_2,L5,True
Br1139,2536.697544,4892.345108,Astrocyte,Astro_5,L5,True
Br1139,2485.060024,4823.427048,L5 IT,L5 IT_6,L5,True
Br1139,2486.48802,4850.68658,L4 IT,L4 IT_1,L5,True
Br1139,2517.368524,4842.050632,L5/6 NP,L5/6 NP_4,L5,True
Br1139,2512.540524,4831.306576,Astrocyte,Astro_2,L5,True
Br1139,2507.695516,4827.39666,L5/6 NP,L5/6 NP_2,L5,True
Br1139,2519.23002,4772.996628,Unassigned,Unassigned,L5,False
Br1139,2501.856032,4807.880592,L5/6 NP,L5/6 NP_4,L5,True
Br1139,2495.098532,4805.900108,L4 IT,L4 IT_1,L5,True
