"","CellType","estimate","padj","neglogP","sig_label","Cohort","pval","se","n"
"Sst_25","Sst_25",-0.258992646343256,0.0374670536432624,2.76480695147915,"**","Meta-analysis",0.00171867218547075,0.0826138738897393,469
"L2/3 IT_10","L2/3 IT_10",-0.169067110295597,0.305703809828044,1.34800566413798,".","Meta-analysis",0.0448739537362267,0.0842876847815801,469
"Sst_22","Sst_22",-0.27142856495951,0.0216123264371826,3.10066498801959,"**","Meta-analysis",0.000793112896777342,0.0808981876307707,469
"Lamp5_6","Lamp5_6",0.11080758128473,0.512977103115637,0.759369182534675,"","Meta-analysis",0.174032683746483,0.0815145497421795,469
"Sst_9","Sst_9",-0.0612491014058203,0.569755257858317,0.582768151944701,"","Meta-analysis",0.261355622870788,0.0545312450350913,469
"Pvalb_8","Pvalb_8",0.0110182356205514,0.961919380354394,0.0586526285343732,"","Meta-analysis",0.873669895918211,0.0692976447784177,469
"Sst_19","Sst_19",-0.05323807353256,0.640121173874938,0.49080161545625,"","Meta-analysis",0.322996922597446,0.053867350818735,469
"Pvalb_7","Pvalb_7",0.135898804676527,0.304815745594954,1.40726106505289,".","Meta-analysis",0.039150646223205,0.0658871344963603,469
"Sncg_6","Sncg_6",-0.00994506238280849,0.961919380354394,0.0600234307919955,"","Meta-analysis",0.87091660152526,0.0612025234955034,469
"L5 IT_6","L5 IT_6",0.105963133916066,0.499604933085498,0.866442790945453,"","Meta-analysis",0.136005731008827,0.0710765312253008,469
"L6b_3","L6b_3",0.123211420755199,0.512977103115637,0.775903146006165,"","Meta-analysis",0.167531645433414,0.0892720812798716,469
"L6b_4","L6b_4",0.263148912719372,0.021609224340621,3.22566606498343,"**","Meta-analysis",0.00059474929377856,0.0766304865344309,469
"Sncg_5","Sncg_5",0.0147969765618592,0.961919380354394,0.0763459178818581,"","Meta-analysis",0.838791618356915,0.0727340801672124,469
"Pvalb_3","Pvalb_3",-0.0427632660488448,0.725161804665052,0.357075937447399,"","Meta-analysis",0.439464767235097,0.055314205714086,469
"L6 IT_1","L6 IT_1",0.1048442674229,0.513113325556289,0.737907225327098,"","Meta-analysis",0.182849077951207,0.0787099144638225,469
"L5 IT_7","L5 IT_7",-0.0387628650406406,0.786920305648997,0.248048942508581,"","Meta-analysis",0.564873313227867,0.0673412840245114,469
"Chandelier_2","Chandelier_2",0.154152041754566,0.231556661100639,1.5588258669433,".","Meta-analysis",0.027616849489067,0.0699836489851141,469
"Vip_1","Vip_1",-0.0514451227739463,0.609676861916914,0.528050915083513,"","Meta-analysis",0.296448382399967,0.0492731622252091,469
"Sst Chodl_1","Sst Chodl_1",-0.0181061358445948,0.961919380354394,0.0985241920360882,"","Meta-analysis",0.797032091301406,0.0703998396236776,469
"L2/3 IT_1","L2/3 IT_1",-0.0435929821253722,0.725161804665052,0.323355082919009,"","Meta-analysis",0.474946746590716,0.0610158349794698,469
"L2/3 IT_2","L2/3 IT_2",0.075801956093688,0.652482950989092,0.448198676167065,"","Meta-analysis",0.356288105453833,0.0821736060870001,469
"Sncg_2","Sncg_2",0.157378115090815,0.338304125851518,1.2528466984971,"","Meta-analysis",0.0558667363791497,0.0823075552516264,469
"Sst_1","Sst_1",0.0697615060622537,0.569755257858317,0.586260289766803,"","Meta-analysis",0.259262503421158,0.0618378532279409,469
"Sncg_8","Sncg_8",-0.00175879016333989,0.995669874819086,0.00970155536783822,"","Meta-analysis",0.977909003464133,0.0635160211386955,469
"Pax6_3","Pax6_3",0.0362607840844254,0.81582568961815,0.212015268817382,"","Meta-analysis",0.613740427052186,0.0718403102289647,469
"Vip_18","Vip_18",-0.0648361552969541,0.603776699406029,0.540546805331637,"","Meta-analysis",0.288040260267096,0.0610262514155198,469
"Pax6_4","Pax6_4",0.0641894868833819,0.680028908243956,0.415672869030869,"","Meta-analysis",0.383996380664173,0.0737338588677429,469
"Sncg_3","Sncg_3",0.0510673069238611,0.725161804665052,0.321448198498754,"","Meta-analysis",0.477036710407552,0.071816876077193,469
"Sst Chodl_2","Sst Chodl_2",0.131358137330864,0.390334387046285,1.10356700438031,"","Meta-analysis",0.0787830872937457,0.0747291013191975,469
"L6 IT Car3_3","L6 IT Car3_3",0.0835367743096128,0.513113325556289,0.73614859748186,"","Meta-analysis",0.1835910063917,0.0628200302811211,469
"L6 CT_3","L6 CT_3",0.131444235983575,0.390334387046285,1.12049035127421,"","Meta-analysis",0.0757721566988142,0.0740213144769062,469
"Pvalb_14","Pvalb_14",0.158780283491465,0.16167371646291,1.98368903618282,"+","Meta-analysis",0.0103827157361502,0.0619554054455309,469
"Pvalb_1","Pvalb_1",-0.000976713380145273,0.995669874819086,0.00588737522473384,"","Meta-analysis",0.986535288811571,0.0578748050915545,469
"Pvalb_12","Pvalb_12",0.119075676297048,0.390334387046285,1.1304561042246,"","Meta-analysis",0.0740532112031961,0.0666610938727148,469
"L2/3 IT_13","L2/3 IT_13",-0.0703821418224023,0.651326025360581,0.475440039091258,"","Meta-analysis",0.334626214864152,0.0729471465821103,469
"Vip_14","Vip_14",0.0695235995305419,0.588337914447929,0.560229485175544,"","Meta-analysis",0.275277372815086,0.0637252518928077,469
"L5 IT_2","L5 IT_2",0.00906540634300588,0.961919380354394,0.063377957581909,"","Meta-analysis",0.864215482395579,0.0530108064807735,469
"Sst_23","Sst_23",-0.0654486788027768,0.652482950989092,0.45573672457871,"","Meta-analysis",0.350157373023614,0.0700522250641106,469
"Pvalb_5","Pvalb_5",-0.0760606231404792,0.549017314187081,0.664372001485922,"","Meta-analysis",0.216584812018757,0.0615546320838198,469
"L6 CT_2","L6 CT_2",0.0979330149930562,0.519939354955901,0.700774665179026,"","Meta-analysis",0.199170647302325,0.0762766895965434,469
"Sst_12","Sst_12",-0.0614500257970238,0.652482950989092,0.452005556803739,"","Meta-analysis",0.353178650837457,0.0661862188405618,469
"Pvalb_2","Pvalb_2",-0.08358702781814,0.499604933085498,0.830105583799496,"","Meta-analysis",0.147874883743049,0.0577625999171038,469
"Lamp5_Lhx6_1","Lamp5_Lhx6_1",0.00204447664228724,0.995669874819086,0.0173617235631892,"","Meta-analysis",0.96081168565798,0.0416093479821212,469
"Vip_19","Vip_19",-0.00354749457961902,0.995669874819086,0.0307413152036882,"","Meta-analysis",0.931662649267175,0.04136867900373,469
"Lamp5_3","Lamp5_3",0.101828511468411,0.499604933085498,0.927408683179686,"","Meta-analysis",0.118192880438295,0.0651742578564092,469
"Sst_13","Sst_13",-0.0817744078418891,0.499604933085498,0.849204773769886,"","Meta-analysis",0.141512637776069,0.0556219860096725,469
"Sst_20","Sst_20",-0.174676636280529,0.192106022298078,1.71249283308558,"+","Meta-analysis",0.019386846286962,0.0747117440175118,469
"Sst_3","Sst_3",-0.186286911011216,0.0463436408670109,2.59328509755191,"**","Meta-analysis",0.00255102610277124,0.0617411940282608,469
"L6 IT Car3_1","L6 IT Car3_1",-0.0475631776962481,0.786920305648997,0.251815942965992,"","Meta-analysis",0.559994880952075,0.0816046156953244,469
"Pvalb_9","Pvalb_9",0.0038736037517235,0.995669874819086,0.0235303468426868,"","Meta-analysis",0.94726099120489,0.0585607569774225,469
"Pvalb_6","Pvalb_6",-0.115169547076118,0.226844208917034,1.60251755520954,".","Meta-analysis",0.0249736743761872,0.0513734717663942,469
"Vip_2","Vip_2",-0.0771042168942552,0.512977103115637,0.759126793191549,"","Meta-analysis",0.174129842342005,0.0567337884768138,469
"L5/6 NP_1","L5/6 NP_1",0.036994958884966,0.786920305648997,0.25058863044099,"","Meta-analysis",0.561579659970754,0.0637298265675389,469
"L2/3 IT_5","L2/3 IT_5",-0.04189726063948,0.725161804665052,0.339884537458373,"","Meta-analysis",0.457209728300242,0.0563552386355641,469
"L6 IT Car3_2","L6 IT Car3_2",0.027995281250069,0.910999400823907,0.129312945516488,"","Meta-analysis",0.74248392328774,0.0852044968888781,469
"L5 ET_2","L5 ET_2",0.0627526232524604,0.696578112228216,0.395116124485768,"","Meta-analysis",0.402609367618143,0.0749759427050267,469
"Vip_6","Vip_6",0.0151278477964083,0.961919380354394,0.0909998341741045,"","Meta-analysis",0.810961367501729,0.0632472158452404,469
"Vip_4","Vip_4",-0.0687142701441916,0.499604933085498,0.820285840127585,"","Meta-analysis",0.151256539374509,0.0478809304254671,469
"L5/6 NP_2","L5/6 NP_2",0.152629704450451,0.305703809828044,1.34939796943986,".","Meta-analysis",0.0447303226202571,0.0760417986694187,469
"Pax6_1","Pax6_1",-0.0332602293344894,0.786920305648997,0.243868654684261,"","Meta-analysis",0.570336735286888,0.0586025879247094,469
"L5 IT_1","L5 IT_1",-0.00406946933134624,0.995669874819086,0.027649807262788,"","Meta-analysis",0.938318313597857,0.0525882032035817,469
"Vip_21","Vip_21",0.0114308683093151,0.961919380354394,0.0701080603337035,"","Meta-analysis",0.850926285986344,0.0608229756476285,469
"Vip_5","Vip_5",-0.0965279301348535,0.499604933085498,0.85391373252995,"","Meta-analysis",0.139986536167956,0.065405364906343,469
"Lamp5_5","Lamp5_5",0.000178885942636977,0.997617237275197,0.00103605553109062,"","Meta-analysis",0.997617237275197,0.0599011047709173,469
"Sncg_4","Sncg_4",-0.00224649535545025,0.995669874819086,0.0119529573684865,"","Meta-analysis",0.972852597134413,0.066013609441946,469
"Sst_4","Sst_4",0.0416898873119017,0.766718607189817,0.277729231444244,"","Meta-analysis",0.527558674671892,0.0659924621571455,469
"Sst_10","Sst_10",0.07088016835135,0.552868160375212,0.650202171373587,"","Meta-analysis",0.223767921882224,0.0582623091165044,469
"L4 IT_2","L4 IT_2",-0.0171930519235433,0.910999400823907,0.136955796484046,"","Meta-analysis",0.729531759937806,0.0497270524300618,469
"L6b_6","L6b_6",0.103381130437337,0.519939354955901,0.698224516492445,"","Meta-analysis",0.200343604661907,0.0807303536341445,469
"Vip_16","Vip_16",0.0457961592876426,0.725161804665052,0.324976602218219,"","Meta-analysis",0.473176750853715,0.0638434279283233,469
"L5 IT_3","L5 IT_3",-0.00988648493402515,0.961919380354394,0.0626823752010602,"","Meta-analysis",0.865600751478323,0.0584138289044581,469
"Sst_11","Sst_11",-0.131932494421812,0.405289897405078,1.06793288363387,"","Meta-analysis",0.085519886608411,0.0767263892528842,469
"Chandelier_1","Chandelier_1",-0.0241245868862856,0.81582568961815,0.214619017553406,"","Meta-analysis",0.610071844737743,0.0473058102000872,469
"L6 IT_2","L6 IT_2",0.116559398604049,0.499604933085498,0.875086047732645,"","Meta-analysis",0.13332572447658,0.0776485279248144,469
"Sst_7","Sst_7",0.0150039041691,0.961919380354394,0.0860233010573053,"","Meta-analysis",0.820307531462136,0.0660530061246496,469
"Lamp5_2","Lamp5_2",0.0488169317946478,0.552868160375212,0.641314008632647,"","Meta-analysis",0.228394684050607,0.0405286456094816,469
"Vip_11","Vip_11",-0.024353106073928,0.839843684759205,0.183809111359468,"","Meta-analysis",0.654923974353508,0.0544894798102726,469
"Vip_23","Vip_23",-0.0011319693886932,0.995669874819086,0.0094366542948665,"","Meta-analysis",0.978505668113588,0.0420144085596279,469
"Vip_13","Vip_13",-0.0514919712288365,0.704567122371831,0.383324150376389,"","Meta-analysis",0.41369078744768,0.0629936005588751,469
"Sncg_1","Sncg_1",0.0135991464519112,0.961919380354394,0.0758458016654144,"","Meta-analysis",0.839758093724818,0.0672549473249945,469
"L5/6 NP_6","L5/6 NP_6",0.123664118433929,0.457028207624796,0.997272250824937,"","Meta-analysis",0.100630064064175,0.0753219707519375,469
"L6b_5","L6b_5",0.0554107958035253,0.725161804665052,0.335268324424026,"","Meta-analysis",0.462095432226026,0.075347749807879,469
"L5/6 NP_3","L5/6 NP_3",0.0260923337813876,0.910999400823907,0.128518399963718,"","Meta-analysis",0.743843547461722,0.0798497806541309,469
"L6 CT_4","L6 CT_4",0.120581929143985,0.512977103115637,0.778435009666421,"","Meta-analysis",0.166557805585274,0.0871666570840619,469
"1","L5/6 NP_4",1.24180890679269,0.00392240375410412,2.40644770410159,"***","MtSinai",3.7356226229563e-05,0.264538069107843,35
"2","L6 CT_1",1.67908805138533,0.00557733729293064,2.25357309048619,"***","MtSinai",0.000106234996055822,0.386178305897765,35
"3","L6b_1",1.12325294156647,0.0193095426725806,1.71422801193405,"**","MtSinai",0.000551701219216587,0.29655842824853,35
"4","L6b_2",1.01241624094182,0.0643158455624196,1.19168201630543,"*","MtSinai",0.00245012744999694,0.31096638881101,35
"5","Vip_12",-0.916642507214431,0.14113288980819,0.850371765850806,"+","MtSinai",0.00672061380039,0.318878724946829,35
"6","L4 IT_3",0.825372825828545,0.20535841052058,0.687487505774151,".","MtSinai",0.0137784376230567,0.318880188808436,35
"7","Vip_15",-0.54045688291515,0.20535841052058,0.687487505774151,".","MtSinai",0.0160056558555514,0.213905341515822,35
"8","Pax6_2",0.704366657224449,0.20535841052058,0.687487505774151,".","MtSinai",0.0165822228205568,0.280409192657433,35
"9","L2/3 IT_7",0.844494347388525,0.20535841052058,0.687487505774151,".","MtSinai",0.0176021494731926,0.339557853754817,35
"10","Lamp5_1",0.598789652005729,0.278873453473348,0.554592825134294,".","MtSinai",0.0265593765212713,0.259010264880448,35
"11","L4 IT_4",0.583272860067681,0.287401875402486,0.541510402262009,".","MtSinai",0.0301087678993081,0.258427882443756,35
"12","L2/3 IT_3",-0.672160490125308,0.373014374214481,0.428274432208073,".","MtSinai",0.0426302141959407,0.319917051868713,35
"13","Vip_9",0.521706852852643,0.502364641725841,0.298980935440738,"","MtSinai",0.0621975270708184,0.271145629500775,35
"14","L4 IT_1",0.475613749954688,0.575469572680442,0.239977634269334,"","MtSinai",0.0791070559985592,0.26326599641441,35
"15","Sst_2",-0.445901915641288,0.575469572680442,0.239977634269334,"","MtSinai",0.0822099389543489,0.249469559889767,35
"16","Lamp5_4",0.439918960386908,0.616950983650986,0.209749339006495,"","MtSinai",0.0984661642498974,0.259413387536312,35
"17","L2/3 IT_12",0.643638504779949,0.616950983650986,0.209749339006495,"","MtSinai",0.111461557811044,0.394558878716208,35
"18","Sst_5",-0.414004778847453,0.616950983650986,0.209749339006495,"","MtSinai",0.118815167924296,0.259162664067595,35
"19","Pvalb_10",0.396904265051374,0.616950983650986,0.209749339006495,"","MtSinai",0.121079199458518,0.250033467885221,35
"20","L2/3 IT_6",-0.53429575135769,0.616950983650986,0.209749339006495,"","MtSinai",0.124437185715799,0.339720020778735,35
"21","L5 ET_1",0.393059280566475,0.616950983650986,0.209749339006495,"","MtSinai",0.129936688706945,0.253678743650506,35
"22","Pvalb_13",-0.385254028526722,0.616950983650986,0.209749339006495,"","MtSinai",0.13540878044761,0.25229200969875,35
"23","L5 IT_5",-0.494618666415146,0.616950983650986,0.209749339006495,"","MtSinai",0.145245689033399,0.332297682305806,35
"24","Pvalb_15",-0.341326403715695,0.616950983650986,0.209749339006495,"","MtSinai",0.150596936253094,0.232450065011314,35
"25","L2/3 IT_8",0.400999002037589,0.616950983650986,0.209749339006495,"","MtSinai",0.15478253869713,0.275968639963208,35
"26","Sst_25",-0.466832669040219,0.616950983650986,0.209749339006495,"","MtSinai",0.155684184685547,0.321997613255249,35
"27","L2/3 IT_10",-0.543528056639251,0.616950983650986,0.209749339006495,"","MtSinai",0.164471023114777,0.383089308181995,35
"28","Sst_22",-0.429829368117073,0.616950983650986,0.209749339006495,"","MtSinai",0.16452026230693,0.302988531307826,35
"29","Lamp5_6",0.43084055330123,0.621294239781706,0.206702672851743,"","MtSinai",0.171595551939709,0.308932991329886,35
"30","Sst_9",-0.402088291563483,0.628803059226069,0.20148535405235,"","MtSinai",0.179658016921734,0.293890670774682,35
"31","Pvalb_8",-0.468682145295294,0.649258281388457,0.18758250217094,"","MtSinai",0.196973229817211,0.356600463423432,35
"32","Sst_19",-0.388461628175965,0.649258281388457,0.18758250217094,"","MtSinai",0.199432891292099,0.297226691572135,35
"33","Pvalb_7",0.386829839795604,0.649258281388457,0.18758250217094,"","MtSinai",0.204052602722086,0.299096014800901,35
"34","Sncg_6",-0.313079328442302,0.651779532757537,0.185899281413102,"","MtSinai",0.211052420131012,0.245914020769724,35
"35","L5 IT_6",0.412801054146657,0.690869817180639,0.160603780421085,"","MtSinai",0.230289939060213,0.33834077379872,35
"36","L6b_3",0.327533526688874,0.695679726800258,0.157590652481169,"","MtSinai",0.238518763474374,0.273312287127063,35
"37","L6b_4",0.371252490290637,0.704997838394249,0.151812214604188,"","MtSinai",0.248427809719878,0.316502123760718,35
"38","Sncg_5",0.291849888986361,0.738589674648536,0.131596768001732,"","MtSinai",0.269328116943111,0.260177467344776,35
"39","Pvalb_3",-0.305536203906884,0.738589674648536,0.131596768001732,"","MtSinai",0.285599517438927,0.281919339447229,35
"40","L6 IT_1",0.355757557069423,0.738589674648536,0.131596768001732,"","MtSinai",0.29640198533218,0.335809089341202,35
"41","L5 IT_7",-0.338769218275866,0.738589674648536,0.131596768001732,"","MtSinai",0.306846167658803,0.326862713506979,35
"42","Chandelier_2",0.369130549147702,0.738589674648536,0.131596768001732,"","MtSinai",0.309966063941071,0.358494777575465,35
"43","Vip_1",0.249728362201927,0.738589674648536,0.131596768001732,"","MtSinai",0.314421255252496,0.244808446097538,35
"44","Sst Chodl_1",0.265320526781673,0.738589674648536,0.131596768001732,"","MtSinai",0.317753870806619,0.261916063225424,35
"45","L2/3 IT_1",0.270289302105075,0.738589674648536,0.131596768001732,"","MtSinai",0.325474856979484,0.271171993372093,35
"46","L2/3 IT_2",0.266533826217383,0.738589674648536,0.131596768001732,"","MtSinai",0.327947815663311,0.268793172593479,35
"47","Sncg_2",0.228973821323971,0.738589674648536,0.131596768001732,"","MtSinai",0.341679865435248,0.237657706128905,35
"48","Sst_1",0.230052071030942,0.738589674648536,0.131596768001732,"","MtSinai",0.356555441040209,0.246355513830887,35
"49","Sncg_8",0.261268614172441,0.738589674648536,0.131596768001732,"","MtSinai",0.357709287359107,0.280464492239898,35
"50","Pax6_3",0.249415470233218,0.738589674648536,0.131596768001732,"","MtSinai",0.363917526256702,0.271264968155446,35
"51","Vip_18",-0.26083428173719,0.738589674648536,0.131596768001732,"","MtSinai",0.365156188140484,0.284426129356502,35
"52","Pax6_4",0.194296778349684,0.738589674648536,0.131596768001732,"","MtSinai",0.377253343976762,0.217358437379657,35
"53","Sncg_3",0.231016217890736,0.738589674648536,0.131596768001732,"","MtSinai",0.378348989835913,0.259037026745807,35
"54","Sst Chodl_2",0.216398584742173,0.738589674648536,0.131596768001732,"","MtSinai",0.391459844533644,0.249505685545562,35
"55","L6 IT Car3_3",0.315866365727323,0.738589674648536,0.131596768001732,"","MtSinai",0.393838568925983,0.36604487904149,35
"56","L6 CT_3",0.294160221852538,0.738589674648536,0.131596768001732,"","MtSinai",0.394244523936306,0.341186208473691,35
"57","Pvalb_14",0.248343262462915,0.738589674648536,0.131596768001732,"","MtSinai",0.407647329560619,0.296443154228993,35
"58","Pvalb_1",-0.182922034504624,0.738589674648536,0.131596768001732,"","MtSinai",0.407982867901096,0.218508748752304,35
"59","Pvalb_12",0.261732746158369,0.742090461837302,0.129543150405485,"","MtSinai",0.419123839334296,0.320271428734365,35
"60","L2/3 IT_13",0.313050810676442,0.742090461837302,0.129543150405485,"","MtSinai",0.429558767803568,0.391872202569316,35
"61","Vip_14",0.224510637150461,0.742090461837302,0.129543150405485,"","MtSinai",0.434006749917567,0.283790260972482,35
"62","L5 IT_2",0.152820249460749,0.742090461837302,0.129543150405485,"","MtSinai",0.447048719383043,0.198809455370213,35
"63","Sst_23",-0.261992429502432,0.742090461837302,0.129543150405485,"","MtSinai",0.45712246798195,0.348574791084734,35
"64","Pvalb_5",-0.18952583580956,0.742090461837302,0.129543150405485,"","MtSinai",0.45833569538689,0.252846103922496,35
"65","L6 CT_2",0.26486982811436,0.742090461837302,0.129543150405485,"","MtSinai",0.462658996754571,0.356811444736721,35
"66","Sst_12",-0.20252030971993,0.742090461837302,0.129543150405485,"","MtSinai",0.466456861726304,0.275166534163132,35
"67","Pvalb_2",0.187222070445552,0.743382479678727,0.128787678737353,"","MtSinai",0.474348820366426,0.258977756810021,35
"68","Lamp5_Lhx6_1",0.107674758217053,0.745104054673137,0.127783073272153,"","MtSinai",0.482543578264507,0.151763097580926,35
"69","Vip_19",-0.151099541719337,0.750729798694319,0.124516345354254,"","MtSinai",0.495882701125945,0.219654504201809,35
"70","Lamp5_3",0.202060745387759,0.750729798694319,0.124516345354254,"","MtSinai",0.500486532462879,0.296921875480051,35
"71","Sst_13",-0.198998257009209,0.774613802286062,0.110914768900065,"","MtSinai",0.523786475831527,0.309130563857307,35
"72","Sst_20",0.154162992365774,0.78756556997455,0.103713278182606,"","MtSinai",0.545360831131492,0.252540281196556,35
"73","Sst_3",-0.224035111351606,0.78756556997455,0.103713278182606,"","MtSinai",0.550356494884064,0.371632827873629,35
"74","L6 IT Car3_1",-0.193483827251644,0.78756556997455,0.103713278182606,"","MtSinai",0.559300505198344,0.328325672341416,35
"75","Pvalb_9",0.149522579356187,0.78756556997455,0.103713278182606,"","MtSinai",0.566171795343067,0.258251609232837,35
"76","Pvalb_6",0.160640555153154,0.78756556997455,0.103713278182606,"","MtSinai",0.586118722781528,0.292415807629179,35
"77","Vip_2",-0.175783545738252,0.78756556997455,0.103713278182606,"","MtSinai",0.58708541468025,0.320811788515726,35
"78","L5/6 NP_1",0.168669678890977,0.78756556997455,0.103713278182606,"","MtSinai",0.591890697929913,0.311845087350461,35
"79","L2/3 IT_5",-0.170931447255745,0.78756556997455,0.103713278182606,"","MtSinai",0.592549333599899,0.316591681132626,35
"80","L6 IT Car3_2",0.148552350975128,0.788786049165084,0.103040779132009,"","MtSinai",0.600979846982921,0.281561136550685,35
"81","L5 ET_2",0.126747248166668,0.799914849003115,0.0969562412284315,"","MtSinai",0.617208451440063,0.251416031155909,35
"82","Vip_6",-0.131754444565775,0.799914849003115,0.0969562412284315,"","MtSinai",0.635355472043436,0.275509561718662,35
"83","Vip_4",0.112144345263239,0.799914849003115,0.0969562412284315,"","MtSinai",0.63741589226685,0.235944454451307,35
"84","L5/6 NP_2",-0.155284902418296,0.799914849003115,0.0969562412284315,"","MtSinai",0.645592673081225,0.334847967333152,35
"85","Pax6_1",-0.125863051515902,0.799914849003115,0.0969562412284315,"","MtSinai",0.653846223235356,0.278365397171523,35
"86","L5 IT_1",0.128851584900985,0.799914849003115,0.0969562412284315,"","MtSinai",0.655168352516837,0.286146992748988,35
"87","Vip_21",0.109318423843332,0.800869412136411,0.0964382931693208,"","MtSinai",0.663577512913026,0.249268810727251,35
"88","Vip_5",0.117367927085597,0.801088533775013,0.0963194844086458,"","MtSinai",0.678888226992381,0.281233005057691,35
"89","Lamp5_5",-0.106033661954854,0.801088533775013,0.0963194844086458,"","MtSinai",0.679017900056915,0.254183197919688,35
"90","Sncg_4",0.108368218406793,0.816597759430244,0.0879918160226423,"","MtSinai",0.70505357036695,0.28405948081011,35
"91","Sst_4",0.106884419455286,0.816597759430244,0.0879918160226423,"","MtSinai",0.710139111163402,0.285335089127277,35
"92","Sst_10",-0.0920631837457283,0.816597759430244,0.0879918160226423,"","MtSinai",0.715495179691262,0.250621676894643,35
"93","L4 IT_2",0.0662638427680246,0.833475627713054,0.0791070951814935,"","MtSinai",0.742506640149685,0.200162497276543,35
"94","L6b_6",-0.124108431894564,0.833475627713054,0.0791070951814935,"","MtSinai",0.747533413556674,0.382640458576699,35
"95","Vip_16",0.0868441333316469,0.833475627713054,0.0791070951814935,"","MtSinai",0.754096996502287,0.275156122171634,35
"96","L5 IT_3",-0.0634341113964785,0.881061339395872,0.054993855000195,"","MtSinai",0.811982435920065,0.264745280198315,35
"97","Sst_11",0.0951667482940115,0.881061339395872,0.054993855000195,"","MtSinai",0.813932856394281,0.4014286716129,35
"98","Chandelier_1",0.0531374410840213,0.890894338061356,0.0501738011460911,"","MtSinai",0.831641912269143,0.248155154670084,35
"99","L6 IT_2",0.0782148747924952,0.890894338061356,0.0501738011460911,"","MtSinai",0.839986090172136,0.384609840545108,35
"100","Sst_7",0.0407092541023931,0.930074742383669,0.0314821494025397,"","MtSinai",0.894887839071884,0.305970953888681,35
