"","CellType","estimate","padj","neglogP","sig_label","Cohort","pval","se","n"
"L5/6 NP_4","L5/6 NP_4",0.173914484222229,0.192106022298078,1.78790253130528,"+","Meta-analysis",0.0162966173652479,0.0723978829717698,469
"L6 CT_1","L6 CT_1",0.2308172737216,0.187680191649506,1.86091807269747,"+","Meta-analysis",0.0137746929651014,0.0937106085227013,469
"L6b_1","L6b_1",0.481296796598871,0.000210155415468394,5.71488591217525,"***","Meta-analysis",1.92803133457243e-06,0.101095249618842,469
"L6b_2","L6b_2",0.167197845733031,0.338304125851518,1.25967784621646,"","Meta-analysis",0.0549948667087902,0.0871313688570625,469
"Vip_12","Vip_12",-0.0683277828999998,0.623808171277505,0.509981678825918,"","Meta-analysis",0.30904258026592,0.0671702353212183,469
"L4 IT_3","L4 IT_3",0.0480322121884009,0.762754537006271,0.288642079582857,"","Meta-analysis",0.514467471276935,0.0736806507182668,469
"Vip_15","Vip_15",-0.0179482346937108,0.886429031940988,0.155284075254381,"","Meta-analysis",0.699384373825,0.0464797589030812,469
"Pax6_2","Pax6_2",0.118936931018439,0.499604933085498,0.822629696568123,"","Meta-analysis",0.150442417440991,0.0827116613009,469
"L2/3 IT_7","L2/3 IT_7",0.208344907686777,0.192106022298078,1.73552114154859,"+","Meta-analysis",0.0183856444997348,0.0883656654048172,469
"Lamp5_1","Lamp5_1",0.0403381814661403,0.81582568961815,0.22228073865701,"","Meta-analysis",0.59940348180977,0.0767968137036056,469
"L4 IT_4","L4 IT_4",0.02729310786111,0.833954729695128,0.195492289670364,"","Meta-analysis",0.637540399629103,0.0579298689356221,469
"L2/3 IT_3","L2/3 IT_3",-0.0936134743193302,0.519939354955901,0.700371174919692,"","Meta-analysis",0.19935577689225,0.0729423924817765,469
"Vip_9","Vip_9",-0.00149102821986987,0.995669874819086,0.00888868041199224,"","Meta-analysis",0.979741083227422,0.0587168882869469,469
"L4 IT_1","L4 IT_1",0.049193184015191,0.680028908243956,0.412507433347933,"","Meta-analysis",0.386805434047021,0.0568427888277968,469
"Sst_2","Sst_2",-0.254509920135936,0.000920265452551997,4.7724833836812,"***","Meta-analysis",1.68856046339816e-05,0.0591534995883802,469
"Lamp5_4","Lamp5_4",0.0751792802930142,0.569755257858317,0.588506856106167,"","Meta-analysis",0.257924824611278,0.0664533239767492,469
"L2/3 IT_12","L2/3 IT_12",-0.0588886771125258,0.725161804665052,0.323142773786099,"","Meta-analysis",0.475178985744995,0.0824681365615157,469
"Sst_5","Sst_5",0.0309783749550944,0.833954729695128,0.192004735794023,"","Meta-analysis",0.642680709122851,0.0667703598466859,469
"Pvalb_10","Pvalb_10",0.0431573824938302,0.762754537006271,0.285809978622928,"","Meta-analysis",0.517833355398753,0.0667359333543216,469
"L2/3 IT_6","L2/3 IT_6",-0.0885649875776229,0.566793361468618,0.611903885046334,"","Meta-analysis",0.244397137513991,0.0760824244129518,469
"L5 ET_1","L5 ET_1",0.16890379147394,0.351632809195342,1.21258350673019,"","Meta-analysis",0.0612937924285458,0.0902567516473144,469
"Pvalb_13","Pvalb_13",0.0740884300815594,0.552868160375212,0.63204708657807,"","Meta-analysis",0.233320508048255,0.0621626044250759,469
"L5 IT_5","L5 IT_5",-0.045306458296817,0.725161804665052,0.319659080410281,"","Meta-analysis",0.47900596271453,0.064001009081603,469
"Pvalb_15","Pvalb_15",-0.062759661928616,0.499604933085498,0.86954245514545,"","Meta-analysis",0.135038481239471,0.041993052328719,469
"L2/3 IT_8","L2/3 IT_8",-0.0750586405572907,0.652482950989092,0.444706079267877,"","Meta-analysis",0.359164927149959,0.0818561853224475,469
