gene,logFC,logCPM,PValue,F,FDR,n_scz,n_ctrl,n_samples,n_genes_tested,celltype,cell_class
TMSB10,0.32974926294747803,11.132638694184477,5.412292694323131e-4,16.31379046463212,0.08315464384210222,12,12,24,300,Astrocyte,Non-neuronal
MBP,0.504892562791746,12.123117981906367,8.253763896689593e-4,14.948517575855082,0.08315464384210222,12,12,24,300,Astrocyte,Non-neuronal
AQP1,1.7451224287114102,10.629754263739258,0.00109704008262615,14.058602430558699,0.08315464384210222,12,12,24,300,Astrocyte,Non-neuronal
SERPINA3,2.9324976857834284,9.739063940562955,0.0011087285845613629,14.025924613098374,0.08315464384210222,12,12,24,300,Astrocyte,Non-neuronal
NPTX1,0.3056845823360407,9.723121013069713,0.0019000818938331417,12.408325032166399,0.11330222385050587,12,12,24,300,Astrocyte,Non-neuronal
TIMP1,0.8365783661980535,7.223698925783549,0.0023421249734516952,11.802813170958013,0.11330222385050587,12,12,24,300,Astrocyte,Non-neuronal
CHI3L1,2.0479231859605505,10.966523610013054,0.002643718556511804,11.457799040743968,0.11330222385050587,12,12,24,300,Astrocyte,Non-neuronal
MOBP,0.30260840069777745,8.439836650395872,0.003669007260326123,10.54487047981202,0.1269843828494133,12,12,24,300,Astrocyte,Non-neuronal
GADD45G,1.0898446938904123,6.469347432078543,0.0038095314854823983,10.442131555224694,0.1269843828494133,12,12,24,300,Astrocyte,Non-neuronal
FSTL4,0.2397636186401355,6.784471270328857,0.006090223675679702,9.191257403031345,0.16980445771978503,12,12,24,300,Astrocyte,Non-neuronal
BCAS1,0.34170461820542763,8.966237810498331,0.006543043227132181,9.005286817086942,0.16980445771978503,12,12,24,300,Astrocyte,Non-neuronal
DISC1,0.23168689346794644,5.889087590797222,0.006792178308791401,8.908996034123888,0.16980445771978503,12,12,24,300,Astrocyte,Non-neuronal
SERPING1,0.8805273685061211,9.364143968507017,0.008704796511822129,8.278663712850005,0.18233105176343747,12,12,24,300,Astrocyte,Non-neuronal
PDXK,0.2049203507589343,11.294334029892855,0.008720199638597664,8.274231039383409,0.18233105176343747,12,12,24,300,Astrocyte,Non-neuronal
RASD1,0.5520944807582753,8.879421249888367,0.009116552588171874,8.163058708652308,0.18233105176343747,12,12,24,300,Astrocyte,Non-neuronal
SCG3,-0.3901410970612179,12.925667499142904,0.01016082683616386,7.894009564382014,0.19051550317807237,12,12,24,300,Astrocyte,Non-neuronal
LPAR6,-0.49048283543221494,6.496554043549127,0.012443244760174194,7.399602721445089,0.20137487736789672,12,12,24,300,Astrocyte,Non-neuronal
SPRY2,-0.39483116648165284,11.354201752687104,0.012506613985620143,7.387326647877156,0.20137487736789672,12,12,24,300,Astrocyte,Non-neuronal
ZBTB16,0.22400628180412063,9.913330861302844,0.013336890283387543,7.232833078703236,0.20137487736789672,12,12,24,300,Astrocyte,Non-neuronal
FKBP5,0.6976447010427758,9.610574764372462,0.013424991824526448,7.217068700595593,0.20137487736789672,12,12,24,300,Astrocyte,Non-neuronal
OTOS,0.49976190433999895,5.352793012865243,0.01469543007323161,7.001808965757655,0.20409232672485925,12,12,24,300,Astrocyte,Non-neuronal
GALNT16,0.9072872210848346,9.091242626175296,0.014966770626489679,6.958414523954813,0.20409232672485925,12,12,24,300,Astrocyte,Non-neuronal
LAMP5,-0.2630102585986347,8.000757417534741,0.018051260191547163,6.519848195698117,0.21978178717891822,12,12,24,300,Astrocyte,Non-neuronal
CACNA1C,0.33086635021065364,8.349228753946159,0.018300793441270422,6.488076633583375,0.21978178717891822,12,12,24,300,Astrocyte,Non-neuronal
C4A,1.00144491731154,11.643151681037567,0.018315148931576517,6.486263282515437,0.21978178717891822,12,12,24,300,Astrocyte,Non-neuronal
S100A6,0.36567893497310683,8.772002894243748,0.019414573394768462,6.351917328039683,0.22244039937333113,12,12,24,300,Astrocyte,Non-neuronal
YWHAH,0.1833994712691605,11.648804001518547,0.020019635943599803,6.281547868385782,0.22244039937333113,12,12,24,300,Astrocyte,Non-neuronal
NRXN1,-0.22041842406877557,13.064489822074915,0.02141447689434552,6.12797402752146,0.22872876204760093,12,12,24,300,Astrocyte,Non-neuronal
HBA1,0.6664008789332894,6.889107717460726,0.0227708623727023,5.988985211944035,0.22872876204760093,12,12,24,300,Astrocyte,Non-neuronal
ALDH1A1,-0.34338471220963546,9.096631494707388,0.023135685691122985,5.953164453918928,0.22872876204760093,12,12,24,300,Astrocyte,Non-neuronal
PLEC,0.28765352304000474,12.308285048465512,0.02414780720480217,5.857020595049719,0.22872876204760093,12,12,24,300,Astrocyte,Non-neuronal
TMEM144,-0.28332517878579844,9.615039899010647,0.025371309494014824,5.746636755069319,0.22872876204760093,12,12,24,300,Astrocyte,Non-neuronal
DEAF1,0.23421735356283205,8.528587092840512,0.025409002725014777,5.743331248795213,0.22872876204760093,12,12,24,300,Astrocyte,Non-neuronal
MAG,0.30086071511365,6.105700893705662,0.025922593032061438,5.6988447900844745,0.22872876204760093,12,12,24,300,Astrocyte,Non-neuronal
NOTCH1,-0.20825359359602644,11.933997682571917,0.027537615600944233,5.565063815507926,0.23603670515095057,12,12,24,300,Astrocyte,Non-neuronal
NOS1,0.26931046634767125,5.8833298368433455,0.028754574201909116,5.4699694153120655,0.23962145168257598,12,12,24,300,Astrocyte,Non-neuronal
TAGLN,0.3175622771822478,7.89726363886259,0.030457061341494878,5.344183667012231,0.24694914601212065,12,12,24,300,Astrocyte,Non-neuronal
SLC39A8,-0.3943392389759425,7.695550825513061,0.03314797950412462,5.160672822860384,0.2559140259370859,12,12,24,300,Astrocyte,Non-neuronal
ADIRF,0.4256507871581582,6.390188608839105,0.03326882337182117,5.1528331966362435,0.2559140259370859,12,12,24,300,Astrocyte,Non-neuronal
ARRDC3,0.47401055411408116,7.875652746107495,0.034211021532778794,5.092736268854619,0.25658266149584097,12,12,24,300,Astrocyte,Non-neuronal
VAMP1,0.1753972367570602,10.099266753065976,0.03626584552985453,4.967901490589804,0.2649466813579325,12,12,24,300,Astrocyte,Non-neuronal
USP22,0.13720435044700494,10.53288546476887,0.037092535390110544,4.9199056445837295,0.2649466813579325,12,12,24,300,Astrocyte,Non-neuronal
ALCAM,-0.24297105469424773,10.257345642946488,0.039294609215835614,4.7977161197186575,0.2741484363895508,12,12,24,300,Astrocyte,Non-neuronal
MEIS2,-0.2685551958220962,10.151243692218193,0.048634753967391316,4.3536677894590765,0.3091507650108047,12,12,24,300,Astrocyte,Non-neuronal
KRT17,0.3869033296311495,4.62627140479866,0.04935085513708739,4.3237582460986745,0.3091507650108047,12,12,24,300,Astrocyte,Non-neuronal
MAPK3,0.19254128837546083,9.284793195497139,0.04944336840817162,4.319845279889343,0.3091507650108047,12,12,24,300,Astrocyte,Non-neuronal
SLC44A1,-0.23095778943090745,9.217652761243988,0.050309663464426176,4.28429871442049,0.3091507650108047,12,12,24,300,Astrocyte,Non-neuronal
SV2A,0.1446224807219668,10.09899328908547,0.0524009237706608,4.201273566535752,0.3091507650108047,12,12,24,300,Astrocyte,Non-neuronal
CXCL14,-0.327855158446301,11.712200081908206,0.05299075881099222,4.178534871844523,0.3091507650108047,12,12,24,300,Astrocyte,Non-neuronal
RORB,-0.26551362267656214,10.640697895444209,0.05315908684723896,4.172098347262296,0.3091507650108047,12,12,24,300,Astrocyte,Non-neuronal
APOLD1,0.253236038200185,6.801545950126056,0.053164137165896005,4.171907672772332,0.3091507650108047,12,12,24,300,Astrocyte,Non-neuronal
COX5A,-0.1676925710546527,9.39864025626674,0.05358613260187282,4.155872293059987,0.3091507650108047,12,12,24,300,Astrocyte,Non-neuronal
CALB2,0.20778467413989368,7.292726016909423,0.05642997641176227,4.051434251855562,0.31190106802110734,12,12,24,300,Astrocyte,Non-neuronal
C1QB,0.4989733355609367,6.896711159977928,0.05708355004341415,4.028277449749118,0.31190106802110734,12,12,24,300,Astrocyte,Non-neuronal
EGR1,-0.49163717811737806,7.818812231162781,0.057181862470536346,4.024819613222445,0.31190106802110734,12,12,24,300,Astrocyte,Non-neuronal
CXCR4,-0.2790247384749317,8.503076387796199,0.059657216678842974,3.9399341809992094,0.31959223220808736,12,12,24,300,Astrocyte,Non-neuronal
RGS10,-0.2864166491825708,6.766658206661631,0.06219350034096654,3.857028649977927,0.3243945892170387,12,12,24,300,Astrocyte,Non-neuronal
OSBPL1A,-0.11992307956269425,11.385336148265425,0.06271628724862748,3.8404158150365433,0.3243945892170387,12,12,24,300,Astrocyte,Non-neuronal
P2RY12,-0.5222024580516343,6.7171393739393865,0.06428900672335441,3.791388986912715,0.3268932545255309,12,12,24,300,Astrocyte,Non-neuronal
SLN,0.5136934042685958,3.7359998234563148,0.06948069829424916,3.638930270236214,0.34044936421236505,12,12,24,300,Astrocyte,Non-neuronal
PWP2,0.17546504801303547,7.855297458809338,0.0701578223861728,3.619829400614583,0.34044936421236505,12,12,24,300,Astrocyte,Non-neuronal
C1orf61,-0.26325268394290574,13.361193243095954,0.07035953527055544,3.6142279064180984,0.34044936421236505,12,12,24,300,Astrocyte,Non-neuronal
GFAP,0.5546226818541254,12.806654722405554,0.0761455481291724,3.460971190655487,0.3625978482341543,12,12,24,300,Astrocyte,Non-neuronal
UQCRFS1,-0.1837970657093906,10.925348819980416,0.07793070876884853,3.4163729859807686,0.36530019735397745,12,12,24,300,Astrocyte,Non-neuronal
