genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,cohort
SST,-0.585047693051277,5.54238487879191,-0.688988802353024,0.497397943832821,0.999372725389594,-4.60529031450682,Astro,Batiuk
SST,-1.34953510467997,2.8899183591537,-3.48269744502053,9.0814896686814e-4,0.0579360748399332,-0.7582370388433,Astro,Frohlich
PVALB,-0.456590269895242,2.09299486500661,-1.65214451836466,0.103482273928683,0.366229046632487,-4.36255263247471,Astro,Frohlich
PVALB,-0.176633516866509,0.496265758551239,-0.372670077893546,0.711815516135249,0.967483186671512,-4.87084234897581,Astro,McLean
SST,0.013216131911001,2.77645576865337,0.0296077783811774,0.976561090604411,0.997469693916117,-5.14893979345418,Astro,McLean
SST,0.0365899639098563,2.05830581704797,0.145481739745696,0.884498988932038,0.962307614642203,-5.53112405164085,Astro,MSSM2
SST,-0.580459333564741,2.37163229638605,-2.07175106307173,0.0403042607955004,0.392934437646909,-3.76199738629031,Astro,HBCC
PVALB,-0.174081931076776,0.149482004759872,-0.780164477783117,0.436739689365449,0.838653772707757,-5.08729833176681,Astro,HBCC
PVALB,-1.7098896439774,6.79946840178548,-2.90026483055066,0.00898486319267883,0.602788286821139,-2.49965730134531,Chandelier,Batiuk
SST,-0.285394331704289,4.08935013491767,-0.28991551291924,0.774930938787037,0.954903415310737,-5.1912109624548,Chandelier,Batiuk
PVALB,-0.0380001188031398,6.76162519780437,-0.245102053623845,0.807091529966844,0.971409995865101,-5.98530271554764,Chandelier,Frohlich
PVALB,0.349215032144667,6.81946543207091,0.712324308141315,0.480223875533073,0.969247406758373,-4.80441316289635,Chandelier,MSSM1
PVALB,-0.417577473666572,6.40879885795611,-1.62859172918391,0.111438870368023,0.999610558792743,-4.28147895295067,Chandelier,McLean
SST,-0.706561980834703,2.22537663376144,-1.23176119608535,0.225401767531814,0.999610558792743,-4.55355890585635,Chandelier,McLean
PVALB,0.110593800331146,6.00685545509709,0.834362924622523,0.405201921652329,0.904128578496933,-5.14622105683767,Chandelier,MSSM2
PVALB,0.21334654109257,6.17204790978638,1.48993597002991,0.138788287869015,0.601241960502499,-5.04864717762095,Chandelier,HBCC
PVALB,0.159925627826227,5.37091782447493,0.288436586533619,0.776841105546588,0.999942146527742,-4.62576086108849,Chandelier,Multiome
SST,-1.24131739274556,7.53962004397331,-1.67246455604679,0.106518051287842,0.653055214070947,-4.32644049315644,Endo,Batiuk
PVALB,-2.09473188305361,0.574643541883052,-2.52919245524118,0.0237288128196869,0.99957330605098,-4.476201327255,L2_3 IT,Batiuk
SST,-1.3659988319421,2.84128642316575,-1.13321218881683,0.275709542865629,0.99957330605098,-4.58365598251329,L2_3 IT,Batiuk
