celltype,donor,gene,count
Astrocyte,Br1113,A2M,1126
Astrocyte,Br1113,ABCA2,9653
Astrocyte,Br1113,ABCG2,588
Astrocyte,Br1113,ACO1,4724
Astrocyte,Br1113,ACTA2,2882
Astrocyte,Br1113,ACY3,279
Astrocyte,Br1113,ADAM28,1141
Astrocyte,Br1113,ADCYAP1,869
Astrocyte,Br1113,ADCYAP1R1,17902
Astrocyte,Br1113,ADIRF,337
Astrocyte,Br1113,AIF1,210
Astrocyte,Br1113,AJ009632.2,449
Astrocyte,Br1113,AK5,9478
Astrocyte,Br1113,AKAP8L,2785
Astrocyte,Br1113,AKT1,5015
Astrocyte,Br1113,ALCAM,5655
Astrocyte,Br1113,ALDH1A1,3175
Astrocyte,Br1113,ALOX5AP,163
Astrocyte,Br1113,ANLN,417
Astrocyte,Br1113,APOLD1,610
Astrocyte,Br1113,AQP1,2973
Astrocyte,Br1113,AQP4,122749
Astrocyte,Br1113,ARPC1B,364
Astrocyte,Br1113,ARPP19,4912
Astrocyte,Br1113,ARRDC3,1364
Astrocyte,Br1113,ATP2B4,12785
Astrocyte,Br1113,BAIAP3,1557
Astrocyte,Br1113,BCAS1,2661
Astrocyte,Br1113,BCL6,5268
Astrocyte,Br1113,BDNF,255
Astrocyte,Br1113,BLCAP,3062
Astrocyte,Br1113,C14orf132,9374
Astrocyte,Br1113,C1QA,1444
Astrocyte,Br1113,C1QB,725
Astrocyte,Br1113,C1QL2,1364
Astrocyte,Br1113,C1orf61,43757
Astrocyte,Br1113,C3,1567
Astrocyte,Br1113,C4A,18257
Astrocyte,Br1113,CABP1,7987
Astrocyte,Br1113,CACNA1C,1456
Astrocyte,Br1113,CALB1,814
Astrocyte,Br1113,CALB2,619
Astrocyte,Br1113,CAMK2N1,66338
Astrocyte,Br1113,CAPN3,1217
Astrocyte,Br1113,CAPZB,5177
Astrocyte,Br1113,CARTPT,598
Astrocyte,Br1113,CASC3,6615
Astrocyte,Br1113,CCK,4687
Astrocyte,Br1113,CCNI,38931
Astrocyte,Br1113,CD52,14
Astrocyte,Br1113,CD53,222
Astrocyte,Br1113,CD68,471
Astrocyte,Br1113,CD74,1559
Astrocyte,Br1113,CFAP36,5343
Astrocyte,Br1113,CHI3L1,2010
Astrocyte,Br1113,CHST1,12135
Astrocyte,Br1113,CLDN11,588
Astrocyte,Br1113,CLDN5,541
Astrocyte,Br1113,CLDND1,6298
Astrocyte,Br1113,CNDP1,685
Astrocyte,Br1113,CNN3,29244
Astrocyte,Br1113,CNP,8295
Astrocyte,Br1113,COMT,3185
Astrocyte,Br1113,CORT,514
Astrocyte,Br1113,COX5A,3417
Astrocyte,Br1113,CRHBP,205
Astrocyte,Br1113,CRYM,1981
Astrocyte,Br1113,CSF1R,647
Astrocyte,Br1113,CSMD1,1695
Astrocyte,Br1113,CTIF,5390
Astrocyte,Br1113,CUX2,1180
Astrocyte,Br1113,CX3CR1,613
Astrocyte,Br1113,CXCL14,14289
Astrocyte,Br1113,CXCR4,1514
Astrocyte,Br1113,CYBA,77
Astrocyte,Br1113,CYBB,348
Astrocyte,Br1113,CYP46A1,6535
Astrocyte,Br1113,DACH1,425
Astrocyte,Br1113,DBNDD2,2847
Astrocyte,Br1113,DCC,531
Astrocyte,Br1113,DDIT4,13056
Astrocyte,Br1113,DEAF1,1938
Astrocyte,Br1113,DIRAS2,3720
Astrocyte,Br1113,DISC1,269
Astrocyte,Br1113,DKK3,42638
Astrocyte,Br1113,EDIL3,1495
Astrocyte,Br1113,EGR1,1805
Astrocyte,Br1113,EGR3,2831
Astrocyte,Br1113,ELMSAN1,1405
Astrocyte,Br1113,ELOC,3601
Astrocyte,Br1113,ENC1,16447
Astrocyte,Br1113,ENPP2,912
Astrocyte,Br1113,EPAS1,6305
Astrocyte,Br1113,ERBB4,3843
Astrocyte,Br1113,EVI2A,324
Astrocyte,Br1113,FABP3,1945
Astrocyte,Br1113,FGFR3,88476
Astrocyte,Br1113,FILIP1,640
Astrocyte,Br1113,FKBP5,3383
Astrocyte,Br1113,FLT1,652
Astrocyte,Br1113,FREM3,281
Astrocyte,Br1113,FSCN1,2329
Astrocyte,Br1113,FSTL4,565
Astrocyte,Br1113,FURIN,1219
Astrocyte,Br1113,GABBR2,3674
Astrocyte,Br1113,GABPB1-AS1,750
Astrocyte,Br1113,GAD1,1197
Astrocyte,Br1113,GAD2,1070
Astrocyte,Br1113,GADD45G,373
Astrocyte,Br1113,GALNT16,1746
Astrocyte,Br1113,GATD3A,5409
Astrocyte,Br1113,GATD3B,3522
Astrocyte,Br1113,GFAP,40028
Astrocyte,Br1113,GJA1,150117
Astrocyte,Br1113,GJB1,160
Astrocyte,Br1113,GNAL,1572
Astrocyte,Br1113,GPR34,199
Astrocyte,Br1113,GPR6,1869
Astrocyte,Br1113,GPX3,1429
Astrocyte,Br1113,GRIN2A,680
Astrocyte,Br1113,GSTM5,4186
Astrocyte,Br1113,HBA1,280
Astrocyte,Br1113,HHIP,314
Astrocyte,Br1113,HIF3A,31111
Astrocyte,Br1113,HLA-B,4195
Astrocyte,Br1113,HLA-DPA1,399
Astrocyte,Br1113,HLA-DRB1,4348
Astrocyte,Br1113,HLA-E,4829
Astrocyte,Br1113,HMGB2,3094
Astrocyte,Br1113,HNRNPH3,6594
Astrocyte,Br1113,HPCAL1,5080
Astrocyte,Br1113,HSPA8,55576
Astrocyte,Br1113,HTR2C,120
Astrocyte,Br1113,IFITM3,3511
Astrocyte,Br1113,IGFBP5,2529
Astrocyte,Br1113,IGFBP6,372
Astrocyte,Br1113,IGSF6,534
Astrocyte,Br1113,IRS2,8830
Astrocyte,Br1113,ISLR,598
Astrocyte,Br1113,ITGAM,52
Astrocyte,Br1113,ITGAX,165
Astrocyte,Br1113,ITGB2,190
Astrocyte,Br1113,ITGB4,6156
Astrocyte,Br1113,ITM2A,831
Astrocyte,Br1113,KANSL1-AS1,176
Astrocyte,Br1113,KCNK1,2790
Astrocyte,Br1113,KIF1A,31009
Astrocyte,Br1113,KIF5A,49317
Astrocyte,Br1113,KLF2,338
Astrocyte,Br1113,KLK6,7
Astrocyte,Br1113,KRT17,126
Astrocyte,Br1113,LAMP5,1433
Astrocyte,Br1113,LAPTM5,626
Astrocyte,Br1113,LATS1,3811
Astrocyte,Br1113,LGALS1,3641
Astrocyte,Br1113,LILRB4,107
Astrocyte,Br1113,LINC02714,262
Astrocyte,Br1113,LMO4,14419
Astrocyte,Br1113,LPAR6,602
Astrocyte,Br1113,LST1,184
Astrocyte,Br1113,LY86,106
Astrocyte,Br1113,LZTS3,2331
Astrocyte,Br1113,MAG,335
Astrocyte,Br1113,MAP2K1,2778
Astrocyte,Br1113,MAPK3,2761
Astrocyte,Br1113,MBP,23939
Astrocyte,Br1113,MEIS2,5115
Astrocyte,Br1113,MEPE,206
Astrocyte,Br1113,MOBP,1935
Astrocyte,Br1113,MOG,925
Astrocyte,Br1113,MRPL27,1555
Astrocyte,Br1113,MRPL57,2485
Astrocyte,Br1113,MT-ATP8,138664
Astrocyte,Br1113,MT-ND1,478661
Astrocyte,Br1113,MT-ND2,468658
Astrocyte,Br1113,MT-ND4,414072
Astrocyte,Br1113,MT-ND4L,266547
Astrocyte,Br1113,MT-ND5,328494
Astrocyte,Br1113,MT-ND6,74917
Astrocyte,Br1113,MT1E,1617
Astrocyte,Br1113,MT1M,1660
Astrocyte,Br1113,MT1X,939
Astrocyte,Br1113,MT2A,10027
Astrocyte,Br1113,MTRNR2L1,661082
Astrocyte,Br1113,MTRNR2L12,539806
Astrocyte,Br1113,MTURN,23470
Astrocyte,Br1113,MYL6,3776
Astrocyte,Br1113,MYL9,1351
Astrocyte,Br1113,NDUFB2,1423
Astrocyte,Br1113,NDUFB9,4315
Astrocyte,Br1113,NEFH,1096
Astrocyte,Br1113,NEFL,18080
Astrocyte,Br1113,NEFM,10168
Astrocyte,Br1113,NORAD,20576
Astrocyte,Br1113,NOS1,297
Astrocyte,Br1113,NOTCH1,18149
Astrocyte,Br1113,NPIPA1,24600
Astrocyte,Br1113,NPTX1,3908
Astrocyte,Br1113,NPTX2,1143
Astrocyte,Br1113,NPY,268
Astrocyte,Br1113,NR4A2,959
Astrocyte,Br1113,NRG1,499
Astrocyte,Br1113,NRXN1,35612
Astrocyte,Br1113,NTRK2,122332
Astrocyte,Br1113,NUDT14,125
Astrocyte,Br1113,NUPR1,870
Astrocyte,Br1113,NXPH4,69
Astrocyte,Br1113,OGA,16991
Astrocyte,Br1113,OLFML3,255
Astrocyte,Br1113,OLR1,107
Astrocyte,Br1113,OSBPL1A,13192
Astrocyte,Br1113,OTOS,183
Astrocyte,Br1113,P2RY12,699
Astrocyte,Br1113,P2RY13,150
Astrocyte,Br1113,PAQR6,8062
Astrocyte,Br1113,PCP4,1805
Astrocyte,Br1113,PDXK,11491
Astrocyte,Br1113,PECAM1,275
Astrocyte,Br1113,PFN1,1261
Astrocyte,Br1113,PLAAT3,5638
Astrocyte,Br1113,PLD4,286
Astrocyte,Br1113,PLEC,27225
Astrocyte,Br1113,PLP1,4218
Astrocyte,Br1113,PMP22,5240
Astrocyte,Br1113,PPM1K,3861
Astrocyte,Br1113,PSMA7,7307
Astrocyte,Br1113,PVALB,904
Astrocyte,Br1113,PWP2,1202
Astrocyte,Br1113,RANBP1,2068
Astrocyte,Br1113,RASD1,3897
Astrocyte,Br1113,RASGRF2,4579
Astrocyte,Br1113,RCAN2,4994
Astrocyte,Br1113,RELN,912
Astrocyte,Br1113,RERGL,259
Astrocyte,Br1113,RGS10,520
Astrocyte,Br1113,RIPOR2,2073
Astrocyte,Br1113,RNASE1,1241
Astrocyte,Br1113,RORB,7240
Astrocyte,Br1113,RPL36AL,5568
Astrocyte,Br1113,RPS26,4075
Astrocyte,Br1113,RTF2,8317
Astrocyte,Br1113,S100A6,1964
Astrocyte,Br1113,S100B,24089
Astrocyte,Br1113,SAMSN1,152
Astrocyte,Br1113,SCG3,36459
Astrocyte,Br1113,SCN1B,4585
Astrocyte,Br1113,SELPLG,149
Astrocyte,Br1113,SERPINA3,823
Astrocyte,Br1113,SERPING1,2151
Astrocyte,Br1113,SESN1,2325
Astrocyte,Br1113,SLC14A1,19678
Astrocyte,Br1113,SLC2A1,3173
Astrocyte,Br1113,SLC32A1,442
Astrocyte,Br1113,SLC39A8,912
Astrocyte,Br1113,SLC44A1,2635
Astrocyte,Br1113,SLN,55
Astrocyte,Br1113,SMAD1,1922
Astrocyte,Br1113,SMIM32,124
Astrocyte,Br1113,SMPX,239
Astrocyte,Br1113,SMYD2,1027
Astrocyte,Br1113,SNPH,7515
Astrocyte,Br1113,SOD2,12148
Astrocyte,Br1113,SOX2-OT,2880
Astrocyte,Br1113,SPRY2,10818
Astrocyte,Br1113,SSBP1,4948
Astrocyte,Br1113,SST,1244
Astrocyte,Br1113,SV2A,5695
Astrocyte,Br1113,SVBP,705
Astrocyte,Br1113,SYK,260
Astrocyte,Br1113,SYT2,1876
Astrocyte,Br1113,SYTL4,2038
Astrocyte,Br1113,TAGLN,713
Astrocyte,Br1113,TEF,8412
Astrocyte,Br1113,TF,2735
Astrocyte,Br1113,THEMIS,177
Astrocyte,Br1113,TIMP1,526
Astrocyte,Br1113,TMEM119,195
Astrocyte,Br1113,TMEM144,3508
Astrocyte,Br1113,TMSB10,8789
Astrocyte,Br1113,TNFSF10,194
Astrocyte,Br1113,TNK2,12125
Astrocyte,Br1113,TRABD2A,125
Astrocyte,Br1113,TREM2,106
Astrocyte,Br1113,TSC22D3,3959
Astrocyte,Br1113,TTC9B,3344
Astrocyte,Br1113,TXNIP,7570
Astrocyte,Br1113,TYROBP,157
Astrocyte,Br1113,UGT8,147
Astrocyte,Br1113,UQCRFS1,8850
Astrocyte,Br1113,USP22,7566
Astrocyte,Br1113,VAMP1,5032
Astrocyte,Br1113,VGF,3082
Astrocyte,Br1113,VIM,55249
Astrocyte,Br1113,VIP,345
Astrocyte,Br1113,XRRA1,2882
Astrocyte,Br1113,YWHAH,15037
Astrocyte,Br1113,ZBTB16,5081
Astrocyte,Br1113,ZNF483,6342
Astrocyte,Br1113,ZNF804A,216
Astrocyte,Br1113,ZP3,525
Astrocyte,Br1139,A2M,1020
Astrocyte,Br1139,ABCA2,12599
Astrocyte,Br1139,ABCG2,286
Astrocyte,Br1139,ACO1,4938
Astrocyte,Br1139,ACTA2,2851
Astrocyte,Br1139,ACY3,138
Astrocyte,Br1139,ADAM28,542
Astrocyte,Br1139,ADCYAP1,474
Astrocyte,Br1139,ADCYAP1R1,16973
Astrocyte,Br1139,ADIRF,675
Astrocyte,Br1139,AIF1,192
Astrocyte,Br1139,AJ009632.2,387
Astrocyte,Br1139,AK5,8987
Astrocyte,Br1139,AKAP8L,2836
Astrocyte,Br1139,AKT1,6390
Astrocyte,Br1139,ALCAM,4527
Astrocyte,Br1139,ALDH1A1,1589
Astrocyte,Br1139,ALOX5AP,139
Astrocyte,Br1139,ANLN,190
Astrocyte,Br1139,APOLD1,784
Astrocyte,Br1139,AQP1,24295
Astrocyte,Br1139,AQP4,130374
Astrocyte,Br1139,ARPC1B,481
Astrocyte,Br1139,ARPP19,1748
Astrocyte,Br1139,ARRDC3,939
Astrocyte,Br1139,ATP2B4,13888
Astrocyte,Br1139,BAIAP3,3366
Astrocyte,Br1139,BCAS1,2265
Astrocyte,Br1139,BCL6,12008
Astrocyte,Br1139,BDNF,201
Astrocyte,Br1139,BLCAP,3306
Astrocyte,Br1139,C14orf132,8865
Astrocyte,Br1139,C1QA,1247
Astrocyte,Br1139,C1QB,1506
Astrocyte,Br1139,C1QL2,1150
Astrocyte,Br1139,C1orf61,42250
Astrocyte,Br1139,C3,2630
Astrocyte,Br1139,C4A,35090
Astrocyte,Br1139,CABP1,8109
Astrocyte,Br1139,CACNA1C,1943
Astrocyte,Br1139,CALB1,948
Astrocyte,Br1139,CALB2,739
Astrocyte,Br1139,CAMK2N1,58075
Astrocyte,Br1139,CAPN3,1429
Astrocyte,Br1139,CAPZB,6354
Astrocyte,Br1139,CARTPT,774
Astrocyte,Br1139,CASC3,7136
Astrocyte,Br1139,CCK,3758
Astrocyte,Br1139,CCNI,25198
Astrocyte,Br1139,CD52,12
Astrocyte,Br1139,CD53,197
Astrocyte,Br1139,CD68,513
Astrocyte,Br1139,CD74,1534
Astrocyte,Br1139,CFAP36,4347
Astrocyte,Br1139,CHI3L1,8561
Astrocyte,Br1139,CHST1,16927
Astrocyte,Br1139,CLDN11,287
Astrocyte,Br1139,CLDN5,425
Astrocyte,Br1139,CLDND1,5418
Astrocyte,Br1139,CNDP1,327
Astrocyte,Br1139,CNN3,25430
Astrocyte,Br1139,CNP,7884
Astrocyte,Br1139,COMT,3060
Astrocyte,Br1139,CORT,522
Astrocyte,Br1139,COX5A,2580
Astrocyte,Br1139,CRHBP,185
Astrocyte,Br1139,CRYM,2154
Astrocyte,Br1139,CSF1R,376
Astrocyte,Br1139,CSMD1,1818
Astrocyte,Br1139,CTIF,5644
Astrocyte,Br1139,CUX2,1303
Astrocyte,Br1139,CX3CR1,302
Astrocyte,Br1139,CXCL14,7550
Astrocyte,Br1139,CXCR4,816
Astrocyte,Br1139,CYBA,65
Astrocyte,Br1139,CYBB,268
Astrocyte,Br1139,CYP46A1,7542
Astrocyte,Br1139,DACH1,292
Astrocyte,Br1139,DBNDD2,2143
Astrocyte,Br1139,DCC,651
Astrocyte,Br1139,DDIT4,13106
Astrocyte,Br1139,DEAF1,2329
Astrocyte,Br1139,DIRAS2,4052
Astrocyte,Br1139,DISC1,355
Astrocyte,Br1139,DKK3,56535
Astrocyte,Br1139,EDIL3,1319
Astrocyte,Br1139,EGR1,983
Astrocyte,Br1139,EGR3,3126
Astrocyte,Br1139,ELMSAN1,1434
Astrocyte,Br1139,ELOC,2832
Astrocyte,Br1139,ENC1,22226
Astrocyte,Br1139,ENPP2,419
Astrocyte,Br1139,EPAS1,6284
Astrocyte,Br1139,ERBB4,4090
Astrocyte,Br1139,EVI2A,126
Astrocyte,Br1139,FABP3,1624
Astrocyte,Br1139,FGFR3,83780
Astrocyte,Br1139,FILIP1,623
Astrocyte,Br1139,FKBP5,9126
Astrocyte,Br1139,FLT1,587
Astrocyte,Br1139,FREM3,314
Astrocyte,Br1139,FSCN1,1840
Astrocyte,Br1139,FSTL4,483
Astrocyte,Br1139,FURIN,1441
Astrocyte,Br1139,GABBR2,4607
Astrocyte,Br1139,GABPB1-AS1,1218
Astrocyte,Br1139,GAD1,1063
Astrocyte,Br1139,GAD2,687
Astrocyte,Br1139,GADD45G,890
Astrocyte,Br1139,GALNT16,2483
Astrocyte,Br1139,GATD3A,4507
Astrocyte,Br1139,GATD3B,4143
Astrocyte,Br1139,GFAP,35317
Astrocyte,Br1139,GJA1,192593
Astrocyte,Br1139,GJB1,61
Astrocyte,Br1139,GNAL,1495
Astrocyte,Br1139,GPR34,79
Astrocyte,Br1139,GPR6,1809
Astrocyte,Br1139,GPX3,1194
Astrocyte,Br1139,GRIN2A,557
Astrocyte,Br1139,GSTM5,6443
Astrocyte,Br1139,HBA1,789
Astrocyte,Br1139,HHIP,256
Astrocyte,Br1139,HIF3A,53460
Astrocyte,Br1139,HLA-B,6772
Astrocyte,Br1139,HLA-DPA1,266
Astrocyte,Br1139,HLA-DRB1,2396
Astrocyte,Br1139,HLA-E,5010
Astrocyte,Br1139,HMGB2,2648
Astrocyte,Br1139,HNRNPH3,6330
Astrocyte,Br1139,HPCAL1,6616
Astrocyte,Br1139,HSPA8,48855
Astrocyte,Br1139,HTR2C,113
Astrocyte,Br1139,IFITM3,1617
Astrocyte,Br1139,IGFBP5,1285
Astrocyte,Br1139,IGFBP6,317
Astrocyte,Br1139,IGSF6,223
Astrocyte,Br1139,IRS2,8465
Astrocyte,Br1139,ISLR,543
Astrocyte,Br1139,ITGAM,44
Astrocyte,Br1139,ITGAX,78
Astrocyte,Br1139,ITGB2,276
Astrocyte,Br1139,ITGB4,5498
Astrocyte,Br1139,ITM2A,579
Astrocyte,Br1139,KANSL1-AS1,116
Astrocyte,Br1139,KCNK1,2117
Astrocyte,Br1139,KIF1A,31554
Astrocyte,Br1139,KIF5A,40410
Astrocyte,Br1139,KLF2,256
Astrocyte,Br1139,KLK6,7
Astrocyte,Br1139,KRT17,147
Astrocyte,Br1139,LAMP5,1142
Astrocyte,Br1139,LAPTM5,344
Astrocyte,Br1139,LATS1,3662
Astrocyte,Br1139,LGALS1,3082
Astrocyte,Br1139,LILRB4,102
Astrocyte,Br1139,LINC02714,143
Astrocyte,Br1139,LMO4,14673
Astrocyte,Br1139,LPAR6,276
Astrocyte,Br1139,LST1,141
Astrocyte,Br1139,LY86,72
Astrocyte,Br1139,LZTS3,3154
Astrocyte,Br1139,MAG,327
Astrocyte,Br1139,MAP2K1,3428
Astrocyte,Br1139,MAPK3,3935
Astrocyte,Br1139,MBP,29923
Astrocyte,Br1139,MEIS2,5054
Astrocyte,Br1139,MEPE,263
Astrocyte,Br1139,MOBP,1630
Astrocyte,Br1139,MOG,601
Astrocyte,Br1139,MRPL27,1709
Astrocyte,Br1139,MRPL57,2127
Astrocyte,Br1139,MT-ATP8,130980
Astrocyte,Br1139,MT-ND1,515909
Astrocyte,Br1139,MT-ND2,514349
Astrocyte,Br1139,MT-ND4,448645
Astrocyte,Br1139,MT-ND4L,236651
Astrocyte,Br1139,MT-ND5,373347
Astrocyte,Br1139,MT-ND6,78098
Astrocyte,Br1139,MT1E,1013
Astrocyte,Br1139,MT1M,981
Astrocyte,Br1139,MT1X,1956
Astrocyte,Br1139,MT2A,5872
Astrocyte,Br1139,MTRNR2L1,775346
Astrocyte,Br1139,MTRNR2L12,620202
Astrocyte,Br1139,MTURN,22413
Astrocyte,Br1139,MYL6,4232
Astrocyte,Br1139,MYL9,1251
Astrocyte,Br1139,NDUFB2,399
Astrocyte,Br1139,NDUFB9,3072
Astrocyte,Br1139,NEFH,1349
Astrocyte,Br1139,NEFL,20681
Astrocyte,Br1139,NEFM,11946
Astrocyte,Br1139,NORAD,17333
Astrocyte,Br1139,NOS1,263
Astrocyte,Br1139,NOTCH1,17114
Astrocyte,Br1139,NPIPA1,29552
Astrocyte,Br1139,NPTX1,5027
Astrocyte,Br1139,NPTX2,1763
Astrocyte,Br1139,NPY,227
Astrocyte,Br1139,NR4A2,669
Astrocyte,Br1139,NRG1,612
Astrocyte,Br1139,NRXN1,35532
Astrocyte,Br1139,NTRK2,131110
Astrocyte,Br1139,NUDT14,85
Astrocyte,Br1139,NUPR1,1032
Astrocyte,Br1139,NXPH4,64
Astrocyte,Br1139,OGA,22082
Astrocyte,Br1139,OLFML3,153
Astrocyte,Br1139,OLR1,55
Astrocyte,Br1139,OSBPL1A,12627
Astrocyte,Br1139,OTOS,388
Astrocyte,Br1139,P2RY12,214
Astrocyte,Br1139,P2RY13,62
Astrocyte,Br1139,PAQR6,6898
Astrocyte,Br1139,PCP4,1649
Astrocyte,Br1139,PDXK,16427
Astrocyte,Br1139,PECAM1,301
Astrocyte,Br1139,PFN1,1242
Astrocyte,Br1139,PLAAT3,4316
Astrocyte,Br1139,PLD4,201
Astrocyte,Br1139,PLEC,37047
Astrocyte,Br1139,PLP1,2070
Astrocyte,Br1139,PMP22,5879
Astrocyte,Br1139,PPM1K,3499
Astrocyte,Br1139,PSMA7,8439
Astrocyte,Br1139,PVALB,470
Astrocyte,Br1139,PWP2,1585
Astrocyte,Br1139,RANBP1,2271
Astrocyte,Br1139,RASD1,3004
Astrocyte,Br1139,RASGRF2,4758
Astrocyte,Br1139,RCAN2,4369
Astrocyte,Br1139,RELN,533
Astrocyte,Br1139,RERGL,113
Astrocyte,Br1139,RGS10,349
Astrocyte,Br1139,RIPOR2,2385
Astrocyte,Br1139,RNASE1,709
Astrocyte,Br1139,RORB,5913
Astrocyte,Br1139,RPL36AL,4495
Astrocyte,Br1139,RPS26,2823
Astrocyte,Br1139,RTF2,8225
Astrocyte,Br1139,S100A6,2424
Astrocyte,Br1139,S100B,18876
Astrocyte,Br1139,SAMSN1,86
Astrocyte,Br1139,SCG3,26218
Astrocyte,Br1139,SCN1B,3062
Astrocyte,Br1139,SELPLG,57
Astrocyte,Br1139,SERPINA3,4799
Astrocyte,Br1139,SERPING1,4422
Astrocyte,Br1139,SESN1,2315
Astrocyte,Br1139,SLC14A1,23076
Astrocyte,Br1139,SLC2A1,2960
Astrocyte,Br1139,SLC32A1,367
Astrocyte,Br1139,SLC39A8,688
Astrocyte,Br1139,SLC44A1,1848
Astrocyte,Br1139,SLN,71
Astrocyte,Br1139,SMAD1,1932
Astrocyte,Br1139,SMIM32,80
Astrocyte,Br1139,SMPX,160
Astrocyte,Br1139,SMYD2,683
Astrocyte,Br1139,SNPH,9635
Astrocyte,Br1139,SOD2,11687
Astrocyte,Br1139,SOX2-OT,2182
Astrocyte,Br1139,SPRY2,9641
Astrocyte,Br1139,SSBP1,4263
Astrocyte,Br1139,SST,1278
Astrocyte,Br1139,SV2A,6687
Astrocyte,Br1139,SVBP,550
Astrocyte,Br1139,SYK,161
Astrocyte,Br1139,SYT2,1980
Astrocyte,Br1139,SYTL4,7228
Astrocyte,Br1139,TAGLN,1513
Astrocyte,Br1139,TEF,10645
Astrocyte,Br1139,TF,2707
Astrocyte,Br1139,THEMIS,63
Astrocyte,Br1139,TIMP1,920
Astrocyte,Br1139,TMEM119,116
Astrocyte,Br1139,TMEM144,2519
Astrocyte,Br1139,TMSB10,13630
Astrocyte,Br1139,TNFSF10,133
Astrocyte,Br1139,TNK2,15976
Astrocyte,Br1139,TRABD2A,108
Astrocyte,Br1139,TREM2,81
Astrocyte,Br1139,TSC22D3,5952
Astrocyte,Br1139,TTC9B,2961
Astrocyte,Br1139,TXNIP,14303
Astrocyte,Br1139,TYROBP,99
Astrocyte,Br1139,UGT8,65
Astrocyte,Br1139,UQCRFS1,4504
Astrocyte,Br1139,USP22,7608
Astrocyte,Br1139,VAMP1,6852
Astrocyte,Br1139,VGF,3906
Astrocyte,Br1139,VIM,40928
Astrocyte,Br1139,VIP,267
Astrocyte,Br1139,XRRA1,2926
Astrocyte,Br1139,YWHAH,19108
Astrocyte,Br1139,ZBTB16,6354
Astrocyte,Br1139,ZNF483,5544
Astrocyte,Br1139,ZNF804A,181
Astrocyte,Br1139,ZP3,321
Astrocyte,Br2039,A2M,305
Astrocyte,Br2039,ABCA2,2123
Astrocyte,Br2039,ABCG2,148
Astrocyte,Br2039,ACO1,1373
Astrocyte,Br2039,ACTA2,602
Astrocyte,Br2039,ACY3,71
Astrocyte,Br2039,ADAM28,173
Astrocyte,Br2039,ADCYAP1,130
Astrocyte,Br2039,ADCYAP1R1,4285
Astrocyte,Br2039,ADIRF,66
Astrocyte,Br2039,AIF1,71
Astrocyte,Br2039,AJ009632.2,87
Astrocyte,Br2039,AK5,2056
Astrocyte,Br2039,AKAP8L,727
Astrocyte,Br2039,AKT1,1327
Astrocyte,Br2039,ALCAM,1854
Astrocyte,Br2039,ALDH1A1,838
Astrocyte,Br2039,ALOX5AP,36
Astrocyte,Br2039,ANLN,48
Astrocyte,Br2039,APOLD1,122
Astrocyte,Br2039,AQP1,859
Astrocyte,Br2039,AQP4,30169
Astrocyte,Br2039,ARPC1B,74
Astrocyte,Br2039,ARPP19,1096
Astrocyte,Br2039,ARRDC3,196
Astrocyte,Br2039,ATP2B4,3557
Astrocyte,Br2039,BAIAP3,342
Astrocyte,Br2039,BCAS1,586
Astrocyte,Br2039,BCL6,1761
Astrocyte,Br2039,BDNF,39
Astrocyte,Br2039,BLCAP,853
Astrocyte,Br2039,C14orf132,2793
Astrocyte,Br2039,C1QA,341
Astrocyte,Br2039,C1QB,107
Astrocyte,Br2039,C1QL2,374
Astrocyte,Br2039,C1orf61,13883
Astrocyte,Br2039,C3,393
Astrocyte,Br2039,C4A,1736
Astrocyte,Br2039,CABP1,1547
Astrocyte,Br2039,CACNA1C,318
Astrocyte,Br2039,CALB1,182
Astrocyte,Br2039,CALB2,171
Astrocyte,Br2039,CAMK2N1,19306
Astrocyte,Br2039,CAPN3,294
Astrocyte,Br2039,CAPZB,1171
Astrocyte,Br2039,CARTPT,182
Astrocyte,Br2039,CASC3,1597
Astrocyte,Br2039,CCK,938
Astrocyte,Br2039,CCNI,8978
Astrocyte,Br2039,CD52,6
Astrocyte,Br2039,CD53,69
Astrocyte,Br2039,CD68,126
Astrocyte,Br2039,CD74,322
Astrocyte,Br2039,CFAP36,1352
Astrocyte,Br2039,CHI3L1,1041
Astrocyte,Br2039,CHST1,4236
Astrocyte,Br2039,CLDN11,120
Astrocyte,Br2039,CLDN5,82
Astrocyte,Br2039,CLDND1,1618
Astrocyte,Br2039,CNDP1,131
Astrocyte,Br2039,CNN3,7622
Astrocyte,Br2039,CNP,1897
Astrocyte,Br2039,COMT,763
Astrocyte,Br2039,CORT,122
Astrocyte,Br2039,COX5A,876
Astrocyte,Br2039,CRHBP,38
Astrocyte,Br2039,CRYM,529
Astrocyte,Br2039,CSF1R,114
Astrocyte,Br2039,CSMD1,422
Astrocyte,Br2039,CTIF,1022
Astrocyte,Br2039,CUX2,310
Astrocyte,Br2039,CX3CR1,175
Astrocyte,Br2039,CXCL14,4300
Astrocyte,Br2039,CXCR4,530
Astrocyte,Br2039,CYBA,13
Astrocyte,Br2039,CYBB,86
Astrocyte,Br2039,CYP46A1,1530
Astrocyte,Br2039,DACH1,58
Astrocyte,Br2039,DBNDD2,696
Astrocyte,Br2039,DCC,137
Astrocyte,Br2039,DDIT4,2646
Astrocyte,Br2039,DEAF1,381
Astrocyte,Br2039,DIRAS2,894
Astrocyte,Br2039,DISC1,70
Astrocyte,Br2039,DKK3,12203
Astrocyte,Br2039,EDIL3,339
Astrocyte,Br2039,EGR1,197
