cohort,gene,target,target_cp10k,astro_cp10k,exc_cp10k,ratio
Batiuk,SST,Sst_*,4.34,0.61,0.14,30.9
Batiuk,GFAP,Astro_*,6.46,6.46,0.0,1725.0
Batiuk,AQP4,Astro_*,7.03,7.03,0.07,93.9
HBCC,SST,Sst_*,2.44,0.1,0.02,134.2
HBCC,GFAP,Astro_*,8.59,8.59,0.05,175.6
HBCC,AQP4,Astro_*,5.68,5.68,0.1,58.0
MSSM1,SST,Sst_*,4.58,0.03,0.01,323.6
MSSM1,GFAP,Astro_*,10.96,10.96,0.02,534.8
MSSM1,AQP4,Astro_*,6.18,6.18,0.09,71.4
MSSM2,SST,Sst_*,1.82,0.11,0.02,98.8
MSSM2,GFAP,Astro_*,9.15,9.15,0.06,151.3
MSSM2,AQP4,Astro_*,6.19,6.19,0.1,60.8
McLean,SST,Sst_*,2.55,0.13,0.03,74.3
McLean,GFAP,Astro_*,9.03,9.03,0.02,372.7
McLean,AQP4,Astro_*,5.69,5.69,0.09,66.9
Multiome,SST,Sst_*,1.9,0.0,0.0,497.3
Multiome,GFAP,Astro_*,5.24,5.24,0.0,1666.1
Multiome,AQP4,Astro_*,7.2,7.2,0.03,259.8
OFC,SST,Sst_*,6.86,0.12,0.03,271.5
OFC,GFAP,Astro_*,4.99,4.99,0.02,211.4
OFC,AQP4,Astro_*,7.11,7.11,0.13,53.0
