type,source,rbh_partner,rbh_mean_auroc,best_match,best_match_auroc,is_reciprocal,in_combined_franken
L6 CT_1,seaad,DLCT6b_110,1.0,DLCT6b_110,1.0,True,True
L6 CT_2,seaad,DLCT6b_109,1.0,DLCT6b_109,1.0,True,True
L6 CT_3,seaad,DLCT6b_108,1.0,DLCT6b_108,1.0,True,True
L6 CT_4,seaad,DLCT6b_100,1.0,DLCT6b_100,1.0,True,True
L6 IT Car3_1,seaad,DLIT_150,1.0,DLIT_150,1.0,True,True
L6 IT Car3_2,seaad,DLIT_151,1.0,DLIT_151,1.0,True,True
L6 IT Car3_3,seaad,,,DLIT_150,1.0,False,True
L6 IT_1,seaad,DLIT_147,1.0,DLIT_147,1.0,True,True
L6 IT_2,seaad,DLIT_149,1.0,DLIT_149,1.0,True,True
L6b_1,seaad,DLCT6b_98,1.0,DLCT6b_98,1.0,True,True
L6b_2,seaad,DLCT6b_99,1.0,DLCT6b_99,1.0,True,True
L6b_3,seaad,,,DLCT6b_98,1.0,False,True
L6b_4,seaad,,,DLCT6b_98,1.0,False,True
L6b_5,seaad,DLCT6b_106,1.0,DLCT6b_106,1.0,True,True
L6b_6,seaad,,,DLCT6b_106,1.0,False,True
Lamp5_1,seaad,CGE_288,1.0,CGE_288,1.0,True,True
Lamp5_2,seaad,,,CGE_288,1.0,False,True
Lamp5_3,seaad,CGE_287,1.0,CGE_287,1.0,True,True
Lamp5_4,seaad,,,CGE_287,1.0,False,True
Lamp5_5,seaad,CGE_286,1.0,CGE_286,1.0,True,True
Lamp5_6,seaad,,,CGE_286,1.0,False,True
Lamp5_Lhx6_1,seaad,LLC_274,1.0,LLC_274,1.0,True,True
Micro-PVM_1,seaad,Mgl_12,1.0,Mgl_12,1.0,True,True
Micro-PVM_1_1-SEAAD,seaad,Mono_3,1.0,Mono_3,1.0,True,True
Micro-PVM_2,seaad,Mgl_11,1.0,Mgl_11,1.0,True,True
Micro-PVM_2_1-SEAAD,seaad,,,Mgl_12,1.0,False,True
Micro-PVM_2_3-SEAAD,seaad,,,Mgl_11,1.0,False,True
Micro-PVM_3-SEAAD,seaad,,,Mgl_11,1.0,False,True
OPC_1,seaad,COP_37,1.0,COP_37,1.0,True,True
OPC_2,seaad,OPC_35,1.0,OPC_35,1.0,True,True
OPC_2_1-SEAAD,seaad,,,OPC_35,1.0,False,True
OPC_2_2-SEAAD,seaad,,,OPC_35,1.0,False,True
Oligo_1,seaad,Oligo_44,1.0,Oligo_44,1.0,True,True
Oligo_2,seaad,Oligo_45,1.0,Oligo_45,1.0,True,True
Oligo_2_1-SEAAD,seaad,,,Oligo_45,1.0,False,True
Oligo_3,seaad,Oligo_40,1.0,Oligo_40,1.0,True,True
Oligo_4,seaad,Oligo_47,1.0,Oligo_47,1.0,True,True
Pax6_1,seaad,CGE_278,1.0,CGE_278,1.0,True,True
Pax6_2,seaad,CGE_277,1.0,CGE_277,1.0,True,True
Pax6_3,seaad,CGE_279,1.0,CGE_279,1.0,True,True
Pax6_4,seaad,,,CGE_279,1.0,False,True
Pvalb_1,seaad,MGE_257,1.0,MGE_257,1.0,True,True
Pvalb_10,seaad,MGE_258,1.0,MGE_258,1.0,True,True
Pvalb_12,seaad,,,MGE_258,1.0,False,True
Pvalb_13,seaad,,,MGE_258,1.0,False,True
Pvalb_14,seaad,MGE_259,1.0,MGE_259,1.0,True,True
Pvalb_15,seaad,MGE_262,1.0,MGE_262,1.0,True,True
Pvalb_2,seaad,MGE_261,1.0,MGE_261,1.0,True,True
Pvalb_3,seaad,,,MGE_259,1.0,False,True
Pvalb_5,seaad,,,MGE_259,1.0,False,True
Pvalb_6,seaad,MGE_239,1.0,MGE_239,1.0,True,True
Pvalb_7,seaad,MGE_255,1.0,MGE_255,1.0,True,True
Pvalb_8,seaad,MGE_240,1.0,MGE_240,1.0,True,True
Pvalb_9,seaad,MGE_256,1.0,MGE_256,1.0,True,True
Sncg_1,seaad,CGE_283,1.0,CGE_283,1.0,True,True
Sncg_2,seaad,,,CGE_283,1.0,False,True
Sncg_3,seaad,CGE_281,1.0,CGE_281,1.0,True,True
Sncg_4,seaad,CGE_282,1.0,CGE_282,1.0,True,True
Sncg_5,seaad,,,CGE_282,1.0,False,True
Sncg_6,seaad,CGE_280,1.0,CGE_280,1.0,True,True
Sncg_8,seaad,,,CGE_283,1.0,False,True
Sst Chodl_1,seaad,Splat_235,1.0,Splat_235,1.0,True,True
Sst Chodl_2,seaad,MGE_244,1.0,MGE_244,1.0,True,True
Sst_1,seaad,MGE_253,1.0,MGE_253,1.0,True,True
Sst_10,seaad,MGE_252,1.0,MGE_252,1.0,True,True
Sst_11,seaad,MGE_242,1.0,MGE_242,1.0,True,True
Sst_12,seaad,,,MGE_253,1.0,False,True
Sst_13,seaad,,,MGE_252,1.0,False,True
Sst_19,seaad,MGE_251,1.0,MGE_251,1.0,True,True
Sst_2,seaad,,,MGE_239,1.0,False,True
Sst_20,seaad,,,MGE_242,1.0,False,True
Sst_22,seaad,,,MGE_242,1.0,False,True
Sst_23,seaad,MGE_241,1.0,MGE_241,1.0,True,True
Sst_25,seaad,MGE_243,1.0,MGE_243,1.0,True,True
Sst_3,seaad,MGE_250,1.0,MGE_250,1.0,True,True
Sst_4,seaad,MGE_254,1.0,MGE_254,1.0,True,True
Sst_5,seaad,,,MGE_254,1.0,False,True
Sst_7,seaad,,,MGE_254,1.0,False,True
Sst_9,seaad,MGE_248,1.0,MGE_248,1.0,True,True
VLMC_1,seaad,Fbl_27,1.0,Fbl_27,1.0,True,True
VLMC_2,seaad,Per_22,1.0,Per_22,1.0,True,True
VLMC_2_1-SEAAD,seaad,Vsmc_19,1.0,Vsmc_19,1.0,True,True
VLMC_2_2-SEAAD,seaad,Per_23,1.0,Per_23,1.0,True,True
Vip_1,seaad,CGE_293,1.0,CGE_293,1.0,True,True
Vip_11,seaad,CGE_290,1.0,CGE_290,1.0,True,True
Vip_12,seaad,,,CGE_293,1.0,False,True
Vip_13,seaad,,,CGE_290,1.0,False,True
Vip_14,seaad,CGE_285,1.0,CGE_285,1.0,True,True
Vip_15,seaad,CGE_284,1.0,CGE_284,1.0,True,True
Vip_16,seaad,,,CGE_285,1.0,False,True
Vip_18,seaad,,,CGE_293,1.0,False,True
Vip_19,seaad,CGE_294,1.0,CGE_294,1.0,True,True
Vip_2,seaad,CGE_289,1.0,CGE_289,1.0,True,True
Vip_21,seaad,CGE_296,1.0,CGE_296,1.0,True,True
Vip_23,seaad,,,CGE_296,1.0,False,True
Vip_4,seaad,CGE_292,1.0,CGE_292,1.0,True,True
Vip_5,seaad,,,CGE_292,1.0,False,True
Vip_6,seaad,CGE_291,1.0,CGE_291,1.0,True,True
Vip_9,seaad,,,CGE_291,1.0,False,True
Amex_153,siletti,,,,,False,True
Amex_154,siletti,,,,,False,True
Amex_155,siletti,,,,,False,True
Amex_156,siletti,,,,,False,True
Amex_157,siletti,,,,,False,True
Amex_158,siletti,,,,,False,True
Amex_159,siletti,,,,,False,True
Amex_160,siletti,,,,,False,True
Amex_161,siletti,,,,,False,True
Amex_162,siletti,,,,,False,True
Amex_171,siletti,,,,,False,True
Amex_172,siletti,,,,,False,True
Amex_173,siletti,,,,,False,True
Amex_174,siletti,,,,,False,True
Amex_175,siletti,,,,,False,True
Amex_405,siletti,,,,,False,True
Amex_406,siletti,,,,,False,True
Amex_407,siletti,,,,,False,True
Amex_408,siletti,,,,,False,True
Amex_419,siletti,,,,,False,True
Astro_52,siletti,Astro_2,1.0,,,True,False
Astro_53,siletti,,,,,False,True
Astro_54,siletti,Astro_1,1.0,,,True,False
Astro_55,siletti,,,,,False,True
Astro_56,siletti,,,,,False,True
Astro_57,siletti,,,,,False,True
Astro_58,siletti,Astro_4,1.0,,,True,False
Astro_59,siletti,,,,,False,True
Astro_60,siletti,,,,,False,True
Astro_61,siletti,Astro_3,1.0,,,True,False
Astro_62,siletti,,,,,False,True
Astro_63,siletti,,,,,False,True
Astro_64,siletti,,,,,False,True
Bcell_0,siletti,,,,,False,True
Bgl_51,siletti,,,,,False,True
CA13_119,siletti,,,,,False,True
CA13_163,siletti,,,,,False,True
CA13_169,siletti,,,,,False,True
CA13_179,siletti,,,,,False,True
CA13_180,siletti,,,,,False,True
CA13_181,siletti,,,,,False,True
CA13_182,siletti,,,,,False,True
CA13_183,siletti,,,,,False,True
CA13_184,siletti,,,,,False,True
CA13_185,siletti,,,,,False,True
CA13_186,siletti,,,,,False,True
CA13_187,siletti,,,,,False,True
CA13_188,siletti,,,,,False,True
CA13_189,siletti,,,,,False,True
CA4_190,siletti,,,,,False,True
CA4_191,siletti,,,,,False,True
CA4_192,siletti,,,,,False,True
CA4_193,siletti,,,,,False,True
CA4_194,siletti,,,,,False,True
CA4_195,siletti,,,,,False,True
CA4_196,siletti,,,,,False,True
CA4_197,siletti,,,,,False,True
CA4_198,siletti,,,,,False,True
CBI_298,siletti,,,,,False,True
CBI_299,siletti,,,,,False,True
CBI_300,siletti,,,,,False,True
CBI_301,siletti,,,,,False,True
CBI_302,siletti,,,,,False,True
CBI_303,siletti,,,,,False,True
CBI_304,siletti,,,,,False,True
CBI_305,siletti,,,,,False,True
CBI_306,siletti,,,,,False,True
CBI_307,siletti,,,,,False,True
CGE_276,siletti,,,,,False,True
CGE_277,siletti,Pax6_2,1.0,,,True,False
CGE_278,siletti,Pax6_1,1.0,,,True,False
CGE_279,siletti,Pax6_3,1.0,,,True,False
CGE_280,siletti,Sncg_6,1.0,,,True,False
CGE_281,siletti,Sncg_3,1.0,,,True,False
CGE_282,siletti,Sncg_4,1.0,,,True,False
CGE_283,siletti,Sncg_1,1.0,,,True,False
CGE_284,siletti,Vip_15,1.0,,,True,False
CGE_285,siletti,Vip_14,1.0,,,True,False
CGE_286,siletti,Lamp5_5,1.0,,,True,False
CGE_287,siletti,Lamp5_3,1.0,,,True,False
CGE_288,siletti,Lamp5_1,1.0,,,True,False
CGE_289,siletti,Vip_2,1.0,,,True,False
CGE_290,siletti,Vip_11,1.0,,,True,False
CGE_291,siletti,Vip_6,1.0,,,True,False
CGE_292,siletti,Vip_4,1.0,,,True,False
CGE_293,siletti,Vip_1,1.0,,,True,False
CGE_294,siletti,Vip_19,1.0,,,True,False
CGE_295,siletti,,,,,False,True
CGE_296,siletti,Vip_21,1.0,,,True,False
COP_37,siletti,OPC_1,1.0,,,True,False
COP_38,siletti,,,,,False,True
COP_39,siletti,,,,,False,True
COP_41,siletti,,,,,False,True
COP_42,siletti,,,,,False,True
COP_43,siletti,,,,,False,True
COP_75,siletti,,,,,False,True
Chrp_76,siletti,,,,,False,True
Chrp_77,siletti,,,,,False,True
Chrp_78,siletti,,,,,False,True
Chrp_79,siletti,,,,,False,True
Chrp_80,siletti,,,,,False,True
Chrp_81,siletti,,,,,False,True
Chrp_82,siletti,,,,,False,True
DG_199,siletti,,,,,False,True
DG_200,siletti,,,,,False,True
DG_201,siletti,,,,,False,True
DG_202,siletti,,,,,False,True
DG_203,siletti,,,,,False,True
DG_204,siletti,,,,,False,True
DG_205,siletti,,,,,False,True
DLCT6b_100,siletti,L6 CT_4,1.0,,,True,False
DLCT6b_101,siletti,,,,,False,True
DLCT6b_102,siletti,,,,,False,True
DLCT6b_103,siletti,,,,,False,True
DLCT6b_104,siletti,,,,,False,True
DLCT6b_105,siletti,,,,,False,True
DLCT6b_106,siletti,L6b_5,1.0,,,True,False
DLCT6b_107,siletti,,,,,False,True
DLCT6b_108,siletti,L6 CT_3,1.0,,,True,False
DLCT6b_109,siletti,L6 CT_2,1.0,,,True,False
DLCT6b_110,siletti,L6 CT_1,1.0,,,True,False
DLCT6b_111,siletti,,,,,False,True
DLCT6b_112,siletti,,,,,False,True
DLCT6b_84,siletti,,,,,False,True
DLCT6b_97,siletti,,,,,False,True
DLCT6b_98,siletti,L6b_1,1.0,,,True,False
DLCT6b_99,siletti,L6b_2,1.0,,,True,False
DLIT_136,siletti,,,,,False,True
DLIT_137,siletti,L5 IT_1,1.0,,,True,False
DLIT_139,siletti,L5 IT_2,1.0,,,True,False
DLIT_140,siletti,,,,,False,True
DLIT_141,siletti,L4 IT_1,1.0,,,True,False
DLIT_142,siletti,L5 IT_7,1.0,,,True,False
DLIT_143,siletti,,,,,False,True
DLIT_144,siletti,L5 IT_5,1.0,,,True,False
DLIT_145,siletti,,,,,False,True
DLIT_146,siletti,,,,,False,True
DLIT_147,siletti,L6 IT_1,1.0,,,True,False
DLIT_148,siletti,,,,,False,True
DLIT_149,siletti,L6 IT_2,1.0,,,True,False
DLIT_150,siletti,L6 IT Car3_1,1.0,,,True,False
DLIT_151,siletti,L6 IT Car3_2,1.0,,,True,False
DLIT_152,siletti,,,,,False,True
DLNP_83,siletti,,,,,False,True
DLNP_85,siletti,,,,,False,True
DLNP_86,siletti,,,,,False,True
DLNP_87,siletti,,,,,False,True
DLNP_88,siletti,L5/6 NP_4,1.0,,,True,False
DLNP_89,siletti,,,,,False,True
DLNP_90,siletti,,,,,False,True
DLNP_91,siletti,L5/6 NP_2,1.0,,,True,False
DLNP_92,siletti,L5/6 NP_6,1.0,,,True,False
DLNP_93,siletti,,,,,False,True
DLNP_94,siletti,L5/6 NP_1,1.0,,,True,False
DLNP_95,siletti,,,,,False,True
DLNP_96,siletti,L5/6 NP_3,1.0,,,True,False
EMSN_222,siletti,,,,,False,True
EMSN_223,siletti,,,,,False,True
EMSN_224,siletti,,,,,False,True
EMSN_225,siletti,,,,,False,True
EMSN_226,siletti,,,,,False,True
EMSN_227,siletti,,,,,False,True
EMSN_228,siletti,,,,,False,True
EMSN_229,siletti,,,,,False,True
EMSN_230,siletti,,,,,False,True
EMSN_231,siletti,,,,,False,True
EMSN_232,siletti,,,,,False,True
EMSN_233,siletti,,,,,False,True
EMSN_234,siletti,,,,,False,True
EMSN_426,siletti,,,,,False,True
Epen_65,siletti,,,,,False,True
Epen_66,siletti,,,,,False,True
Epen_67,siletti,,,,,False,True
Epen_68,siletti,,,,,False,True
