type,source,rbh_partner,rbh_mean_auroc,best_match,best_match_auroc,is_reciprocal,in_combined_franken
ULIT_135,siletti,L4 IT_3,1.0,,,True,False
ULIT_138,siletti,L4 IT_2,1.0,,,True,False
URL_297,siletti,,,,,False,True
URL_308,siletti,,,,,False,True
URL_309,siletti,,,,,False,True
URL_310,siletti,,,,,False,True
URL_311,siletti,,,,,False,True
URL_312,siletti,,,,,False,True
VendAC_14,siletti,Endo_1,1.0,,,True,False
VendA_18,siletti,,,,,False,True
VendC_15,siletti,Endo_2,1.0,,,True,False
VendPLVAP_13,siletti,,,,,False,True
VendVC_16,siletti,Endo_3,1.0,,,True,False
VendV_17,siletti,,,,,False,True
Vsmc_19,siletti,VLMC_2_1-SEAAD,1.0,,,True,False
Vsmc_20,siletti,,,,,False,True
