boundary,current,merfish,xenium
L1/L2-3,0.1,0.0975,0.1225
L2-3/L4,0.4,0.4451310052055924,0.4696252098754055
L4/L5,0.55,0.5692357503250534,0.5442600237662779
L5/L6,0.7,0.697936921006757,0.7079346062735238
L6/WM,0.9,0.9875,0.9425000000000001
