supertype,xen_sst_cp10k,n_donors,n_cells
Sst_1,262.1457326788936,12,178
Sst_10,327.74155505745784,12,1513
Sst_11,232.1681877238698,12,1341
Sst_12,441.86112800052206,12,381
Sst_13,421.8859298965008,12,1013
Sst_19,360.8581098123602,12,1931
Sst_2,254.43912379759195,12,777
Sst_20,387.3931308367583,12,1563
Sst_22,428.50825754898324,12,1189
Sst_23,178.98467092388387,12,138
Sst_25,433.3064615223957,12,1032
Sst_3,466.3787580504454,12,1565
Sst_4,261.18101322631145,12,283
Sst_5,272.6748932050107,12,575
Sst_7,158.27470037819873,12,186
Sst_9,343.6963321345959,12,506
