stratum,gene,sn_est,sn_se,sn_z,xen_logFC,xen_z,n_supertypes
depleted,ABCA2,-0.09785793242332684,0.05757458680495846,-1.6996723355537666,-0.036923343518647456,-0.874292865821846,5
depleted,ACO1,-0.04374299597980984,0.03889170458499662,-1.1247384614940412,0.012425365551638663,0.25123576660772706,5
depleted,ADCYAP1R1,-0.05013252306823548,0.03222404252332248,-1.5557490352723915,0.05219209231775882,1.6952599710392278,5
depleted,AK5,0.0471714866691362,0.03773107475890341,1.2502025709724882,0.0043312835241096,0.20168339150044715,5
depleted,AKAP8L,-0.06596256152578034,0.03446828367993891,-1.9137176117699064,0.08983370504093366,1.506651849369646,5
depleted,AKT1,-0.0310227082731912,0.05568669243968236,-0.5570937492255225,0.07604780800012502,1.5710376655961131,5
depleted,ALCAM,0.16867991621842932,0.06602066874528392,2.554956189087053,0.06817629605769114,0.8453093595889348,5
depleted,ANLN,-0.03211346976516829,0.09074537472275276,-0.3538854719954826,-0.31945695939682417,-2.8435732204063595,5
depleted,APOLD1,0.1453152641056916,0.1155056380549,1.2580794024671162,0.06025354302274492,0.56147398073923,5
depleted,AQP4,0.20540674769340517,0.12464051276507988,1.6479934423934215,0.31579521589696935,4.06396681298315,5
depleted,ARPP19,-0.02436620259338132,0.04174466374655072,-0.5836962238172215,-0.11195211455024785,-1.2291770242894529,5
depleted,ARRDC3,0.02595386499287814,0.06513523448908708,0.3984612198982184,0.20549002359674579,2.7599626516834497,5
depleted,ATP2B4,0.17210111818848786,0.07041204659335328,2.4441999134383035,0.17381760003448718,2.408573356290819,5
depleted,BAIAP3,0.06341899321744877,0.05689498328696264,1.114667577940586,0.30306039109594735,3.4624508111626473,5
depleted,BCAS1,-0.08663655884390876,0.10928375416806128,-0.7927670448681267,0.30899794981903833,3.536910978127852,5
depleted,BCL6,0.05198702930846968,0.10703531994563675,0.4856997609282048,0.15390938399923673,1.5792123694295477,5
depleted,BLCAP,-0.00450079380730249,0.03882213280858193,-0.1159337079571156,-0.20520663380745194,-3.984697361071257,5
depleted,C14orf132,0.07158827642659674,0.07855484843135638,0.9113158239895626,0.10493694748539677,1.800337554102918,5
depleted,CABP1,-0.04180174633774293,0.06109587985736924,-0.684199105329701,-0.014551342622872051,-0.2693955273488411,5
depleted,CACNA1C,0.02524351225087306,0.04921613820272022,0.5129112761122293,0.04824769619832176,1.0342524808544444,5
depleted,CALB1,-0.03678925677212931,0.06097415178067046,-0.6033582378392666,-0.13456651264961972,-3.090367368835155,5
depleted,CAMK2N1,-0.06231405887356411,0.04151409291101373,-1.501033853904396,-0.1882732027262218,-4.459538220429089,5
depleted,CAPZB,-0.0323677593576212,0.02912375045609813,-1.1113870586967556,-0.07922275175014333,-1.910002390559913,5
depleted,CASC3,-0.04395706170077144,0.05909949677731625,-0.7437806427760173,0.1317334361479763,3.0887921338890387,5
depleted,CCK,-0.0322754364307317,0.07866560021649552,-0.4102865336552001,-0.003650338444177162,0.003143131421500987,5
depleted,CCNI,-0.1310885027815309,0.06497908847346769,-2.017395224543001,-0.15024221322166686,-3.53780679235281,5
depleted,CFAP36,-0.09107313541204937,0.04392122478645864,-2.073556369496511,-0.07325277561516468,-1.7876971520069052,5
depleted,CHST1,0.05554504320055052,0.07087534814942553,0.7837004635722659,0.04983438229992394,1.0242680172962606,5
depleted,CLDND1,0.03297512583439745,0.05286656525700512,0.6237425426466127,-0.040854265098684145,-0.8839687880695735,5
depleted,CNDP1,0.08211890452448777,0.10905800228622473,0.7529837591281491,0.01197992012106188,0.22926018692699704,5
depleted,CNN3,0.07021412629734254,0.07930482231803197,0.8853701987473915,0.032313030420595766,0.47060992928965434,5
depleted,CNP,-0.03809994641912027,0.06508664798541942,-0.5853726931467625,-0.08687109419069962,-2.022428628500996,5
depleted,COMT,-0.03890171085423269,0.04592129525001771,-0.8471387978590975,0.07247989631751202,1.314582547287872,5
