pathway,source,NES_depleted,NES_intermediate,NES_non_depleted,padj_depleted,padj_intermediate,padj_non_depleted,family
GOMF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY,C5:GO:MF,-1.0997586378362547,-1.0607044976692128,-0.689286776657461,0.7331186162514371,0.7730515766471465,0.9899938088316584,Synaptic
REACTOME_RAC3_GTPASE_CYCLE,C2:CP:REACTOME,-1.079808558243291,-1.0188565587387903,-0.9512333423723895,0.7331186162514371,0.8004326317818811,0.9134566075578407,Other
GOBP_COPII_COATED_VESICLE_CARGO_LOADING,C5:GO:BP,-1.1077143135840497,-1.229480822059904,-1.4629079817886823,0.734403087192745,0.6662594813502105,0.5815632387124503,Other
GOBP_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION,C5:GO:BP,1.0873635465082367,0.9105520569618656,1.074744314916641,0.7347041221506826,0.8719433381743674,0.8267699881834903,Other
GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,C5:GO:BP,-1.0893150675261625,-0.8129690215932485,-1.39456140821448,0.7353837733800249,0.9361139649685518,0.5980369868427861,Other
GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,C5:GO:BP,-1.0778920609365994,-1.236305716725911,-1.0399797226479717,0.7353927505668522,0.607540077460738,0.8499361024576824,Other
GOBP_BLOOD_VESSEL_MORPHOGENESIS,C5:GO:BP,-1.053957382184594,-1.1442321707720644,-1.0302609339630382,0.7355236726078171,0.6376827068676901,0.8497633006366115,Other
GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,C5:GO:BP,-1.1091247929552803,-0.9526502814834936,1.1248870777185067,0.7355236726078171,0.8328396392331336,0.8071534591298548,Synaptic
GOBP_DICARBOXYLIC_ACID_TRANSPORT,C5:GO:BP,-1.077752090169602,-1.224126647985483,-1.2106246693243274,0.7355825506471976,0.6296685309254576,0.7220383899559332,Synaptic
GOBP_REGULATION_OF_MYOBLAST_DIFFERENTIATION,C5:GO:BP,-1.0955279610300213,-0.8668881171183405,-0.9084203273406852,0.7355825506471976,0.8999190012427344,0.9277247361468726,Other
GOBP_DIOL_BIOSYNTHETIC_PROCESS,C5:GO:BP,-1.1133858446848368,-0.551926533341083,-0.7418060552160102,0.7363226664280145,0.9954188026990326,0.977153879558247,Other
GOBP_REGULATION_OF_TRANSLATION,C5:GO:BP,-1.0526552347672415,-0.8459058666368383,0.91310783273783,0.7364304471859591,0.9676412326091584,0.9648097274981332,Other
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,C2:CP:REACTOME,1.1068746480263914,0.7820935546424489,0.7683568463096295,0.7364304471859591,0.9315169503913526,0.9726576754749722,Other
REACTOME_DEGRADATION_OF_DVL,C2:CP:REACTOME,-1.0872677542879283,-1.1356596428066503,0.9490854730170274,0.7369115044405616,0.7174436432845613,0.9128543469927164,Other
GOBP_FACE_MORPHOGENESIS,C5:GO:BP,1.0997745811122166,1.0545714226974237,-1.056981321677435,0.7373485667060344,0.777874694880673,0.8522199733410996,Other
GOBP_MACROPHAGE_DIFFERENTIATION,C5:GO:BP,-1.096306340631464,0.7542028006278946,-0.905981312597183,0.7373485667060344,0.9594304004745632,0.9277247361468726,Other
GOMF_SODIUM_CHANNEL_ACTIVITY,C5:GO:MF,1.071475413984031,1.0651644719843556,1.1220664727064231,0.7373485667060344,0.7582562126909876,0.7737913658959567,Other
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_ADENYLATE_CYCLASE,C2:CP:REACTOME,-1.1143736686509245,-0.8222031318416497,-0.9402978987560924,0.7379599569797506,0.903872884521189,0.9142709813326836,Synaptic
