supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
Midi_442,1.4281800276697374,1.7999125567184269,0.7934718952533858,0.21375705027364222,16870,1.0,0.4424682974800084,Siletti
Splat_402,1.9228863494389752,2.4902686647435504,0.7721601996855209,0.2200151854380925,16870,1.0,0.45355589457114975,Siletti
L6 IT Car3_3,1.540787962856377,2.015127411915095,0.7646106909895464,0.22225704957898462,16870,1.0,0.45630733036011945,SEA-AD
L2/3 IT_13,1.0502286058810915,1.4091682849819487,0.7452826018537203,0.22805564130595812,16870,1.0,0.4663088925890119,SEA-AD
Splat_334,1.1505058947513747,1.5720407886067527,0.7318549894440268,0.23213362530916537,16870,1.0,0.47226638419855194,Siletti
DLIT_145,1.72271478300187,2.3614376767848233,0.72951947872171,0.23284704429670156,16870,1.0,0.47226638419855194,Siletti
Splat_354,3.770516105376043,5.445499547135555,0.6924095893753975,0.24434483932867002,16870,1.0,0.49359620153542577,Siletti
Vip_2,0.9612955710191879,1.4035393593656607,0.6849081677721187,0.2467056420768965,16870,1.0,0.49637175185871574,SEA-AD
EMSN_222,1.1399724672686569,1.6735281097943502,0.6811791571333339,0.24788374371391086,16870,1.0,0.49675507206413216,Siletti
MSN_216,3.49357477883584,5.205707050389674,0.671104759645345,0.2510814930241603,16870,1.0,0.49950085517331216,Siletti
Amex_161,0.9619965955902554,1.434515784323759,0.6706071875282623,0.2512399927611292,16870,1.0,0.49950085517331216,Siletti
L2/3 IT_1,0.9464852533175064,1.4227676144678922,0.6652423373239958,0.252952301181818,16870,1.0,0.5009252263561199,SEA-AD
Mmb_327,2.621030792158882,4.037237700233913,0.6492138899839913,0.25810448789136176,16870,1.0,0.5091237545464901,Siletti
CGE_276,1.916131146254907,3.0246826588241342,0.6334982417625974,0.26320845966286477,16870,1.0,0.5154094301836708,Siletti
URL_297,0.3283089566044504,0.5185784871532726,0.6330940537211572,0.26334040468628905,16870,1.0,0.5154094301836708,Siletti
Vip_9,1.2074350401139822,1.9918150513602277,0.6061983713243929,0.27219559649710057,16870,1.0,0.5306759110001612,SEA-AD
CBI_301,1.2154912948160517,2.0440019151297393,0.5946625029159528,0.2760385344059628,16870,1.0,0.5360902811050166,Siletti
DLNP_83,1.2460557859930192,2.152333278052155,0.5789325466921601,0.28132120994097853,16870,1.0,0.5442483407704315,Siletti
CA13_188,1.0127666525373968,1.785783683702089,0.5671272852251853,0.28531762723565635,16870,1.0,0.5497052233687603,Siletti
OPC_1,1.3317749376776074,2.370587747010332,0.5617910323535487,0.2871329340913029,16870,1.0,0.5497052233687603,SEA-AD
DLIT_146,1.2181671742849653,2.1716246124260383,0.5609473973147161,0.287420424942314,16870,1.0,0.5497052233687603,Siletti
L5 IT_1,0.734101325234871,1.3265884310244327,0.5533753408869813,0.2900068781283338,16870,1.0,0.552550983706636,SEA-AD
Misc_170,2.1006689834148022,3.8628893423616124,0.5438077038289011,0.2932904976663735,16870,1.0,0.5553252478666694,Siletti
Thex_458,1.4300702686467266,2.6350919451143966,0.5427022276388322,0.29367100583008754,16870,1.0,0.5553252478666694,Siletti
CA13_180,1.472841706628304,2.9924138929638837,0.49219184220853374,0.31129506876120894,16870,1.0,0.5864472643703674,Siletti
DLNP_89,2.2198668775100705,4.615972220557533,0.4809099300086228,0.31529337678765823,16870,1.0,0.5917633153887765,Siletti
Splat_400,0.606004282118096,1.2917372318249862,0.46913897593702075,0.3194881828151852,16870,1.0,0.5974072712120378,Siletti
MGE_236,1.451178115130073,3.118817836522616,0.4652974912917938,0.3208622194777141,16870,1.0,0.5977544311010748,Siletti
Splat_380,1.1726744676447416,2.5594769470301366,0.4581695760164758,0.323418259530577,16870,1.0,0.600292931896237,Siletti
Thex_445,0.6861797914830269,1.5835873207883597,0.4333072022459898,0.3323985740918721,16870,1.0,0.6146929513537194,Siletti
Amex_154,0.5874735614968132,1.392709635967352,0.4218205621078827,0.3365806862604621,16870,1.0,0.6201468321941848,Siletti
L6b_1,0.9293452185318806,2.2606462817446014,0.4110971389184689,0.34050326559824606,16870,1.0,0.625084462028897,SEA-AD
Amex_419,1.106253515781994,2.78200354749967,0.39764633541759536,0.34544796650379606,16870,1.0,0.6317993564083129,Siletti
