gene,specificity,gwas_zstat,gwas_p,contribution,is_scz_gwas
PITPNC1,0.0095899375,3.756,8.632e-05,0.036019805249999995,False
SLC25A52,0.023062825,1.5602,0.059356,0.035982619565,False
SLC39A14,0.013798503,2.607,0.004567,0.035972697321,False
MAP9,0.0086933635,4.1377,1.7539e-05,0.03597053015395,False
TMEM108,0.010712577,3.3559,0.00039558,0.035950337154299995,False
STAG1,0.0070391046,5.1011,1.6885e-07,0.03590717647506,True
DNAH10,0.008688966,4.1309,1.8065e-05,0.035893249649399994,True
ACOT13,0.008827145,4.0647,2.4043e-05,0.0358796962815,False
NTRK3,0.012306839,2.9146,0.0017805,0.0358695129494,False
VPS37A,0.007400472,4.8462,6.2914e-07,0.0358641674064,True
PSME4,0.008250318,4.3458,6.9375e-06,0.0358542319644,False
HSPA12A,0.010190853,3.5166,0.00021858,0.035837153659799996,False
PSKH1,0.008818569,4.058,2.475e-05,0.035785753002,False
C17orf98,0.013799579,2.5923,0.0047662,0.035772648641699996,False
SPAG16,0.01137997,3.1433,0.00083522,0.035770659701,False
ETV6,0.013548561,2.64,0.0041447,0.03576820104,False
FGF12,0.011786606,3.0342,0.0012058,0.0357629199252,False
RNF38,0.0065764417,5.4377,2.6982e-08,0.03576071703209,True
PLCXD3,0.024461305,1.4618,0.071903,0.035757535649,False
USP35,0.011251878,3.1777,0.00074217,0.0357550927206,False
C12orf76,0.005709843,6.2511,2.038e-10,0.035692799577300004,False
RAI1,0.008821984,4.0455,2.6101e-05,0.035689336271999994,False
HS6ST3,0.007576441,4.7094,1.2421e-06,0.035680491245399994,False
CIAO1,0.009098598,3.9212,4.4046e-05,0.035677422477599995,False
KDM4C,0.008497873,4.1964,1.3562e-05,0.035660474257199995,False
FAM120A,0.006725536,5.2962,5.9116e-08,0.0356197837632,False
SYT12,0.00833957,4.2668,9.9164e-06,0.035583277276,False
SRR,0.007290439,4.88,5.3046e-07,0.03557734232,False
CDC42BPG,0.010620087,3.3447,0.00041187,0.0355210049889,False
MITF,0.009382495,3.7853,7.6751e-05,0.03551555832349999,False
SACS,0.010952651,3.2406,0.00059633,0.0354931608306,False
B9D1,0.0085072275,4.1709,1.5169e-05,0.03548279517975,True
CNOT1,0.006786837,5.223,8.8004e-08,0.035447649651,True
ABHD17C,0.009580926,3.6988,0.0001083,0.0354379290888,False
QPRT,0.019587772,1.8091,0.03522,0.0354362383252,False
ATG2A,0.007201758,4.916,4.4176e-07,0.035403842328,False
AMBN,0.01776659,1.9915,0.023214,0.035382163985,False
EFNA5,0.0063278712,5.5905,1.132e-08,0.03537596394359999,True
HMOX2,0.008671801,4.0784,2.2671e-05,0.035367073198400004,False
UQCRC1,0.008685151,4.072,2.3303e-05,0.035365934872,False
RWDD2A,0.007875529,4.4904,3.5545e-06,0.0353642754216,False
DND1,0.0075041903,4.7087,1.2467e-06,0.03533498086561,False
PRPSAP1,0.010557502,3.3463,0.00040954,0.035328568942599996,False
ADRA2B,0.021091478,1.6743,0.047036,0.0353134616154,False
ANK3,0.0074715912,4.7232,1.1606e-06,0.03528981955584,False
KLK4,0.017722914,1.9896,0.02332,0.0352615096944,False
ZSCAN29,0.0068642334,5.1327,1.428e-07,0.03523205077218,False
PHF2,0.007675468,4.5896,2.2201e-06,0.0352273279328,False
VPS29,0.0068356562,5.1508,1.2969e-07,0.03520909795496,False
NRBP2,0.006402752,5.4861,2.054e-08,0.035126137747200005,True
DNAJB7,0.010608551,3.3041,0.00047638,0.035051713359100005,False
MRPS33,0.008467362,4.1394,1.7414e-05,0.035049798262800004,False
AGO3,0.0069724773,5.0178,2.6132e-07,0.034986496595940005,True
EP300,0.006961259,5.0247,2.5206e-07,0.0349782380973,False
KIAA1549,0.0073688775,4.7465,1.0349e-06,0.03497637705375,False
AANAT,0.010482557,3.3335,0.00042884,0.0349436037595,False
CPEB1,0.0059197745,5.9009,1.8076e-09,0.03493199734705,True
APOF,0.020771887,1.6811,0.046368,0.0349196192357,False
PPP1CC,0.0067637903,5.1624,1.2187e-07,0.03491739104472,False
ST8SIA1,0.01536175,2.2727,0.011522,0.034912649225,False
PBX4,0.005941493,5.8749,2.1153e-09,0.0349056772257,False
EIF5,0.006466548,5.3957,3.4129e-08,0.0348915530436,False
FAM92B,0.018555738,1.8799,0.030061,0.03488293186619999,False
ELAC2,0.007469068,4.6702,1.5046e-06,0.0348820413736,True
QKI,0.0075873975,4.5968,2.1447e-06,0.034877748828,False
NDFIP2,0.006322569,5.5136,1.7576e-08,0.0348601164384,False
RBX1,0.0076516015,4.5518,2.6589e-06,0.0348285597077,False
SLC7A6OS,0.009468715,3.6743,0.00011923,0.034790899524500006,False
DDX56,0.0076911906,4.5224,3.0577e-06,0.03478264036944,False
ELOVL7,0.008447257,4.1155,1.932e-05,0.034764686183499996,False
RABEP1,0.0075559663,4.5989,2.1231e-06,0.03474913341707,False
INSL3,0.017186178,2.0215,0.021613,0.034741858827000004,False
GID4,0.007890954,4.401,5.3883e-06,0.034728088554,False
NAA40,0.008209644,4.2196,1.2234e-05,0.0346414138224,False
PCNT,0.011584824,2.9891,0.0013991,0.0346281974184,False
ALMS1,0.0063832705,5.4237,2.9192e-08,0.03462094421085,True
STBD1,0.012171278,2.841,0.0022484,0.03457860079800001,False
SLC30A3,0.0103786,3.3313,0.00043226,0.03457423018,False
DENND1B,0.01086933,3.1778,0.00074202,0.034540556874,False
CXXC4,0.008014135,4.3089,8.2026e-06,0.034532106301500005,False
GABRG2,0.009161994,3.7587,8.5402e-05,0.0344371868478,False
FAM135B,0.0127092665,2.7088,0.0033766,0.034426861095200004,False
NDUFA2,0.007149059,4.8138,7.4058e-07,0.0344141402142,False
SUN3,0.010952846,3.142,0.00083893,0.034413842132,False
KDELR3,0.0115807075,2.9695,0.0014913,0.03438891092125,False
KCNB1,0.0057452642,5.9848,1.0835e-09,0.03438425718416,True
CACNA2D2,0.02473702,1.3891,0.082405,0.034362194482,False
B4GALT6,0.012590552,2.7288,0.0031783,0.0343570982976,False
SCN1A,0.012949962,2.6517,0.0040044,0.034339414235400004,False
RANGAP1,0.0069974265,4.9067,4.6318e-07,0.034334272607549995,False
