type,source,old_beta,old_fdr,rbh_beta,rbh_fdr
Astro_1,SEA-AD,-0.7041120379805021,0.9148622521725004,-0.8832673665861598,0.9294713250931256
Astro_2,SEA-AD,-1.315622657743775,0.9521277764845592,-1.7049787320751324,0.9851811088547564
Astro_3,SEA-AD,-1.2033204687835166,0.999999998490552,-1.2950307399611114,0.9999999946160404
Astro_4,SEA-AD,-0.1993097405684933,0.8153244870329298,-0.4304870202409491,0.873943881222194
Astro_5,SEA-AD,0.7337394610431678,0.6620904245322121,0.3942218197545571,0.7031974554936727
Astro_6-SEAAD,SEA-AD,2.1193629156056986,0.1928622233106371,2.1204570149614312,0.1884110847346606
Chandelier_1,SEA-AD,30.895379153913623,1.3247670127558564e-07,30.81974631207589,2.489997279374701e-07
Chandelier_2,SEA-AD,11.760956690508896,0.002429271728261,13.066679501649984,0.0015642207048873
Endo_1,SEA-AD,-1.646686380545618,0.999999998490552,-1.4587456820442068,0.9999999946160404
Endo_2,SEA-AD,-2.43068486684851,0.999999998490552,-2.169516740074173,0.9999999946160404
Endo_3,SEA-AD,-2.9217158648773296,0.999999998490552,-2.5398648764142937,0.9999999946160404
L2/3 IT_1,SEA-AD,1.1057806807740969,0.4469004541867549,0.9464852533175064,0.5009252263561199
L2/3 IT_10,SEA-AD,4.9138803376121185,0.155870643571879,4.567419326095245,0.1884110847346606
L2/3 IT_12,SEA-AD,7.525568716513777,0.0321724248066347,7.66579072010031,0.0374592443419365
L2/3 IT_13,SEA-AD,1.1871813292390272,0.4224140699823761,1.0502286058810917,0.4663088925890119
L2/3 IT_2,SEA-AD,32.42443088233671,8.278654317628309e-09,34.06651709605333,4.975580225607957e-09
L2/3 IT_3,SEA-AD,3.909504073570055,0.1405256941878812,4.708180202998176,0.1602318991230811
L2/3 IT_5,SEA-AD,1.628148566532816,0.2461150632329624,1.579478490359682,0.2554100205469539
L2/3 IT_6,SEA-AD,11.546130408390836,0.0207406153337703,11.514063355597294,0.0293468954450211
L2/3 IT_7,SEA-AD,4.452065269919955,0.1632492090399315,4.12836436033279,0.1933720331014309
L2/3 IT_8,SEA-AD,16.537850210891566,0.0008116056205347,16.860310698501596,0.0014340080628527
L4 IT_1,SEA-AD,2.3402627540375653,0.24269170870741,3.2623632773164535,0.1686654503953052
