supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
CGE_288,51.33809888630548,6.101955659389526,8.413384454426145,0.0,16897,0.0,0.0,Reprocessed
MGE_263,56.886057639803745,6.608187847867298,8.608420182571374,0.0,16897,0.0,0.0,Reprocessed
MGE_260,63.770432620989496,7.290548393215637,8.747000799052692,0.0,16897,0.0,0.0,Reprocessed
MGE_240,58.274227735681905,7.001688721566004,8.322881815095636,0.0,16897,0.0,0.0,Reprocessed
MGE_262,50.91303297349699,6.0382604282802825,8.431738507839947,0.0,16897,0.0,0.0,Reprocessed
Misc_132,40.514368682361585,4.537043723309122,8.929684427376904,0.0,16897,0.0,0.0,Reprocessed
MGE_259,65.31256529697727,7.58747317636972,8.607946780014387,0.0,16897,0.0,0.0,Reprocessed
MGE_261,69.63160819121202,7.5446104899413955,9.229317840072206,0.0,16897,0.0,0.0,Reprocessed
ULIT_133,60.558633346486964,7.402142054573521,8.181230905865949,1.1102230246251565e-16,16897,5.1181281435219717e-14,5.686809048357746e-15,Reprocessed
MGE_242,55.544568024947885,6.918779969384086,8.028087071815422,5.551115123125783e-16,16897,2.559064071760986e-13,2.5590640717609858e-14,Reprocessed
LLC_269,45.74253976535344,6.658559994602228,6.869734567599407,3.3282265832212943e-12,16897,1.5343124548650167e-09,1.3948295044227424e-10,Reprocessed
MGE_239,35.68219634190241,5.2705452007521725,6.770114852028993,6.6456840031037245e-12,16897,3.063660325430817e-09,2.5530502711923475e-10,Reprocessed
CGE_286,36.58186350721173,5.47293615533792,6.684138544450648,1.1977641101168501e-11,16897,5.521692547638679e-09,4.247455805875907e-10,Reprocessed
CGE_280,33.797377113057195,5.255273348482778,6.431135903295051,6.502665073071512e-11,16897,2.997728598685967e-08,2.1412347133471195e-09,Reprocessed
CGE_294,33.22212125937949,5.352172291018728,6.2072219377407265,2.7593860529862013e-10,16897,1.2720769704266388e-07,8.480513136177593e-09,Reprocessed
Splat_423,41.97474730384469,7.406157956368603,5.667546864531876,7.3610284534453285e-09,16897,3.3934341170382964e-06,2.1208963231489353e-07,Reprocessed
ULIT_123,31.542887893581245,5.593054961148225,5.639652768065353,8.656057093325842e-09,16897,3.990442320023213e-06,2.3473190117783607e-07,Reprocessed
MGE_249,25.694365509537615,4.587478055786529,5.600978401875381,1.0823339557930467e-08,16897,4.989559536205945e-06,2.771977520114414e-07,Reprocessed
LLC_270,25.28953710912369,4.56271625587254,5.542649529559121,1.5119267837704342e-08,16897,6.969982473181702e-06,3.668411827990369e-07,Reprocessed
ULIT_122,35.349855330536265,6.475825018785455,5.45874158551093,2.4313961954902652e-08,16897,1.1208736461210123e-05,5.604368230605061e-07,Reprocessed
MSN_217,28.71801536825325,5.470801615656589,5.249324940986113,7.72524924030904e-08,16897,3.5613398997824675e-05,1.6958761427535559e-06,Reprocessed
Splat_390,34.080633904511664,6.524053815102232,5.223843161075706,8.866412226637976e-08,16897,4.087416036480107e-05,1.8579163802182306e-06,Reprocessed
LLC_267,24.497633974982694,4.718809510183147,5.191486098796112,1.0552019691356662e-07,16897,4.864481077715421e-05,2.1149917729197485e-06,Reprocessed
LLC_264,26.089564066582934,5.042625092550589,5.1738060212179455,1.1599835614273246e-07,16897,5.3475242181799665e-05,2.2281350909083195e-06,Reprocessed
MGE_252,22.8154325918389,4.445431058244153,5.132333016283575,1.4467267206441647e-07,16897,6.6694101821696e-05,2.6677640728678397e-06,Reprocessed
LLC_273,28.52339527325373,5.6011927263134424,5.092378831968361,1.787009477061119e-07,16897,8.238113689251758e-05,3.16850526509683e-06,Reprocessed
Misc_404,26.885949952155187,5.4308746397989704,4.950574582430502,3.735403691917938e-07,16897,0.00017220211019741694,6.249440568495794e-06,Reprocessed
EMSN_232,33.04689013141468,6.680285469059164,4.946927834817353,3.805935605560862e-07,16897,0.00017545363141635573,6.249440568495794e-06,Reprocessed
EMSN_228,29.726764783316728,6.016829314941881,4.940602969988666,3.9313183619604786e-07,16897,0.00018123377648637806,6.249440568495794e-06,Reprocessed
CGE_289,24.261382541532207,5.025746062931025,4.827419101112109,6.976180118023478e-07,16897,0.00032160190344088235,1.0720063448029412e-05,Reprocessed
DLIT_141,21.79621180957891,4.560157965919659,4.77970543399437,8.8514962048869e-07,16897,0.00040805397504528607,1.3163031453073745e-05,Reprocessed
CGE_284,19.843497900898164,4.1664626133708955,4.762672737592068,9.63158372613293e-07,16897,0.0004440160097747281,1.3875500305460253e-05,Reprocessed
CGE_293,16.25080000574688,3.466317579801788,4.688202864169225,1.3888407992546092e-06,16897,0.0006402556084563749,1.940168510473863e-05,Reprocessed
DLIT_149,23.81449819708798,5.097839850795412,4.671488099684462,1.5066492869975079e-06,16897,0.0006945653213058511,2.042839180311327e-05,Reprocessed
CGE_283,14.431964736988412,3.1532161697820666,4.576903060212923,2.376358078648444e-06,16897,0.0010955010742569327,3.130003069305522e-05,Reprocessed
CGE_278,16.435792387800404,3.64563873449894,4.5083436908510235,3.2887442534823563e-06,16897,0.0015161111008553663,4.2114197245982396e-05,Reprocessed
EMSN_224,25.943364284373928,5.832095313043956,4.448377965694333,4.353684763036547e-06,16897,0.0020070486757598482,5.41878214181332e-05,Reprocessed
CGE_292,21.77077879993039,4.900167840414458,4.442863899553492,4.466675084358052e-06,16897,0.002059137213889062,5.41878214181332e-05,Reprocessed
Splat_237,19.925627321001137,4.516297076231064,4.411939025417135,5.154145013563927e-06,16897,0.00237606085125297,6.0924637211614625e-05,Reprocessed
ULIT_130,28.87322056274339,6.597313661862416,4.376511720164674,6.065862041770842e-06,16897,0.002796362401256358,6.990906003140896e-05,Reprocessed
DLIT_140,22.783585161518218,5.270617018293488,4.322754827838933,7.748739033086594e-06,16897,0.0035721686942529196,8.712606571348585e-05,Reprocessed
DLNP_93,24.631467779206172,5.739735768134238,4.291394024783286,8.927158345106712e-06,16897,0.004115419997094194,9.798619040700461e-05,Reprocessed
MGE_258,21.039392224576716,4.971338829650737,4.232138050838681,1.1635101543117088e-05,16897,0.0053637818113769775,0.00012473911189248786,Reprocessed
CA13_179,20.234264466105504,4.802873483693763,4.212949713292024,1.2668236726964821e-05,16897,0.0058400571311307825,0.00013272857116206324,Reprocessed
Midi_438,18.07747555805605,4.363240786662938,4.143130402821966,1.721323116155027e-05,16897,0.007935299565474674,0.00017633999034388163,Reprocessed
CGE_290,17.413912992387267,4.220047171419745,4.126473540467257,1.8506707574972303e-05,16897,0.008531592192062232,0.00018546939547961372,Reprocessed
LLC_274,18.795712027712202,4.573865191875107,4.109371666900111,1.9930454336569703e-05,16897,0.009187939449158633,0.00019548807338635392,Reprocessed
Splat_424,9.630835047538481,2.3550332466831416,4.0894688264391466,2.1718246415503017e-05,16897,0.010012111597546891,0.00020858565828222692,Reprocessed
CGE_291,19.574061703931292,4.799980343828143,4.077946220988132,2.2821745008339e-05,16897,0.01052082444884428,0.00021471070303763834,Reprocessed
LLC_266,19.201055478446367,4.723915790898466,4.0646481284532845,2.4161356891427843e-05,16897,0.011138385526948236,0.0002227677105389647,Reprocessed
Splat_355,25.89143659602791,6.407270963647482,4.040946097476831,2.6735830629287527e-05,16897,0.01232521792010155,0.00024089971601026986,Reprocessed
DLIT_136,11.52230341185788,2.8540778710569095,4.037137013220663,2.717306991872892e-05,16897,0.012526785232534032,0.00024089971601026986,Reprocessed
ULIT_125,21.385070863334292,5.352123706933711,3.9956234261980517,3.239895163764661e-05,16897,0.014935916704955088,0.000281809749150096,Reprocessed
Midi_434,15.842125290050038,4.051895440183227,3.9098060460646185,4.6365558189820355e-05,16897,0.021374522325507184,0.0003958244875093923,Reprocessed
MSN_220,20.08829551000173,5.228387183092525,3.842159122217065,6.120138061249669e-05,16897,0.028213836462360975,0.0005129788447701995,Reprocessed
LLC_268,16.696351845174554,4.436151015996558,3.7637023142287704,8.399131751735123e-05,16897,0.038719997375498916,0.0006914285245624807,Reprocessed
DLCT6b_108,25.303225679588284,6.779069059947394,3.7325516904801432,9.508569594973704e-05,16897,0.043834505832828774,0.0007690264181198031,Reprocessed
