supertype,subclass,marginal_p,marginal_t,conditional_p,conditional_t,conditional_beta
Lamp5_5,Lamp5,4.0521919153491126e-11,6.502746629791751,4.0521919153491126e-11,6.502746629791751,9.767772952833427
Pax6_4,Pax6,1.8969410020552857e-07,5.081003340277904,2.6859292255876355e-06,4.551154401752609,4.7006185357599115
Sst_2,Sst,6.948314396071353e-07,4.828190856282645,1.1599194641664923e-05,4.232815697622958,5.774313790766632
Pvalb_6,Pvalb,8.78704977003153e-07,4.78115057498029,6.48949362093143e-05,3.8277298060414737,4.399765722726513
Lamp5_1,Lamp5,1.1483054797034598e-06,4.727008554900122,0.00265028974529935,2.7885322837476614,3.428446257884781
Pax6_2,Pax6,1.2623345708728806e-06,4.707715278590101,0.00047665565604759763,3.304529007387159,2.871156952678833
Sst_20,Sst,8.216898559787467e-06,4.309765689559763,0.004679619305447691,2.598939186240832,3.778913607426205
Vip_1,Vip,1.2494929838124946e-05,4.216044144205883,0.0004448351206646217,3.3238590611288115,3.1165230082759146
Sncg_3,Sncg,3.801797653291139e-05,3.957523134969571,0.005662270875698261,2.5327952899031216,2.2753403502487335
Pax6_3,Pax6,4.0561219121215686e-05,3.9420093637243663,0.017686333369077212,2.104232777727979,2.0473790110365364
Pvalb_12,Pvalb,4.121738159768018e-05,3.938156139301468,0.01343401199468941,2.213620274713011,2.8299123997259623
Sst Chodl_2,Sst Chodl,6.709941671467767e-05,3.819489985217168,0.0045675937075897455,2.60724949968744,2.50930078668272
Pvalb_13,Pvalb,0.0001525254655848,3.611711479552249,0.012587477646946121,2.2389037709575517,2.1571660822432217
Sst_1,Sst,0.0005375364076581,3.2706631087771596,0.007642883733412709,2.425780275331113,1.743983664817136
L6 IT_2,L6 IT,0.0007365551569735,3.180444231605233,0.0001283641519934653,3.656218801963422,1.9858346806060863
Pvalb_5,Pvalb,0.0012671046412365,3.019671719818622,0.03713971876518507,1.7849972758401005,1.406825909811397
L2/3 IT_2,L2/3 IT,0.0019914943276306,2.8798958349920873,0.014425974639309058,2.185687666728267,2.238045054407512
L4 IT_3,L4 IT,0.0030485130451406,2.742857789290838,0.008557014674884567,2.3844812754252387,2.2367501697235754
