cell_type,group,cell_class,color,n_genes,beta,se,p,neglog10p,fdr,bonferroni,depleted_scz
Vip_2,Vip,Inhibitory,#daaaef,15855,4.4434,1.5029,0.0015582,2.8073767999870536,0.006600806451612903,0.194775,False
Vip_11,Vip,Inhibitory,#9b74ad,15855,3.0473,1.5866,0.027398,1.5622811386637607,0.06461792452830188,1.0,False
Vip_13,Vip,Inhibitory,#8e689f,15855,2.7618,1.4763,0.030703,1.512819187396069,0.06977954545454546,1.0,False
Vip_1,Vip,Inhibitory,#e1b0f7,15855,2.1951,1.2931,0.044814,1.3485862901776295,0.09468333333333334,1.0,False
Vip_12,Vip,Inhibitory,#946ea6,15855,3.8252,1.3324,0.0020495,2.6883520773474796,0.007534926470588235,0.2561875,False
Vip_18,Vip,Inhibitory,#6b4a7a,15855,1.7854,1.1563,0.061295,1.212574950619816,0.119716796875,1.0,False
Vip_19,Vip,Inhibitory,#644473,15855,3.1699,1.4202,0.012817,1.8922136156840468,0.035377717391304346,1.0,False
Vip_21,Vip,Inhibitory,#563864,15855,1.843,1.2677,0.073017,1.1365760145828223,0.13828977272727272,1.0,False
Vip_23,Vip,Inhibitory,#492c56,15855,1.6316,1.3597,0.11508,0.9390001467817116,0.20260563380281693,1.0,False
Sst Chodl_1,Sst Chodl,Inhibitory,#c9c958,15855,-0.26069,0.8792,0.61657,0.21001761024755672,0.7340119047619047,1.0,False
Sst_1,Sst,Inhibitory,#ffb84f,15855,0.25223,1.0843,0.40803,0.3893079046662982,0.5344140625,1.0,False
Sst_4,Sst,Inhibitory,#eca846,15855,0.97839,1.1556,0.1986,0.7020207558406376,0.31826923076923075,1.0,False
Sst_5,Sst,Inhibitory,#e6a343,15855,1.7996,1.2117,0.068758,1.1626767643525862,0.13222692307692308,1.0,False
Sst_7,Sst,Inhibitory,#d9993d,15855,1.546,1.3457,0.12533,0.9019449603307567,0.21758680555555557,1.0,False
Sst_3,Sst,Inhibitory,#f2ad49,15855,5.9778,1.619,0.00011156,3.952491494405988,0.0007747222222222222,0.013944999999999999,True
Sst_19,Sst,Inhibitory,#8e5b19,15855,4.6306,1.652,0.0025345,2.5961077044405796,0.0085625,0.3168125,False
Sst_9,Sst,Inhibitory,#cd8f37,15855,4.7564,1.5831,0.0013329,2.8752024320394667,0.005950446428571428,0.1666125,False
Sst_10,Sst,Inhibitory,#c68934,15855,2.6669,1.2743,0.018192,1.7401195526563404,0.04458823529411765,1.0,False
Sst_13,Sst,Inhibitory,#b47a2b,15855,4.6568,1.5832,0.001637,2.7859513205880586,0.006600806451612903,0.204625,False
Sst_12,Sst,Inhibitory,#ba7f2e,15855,2.2731,1.3444,0.045448,1.3424852237307978,0.09468333333333334,1.0,False
Sst Chodl_2,Sst Chodl,Inhibitory,#7d7d08,15855,1.0229,1.1789,0.19279,0.7149154966647813,0.3129707792207792,1.0,False
Sst_11,Sst,Inhibitory,#c08430,15855,5.7163,1.7125,0.00042312,3.373536445989072,0.002594583333333333,0.05289,False
Sst_20,Sst,Inhibitory,#885616,15855,7.1017,1.6398,7.4856e-06,5.12577338353125,0.00018714,0.0009357,True
Sst_22,Sst,Inhibitory,#7b4c10,15855,2.353,1.4739,0.055201,1.2580530546884074,0.10952579365079365,1.0,True
Sst_23,Sst,Inhibitory,#75470c,15855,6.4736,1.5525,1.5337e-05,4.814259582425038,0.00023731249999999997,0.0019171249999999998,False
Sst_25,Sst,Inhibitory,#693d07,15855,2.5502,1.4945,0.043978,1.3567645250596767,0.09468333333333334,1.0,True
Sst_2,Sst,Inhibitory,#f8b24c,15855,7.3816,1.6413,3.4692e-06,5.459770662281717,0.00014455000000000002,0.00043365,True
Pvalb_6,Pvalb,Inhibitory,#be5860,15855,7.0159,1.6464,1.0227e-05,4.990251744051446,0.0002130625,0.001278375,False
Pvalb_5,Pvalb,Inhibitory,#c96068,15855,5.7639,1.5057,6.4853e-05,4.188069929320679,0.0005404416666666667,0.008106625,False
Pvalb_8,Pvalb,Inhibitory,#a64a52,15855,6.0011,1.5902,8.0727e-05,4.09298118659319,0.0006306796875,0.010090875000000001,False
Pvalb_7,Pvalb,Inhibitory,#b25159,15855,0.6814,1.137,0.2745,0.5614576512138892,0.40193313953488374,1.0,False
Pvalb_1,Pvalb,Inhibitory,#f97d86,15855,3.6435,1.4629,0.0063811,2.195104449374178,0.019454573170731706,0.7976375,False
Pvalb_3,Pvalb,Inhibitory,#e16e77,15855,4.6007,1.4003,0.00051028,3.2921914531450445,0.0027905978260869568,0.063785,False
Pvalb_2,Pvalb,Inhibitory,#ed757e,15855,6.363,1.6606,6.3889e-05,4.1945739094556,0.0005404416666666667,0.007986125,False
Pvalb_15,Pvalb,Inhibitory,#54181e,15855,4.1868,1.3676,0.0011035,2.957227662502326,0.005108796296296297,0.13793750000000002,False
Pvalb_14,Pvalb,Inhibitory,#5f1f25,15855,6.8152,1.5532,5.7673e-06,5.239027457128052,0.00018022812499999998,0.0007209124999999999,False
Pvalb_12,Pvalb,Inhibitory,#772d34,15855,4.4715,1.5482,0.0019409,2.711996839968138,0.0073518939393939385,0.2426125,False
Pvalb_10,Pvalb,Inhibitory,#8e3c43,15855,2.8147,1.3318,0.017292,1.762154773138386,0.04411224489795918,1.0,False
Pvalb_13,Pvalb,Inhibitory,#6b262c,15855,2.7046,1.2855,0.017701,1.7520021979198792,0.0442525,1.0,False
Pvalb_9,Pvalb,Inhibitory,#9a434a,15855,3.622,1.3792,0.0043233,2.364184627102476,0.01385673076923077,0.5404125000000001,False
Chandelier_1,Chandelier,Inhibitory,#f87cc3,15855,4.7199,1.4374,0.00051347,3.289484925416384,0.0027905978260869568,0.06418375,False
Chandelier_2,Chandelier,Inhibitory,#ad2d76,15855,4.2336,1.3131,0.00063316,3.1984865295772074,0.0031658,0.07914500000000001,False
L2/3 IT_1,L2/3 IT,Excitatory,#eef987,15855,0.88193,1.1567,0.22291,0.651870448130786,0.33980182926829267,1.0,False
L2/3 IT_2,L2/3 IT,Excitatory,#e1ec7f,15855,0.53497,1.0891,0.31164,0.5063468043230726,0.4376966292134831,1.0,False
L2/3 IT_6,L2/3 IT,Excitatory,#adbc63,15855,-0.66024,0.97474,0.7509,0.12441789567211431,0.830641592920354,1.0,False
L2/3 IT_7,L2/3 IT,Excitatory,#a0b05c,15855,0.16504,1.0523,0.43769,0.35883337569538665,0.5526388888888889,1.0,False
L2/3 IT_5,L2/3 IT,Excitatory,#bac86a,15855,0.32869,1.349,0.40375,0.3938874646608407,0.5344140625,1.0,False
L2/3 IT_13,L2/3 IT,Excitatory,#536831,15855,-0.29812,1.034,0.61345,0.21222082920268812,0.7340119047619047,1.0,False
L2/3 IT_10,L2/3 IT,Excitatory,#798c46,15855,-0.42005,1.0649,0.65337,0.1848408103772131,0.7562152777777778,1.0,False
L2/3 IT_8,L2/3 IT,Excitatory,#93a454,15855,-0.18465,1.152,0.56367,0.24897507885936732,0.6840655339805826,1.0,False
L2/3 IT_12,L2/3 IT,Excitatory,#5f7438,15855,0.90024,1.1747,0.22174,0.6541559568073807,0.33980182926829267,1.0,False
L6 IT_1,L6 IT,Excitatory,#beb867,15855,3.0133,1.3538,0.013019,1.885422372999834,0.035377717391304346,1.0,False
L6 IT_2,L6 IT,Excitatory,#716c18,15855,3.1147,1.3279,0.0095056,2.022020464967388,0.027632558139534885,1.0,False
L4 IT_2,L4 IT,Excitatory,#72c3c7,15855,3.2829,1.1474,0.0021138,2.674936106435114,0.007549285714285713,0.264225,False
L4 IT_3,L4 IT,Excitatory,#579697,15855,1.4506,1.2806,0.12866,0.8905564529356507,0.2203082191780822,1.0,False
L4 IT_4,L4 IT,Excitatory,#3c6868,15855,1.4022,1.15,0.11138,0.9531927864462597,0.20177536231884058,1.0,False
L5 IT_1,L5 IT,Excitatory,#b0dfe2,15855,2.2387,1.3412,0.047549,1.3228586122501989,0.09743647540983608,1.0,False
L5 IT_3,L5 IT,Excitatory,#82adad,15855,0.41681,1.1103,0.35369,0.4513772189701318,0.48055706521739133,1.0,False
L2/3 IT_3,L2/3 IT,Excitatory,#d4e078,15855,-0.40019,1.2074,0.62984,0.20076976156603685,0.7427358490566037,1.0,False
L4 IT_1,L4 IT,Excitatory,#8df2f7,15855,0.21498,1.2925,0.43395,0.36256030729633587,0.5526388888888889,1.0,False
L5 IT_2,L5 IT,Excitatory,#99c6c7,15855,3.8044,1.6439,0.010335,1.985689519036693,0.02936079545454546,1.0,False
L5 IT_5,L5 IT,Excitatory,#547b79,15855,-0.58848,1.1704,0.69245,0.15961158039789355,0.779786036036036,1.0,False
L5 IT_6,L5 IT,Excitatory,#3d625f,15855,0.091094,1.1897,0.46948,0.3283829040893427,0.581039603960396,1.0,False
L5 IT_7,L5 IT,Excitatory,#264945,15855,-1.8885,1.0179,0.96821,0.014030436131824796,0.9920184426229508,1.0,False
L5 ET_2,L5 ET,Excitatory,#0d5b78,15855,-0.5003,0.90321,0.71018,0.14863156240886455,0.7926116071428572,1.0,False
L6 CT_1,L6 CT,Excitatory,#81cde7,15855,4.4527,1.5227,0.0017294,2.7621045453603963,0.00675546875,0.216175,False
L6 CT_2,L6 CT,Excitatory,#5fa3bc,15855,0.21999,1.1881,0.42655,0.3700300537078291,0.5496778350515463,1.0,False
L6 CT_3,L6 CT,Excitatory,#3d7a91,15855,1.3569,0.99131,0.085544,1.0678104461845135,0.15959701492537312,1.0,False
L6b_1,L6b,Excitatory,#c7afd4,15855,1.4521,0.89168,0.051727,1.286282708546775,0.10428830645161291,1.0,False
L6b_2,L6b,Excitatory,#aa93bb,15855,0.5243,1.0447,0.30789,0.5116044163756126,0.43734375000000003,1.0,False
L6b_3,L6b,Excitatory,#8e77a3,15855,2.0594,0.94407,0.014586,1.8360637907730206,0.03879255319148936,1.0,False
L6b_4,L6b,Excitatory,#715b8b,15855,2.9629,1.1587,0.005283,2.277119389313061,0.016509375,0.660375,False
L6b_5,L6b,Excitatory,#553f73,15855,0.98674,1.0382,0.17096,0.767105490843987,0.28493333333333337,1.0,False
L6b_6,L6b,Excitatory,#39245b,15855,-0.46085,0.95891,0.6846,0.16456310519814174,0.7779545454545455,1.0,False
L6 IT Car3_1,L6 IT Car3,Excitatory,#874fff,15855,0.1944,0.85855,0.41043,0.38676090238386146,0.5344140625,1.0,False
L6 IT Car3_2,L6 IT Car3,Excitatory,#631aff,15855,-0.80898,0.81235,0.84033,0.07555013175382047,0.9214144736842105,1.0,False
L6 IT Car3_3,L6 IT Car3,Excitatory,#23068c,15855,0.40317,1.0701,0.35317,0.4520161946409247,0.48055706521739133,1.0,False
