gene,specificity,gwas_zstat,gwas_p,contribution,is_scz_gwas
CRYGC,0.70853007,2.1669,0.015122,1.535313808683,False
OVCA2,0.31019765,2.9491,0.0015933,0.914803889615,False
HAND1,0.36213976,1.9124,0.027913,0.692556077024,False
SHISA8,0.08528036,5.6185,9.6334e-09,0.47914770266,True
OBP2A,0.23946737,1.9401,0.026187,0.464590644537,True
DLK1,0.19563697,1.5114,0.065347,0.295685716458,False
RXFP4,0.10862804,2.5913,0.0047813,0.281487840052,False
HS3ST3A1,0.085603714,3.1116,0.00093036,0.2663645164824,False
TNFRSF13C,0.034177735,6.8164,4.6688e-12,0.232969112854,True
LBX1,0.116295956,1.9432,0.025997,0.2259863016992,False
OR6B1,0.08782186,2.3199,0.010173,0.203737933014,False
MCOLN3,0.1695689,1.1883,0.11736,0.20149872386999998,False
CALB2,0.047253657,4.1345,1.7786e-05,0.19537024486649998,False
MYH7,0.11331056,1.6359,0.050935,0.185364745104,False
USH1G,0.08689865,2.0305,0.021154,0.176447708825,False
SLC6A2,0.109631516,1.5871,0.056242,0.17399617904359999,False
C15orf56,0.032772694,5.2621,7.1196e-08,0.1724531930974,False
NEUROD4,0.15326464,1.1248,0.13034,0.172392067072,False
TMEM190,0.067360185,2.5476,0.0054232,0.171606807306,False
ITIH1,0.023627864,7.0889,6.7601e-13,0.16749556510959998,True
CHRM4,0.023612076,7.0128,1.1682e-12,0.1655867665728,True
ACTC1,0.0397103,4.1629,1.5712e-05,0.16531000786999997,False
DLX1,0.029305961,5.4558,2.4377e-08,0.1598874620238,True
TAC3,0.073570766,2.1674,0.0151,0.1594572782284,False
KCNG2,0.025715327,6.1648,3.5289e-10,0.15852984788959998,True
CSNK1A1L,0.13763784,1.1468,0.12573,0.15784307491200003,False
DLX2,0.033206534,4.6606,1.5763e-06,0.1547623723604,True
CRYGD,0.07145039,2.1617,0.015321,0.154454308063,False
HSD11B2,0.042962596,3.5449,0.00019635,0.1522981065604,False
C10orf99,0.06220878,2.4293,0.007563,0.151123789254,False
