gene,spearman_rho_sag,pval_sag,pval_fdr_sag,spearman_rho_tau,pval_tau,pval_fdr_tau,combined_score,is_scz
KIRREL3,0.8176470588235294,0.00010936308081986552,0.0331186159608047,-0.9176470588235294,5.528654958744469e-07,0.0010327428471325168,1.7352941176470589,False
AP002833.1,0.8584108144407107,2.0862896415595932e-05,0.021702509173113574,-0.8672604104658728,1.3609464421683917e-05,0.004083217367183555,1.7256712249065833,False
PRMT8,0.8823529411764707,6.095619569194933e-06,0.021320421529211556,-0.8176470588235294,0.00010936308081986552,0.009228364343245058,1.7000000000000002,False
TAF7L,0.8088235294117646,0.0001484755922323442,0.037008112423881925,-0.8823529411764707,6.095619569194933e-06,0.0028216622985803345,1.6911764705882353,False
AIFM2,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,-0.8294117647058824,7.088454064639912e-05,0.007865999214264625,1.6823529411764706,False
PCDH18,0.8462106779513116,3.596393862219723e-05,0.024277906316147013,-0.830022299764417,6.924658434214524e-05,0.007865999214264625,1.6762329777157285,False
AP002833.2,0.8429860904706278,4.12127596709841e-05,0.024821280663560524,-0.8281708691969789,7.43134229171728e-05,0.008124896984513833,1.6711569596676066,False
ADAMTS12,0.8470588235294119,3.468046484915084e-05,0.023909597925681588,-0.823529411764706,8.83913936384215e-05,0.008473805704336604,1.670588235294118,False
TDRD3,0.8470588235294119,3.468046484915084e-05,0.023909597925681588,-0.823529411764706,8.83913936384215e-05,0.008473805704336604,1.670588235294118,False
CACNG3,0.8705882352941177,1.1498934802741624e-05,0.021626866006845366,-0.7970588235294117,0.0002180980699057476,0.013038803983682543,1.6676470588235293,False
KLF12,0.7588235294117647,0.0006540302361647908,0.05986593712555852,-0.9058823529411765,1.3635133553269886e-06,0.001262340664361726,1.664705882352941,True
ZNF114,0.7441176470588236,0.0009482827857378677,0.06983456160514576,-0.9205882352941176,4.3204104274523157e-07,0.0010327428471325168,1.664705882352941,False
FNDC3B,0.7941176470588236,0.00023919092762563114,0.04212230232528981,-0.8676470588235294,1.334868129916697e-05,0.004042404861092592,1.661764705882353,False
