supertype,pip_weighted_atac_score,n_cells
L5 IT_7,55.778342482209254,5013
L2/3 IT_13,55.74420335098193,13009
L5 IT_6,53.639815835786656,3689
L5 ET_2,53.526261853650354,695
L5 IT_5,50.720631093789734,9978
L5 IT_3,50.45784135439396,2683
L2/3 IT_12,50.445065871578265,5667
L6 IT_2,50.239002315763116,15632
L2/3 IT_3,49.779689474302515,3223
L5 ET_1,49.41187205452013,298
L2/3 IT_10,48.79928320880111,10614
L2/3 IT_5,48.743490712856904,12817
L2/3 IT_8,48.627631833966085,3833
L6 CT_3,45.83241769262323,284
L6 IT_1,45.40140544221536,2981
L6 IT Car3_2,44.87439933630968,2057
L5 IT_1,44.683884147489664,5422
L6 CT_2,44.10772489948904,3605
L4 IT_3,43.338129135037704,2334
L6b_6,43.26772498492921,2670
L6 IT Car3_3,42.4891025534303,6054
L6 CT_4,42.21106108538342,193
L4 IT_4,41.33559734561655,8846
L2/3 IT_6,41.32423865420472,30559
L6b_3,41.29447556962857,35
L6 IT Car3_1,40.7080070028302,1914
L4 IT_2,40.60198230895094,46904
L6 CT_1,39.759604589188925,1715
L2/3 IT_7,39.66975733188261,2777
L6b_2,39.514625929769444,707
L5 IT_2,39.448638339449154,21311
Pvalb_10,39.09485189791039,1049
L5/6 NP_6,38.72492612215247,223
L2/3 IT_2,37.956164851640196,806
L2/3 IT_1,36.50788508590508,60028
L5/6 NP_2,36.26717011017584,2542
L4 IT_1,36.1557285321087,7075
L5/6 NP_1,36.00037308887568,3660
Pax6_3,35.02670755608664,277
Pvalb_13,34.63928603221401,514
L5/6 NP_3,34.56154373326258,278
L5/6 NP_4,33.75664787715909,484
L6b_1,33.67230855738056,607
L6b_5,33.2900496024685,254
Sst Chodl_2,32.61179682231428,210
Pvalb_1,32.38703147175716,2269
Pvalb_15,32.29318345499829,14054
Pax6_4,31.987084614027946,501
L6b_4,31.886590245526097,728
Vip_6,31.840293543586327,1697
Pvalb_3,31.745014283982485,2399
Sncg_3,31.094634725248735,595
Micro-PVM_2_1-SEAAD,31.029184159514283,35
Pvalb_2,30.91669072876077,6082
Sst_1,30.484208413005234,764
Sst_9,30.3948916005939,1640
Pvalb_6,29.868348127665747,1822
Pvalb_12,29.845530824779907,1045
Sst_12,29.771500520876987,943
Sst Chodl_1,29.510280547151076,278
Lamp5_Lhx6_1,29.429152177773886,7660
Vip_9,29.40780125687949,2755
Pvalb_7,29.28784015266482,904
Pax6_2,28.73407688698718,312
Vip_14,28.72995972623583,441
Vip_5,27.945257207538415,1588
Pvalb_14,27.87253380412025,1921
Pvalb_5,27.856240129636173,1465
Pax6_1,27.50395024910535,1794
Vip_13,27.406913281364876,2716
Sncg_2,27.17950955281818,462
Sst_4,27.14505586734083,1156
Vip_15,27.036956720903685,3063
Vip_16,26.986161008726338,391
Sst_7,26.844256669892076,732
Sst_25,26.389801525003882,1544
Sncg_6,26.260888880325787,1237
Lamp5_4,26.24391996587732,269
Lamp5_3,26.14464831062461,2584
Vip_11,25.913072993206733,3565
OPC_1,25.891562835882347,34
Lamp5_1,25.378586553142856,1190
Pvalb_9,24.78741851197893,2041
Sst_22,24.60748905952439,328
Lamp5_2,24.29115390180767,9432
Sncg_5,23.836673485344527,923
Sncg_4,23.675340088790215,2188
Sst_5,23.448752834852296,1740
Sncg_8,23.262650946820884,1714
Sst_2,22.84214796360606,1287
Vip_4,22.4119317470938,5437
Sst_10,22.177471743101663,1800
Lamp5_6,22.033432038615388,689
Pvalb_8,21.833784200585775,717
Chandelier_2,21.58913656983159,956
Sst_3,21.541260609681228,4602
Sncg_1,21.44797402152009,1294
Vip_19,21.312877854534662,2452
Vip_12,21.206915114827545,1902
Vip_18,21.088671617790794,1195
Vip_2,20.967201896090586,2252
Lamp5_5,20.78732900190743,2247
Sst_13,20.66537230671733,2908
Vip_21,20.330870808714707,673
Sst_23,20.26911051034685,1381
Vip_1,20.059232727017438,3441
Sst_20,20.043420709480703,1192
Chandelier_1,19.56161934297007,1871
Vip_23,18.184024914094344,2989
Astro_3,18.100500477414602,3273
Astro_6-SEAAD,18.083666508313378,568
Astro_2,17.328358748605083,13608
OPC_2,17.29832502105242,7440
Sst_11,16.79368137979862,725
OPC_2_2-SEAAD,16.332384626005318,376
Sst_19,15.986393610314758,3266
Astro_1,15.578047422354492,1024
Astro_5,15.254297884292306,975
Astro_4,14.630924088531913,188
Micro-PVM_3-SEAAD,14.0601318986989,910
Oligo_1,13.629504702225193,3739
Micro-PVM_2,13.040799832043557,6130
Micro-PVM_2_3-SEAAD,12.45120496633519,1796
Micro-PVM_4-SEAAD,11.970469846289856,69
OPC_2_1-SEAAD,11.854968676959327,713
Oligo_4,10.788278121988734,10120
Oligo_2,10.453612951418933,19743
Monocyte,10.313311263789473,57
VLMC_1,9.617829024433718,694
Micro-PVM_1,9.352585598782998,447
Oligo_3,9.043591889,31
Oligo_2_1-SEAAD,8.370502745397499,1600
Endo_2,8.26992947590535,243
Endo_1,7.6969345766,10
Endo_3,7.589970677521739,46
Lymphocyte,5.923167116059361,219
Pericyte_1,5.567899251431034,522
SMC-SEAAD,4.499649076999999,12
Pericyte_2-SEAAD,3.3500317217575755,33
