cell_type,source,group,cell_class,color,n_genes,beta,se,p,neglog10p,fdr,bonferroni,depleted_scz
Epen_71,Siletti,Ependymal,Siletti,#9e9e9e,15981,-3.0088,1.991,0.93462,0.02936492971369306,1.0,1.0,False
Epen_72,Siletti,Ependymal,Siletti,#9e9e9e,15981,-3.7292,2.0973,0.9623,0.016689514205884434,1.0,1.0,False
Epen_73,Siletti,Ependymal,Siletti,#9e9e9e,15981,-2.9077,1.9368,0.93335,0.029955468188080352,1.0,1.0,False
Epen_74,Siletti,Ependymal,Siletti,#9e9e9e,15981,-3.4692,2.0771,0.95254,0.021116777946805457,1.0,1.0,False
COP_75,Siletti,Committed oligodendrocyte precursor,Siletti,#9e9e9e,15981,-8.8055,2.6076,0.99963,0.00016071869309628963,1.0,1.0,False
Chrp_76,Siletti,Choroid plexus,Siletti,#9e9e9e,15981,-9.3212,2.332,0.99997,1.302902989351207e-05,1.0,1.0,False
Chrp_77,Siletti,Choroid plexus,Siletti,#9e9e9e,15981,-8.39,2.1473,0.99995,2.171526698135886e-05,1.0,1.0,False
Chrp_78,Siletti,Choroid plexus,Siletti,#9e9e9e,15981,-7.7168,2.0837,0.99989,4.777502068369477e-05,1.0,1.0,False
Chrp_79,Siletti,Choroid plexus,Siletti,#9e9e9e,15981,-8.4891,2.2499,0.99992,3.47449483687128e-05,1.0,1.0,False
Chrp_80,Siletti,Choroid plexus,Siletti,#9e9e9e,15981,-8.4111,2.2325,0.99992,3.47449483687128e-05,1.0,1.0,False
Chrp_81,Siletti,Choroid plexus,Siletti,#9e9e9e,15981,-7.6415,2.2856,0.99958,0.0001824419979013753,1.0,1.0,False
Chrp_82,Siletti,Choroid plexus,Siletti,#9e9e9e,15981,-5.9196,1.797,0.99951,0.0002128564502228404,1.0,1.0,False
DLNP_83,Siletti,Deep-layer near-projecting,Siletti,#9e9e9e,15981,10.042,5.058,0.023561,1.627806280724266,0.04877711157024793,1.0,False
DLCT6b_84,Siletti,Deep-layer corticothalamic and 6b,Siletti,#9e9e9e,15981,8.6001,5.974,0.075003,1.1249213651764502,0.12737797627118644,1.0,False
DLNP_85,Siletti,Deep-layer near-projecting,Siletti,#9e9e9e,15981,19.19,5.9373,0.00061601,3.210412237657704,0.002660525948275862,0.30862101,False
DLNP_87,Siletti,Deep-layer near-projecting,Siletti,#9e9e9e,15981,13.048,5.3809,0.0076631,2.1155955070591532,0.019666039285714285,1.0,False
DLNP_88,Siletti,Deep-layer near-projecting,Siletti,#9e9e9e,15981,22.924,6.321,0.00014405,3.841486737383568,0.0008201028409090909,0.07216905,False
DLNP_91,Siletti,Deep-layer near-projecting,Siletti,#9e9e9e,15981,19.523,5.7721,0.00036049,3.4431067781153017,0.0017228674285714287,0.18060548999999998,False
DLNP_92,Siletti,Deep-layer near-projecting,Siletti,#9e9e9e,15981,27.498,6.4414,9.8888e-06,5.004856406582581,8.54187724137931e-05,0.0049542888,False
DLNP_94,Siletti,Deep-layer near-projecting,Siletti,#9e9e9e,15981,26.135,6.5102,2.9952e-05,4.523574172941989,0.0002239694328358209,0.015005952,False
DLNP_96,Siletti,Deep-layer near-projecting,Siletti,#9e9e9e,15981,10.378,5.2972,0.025061,1.6010016035008057,0.05124718775510204,1.0,False
DLCT6b_97,Siletti,Deep-layer corticothalamic and 6b,Siletti,#9e9e9e,15981,3.4473,4.3004,0.2114,0.6748950170285926,0.29567373259052926,1.0,False
DLCT6b_101,Siletti,Deep-layer corticothalamic and 6b,Siletti,#9e9e9e,15981,8.0474,4.4082,0.03397,1.468904453129972,0.06648035156250001,1.0,False
DLCT6b_102,Siletti,Deep-layer corticothalamic and 6b,Siletti,#9e9e9e,15981,8.3154,5.6545,0.070715,1.150488454289895,0.12258897923875432,1.0,False
DLCT6b_103,Siletti,Deep-layer corticothalamic and 6b,Siletti,#9e9e9e,15981,7.3767,4.7554,0.060434,1.218718659757232,0.10661068309859155,1.0,False
DLCT6b_104,Siletti,Deep-layer corticothalamic and 6b,Siletti,#9e9e9e,15981,6.4884,4.4688,0.073271,1.135067881184916,0.12528590784982935,1.0,False
DLCT6b_105,Siletti,Deep-layer corticothalamic and 6b,Siletti,#9e9e9e,15981,6.6532,5.6366,0.11894,0.9246720658367413,0.1862154375,1.0,False
DLCT6b_107,Siletti,Deep-layer corticothalamic and 6b,Siletti,#9e9e9e,15981,12.011,4.9961,0.0081142,2.090754291945235,0.020531384848484848,1.0,False
DLCT6b_109,Siletti,Deep-layer corticothalamic and 6b,Siletti,#9e9e9e,15981,32.226,7.6349,1.2248e-05,4.911934822309795,9.897174193548387e-05,0.006136248,False
DLCT6b_111,Siletti,Deep-layer corticothalamic and 6b,Siletti,#9e9e9e,15981,3.6843,5.2516,0.24148,0.6171188328185646,0.32875402173913043,1.0,False
DLCT6b_112,Siletti,Deep-layer corticothalamic and 6b,Siletti,#9e9e9e,15981,16.987,6.7014,0.0056307,2.249437610967524,0.015331416847826088,1.0,False
L5ET_113,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,4.2705,3.8879,0.13602,0.866397229489839,0.207495,1.0,False
L5ET_115,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,11.034,4.589,0.0081036,2.0913220042321927,0.020531384848484848,1.0,False
Misc_116,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,13.673,5.2493,0.0046031,2.336949590177404,0.013029113559322033,1.0,False
L5ET_117,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,15.651,5.6524,0.0028164,2.5503056643537825,0.008764077018633541,1.0,False
L5ET_118,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,20.771,5.2074,3.3386e-05,4.476435610954305,0.00023558290140845073,0.016726386,False
CA13_119,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,6.563,4.9554,0.092696,1.0329390060432944,0.1507814805194805,1.0,False
ULIT_121,Siletti,Upper-layer intratelencephalic,Siletti,#9e9e9e,15981,15.481,5.7138,0.0033736,2.471906411993193,0.009942197647058825,1.0,False
ULIT_122,Siletti,Upper-layer intratelencephalic,Siletti,#9e9e9e,15981,51.39,7.6647,1.0486e-11,10.979390146622295,5.253486e-10,5.253486e-09,False
ULIT_127,Siletti,Upper-layer intratelencephalic,Siletti,#9e9e9e,15981,17.131,6.3658,0.0035655,2.4478795592161386,0.010385555232558139,1.0,False
ULIT_131,Siletti,Upper-layer intratelencephalic,Siletti,#9e9e9e,15981,39.103,7.162,2.4272e-08,7.6148944365573445,5.06678e-07,1.2160272e-05,False
Misc_132,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,62.041,6.5474,1.5447999999999998e-21,20.811127739228663,7.739447999999999e-19,7.739447999999999e-19,False
ULIT_133,Siletti,Upper-layer intratelencephalic,Siletti,#9e9e9e,15981,62.984,7.9051,8.7394e-16,15.058518382655508,2.1892197e-13,4.3784394e-13,False
DLIT_136,Siletti,Deep-layer intratelencephalic,Siletti,#9e9e9e,15981,25.213,5.3913,1.4721e-06,5.832062687299422,1.638938e-05,0.0007375221,False
DLIT_140,Siletti,Deep-layer intratelencephalic,Siletti,#9e9e9e,15981,50.01,7.3203,4.376e-12,11.358922686674626,3.5234614285714284e-10,2.1923759999999998e-09,False
DLIT_141,Siletti,Deep-layer intratelencephalic,Siletti,#9e9e9e,15981,45.451,7.1819,1.2773e-10,9.893707087824342,4.266182e-09,6.399273000000001e-08,False
DLIT_143,Siletti,Deep-layer intratelencephalic,Siletti,#9e9e9e,15981,19.031,6.9431,0.0030668,2.513314545415803,0.009311920000000001,1.0,False
DLIT_145,Siletti,Deep-layer intratelencephalic,Siletti,#9e9e9e,15981,7.0537,5.6743,0.10693,0.9709004331764571,0.1695314240506329,1.0,False
DLIT_146,Siletti,Deep-layer intratelencephalic,Siletti,#9e9e9e,15981,31.489,7.2319,6.726e-06,5.1722431370213835,6.35797358490566e-05,0.003369726,False
DLIT_148,Siletti,Deep-layer intratelencephalic,Siletti,#9e9e9e,15981,31.177,7.3984,1.2625e-05,4.898768613209301,0.00010039880952380953,0.006325125,False
DLIT_151,Siletti,Deep-layer intratelencephalic,Siletti,#9e9e9e,15981,8.6106,5.0629,0.044509,1.3515521630610092,0.08266685555555556,1.0,False
DLIT_152,Siletti,Deep-layer intratelencephalic,Siletti,#9e9e9e,15981,4.4039,4.7,0.17439,0.7584784223239495,0.2532446086956522,1.0,False
Amex_153,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,16.715,5.2337,0.00070402,3.152415003121721,0.002914991900826446,0.35271401999999996,False
Amex_154,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,13.96,5.4264,0.0050518,2.2965538514293993,0.014060843333333335,1.0,False
Amex_155,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,34.115,7.2796,1.404e-06,5.852632892206214,1.5986454545454545e-05,0.000703404,False
Amex_156,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,21.331,6.75,0.00079017,3.1022794629888977,0.003218497317073171,0.39587517,False
Amex_157,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,24.846,7.0148,0.00019927,3.700558079197908,0.0010970798901098902,0.09983427,False
Amex_158,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,17.741,6.4269,0.00289,2.5391021572434522,0.00888276073619632,1.0,False
Amex_159,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,20.458,6.5671,0.00092113,3.03567907306216,0.003522794885496183,0.46148613,False
Amex_160,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,6.1573,5.9259,0.1494,0.82564940252062,0.22276607142857144,1.0,False
Amex_161,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,6.5617,4.2412,0.060926,1.215197333855708,0.10710149473684209,1.0,False
Amex_162,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,19.045,6.0616,0.00084104,3.0751833485942788,0.0033178034645669294,0.42136104,False
CA13_163,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,12.605,5.2972,0.0086733,2.061815631576787,0.0217266165,1.0,False
Misc_164,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,5.4196,4.9503,0.13681,0.8638821571035239,0.207495,1.0,False
Misc_165,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,3.2112,5.0549,0.26263,0.580655666326157,0.3537033064516129,1.0,False
Misc_166,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,2.7111,5.0856,0.29699,0.5272581736387951,0.38950782722513083,1.0,False
Misc_167,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,31.577,6.4979,5.9492e-07,6.225541430732733,7.451373000000001e-06,0.00029805492,False
Misc_168,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,28.302,6.6474,1.0402e-05,4.982883150561187,8.832884745762712e-05,0.0052114019999999995,False
CA13_169,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,15.162,6.1053,0.0065126,2.1862455951143365,0.017294838095238095,1.0,False
Misc_170,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,15.005,6.5138,0.010629,1.9735075929471604,0.025725260869565218,1.0,False
Amex_171,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,7.6659,4.6079,0.048104,1.3178188091625573,0.08732103260869566,1.0,False
Amex_172,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,11.571,6.2221,0.031478,1.5019928689609001,0.06283058964143426,1.0,False
Amex_173,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,6.7312,4.4977,0.067261,1.1722366801190125,0.11700611458333333,1.0,False
Amex_174,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,11.404,5.5233,0.019482,1.7103664609903548,0.04225316883116883,1.0,False
Amex_175,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,9.5957,6.0396,0.056065,1.251308173511546,0.09995930604982205,1.0,False
Misc_176,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,11.392,4.7669,0.0084347,2.0739303595077607,0.021235098994974874,1.0,False
Misc_177,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,48.477,7.375,2.5536e-11,10.592847130329364,9.138240000000001e-10,1.2793536000000001e-08,False
Misc_178,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,33.273,6.336,7.6647e-08,7.115504838969334,1.20000459375e-06,3.8400147e-05,False
CA13_179,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,32.915,6.3386,1.0511e-07,6.9783559639125565,1.5488267647058823e-06,5.266011e-05,False
CA13_180,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,15.899,5.0386,0.00080302,3.0952736380569705,0.0032185041600000003,0.40231302,False
CA13_181,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,12.163,5.2011,0.0096862,2.013846567913922,0.024023694059405944,1.0,False
CA13_182,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,6.9581,4.1778,0.047921,1.319474127806756,0.08732103260869566,1.0,False
CA13_183,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,6.1382,4.7616,0.098692,1.005718049930845,0.15898614790996785,1.0,False
CA13_184,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,-1.6859,3.8889,0.66767,0.17543813721141924,0.794543159144893,1.0,False
CA13_185,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,19.393,5.6769,0.00031854,3.4968360242751992,0.0015782482352941177,0.15958854,False
CA13_186,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,3.5168,4.583,0.22144,0.6547439272233362,0.3073170083102493,1.0,False
CA13_187,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,7.0328,5.5751,0.10358,0.9847240933181247,0.16526617834394905,1.0,False
CA13_188,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,19.048,6.1571,0.00099074,3.0040403025080162,0.0037320356390977438,0.49636073999999997,False
CA13_189,Siletti,Hippocampal CA1-3,Siletti,#9e9e9e,15981,8.6512,4.378,0.024085,1.6182533493495472,0.049453217213114756,1.0,False
CA4_190,Siletti,Hippocampal CA4,Siletti,#9e9e9e,15981,-0.27192,3.9791,0.52724,0.2779916486411159,0.6426940145985401,1.0,False
CA4_191,Siletti,Hippocampal CA4,Siletti,#9e9e9e,15981,10.568,4.942,0.01625,1.7891466346851068,0.03700568181818182,1.0,False
CA4_192,Siletti,Hippocampal CA4,Siletti,#9e9e9e,15981,3.7805,3.9707,0.17053,0.7681992079421007,0.24835909883720927,1.0,False
CA4_193,Siletti,Hippocampal CA4,Siletti,#9e9e9e,15981,14.397,5.6192,0.0052073,2.2833874012773614,0.014413576243093923,1.0,False
CA4_194,Siletti,Hippocampal CA4,Siletti,#9e9e9e,15981,8.6598,4.7302,0.033581,1.4739063752612378,0.06597678823529411,1.0,False
CA4_195,Siletti,Hippocampal CA4,Siletti,#9e9e9e,15981,12.175,4.7654,0.0053161,2.2744068582334975,0.01463387967032967,1.0,False
CA4_196,Siletti,Hippocampal CA4,Siletti,#9e9e9e,15981,14.483,5.4682,0.0040465,2.392920455271429,0.011651129310344826,1.0,False
CA4_197,Siletti,Hippocampal CA4,Siletti,#9e9e9e,15981,7.3805,5.3775,0.084966,1.0707548268312947,0.14142181395348838,1.0,False
CA4_198,Siletti,Hippocampal CA4,Siletti,#9e9e9e,15981,16.773,5.2031,0.00063427,3.197725829580897,0.0026929599152542374,0.31776927,False
DG_199,Siletti,Hippocampal dentate gyrus,Siletti,#9e9e9e,15981,8.6298,3.561,0.0076937,2.113864752118715,0.019666039285714285,1.0,False
DG_200,Siletti,Hippocampal dentate gyrus,Siletti,#9e9e9e,15981,17.228,4.6518,0.00010677,3.971550757276492,0.0006506360240963856,0.05349177,False
DG_201,Siletti,Hippocampal dentate gyrus,Siletti,#9e9e9e,15981,27.788,6.5504,1.1144e-05,4.952958896584093,9.152695081967213e-05,0.005583144,False
DG_202,Siletti,Hippocampal dentate gyrus,Siletti,#9e9e9e,15981,28.353,5.9656,1.0135e-06,5.994176246970973,1.1808453488372091e-05,0.0005077635,False
DG_203,Siletti,Hippocampal dentate gyrus,Siletti,#9e9e9e,15981,24.081,5.8986,2.2403e-05,4.649693821120889,0.00017005913636363633,0.011223902999999999,False
DG_204,Siletti,Hippocampal dentate gyrus,Siletti,#9e9e9e,15981,7.6095,4.53,0.046511,1.3324443229306866,0.08598528044280443,1.0,False
DG_205,Siletti,Hippocampal dentate gyrus,Siletti,#9e9e9e,15981,17.985,6.0539,0.0014878,2.827455445627637,0.005212502097902098,0.7453878,False
MSN_206,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,21.305,4.9902,9.8684e-06,5.005753255384974,8.54187724137931e-05,0.0049440684,False
MSN_207,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,19.87,5.6081,0.00019847,3.7023051303069265,0.0010970798901098902,0.09943347,False
MSN_208,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,15.294,5.6134,0.0032246,2.491524150351767,0.009559317159763315,1.0,False
MSN_209,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,10.32,4.9061,0.017717,1.751609814827489,0.03980366367713004,1.0,False
MSN_210,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,14.605,5.2872,0.0028742,2.54148301495117,0.00888276073619632,1.0,False
MSN_211,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,5.2455,3.7669,0.081892,1.0867585222390197,0.13721703010033445,1.0,False
MSN_212,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,14.077,5.1456,0.0031154,2.5064861844333555,0.009402502409638554,1.0,False
MSN_213,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,7.9931,5.8733,0.086779,1.0615853587814117,0.1434860693069307,1.0,False
MSN_214,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,10.362,6.0942,0.044551,1.3511425432632964,0.08266685555555556,1.0,False
MSN_215,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,5.9059,5.1445,0.1255,0.9013562741829431,0.1933460429447853,1.0,False
MSN_216,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,24.846,6.7202,0.00010944,3.960823915623959,0.0006527314285714286,0.05482944,False
MSN_217,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,43.876,8.1413,3.5954e-08,7.4442527859127905,6.928059230769231e-07,1.8012954e-05,False
MSN_218,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,18.382,6.1855,0.0014828,2.828917422642474,0.005212502097902098,0.7428828000000001,False
MSN_219,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,22.452,5.8997,7.1021e-05,4.1486132169763295,0.00046209767532467527,0.035581521,False
MSN_220,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,27.042,6.4947,1.5751e-05,4.802691868496898,0.000123300796875,0.007891251,False
MSN_221,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,19.621,4.9718,3.9876e-05,4.399288412673664,0.00026997129729729733,0.019977876000000002,False
EMSN_222,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,11.869,4.7974,0.0066852,2.1748855954929325,0.017627816842105265,1.0,False
EMSN_223,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,20.169,5.3279,7.7041e-05,4.113278088660478,0.0004948402692307692,0.038597541,False
EMSN_224,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,31.035,7.0133,4.8549e-06,5.31381971115154,4.769225294117647e-05,0.0024323049,False
EMSN_225,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,28.421,6.2641,2.8762e-06,5.54118091805397,3.00203375e-05,0.0014409762000000001,False
EMSN_226,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,35.664,7.2871,4.9938e-07,6.301568854983408,6.415112307692308e-06,0.00025018938,False
EMSN_227,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,41.462,7.1549,3.4933e-09,8.456764116123042,8.334015714285714e-08,1.7501433e-06,False
EMSN_228,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,52.993,7.9858,1.6739e-11,10.776270490635124,7.623853636363636e-10,8.386239e-09,False
EMSN_229,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,36.78,6.54,9.5266e-09,8.021062069424973,2.075142e-07,4.7728266e-06,False
EMSN_230,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,35.791,6.7801,6.601e-08,7.180390267248415,1.102367e-06,3.3071009999999996e-05,False
EMSN_231,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,51.353,7.7761,2.0767e-11,10.682626237097468,8.6702225e-10,1.0404266999999999e-08,False
EMSN_232,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,43.101,7.5967,7.1347e-09,8.146624283387977,1.6247657727272728e-07,3.5744847000000002e-06,False
EMSN_233,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,55.617,7.7624,4.095e-13,12.387746093903562,6.83865e-11,2.0515950000000001e-10,False
EMSN_234,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,55.249,8.1733,7.1955e-12,11.142939022478421,4.5061818750000003e-10,3.6049455000000003e-09,False
MGE_236,Siletti,MGE interneuron,Siletti,#9e9e9e,15981,26.198,6.9849,8.8551e-05,4.052806529990229,0.0005545506375,0.044364051,False
Splat_237,Siletti,Splatter,Siletti,#9e9e9e,15981,52.029,8.4411,3.6515e-10,9.43752869502253,1.0163341666666666e-08,1.8294014999999998e-07,False
Splat_238,Siletti,Splatter,Siletti,#9e9e9e,15981,31.372,7.253,7.6705e-06,5.1151763257298395,7.116519444444445e-05,0.0038429205000000003,False
MGE_245,Siletti,MGE interneuron,Siletti,#9e9e9e,15981,21.461,7.1249,0.0012998,2.8861234673689475,0.004684890647482015,0.6511998,False
MGE_246,Siletti,MGE interneuron,Siletti,#9e9e9e,15981,9.5377,5.4105,0.038977,1.4091915909132382,0.07444707604562738,1.0,False
MGE_247,Siletti,MGE interneuron,Siletti,#9e9e9e,15981,12.59,6.5756,0.027776,1.556330296503602,0.05633917408906883,1.0,False
MGE_249,Siletti,MGE interneuron,Siletti,#9e9e9e,15981,39.232,7.742,2.0427e-07,6.689795411101994,2.9239791428571425e-06,0.00010233926999999999,False
MGE_260,Siletti,MGE interneuron,Siletti,#9e9e9e,15981,38.025,7.1014,4.3571e-08,7.360802472437482,8.084841111111111e-07,2.1829071e-05,False
MGE_262,Siletti,MGE interneuron,Siletti,#9e9e9e,15981,48.875,7.7431,1.4208e-10,9.847467051565474,4.44888e-09,7.118208e-08,False
MGE_263,Siletti,MGE interneuron,Siletti,#9e9e9e,15981,51.283,7.4682,3.427e-12,11.465085895570134,3.4485834000000004e-10,1.7169269999999999e-09,False
LLC_266,Siletti,LAMP5-LHX6 and Chandelier,Siletti,#9e9e9e,15981,37.53,7.0621,5.4414e-08,7.264289347718877,9.400487586206896e-07,2.7261414e-05,False
LLC_267,Siletti,LAMP5-LHX6 and Chandelier,Siletti,#9e9e9e,15981,36.276,7.2894,3.2768e-07,6.484550065040282,4.364764736842105e-06,0.00016416768,False
LLC_268,Siletti,LAMP5-LHX6 and Chandelier,Siletti,#9e9e9e,15981,36.565,7.3487,3.2912e-07,6.482645725649351,4.364764736842105e-06,0.00016488912000000002,False
LLC_269,Siletti,LAMP5-LHX6 and Chandelier,Siletti,#9e9e9e,15981,53.07,8.0566,2.3266e-11,10.633278276242748,8.966358461538461e-10,1.1656265999999999e-08,False
LLC_271,Siletti,LAMP5-LHX6 and Chandelier,Siletti,#9e9e9e,15981,45.887,7.3936,2.7921e-10,9.55406903136748,8.228482941176471e-09,1.3988421e-07,False
LLC_272,Siletti,LAMP5-LHX6 and Chandelier,Siletti,#9e9e9e,15981,50.998,7.4273,3.4417e-12,11.463226988169637,3.4485834000000004e-10,1.7242917000000002e-09,False
LLC_273,Siletti,LAMP5-LHX6 and Chandelier,Siletti,#9e9e9e,15981,53.306,7.926,9.1113e-12,11.04041965348285,5.071957e-10,4.564761300000001e-09,False
LLC_274,Siletti,LAMP5-LHX6 and Chandelier,Siletti,#9e9e9e,15981,39.73,7.3331,3.0669e-08,7.513300384485795,6.146067600000001e-07,1.5365169000000002e-05,False
LLC_275,Siletti,LAMP5-LHX6 and Chandelier,Siletti,#9e9e9e,15981,41.127,6.9144,1.3901e-09,8.856953956662412,3.4822005e-08,6.964401e-07,False
CGE_276,Siletti,CGE interneuron,Siletti,#9e9e9e,15981,16.309,6.1129,0.0038194,2.4180048562389254,0.01106080578034682,1.0,False
CGE_295,Siletti,CGE interneuron,Siletti,#9e9e9e,15981,17.742,5.0229,0.00020668,3.6847015471263758,0.0011170145161290322,0.10354668,False
URL_297,Siletti,Upper rhombic lip,Siletti,#9e9e9e,15981,1.3253,1.0632,0.10629,0.9735075929471604,0.16905171428571428,1.0,False
CBI_298,Siletti,Cerebellar inhibitory,Siletti,#9e9e9e,15981,4.129,4.9138,0.20038,0.6981456277304133,0.28601247863247864,1.0,False
CBI_299,Siletti,Cerebellar inhibitory,Siletti,#9e9e9e,15981,9.8465,5.1057,0.026905,1.5701670036174873,0.05479432926829268,1.0,False
CBI_300,Siletti,Cerebellar inhibitory,Siletti,#9e9e9e,15981,10.833,4.6368,0.0097458,2.01118250530724,0.024052442364532023,1.0,False
CBI_301,Siletti,Cerebellar inhibitory,Siletti,#9e9e9e,15981,9.9107,4.2491,0.0098459,2.0067445794579144,0.024180372058823528,1.0,False
CBI_302,Siletti,Cerebellar inhibitory,Siletti,#9e9e9e,15981,2.3765,3.1939,0.22843,0.6412468602384793,0.31343983606557374,1.0,False
CBI_303,Siletti,Cerebellar inhibitory,Siletti,#9e9e9e,15981,1.5613,3.0407,0.30382,0.5173836405991625,0.39639015624999996,1.0,False
CBI_304,Siletti,Cerebellar inhibitory,Siletti,#9e9e9e,15981,8.1189,4.4336,0.033547,1.47434631131318,0.06597678823529411,1.0,False
CBI_305,Siletti,Cerebellar inhibitory,Siletti,#9e9e9e,15981,14.511,4.3533,0.00043002,3.366511345146816,0.001994815,0.21544001999999998,False
CBI_306,Siletti,Cerebellar inhibitory,Siletti,#9e9e9e,15981,15.636,4.962,0.00081504,3.0888210767164788,0.0032407542857142858,0.40833504,False
CBI_307,Siletti,Cerebellar inhibitory,Siletti,#9e9e9e,15981,17.579,5.1981,0.00036108,3.4423965662122944,0.0017228674285714287,0.18090108,False
URL_308,Siletti,Upper rhombic lip,Siletti,#9e9e9e,15981,2.4342,3.8769,0.26505,0.5766721914375547,0.3560054959785523,1.0,False
URL_309,Siletti,Upper rhombic lip,Siletti,#9e9e9e,15981,18.72,5.3841,0.00025448,3.594346343900693,0.001329215625,0.12749448000000002,False
URL_310,Siletti,Upper rhombic lip,Siletti,#9e9e9e,15981,14.163,4.0997,0.00027638,3.558493387505885,0.001398650303030303,0.13846638,False
URL_311,Siletti,Upper rhombic lip,Siletti,#9e9e9e,15981,11.459,3.4543,0.00045545,3.3415592935888743,0.002074367727272727,0.22818044999999998,False
URL_312,Siletti,Upper rhombic lip,Siletti,#9e9e9e,15981,6.3012,3.4759,0.03494,1.456677099353088,0.0678486046511628,1.0,False
Splat_313,Siletti,Splatter,Siletti,#9e9e9e,15981,1.2701,2.4095,0.29905,0.5242561932518742,0.3911855091383812,1.0,False
Misc_314,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,-0.73302,1.5509,0.68176,0.16636848314362196,0.8093880568720379,1.0,False
LRL_315,Siletti,Lower rhombic lip,Siletti,#9e9e9e,15981,0.088747,5.2506,0.49326,0.3069241014112079,0.6042133496332518,1.0,False
