cell_type,source,group,cell_class,color,n_genes,beta,se,p,neglog10p,fdr,bonferroni,depleted_scz
Vip_16,SEA-AD,Vip,Inhibitory,#795689,15981,8.2808,4.5677,0.034935,1.456739252409638,0.0678486046511628,1.0,False
Vip_4,SEA-AD,Vip,Inhibitory,#cc9ee1,15981,10.751,4.665,0.010605,1.9744893271474193,0.025725260869565218,1.0,False
Vip_5,SEA-AD,Vip,Inhibitory,#c598d9,15981,8.1633,3.9477,0.019335,1.7136558235909156,0.042214695652173916,1.0,False
Vip_6,SEA-AD,Vip,Inhibitory,#be92d2,15981,7.1699,3.8901,0.032667,1.4858907474734315,0.06494510714285714,1.0,False
Vip_9,SEA-AD,Vip,Inhibitory,#a980bc,15981,5.4258,3.9755,0.086165,1.064669107651057,0.14294259933774833,1.0,False
Vip_2,SEA-AD,Vip,Inhibitory,#daaaef,15981,15.408,4.7056,0.0005309,3.274987274658843,0.002396224324324324,0.26598089999999996,False
Vip_11,SEA-AD,Vip,Inhibitory,#9b74ad,15981,11.714,5.1143,0.011003,1.9584888870406767,0.026502418269230773,1.0,False
Vip_13,SEA-AD,Vip,Inhibitory,#8e689f,15981,8.6808,4.2719,0.021082,1.676088191003988,0.04494502978723404,1.0,False
Vip_1,SEA-AD,Vip,Inhibitory,#e1b0f7,15981,8.7159,3.8953,0.012633,1.8984935038600725,0.030036255924170613,1.0,False
Vip_12,SEA-AD,Vip,Inhibitory,#946ea6,15981,15.095,4.2419,0.00018714,3.7278333748592125,0.001053451011235955,0.09375714,False
Vip_18,SEA-AD,Vip,Inhibitory,#6b4a7a,15981,10.013,3.8667,0.0048119,2.3176834066645826,0.013543606179775281,1.0,False
Vip_19,SEA-AD,Vip,Inhibitory,#644473,15981,14.527,4.9912,0.0018075,2.7429216940334316,0.006160255102040817,0.9055575,False
Vip_21,SEA-AD,Vip,Inhibitory,#563864,15981,9.9272,4.4376,0.01265,1.8979094744881633,0.030036255924170613,1.0,False
Vip_23,SEA-AD,Vip,Inhibitory,#492c56,15981,11.537,4.715,0.0072113,2.1419864368153836,0.0188169859375,1.0,False
Sst Chodl_1,SEA-AD,Sst Chodl,Inhibitory,#c9c958,15981,2.4277,3.0172,0.21053,0.6766860095379338,0.29567373259052926,1.0,False
Sst_1,SEA-AD,Sst,Inhibitory,#ffb84f,15981,4.3775,3.4137,0.099876,1.0005388593194267,0.1603778076923077,1.0,False
Sst_4,SEA-AD,Sst,Inhibitory,#eca846,15981,2.6732,3.5969,0.22869,0.6407528255103058,0.31343983606557374,1.0,False
Sst_5,SEA-AD,Sst,Inhibitory,#e6a343,15981,6.6774,3.6428,0.033409,1.4761365234933115,0.06597678823529411,1.0,False
Sst_7,SEA-AD,Sst,Inhibitory,#d9993d,15981,3.3554,4.0815,0.20552,0.6871459087417102,0.2908630508474576,1.0,False
Sst_3,SEA-AD,Sst,Inhibitory,#f2ad49,15981,26.83,5.7625,1.6271e-06,5.788585754922025,1.7721241304347826e-05,0.0008151771000000001,True
Sst_19,SEA-AD,Sst,Inhibitory,#8e5b19,15981,14.851,5.1335,0.0019114,2.7186484183272626,0.006426922147651007,0.9576114,False
Sst_9,SEA-AD,Sst,Inhibitory,#cd8f37,15981,15.393,4.7447,0.0005904,3.2288536511850148,0.002594652631578948,0.2957904,False
Sst_10,SEA-AD,Sst,Inhibitory,#c68934,15981,8.6424,4.1554,0.01878,1.7263044120699078,0.041631769911504427,1.0,False
Sst_13,SEA-AD,Sst,Inhibitory,#b47a2b,15981,14.656,4.9137,0.0014312,2.8442996724406835,0.0050853276595744686,0.7170312000000001,False
Sst_12,SEA-AD,Sst,Inhibitory,#ba7f2e,15981,4.2543,3.7514,0.1284,0.8914349762671656,0.19672293577981648,1.0,False
Sst Chodl_2,SEA-AD,Sst Chodl,Inhibitory,#7d7d08,15981,8.431,4.1231,0.020445,1.6894128851096453,0.043961137339055795,1.0,False
Sst_11,SEA-AD,Sst,Inhibitory,#c08430,15981,17.236,5.4612,0.00080116,3.0962807421205167,0.0032185041600000003,0.40138116,False
Sst_20,SEA-AD,Sst,Inhibitory,#885616,15981,22.831,5.3174,8.8474e-06,5.0531843373870995,7.915263214285713e-05,0.0044325473999999995,True
Sst_22,SEA-AD,Sst,Inhibitory,#7b4c10,15981,10.054,4.6103,0.014605,1.8354984386904314,0.03387548611111111,1.0,True
Sst_23,SEA-AD,Sst,Inhibitory,#75470c,15981,27.849,5.2883,7.0689e-08,7.150648162030224,1.1424254516129033e-06,3.5415189e-05,False
Sst_25,SEA-AD,Sst,Inhibitory,#693d07,15981,15.739,4.8393,0.00057362,3.2413757148398834,0.0025432178761061945,0.28738361999999995,True
Sst_2,SEA-AD,Sst,Inhibitory,#f8b24c,15981,26.565,5.5771,9.6248e-07,6.016608286214145,1.148101142857143e-05,0.00048220247999999997,True
Pvalb_6,SEA-AD,Pvalb,Inhibitory,#be5860,15981,24.508,5.4289,3.2012e-06,5.4946871917780795,3.2730636734693874e-05,0.0016038012,False
Pvalb_5,SEA-AD,Pvalb,Inhibitory,#c96068,15981,18.163,4.8492,9.0346e-05,4.04409107073319,0.0005588067407407408,0.045263346,False
