cell_type,beta,se,t_stat,p_value,p_bonferroni,p_fdr,source,supercluster
Siletti_Misc_132,35.299400906006895,4.6678450280716595,7.562247823936324,2.0872192862952943e-14,1.0123013538532177e-11,1.0123013538532177e-11,Siletti,Miscellaneous
Pvalb_3,46.65649954154667,6.637992690980683,7.028706073289415,1.08213438210214e-12,5.248351753195379e-10,2.6241758765976897e-10,SEA-AD,
Lamp5_5,40.05274332245898,5.764071367475308,6.9486896967416065,1.9109158699848194e-12,9.267941969426374e-10,3.089313989808792e-10,SEA-AD,
Sst_2,38.39813518262317,5.708390741289053,6.726612967274243,8.961831277076726e-12,4.346488169382212e-09,1.086622042345553e-09,SEA-AD,
L2/3 IT_2,32.42443088233671,5.074574256478831,6.38958644480168,8.53469517281269e-11,4.1393271588141545e-08,8.278654317628309e-09,SEA-AD,
Sst_20,38.527456518454066,6.175893468900875,6.238361576743778,2.2635937568793452e-10,1.0978429720864824e-07,1.829738286810804e-08,SEA-AD,
Chandelier_1,30.895379153913623,5.24116901912422,5.894749633370177,1.912034863771339e-09,9.273369089290995e-07,1.3247670127558564e-07,SEA-AD,
Pvalb_1,29.948208621992325,5.146262217537894,5.819409768886657,3.0063347367104143e-09,1.458072347304551e-06,1.8225904341306887e-07,SEA-AD,
Vip_16,30.834094916492205,5.424761049455309,5.68395448857387,6.6895775585607e-09,3.2444451159019394e-06,3.6049390176688217e-07,SEA-AD,
Sst_25,33.74959879130411,6.060244111014057,5.56901639159496,1.3004597843035981e-08,6.307229953872451e-06,6.307229953872451e-07,SEA-AD,
Vip_21,24.27700626192122,4.393537047079782,5.5256177430112325,1.6659464585622175e-08,8.079840324026755e-06,7.345309385478869e-07,SEA-AD,
Lamp5_1,19.383301617540372,3.592596221035841,5.395346547447977,3.465698372728809e-08,1.6808637107734725e-05,1.3991025751195572e-06,SEA-AD,
Sst_19,30.222439309176433,5.616362766885458,5.381140884874896,3.750171850835926e-08,1.818833347655424e-05,1.3991025751195572e-06,SEA-AD,
Sncg_8,25.057344825991297,4.718878392306352,5.310021310751456,5.550098880480192e-08,2.691797957032893e-05,1.9227128264520665e-06,SEA-AD,
Sncg_6,24.255836473758205,4.716752013983114,5.142487118646522,1.3707967583265201e-07,6.648364277883623e-05,4.432242851922415e-06,SEA-AD,
Sst_11,26.28470119997253,5.149720750502747,5.104102236496311,1.679908427920651e-07,8.147555875415158e-05,5.092222422134474e-06,SEA-AD,
Vip_1,19.814754792199178,3.914206376645501,5.062266238802805,2.093321069818188e-07,0.00010152607188618212,5.972121875657772e-06,SEA-AD,
Siletti_EMSN_232,32.97891301389864,6.62950261615438,4.974568217763061,3.301835267421893e-07,0.00016013901046996182,8.896611692775656e-06,Siletti,Eccentric medium spiny neuron
Sst_3,18.251921031609047,3.8238016664445147,4.773239467877588,9.140333446788773e-07,0.0004433061721692555,2.333190379838187e-05,SEA-AD,
Vip_13,20.235813617760456,4.265116719213112,4.744492343340569,1.0537144086164574e-06,0.0005110514881789818,2.555257440894909e-05,SEA-AD,
Siletti_LLC_267,18.856788491009908,4.007667520951708,4.705177860296144,1.278288720540921e-06,0.0006199700294623467,2.901861872835983e-05,Siletti,LAMP5-LHX6 and Chandelier
Pax6_3,19.885695454440373,4.2348385133305175,4.695738784806964,1.3386842605545013e-06,0.0006492618663689331,2.901861872835983e-05,SEA-AD,
Siletti_Splat_238,25.790369018461426,5.498909306332017,4.69008808506147,1.3761406819634558e-06,0.0006674282307522761,2.901861872835983e-05,Siletti,Splatter
Sncg_4,20.579628822066717,4.414412408045077,4.661918035696263,1.5783768181343305e-06,0.0007655127567951503,3.18963648664646e-05,SEA-AD,
L4 IT_3,18.869778240114645,4.073647111977655,4.632158289958954,1.8228872465941848e-06,0.0008841003145981796,3.536401258392719e-05,SEA-AD,
Pax6_1,18.812398602310587,4.0862244489009125,4.603858363035009,2.0888077708614006e-06,0.0010130717688677793,3.762319264579541e-05,SEA-AD,
