cell_type,expr_beta,expr_fdr,expr_logp,atac_beta,atac_fdr,atac_logp,class,subclass
Astro_1,-0.6233959553640066,0.9450161405358832,0.07137622955080751,-7.583648134207015,0.9999999999187467,1.7403178492973968e-05,Non-neuronal,Astro
Astro_2,-0.3952865818789265,0.9229000968692314,0.09238462953753497,-7.81308594860061,0.9999999999187467,5.8801427287877384e-05,Non-neuronal,Astro
Astro_3,-0.5448714025407388,0.9813101450463728,0.048004265428150006,-7.673882653515698,0.9999999999187467,9.905428300604558e-06,Non-neuronal,Astro
Astro_4,-0.1795180997238691,0.8154047610444537,0.18599970234705135,-11.324116152484809,0.9999999999187467,9.0603562869252e-08,Non-neuronal,Astro
Astro_5,-0.1494493358548368,0.8059295644553838,0.2015072877935716,-8.84652366726509,0.9999999999187467,1.0421988126373618e-05,Non-neuronal,Astro
Astro_6-SEAAD,0.484149014557087,0.2612762152748155,0.8862843326627851,-7.775438823874841,0.9999999999187467,0.00011932494495085931,Non-neuronal,Astro
Chandelier_1,3.2023046695233837,0.0061336787144139,2.9687883017950187,7.897060838134357,0.07112588214388484,1.5667112648481307,GABAergic,Chandelier
Chandelier_2,1.9787627458377617,0.0451689346611411,1.838428043107363,4.900371572908513,0.24062965291046434,0.9355908529290461,GABAergic,Chandelier
Endo_1,-0.4383056760602763,0.9999998526386172,0.026257222796302097,-0.6140335144082767,0.9999999999187467,0.1730506593491599,Non-neuronal,Endo
Endo_2,-0.741835826322454,0.9999998526386172,0.0026007816965207924,-6.241376588102093,0.9999999999187467,0.001277122836230658,Non-neuronal,Endo
Endo_3,-0.8018549128850165,0.9999998526386172,0.004095721053470931,-2.2680573482404043,0.9999999999187467,0.05862751172196821,Non-neuronal,Endo
L2/3 IT_1,-0.3821269669416485,0.8669270180256868,0.14952000641350977,1.91922189363393,0.41772549582837337,0.6588009569449921,Glutamatergic,L2/3 IT
L2/3 IT_10,0.1097771458790546,0.64284258395615,0.35548807545200695,-4.0889168629411,0.9999999999187467,0.022951174812354445,Glutamatergic,L2/3 IT
L2/3 IT_12,0.7232210730570848,0.2775248560436849,0.8360861846747714,-3.9512599835353335,0.9999999999187467,0.022337104201703168,Glutamatergic,L2/3 IT
L2/3 IT_13,0.2738133458337686,0.5002787466233343,0.4832660046043485,-8.096696794111415,0.9999999999187467,0.000414435756271205,Glutamatergic,L2/3 IT
L2/3 IT_2,2.9519655104730327,0.0097440972459072,2.7008209262530154,-0.025998890009275345,0.8647371323474912,0.2976456731256556,Glutamatergic,L2/3 IT
L2/3 IT_3,-0.0013525882231579,0.7073001470482954,0.3003450845175174,-2.829919799133673,0.9999999999187467,0.07046692699743314,Glutamatergic,L2/3 IT
L2/3 IT_5,-0.1950471000633318,0.8059295644553838,0.19699972408898103,-2.5890161567800245,0.9999999999187467,0.08019971965274898,Glutamatergic,L2/3 IT
L2/3 IT_6,-0.1446671147850341,0.7691569513904782,0.23786837304280967,-3.0487154677997768,0.9999999999187467,0.03669532143276483,Glutamatergic,L2/3 IT
L2/3 IT_7,1.2483641727378674,0.1723491413647225,1.1009708935880547,-1.3395482315711715,0.9999999999187467,0.1417452388972003,Glutamatergic,L2/3 IT
L2/3 IT_8,0.6343003826884658,0.3212344174014355,0.7665756371579437,-3.6497889488100905,0.9999999999187467,0.02373336841026931,Glutamatergic,L2/3 IT
L4 IT_1,0.495076224043621,0.3687986267820625,0.6723041805724512,5.440541255216886,0.10975942880453254,1.324421711599658,Glutamatergic,L4 IT
L4 IT_2,-0.0642237204942561,0.7438283095016829,0.25830256398583734,7.370136970251366,0.014338899574306578,2.430196476407765,Glutamatergic,L4 IT
L4 IT_3,2.5790434418469177,0.0126559480964929,2.515911942213176,6.6256049576421,0.02733261792505153,2.0728651141544248,Glutamatergic,L4 IT
L4 IT_4,-0.4673086193014827,0.9229000968692314,0.09428260693431081,6.294877833213883,0.035469136671501526,1.9497115060139232,Glutamatergic,L4 IT
L5 ET_1,-0.0728058148202592,0.7438283095016829,0.25664769216153144,-4.327399816794336,0.9999999999187467,0.030668517240492306,Glutamatergic,L5 ET
