gene,specificity,gwas_zstat,gwas_p,contribution,is_scz_gwas
RBM6,0.007665085,4.5317,2.9253e-06,0.0347358656945,False
KLHL2,0.0076670023,4.5283,2.9735e-06,0.03471848651509,False
BCL2L2-PABPN1,0.013588529,2.5542,0.0053212,0.0347078207718,False
GOPC,0.008380987,4.1387,1.7462e-05,0.034686390896899996,False
GATAD2B,0.006653681,5.2119,9.3442e-08,0.0346783200039,False
SIKE1,0.008289711,4.1829,1.4392e-05,0.0346750321419,False
GPN1,0.010196104,3.3964,0.00034145,0.03463004762559999,False
TUBB3,0.011084756,3.1237,0.00089306,0.034625452317199996,False
KLHDC8B,0.009098912,3.8049,7.0929e-05,0.0346204502688,False
PTPN3,0.017128844,2.0211,0.021633,0.0346191066084,False
ROBO2,0.013318196,2.5964,0.0047106,0.034579364094399996,False
DPYD,0.0034511234,10.018,6.3659e-24,0.0345733542212,False
FBXL2,0.010497673,3.2901,0.00050081,0.0345383939373,False
NMT2,0.012310165,2.8021,0.0025385,0.034494313346499994,False
CELA1,0.0742522,0.46401,0.32132,0.034453763322,False
TTLL6,0.011932349,2.8852,0.0019555,0.034427213334800005,False
GART,0.010410601,3.3049,0.00047509,0.0344059952449,False
SNX19,0.006116699,5.6139,9.8888e-09,0.0343385365161,False
RBFOX1,0.005347861,6.4192,6.8502e-11,0.034328989331199995,False
MSI2,0.008528443,4.0236,2.8658e-05,0.034315043254800004,False
ZCCHC7,0.007193333,4.7696,9.2287e-07,0.034309321076799994,False
TRPM4,0.011470614,2.9884,0.001402,0.0342787828776,False
MVD,0.011367965,3.01,0.0013063,0.03421757465,False
TMED7,0.009837331,3.4781,0.00025247,0.034215220951099995,False
RBFA,0.007307689,4.6772,1.4543e-06,0.0341795229908,False
PCDHGC4,0.018379608,1.8582,0.031569,0.0341529875856,False
SLC26A6,0.00806339,4.231,1.1631e-05,0.03411620309,False
NBPF20,0.012667041,2.6932,0.0035382,0.0341148748212,False
EIF2AK2,0.0077726804,4.387,5.7466e-06,0.0340987489148,False
GLMN,0.010446522,3.2632,0.00055071,0.034089090590399995,False
RANGRF,0.014161331,2.4067,0.0080491,0.034082075317699995,False
HARS,0.007108935,4.7935,8.1953e-07,0.0340766799225,False
MTF1,0.009938817,3.4239,0.0003087,0.03402951552630001,False
NOP10,0.0112851085,3.0149,0.0012853,0.03402347361665,True
PDLIM7,0.011144215,3.0472,0.0011548,0.033958651948000004,False
DOK7,0.03774227,0.8997,0.18414,0.033956720319,False
NUTF2,0.008749106,3.8801,5.2197e-05,0.0339474061906,False
DEAF1,0.013069191,2.5955,0.0047227,0.0339210852405,False
GPRC5B,0.018641196,1.8169,0.034616,0.0338691890124,False
SEC11A,0.005975024,5.6647,7.3636e-09,0.0338467184528,True
GLTP,0.008194102,4.1257,1.8479e-05,0.0338064066214,False
PIGM,0.013314403,2.5381,0.0055734,0.0337932862543,False
ARL3,0.006948097,4.8625,5.7954e-07,0.0337851216625,False
PLSCR3,0.011780581,2.8677,0.002067,0.0337831721337,False
YDJC,0.009645521,3.5002,0.00023248,0.0337612526042,False
ST6GAL2,0.015301707,2.2058,0.013701,0.0337525053006,False
NRXN3,0.01033369,3.2655,0.00054636,0.033744664694999996,False
