gene,n_types,types_list
OPRD1,9,"L2/3 IT_2, L4 IT_3, L6 IT_2, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sst_2, Sst_20"
IGSF9B,9,"L2/3 IT_2, L4 IT_3, L6 IT_2, Pvalb_13, Pvalb_5, Sst Chodl_2, Sst_1, Sst_2, Sst_20"
C16orf92,9,"Lamp5_1, Lamp5_5, Pax6_2, Pvalb_12, Pvalb_13, Pvalb_5, Sst_1, Sst_2, Vip_1"
CACNA1I,9,"L4 IT_3, L6 IT_2, Lamp5_1, Lamp5_5, Pax6_4, Pvalb_6, Sst Chodl_2, Sst_2, Sst_20"
CYP2D6,9,"Lamp5_1, Lamp5_5, Pax6_2, Pax6_4, Pvalb_5, Sncg_3, Sst Chodl_2, Sst_2, Sst_20"
F2,9,"L2/3 IT_2, L4 IT_3, L6 IT_2, Lamp5_5, Pvalb_12, Pvalb_6, Sst_1, Sst_2, Sst_20"
PCDHA2,9,"L2/3 IT_2, Lamp5_1, Lamp5_5, Pax6_4, Pvalb_5, Sncg_3, Sst_1, Sst_2, Vip_1"
HAPLN4,9,"Lamp5_1, Lamp5_5, Pax6_2, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sst_2, Vip_1"
PITPNM2,9,"L2/3 IT_2, L4 IT_3, L6 IT_2, Lamp5_1, Lamp5_5, Pvalb_12, Pvalb_6, Sst_2, Sst_20"
CNNM2,9,"Lamp5_1, Lamp5_5, Pax6_3, Pvalb_12, Pvalb_13, Pvalb_5, Pvalb_6, Sst_2, Sst_20"
GJD2,9,"Lamp5_1, Lamp5_5, Pax6_2, Pax6_3, Pax6_4, Pvalb_12, Pvalb_13, Pvalb_5, Vip_1"
SPATS2L,9,"L4 IT_3, Lamp5_1, Pvalb_12, Pvalb_13, Pvalb_6, Sst Chodl_2, Sst_1, Sst_2, Sst_20"
