gene,gwas_zstat,gwas_p,upper_sst_spec,deep_sst_spec,total_sst_spec,upper_fraction,upper_gwas_score,is_scz_gwas
PCCB,6.1627,3.5767e-10,0.0565447359,0.0650042134,0.13564693730000002,0.4168522859822799,0.34846824393093,False
THRB,5.8605,2.3072e-09,0.0593779591,0.0893502156,0.1615409283,0.3675722290621503,0.34798452930555,False
AP3B2,6.1123,4.9089e-10,0.056855452,0.07302199100000001,0.14908812600000004,0.38135466267783114,0.34751757925960003,True
IREB2,6.8211,4.5169e-12,0.0507276326,0.0645672065,0.1285797948,0.39452258170814875,0.34601825472786,True
ARL17B,5.8529,2.4154e-09,0.059008603,0.0556727903,0.129606598,0.4552901157084611,0.3453714524987,True
NRIP1,5.2874,6.204e-08,0.0651955581,0.06315684199999999,0.15430366009999996,0.4225146575120029,0.34471499389793997,False
STAR,4.4652,3.9998e-06,0.077133413,0.1199711495,0.21417551550000002,0.3601411338729799,0.3444161157276,False
FLT3,1.8233,0.034131,0.188623488,0.31659139599999997,0.5465946049999999,0.34508845545594075,0.3439172056704,False
SEMA3A,3.8572,5.7355e-05,0.0891592025,0.04570746476999999,0.14066868477,0.6338240998398439,0.34390487588300006,False
PSMB11,1.4417,0.074689,0.2383609,0.0,0.2383609,1.0,0.34364490953,False
ANKRD44,5.8074,3.172e-09,0.059139595700000006,0.08539147640000001,0.16611478209999997,0.35601645411904626,0.34344728806818003,False
GALNT2,5.2931,6.0114e-08,0.06481006499999999,0.0634993329,0.1448708394,0.44736446111873623,0.34304615505149993,True
IL31RA,1.6892,0.045595,0.20282076,0.04485261411000001,0.25567175910999995,0.7932857375645411,0.34260482779199997,False
ITIH4,6.1094,5e-10,0.0560643565,0.0430542094,0.1195566732,0.46893540108976534,0.3425195796011,True
MAPK3,5.6405,8.4768e-09,0.0607100967,0.07992885820000001,0.15560909459999997,0.3901449131624214,0.34243530043635,False
TSNARE1,6.8912,2.7657e-12,0.0496746767,0.0776331653,0.141956998,0.3499276358323667,0.34231813207504,True
SIPA1L3,4.2814,9.2862e-06,0.079921698,0.0811560939,0.1814319399,0.44050511747849086,0.3421767578172,False
PCDHA2,5.5175,1.7193e-08,0.0618431864,0.077114077,0.14966429940000003,0.4132126809661863,0.341219780962,True
MYO5B,1.5017,0.066583,0.225956126,0.0744827204,0.3279756223999999,0.6889418315499782,0.3393183144142,False
WDR73,6.329,1.2341e-10,0.05359763,0.0645460796,0.13041092819999997,0.41099032680606296,0.33921940026999997,True
FAM216A,5.3767,3.794e-08,0.063021434,0.07443203460000002,0.15594782110000002,0.40411872096364926,0.3388473441878,False
ZNF408,6.5298,3.2925e-11,0.0517341367,0.06499481,0.12338667839999999,0.4192846210859665,0.33781356582366,False
MAP1A,5.6251,9.2723e-09,0.059982807299999996,0.0695540305,0.14442629620000003,0.4153177702274967,0.33740928934322995,True
C16orf92,6.9554,1.7577e-12,0.048254860600000005,0.0976129911,0.1552766197,0.3107670729387987,0.33563185741724005,True
NSF,5.0353,2.385e-07,0.066467648,0.074151953,0.15405521100000003,0.4314534222409393,0.33468454797440006,False
PLEKHO1,5.5123,1.7712e-08,0.06067399300000001,0.062307002099999995,0.1323764459,0.45834432694948196,0.33445325161390005,True
ZSCAN2,6.3094,1.4007e-10,0.05289620330000001,0.08103120130000001,0.14471781760000002,0.36551272108183036,0.33374330510102007,True
ANKRD1,3.2852,0.00050953,0.10128209299999999,0.094729328,0.200872604,0.5042105841371977,0.33273193192359996,False
LY6H,4.4878,3.5976e-06,0.0740233825,0.0783060108,0.16857292139999996,0.4391178718695446,0.3322021359835,False
HSPA9,6.238,2.2158e-10,0.0532252989,0.07065077460000001,0.13669003089999998,0.3893868378663159,0.33201941453820005,True
PPP1CC,5.1624,1.2187e-07,0.06412517779999999,0.071902905,0.1507530321,0.42536575819890254,0.3310398178747199,False
ARHGAP44,5.0164,2.6326e-07,0.06573382800000001,0.0791350485,0.16496269449999998,0.3984769295824033,0.3297471747792,True
PCDHA8,5.3659,4.0273e-08,0.061429620100000006,0.05800702419999999,0.1335670553,0.45991595728471535,0.32962519849459004,True
SCAF1,5.8702,2.176e-09,0.056136474299999996,0.074285988,0.1459868989,0.3845309046427042,0.32953233143585997,True
TRIM9,5.1391,1.3802e-07,0.06394835509999999,0.0858070735,0.16330406360000002,0.39159071544377655,0.32863699169440996,True
PCDHA6,5.5498,1.4297e-08,0.0592025437,0.146105845,0.23023137870000004,0.2571436788255657,0.32856227702626,True
PANK1,3.2466,0.00058395,0.10101265200000001,0.0836678855,0.2097168625,0.4816620408861973,0.3279476759832,False
DNAJC19,6.9156,2.3301e-12,0.0473574994,0.0635264173,0.1251717967,0.37834001467201117,0.32750552285064005,True
ANKS1B,6.236,2.245e-10,0.052338213099999996,0.079152915,0.14541545449999999,0.3599219441974787,0.32638109689159994,True
CASP6,2.3633,0.0090569,0.137923724,0.07416901859999998,0.26018986559999996,0.530088762996002,0.32595513692920003,False
STK32B,2.0784,0.018835,0.15674960425,0.07069704898,0.23779250323000006,0.6591864845225465,0.3257883774732,False
CPT1C,4.9029,4.7228e-07,0.066388057,0.0632316104,0.14651800239999999,0.4531051195931402,0.3254940046653,True
