supertype,median_depth_merfish,n_cells_merfish,median_depth_xenium,n_cells_xenium,avg_depth,layer_group
Sst Chodl_1,0.4816466465750201,540,0.6025918418157348,255,0.5204403884446832,Middle
Sst Chodl_2,0.3620864403721127,158,0.2726431553725588,360,0.2999250840017664,Upper
Sst_1,0.7275974633186215,360,0.7406706199886872,352,0.7340605969532608,Deep
Sst_10,0.6743330891592931,214,0.6048714460668717,3289,0.6091148921478818,Deep
Sst_11,0.2093355729669632,427,0.2528819566477657,3922,0.24860642070117966,Upper
Sst_12,0.7612772736571891,145,0.736105499369631,610,0.740939813636778,Deep
Sst_13,0.6356090838243849,728,0.6022137360358815,1934,0.6113466485790935,Deep
Sst_19,0.5430210600339906,804,0.5519047405318784,3756,0.5503384073914613,Deep
Sst_2,0.3863598456999736,452,0.3230785597790031,1557,0.3373160616387735,Upper
Sst_20,0.3072222781690367,228,0.2897073103765054,3348,0.29082403651092853,Upper
Sst_22,0.2454501232514271,147,0.2671438816705427,2526,0.2659508466957541,Upper
Sst_23,0.1827147596126901,243,0.1922919225132459,302,0.18802173795391552,Upper
Sst_25,0.3149984942734564,563,0.2170470532927843,1596,0.24258974031090305,Upper
Sst_3,0.4864761323883867,558,0.4533827840169962,2418,0.459587786836632,Middle
Sst_4,0.7289674006407744,174,0.7067538060948018,626,0.7115852629085508,Deep
Sst_5,0.7402868500823627,350,0.64083146108985,1362,0.66116404645631,Deep
Sst_7,0.8047125703166287,58,0.7471478384254194,434,0.7539339247052774,Deep
Sst_9,0.6012569898612904,1523,0.6069641987259676,925,0.6034135128187359,Deep
