seaad_type,best_siletti,best_auroc,second_siletti,second_auroc,third_siletti,third_auroc,is_reciprocal
L6 CT_2,DLCT6b_109,1.0,DLCT6b_108,0.9978260869565218,DLCT6b_110,0.9956521739130436,True
L6 CT_3,DLCT6b_108,1.0,DLCT6b_109,0.9978260869565218,DLCT6b_100,0.9956521739130436,True
L6 CT_4,DLCT6b_100,1.0,DLCT6b_110,0.9978260869565218,DLCT6b_109,0.9956521739130436,True
L6 IT Car3_1,DLIT_150,1.0,DLIT_151,0.9978260869565218,DLIT_152,0.9956521739130436,True
L6 IT Car3_2,DLIT_151,1.0,DLIT_150,0.9978260869565218,DLIT_152,0.9956521739130436,True
L6 IT Car3_3,DLIT_150,1.0,DLIT_151,0.9978260869565218,DLIT_152,0.9956521739130436,False
L6 IT_1,DLIT_147,1.0,DLIT_148,0.9978260869565218,DLIT_149,0.9956521739130436,True
L6 IT_2,DLIT_149,1.0,DLIT_148,0.9978260869565218,DLIT_147,0.9956521739130436,True
L6b_1,DLCT6b_98,1.0,DLCT6b_99,0.9978260869565218,DLCT6b_104,0.9956521739130436,True
L6b_2,DLCT6b_99,1.0,DLCT6b_98,0.9978260869565218,DLCT6b_100,0.9956521739130436,True
L6b_3,DLCT6b_98,1.0,DLCT6b_106,0.9978260869565218,DLCT6b_99,0.9956521739130436,False
L6b_4,DLCT6b_98,1.0,DLCT6b_99,0.9978260869565218,DLCT6b_103,0.9956521739130436,False
L6b_5,DLCT6b_106,1.0,DLCT6b_98,0.9978260869565218,DLCT6b_105,0.9956521739130436,True
L6b_6,DLCT6b_106,1.0,DLCT6b_105,0.9978260869565218,DLCT6b_101,0.9956521739130436,False
Lamp5_1,CGE_288,1.0,CGE_287,0.9978260869565218,LLC_275,0.9956521739130436,True
Lamp5_2,CGE_288,1.0,CGE_287,0.9978260869565218,LLC_275,0.9956521739130436,False
Lamp5_3,CGE_287,1.0,CGE_288,0.9978260869565218,LLC_274,0.9956521739130436,True
Lamp5_4,CGE_287,1.0,CGE_286,0.9978260869565218,CGE_288,0.9956521739130436,False
Lamp5_5,CGE_286,1.0,CGE_287,0.9978260869565218,CGE_283,0.9956521739130436,True
