supertype,subclass,marginal_p,marginal_t,conditional_p,conditional_t,conditional_beta,source,supercluster
Siletti_Misc_132,Siletti_Misc,2.0872192862952943e-14,7.562247823936324,2.0872192862952943e-14,7.562247823936324,35.299400906006895,Siletti,Miscellaneous
Pvalb_3,Pvalb,1.0821343821021399e-12,7.028706073289415,3.2669422722619856e-12,6.872401447428913,45.557448162051685,SEA-AD,
Lamp5_5,Lamp5,1.9109158699848194e-12,6.9486896967416065,2.89114435392257e-07,5.000276558575048,30.274918160507692,SEA-AD,
Sst_2,Sst,8.961831277076726e-12,6.726612967274243,0.0024488981561494594,2.814052025249024,18.527782142770146,SEA-AD,
L2/3 IT_2,L2/3 IT,8.53469517281269e-11,6.38958644480168,0.0021403549824527968,2.8570875383567964,15.258016452910958,SEA-AD,
Sst_20,Sst,2.2635937568793452e-10,6.238361576743778,0.03895496367604134,1.7630514510267012,13.256955688403414,SEA-AD,
Chandelier_1,Chandelier,1.912034863771339e-09,5.894749633370177,0.02284177043795621,1.9984535711429194,11.62762569895301,SEA-AD,
Pvalb_1,Pvalb,3.0063347367104143e-09,5.819409768886657,0.03768682009041191,1.7782937683761384,10.738686993716351,SEA-AD,
Vip_21,Vip,1.6659464585622178e-08,5.5256177430112325,0.037329715320737034,1.7826614060329045,8.584953185970912,SEA-AD,
Lamp5_1,Lamp5,3.465698372728809e-08,5.395346547447977,0.01915386113299855,2.0717094390892936,8.14346547728249,SEA-AD,
Sncg_8,Sncg,5.550098880480193e-08,5.310021310751456,0.041741063247946686,1.7309323917644088,8.97062147229279,SEA-AD,
Siletti_EMSN_232,Siletti_EMSN,3.301835267421893e-07,4.974568217763061,6.183545247839817e-06,4.372318007488579,29.047766831570538,Siletti,Eccentric medium spiny neuron
Siletti_LLC_267,Siletti_LLC,1.278288720540921e-06,4.705177860296144,0.000563920665527351,3.257087942048573,13.140465815397544,Siletti,LAMP5-LHX6 and Chandelier
Siletti_Splat_238,Siletti_Splat,1.3761406819634558e-06,4.69008808506147,0.005032162878723545,2.573902471386545,14.475642148333758,Siletti,Splatter
Siletti_Splat_237,Siletti_Splat,5.899456103519718e-06,4.382582915964278,0.014507983008612668,2.183456368537721,11.151951640634158,Siletti,Splatter
Siletti_EMSN_228,Siletti_EMSN,1.5546952134792846e-05,4.166436612240072,0.016616613585724416,2.129429145017406,13.294930284190684,Siletti,Eccentric medium spiny neuron
Siletti_EMSN_224,Siletti_EMSN,1.834794523081218e-05,4.128459298541416,0.0497929156689324,1.6469555595482166,10.197176576158716,Siletti,Eccentric medium spiny neuron
Siletti_Splat_424,Siletti_Splat,2.3228684735809857e-05,4.073831812194611,0.010768972899126705,2.298633447787538,13.637130065383928,Siletti,Splatter
Siletti_Splat_355,Siletti_Splat,0.0001528585208431,3.611158258719773,0.02647593145082372,1.9354495960489737,13.808389082598426,Siletti,Splatter
Siletti_MSN_207,Siletti_MSN,0.0002330557508152,3.500198872346677,0.0323110738380783,1.8479841979225105,9.540559511966915,Siletti,Medium spiny neuron
L5 ET_1,L5 ET,0.0002540233734138,3.477152122912406,0.0032116211253422344,2.725695750564072,5.1519152556712955,SEA-AD,
Siletti_Thex_454,Siletti_Thex,0.0006551831827592,3.2142395000594037,0.010765290193181842,2.2987630854463306,12.103577307091703,Siletti,Thalamic excitatory
Siletti_CBI_306,Siletti_CBI,0.0009909527526154,3.093415061069099,0.011035641658834083,2.2893509688323204,8.052599304915287,Siletti,Cerebellar inhibitory
Siletti_Splat_403,Siletti_Splat,0.0010352791644983,3.0803993970209493,0.01818305949166177,2.0929771576325846,6.323447081601715,Siletti,Splatter
Siletti_Midi_435,Siletti_Midi,0.0026910394128093,2.783590031795874,0.013065152645699407,2.2244660957777884,5.565765528545263,Siletti,Midbrain-derived inhibitory
Siletti_COP_41,Siletti_COP,0.004105128837657,2.6436116993640173,1.502601454039798e-05,4.17421294328811,15.842103526109572,Siletti,Committed oligodendrocyte precursor
Siletti_URL_311,Siletti_URL,0.0070333884721033,2.4558095495434062,0.00763250133800053,2.426278195279493,3.155296504295812,Siletti,Upper rhombic lip
Siletti_Splat_378,Siletti_Splat,0.0094769972707421,2.3466608893782155,0.04523206264733792,1.693051710517671,6.348581095677301,Siletti,Splatter
