gene,spearman_rho,pval,pval_fdr,abs_rho
ETV1,0.9529411764705882,1.2096579348828995e-08,0.0003919654606401059,0.9529411764705882
TIPIN,0.9088235294117648,1.1005852200187758e-06,0.011887420961422797,0.9088235294117648
ZNF561,-0.9088235294117648,1.1005852200187758e-06,0.011887420961422797,0.9088235294117648
LINC01477,-0.9016423581254642,1.8348105056058383e-06,0.014863341203286494,0.9016423581254642
CARF,0.8911764705882352,3.618648907351986e-06,0.019542513424154397,0.8911764705882352
SGTB,-0.8911764705882352,3.618648907351986e-06,0.019542513424154397,0.8911764705882352
AC138649.1,-0.8823529411764707,6.095619569194933e-06,0.021320421529211556,0.8823529411764707
PRMT8,0.8823529411764707,6.095619569194933e-06,0.021320421529211556,0.8823529411764707
ICA1L,-0.8794117647058824,7.187273041770846e-06,0.021320421529211556,0.8794117647058824
USP25,-0.8794117647058824,7.187273041770846e-06,0.021320421529211556,0.8794117647058824
CD302,0.8764705882352942,8.439118583861077e-06,0.021320421529211556,0.8764705882352942
INTS8,0.8764705882352942,8.439118583861077e-06,0.021320421529211556,0.8764705882352942
NNT,0.8735294117647058,9.869651666147373e-06,0.021320421529211556,0.8735294117647058
RAB1A,-0.8735294117647058,9.869651666147373e-06,0.021320421529211556,0.8735294117647058
BMP6,0.8735294117647058,9.869651666147373e-06,0.021320421529211556,0.8735294117647058
CACNG3,0.8705882352941177,1.1498934802741624e-05,0.021626866006845366,0.8705882352941177
CCND2-AS1,0.8676470588235294,1.334868129916697e-05,0.021626866006845366,0.8676470588235294
CFAP53,0.8676470588235294,1.334868129916697e-05,0.021626866006845366,0.8676470588235294
PCOLCE-AS1,0.8676470588235294,1.334868129916697e-05,0.021626866006845366,0.8676470588235294
HPGD,0.8676470588235294,1.334868129916697e-05,0.021626866006845366,0.8676470588235294
CRACR2A,0.8647058823529412,1.544234049652657e-05,0.021702509173113574,0.8647058823529412
OPLAH,-0.8627591310733124,1.697453135236742e-05,0.021702509173113574,0.8627591310733124
QDPR,-0.8617647058823529,1.780518441981504e-05,0.021702509173113574,0.8617647058823529
CACNA2D2,-0.8617647058823529,1.780518441981504e-05,0.021702509173113574,0.8617647058823529
AC016716.2,-0.8588235294117647,2.0464395736214244e-05,0.021702509173113574,0.8588235294117647
AP002833.1,0.8584108144407107,2.0862896415595932e-05,0.021702509173113574,0.8584108144407107
HIPK2,-0.8558823529411764,2.3449156927289172e-05,0.021702509173113574,0.8558823529411764
ZNF518A,0.8558823529411764,2.3449156927289172e-05,0.021702509173113574,0.8558823529411764
PCDH7,0.8558823529411764,2.3449156927289172e-05,0.021702509173113574,0.8558823529411764
BBS7,-0.8558823529411764,2.3449156927289172e-05,0.021702509173113574,0.8558823529411764
ZDHHC1,-0.8529411764705882,2.679074057724726e-05,0.021702509173113574,0.8529411764705882
ADAMTS17,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,0.8529411764705882
AIFM2,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,0.8529411764705882
MAFK,-0.8529411764705882,2.679074057724726e-05,0.021702509173113574,0.8529411764705882
AC005856.1,-0.8529411764705882,2.679074057724726e-05,0.021702509173113574,0.8529411764705882
NCOR2,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,0.8529411764705882
CCDC152,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,0.8529411764705882
AC139099.2,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,0.8529411764705882
GPR63,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,0.8529411764705882
MATN2,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,0.8529411764705882
AC096751.2,0.8508410434878082,2.941357277046483e-05,0.02300055418056666,0.8508410434878082
AL662791.2,0.8503937011074523,2.9999170996594395e-05,0.02300055418056666,0.8503937011074523
AC008067.1,-0.85,3.0522600677849776e-05,0.02300055418056666,0.85
TDRD3,0.8470588235294119,3.468046484915084e-05,0.023909597925681588,0.8470588235294119
ADAMTS12,0.8470588235294119,3.468046484915084e-05,0.023909597925681588,0.8470588235294119
CD101,0.8470588235294119,3.468046484915084e-05,0.023909597925681588,0.8470588235294119
CACNG4,-0.8470588235294119,3.468046484915084e-05,0.023909597925681588,0.8470588235294119
PCDH18,0.8462106779513116,3.596393862219723e-05,0.024277906316147013,0.8462106779513116
TRERF1,0.8441176470588234,3.930242737399882e-05,0.024490702965378534,0.8441176470588234
AL390957.1,0.8441176470588234,3.930242737399882e-05,0.024490702965378534,0.8441176470588234
PLAGL1,-0.8441176470588234,3.930242737399882e-05,0.024490702965378534,0.8441176470588234
TPT1-AS1,0.8441176470588234,3.930242737399882e-05,0.024490702965378534,0.8441176470588234
