gene,spearman_rho,pval,pval_fdr,abs_rho
NLN,0.9588235294117649,4.825540771378691e-09,0.00015636199761498372,0.9588235294117649
NPTN,-0.9529411764705882,1.2096579348828995e-08,0.00019598273032005295,0.9529411764705882
OSBP,0.95,1.834617266858828e-08,0.00019815701099342201,0.95
KCNH2,-0.9411764705882352,5.588937633072706e-08,0.0004527458653111372,0.9411764705882352
CCNYL1,0.9352941176470588,1.0720167152998666e-07,0.0006947311525172316,0.9352941176470588
LRRTM3,-0.9294117647058824,1.9401189481036708e-07,0.0010327428471325168,0.9294117647058824
KLHDC8A,0.9264705882352942,2.561397065047752e-07,0.0010327428471325168,0.9264705882352942
TARS,-0.9264705882352942,2.561397065047752e-07,0.0010327428471325168,0.9264705882352942
CTH,0.9235294117647058,3.3439000100406933e-07,0.0010327428471325168,0.9235294117647058
RAB30-DT,-0.9235294117647058,3.3439000100406933e-07,0.0010327428471325168,0.9235294117647058
AC109466.1,0.9205882352941176,4.3204104274523157e-07,0.0010327428471325168,0.9205882352941176
ZNF114,-0.9205882352941176,4.3204104274523157e-07,0.0010327428471325168,0.9205882352941176
SOX6,-0.9176470588235294,5.528654958744469e-07,0.0010327428471325168,0.9176470588235294
KIRREL3,-0.9176470588235294,5.528654958744469e-07,0.0010327428471325168,0.9176470588235294
KBTBD2,-0.9176470588235294,5.528654958744469e-07,0.0010327428471325168,0.9176470588235294
AC103794.1,-0.9168508736759426,5.901069155662903e-07,0.0010327428471325168,0.9168508736759426
TOX2,-0.9147058823529413,7.011802190203182e-07,0.0010327428471325168,0.9147058823529413
TMEM106B,-0.9147058823529413,7.011802190203182e-07,0.0010327428471325168,0.9147058823529413
ZNF439,0.9147058823529413,7.011802190203182e-07,0.0010327428471325168,0.9147058823529413
AL512343.2,-0.9147058823529413,7.011802190203182e-07,0.0010327428471325168,0.9147058823529413
AC011451.3,0.9147058823529413,7.011802190203182e-07,0.0010327428471325168,0.9147058823529413
ERICH5,-0.9147058823529413,7.011802190203182e-07,0.0010327428471325168,0.9147058823529413
DYSF,0.911764705882353,8.818985741384046e-07,0.0011503955769118837,0.911764705882353
APH1B,0.911764705882353,8.818985741384046e-07,0.0011503955769118837,0.911764705882353
KCNAB3,-0.9088235294117648,1.1005852200187758e-06,0.0011503955769118837,0.9088235294117648
KIRREL3-AS1,-0.9088235294117648,1.1005852200187758e-06,0.0011503955769118837,0.9088235294117648
IL3RA,-0.9088235294117648,1.1005852200187758e-06,0.0011503955769118837,0.9088235294117648
BRINP3,0.9088235294117648,1.1005852200187758e-06,0.0011503955769118837,0.9088235294117648
KLHL13,-0.9088235294117648,1.1005852200187758e-06,0.0011503955769118837,0.9088235294117648
CCDC92,0.9088235294117648,1.1005852200187758e-06,0.0011503955769118837,0.9088235294117648
SORBS1,0.9088235294117648,1.1005852200187758e-06,0.0011503955769118837,0.9088235294117648
KLF12,-0.9058823529411765,1.3635133553269886e-06,0.001262340664361726,0.9058823529411765
RIPOR2,0.9058823529411765,1.3635133553269886e-06,0.001262340664361726,0.9058823529411765
NPAS1,0.9058823529411765,1.3635133553269886e-06,0.001262340664361726,0.9058823529411765
AC008415.1,0.9058823529411765,1.3635133553269886e-06,0.001262340664361726,0.9058823529411765
LINC00511,0.9029411764705882,1.6777243705941578e-06,0.001393930840522115,0.9029411764705882
SCD,0.9029411764705882,1.6777243705941578e-06,0.001393930840522115,0.9029411764705882
MACO1,0.9029411764705882,1.6777243705941578e-06,0.001393930840522115,0.9029411764705882
STX3,0.9029411764705882,1.6777243705941578e-06,0.001393930840522115,0.9029411764705882
PCDH8,-0.9,2.0510898633788993e-06,0.0016615366210766618,0.9
AC022126.1,0.8970588235294116,2.4923759658858707e-06,0.001835464964149997,0.8970588235294116
AP001783.1,-0.8970588235294116,2.4923759658858707e-06,0.001835464964149997,0.8970588235294116
C11orf58,-0.8970588235294116,2.4923759658858707e-06,0.001835464964149997,0.8970588235294116
S100A1,-0.8970588235294116,2.4923759658858707e-06,0.001835464964149997,0.8970588235294116
TMEM145,-0.8941176470588235,3.0113099296374175e-06,0.0019913362377559436,0.8941176470588235
NRDE2,-0.8941176470588235,3.0113099296374175e-06,0.0019913362377559436,0.8941176470588235
WNK1,0.8941176470588235,3.0113099296374175e-06,0.0019913362377559436,0.8941176470588235
DENND3,0.8941176470588235,3.0113099296374175e-06,0.0019913362377559436,0.8941176470588235
TTC39C,-0.8941176470588235,3.0113099296374175e-06,0.0019913362377559436,0.8941176470588235
AL391645.1,0.8918324710234692,3.474937259280874e-06,0.002093840724016543,0.8918324710234692
CNGA1,0.8911764705882352,3.618648907351986e-06,0.002093840724016543,0.8911764705882352
BRD2,-0.8911764705882352,3.618648907351986e-06,0.002093840724016543,0.8911764705882352
AP006545.1,0.8911764705882352,3.618648907351986e-06,0.002093840724016543,0.8911764705882352
AL139240.1,-0.8911764705882352,3.618648907351986e-06,0.002093840724016543,0.8911764705882352
FAM47E,0.8911764705882352,3.618648907351986e-06,0.002093840724016543,0.8911764705882352
CPS1,0.8911764705882352,3.618648907351986e-06,0.002093840724016543,0.8911764705882352
FAM83H,0.890360800279206,3.804305636749684e-06,0.002162647641185965,0.890360800279206
NR3C2,-0.888235294117647,4.32625086797558e-06,0.002261024304435689,0.888235294117647
SOCS5,-0.888235294117647,4.32625086797558e-06,0.002261024304435689,0.888235294117647
SCPEP1,0.888235294117647,4.32625086797558e-06,0.002261024304435689,0.888235294117647
LINC01122,-0.888235294117647,4.32625086797558e-06,0.002261024304435689,0.888235294117647
SLC25A25-AS1,-0.888235294117647,4.32625086797558e-06,0.002261024304435689,0.888235294117647
MTUS2,-0.8852941176470588,5.1471475768424675e-06,0.0026059847333191636,0.8852941176470588
Z69733.1,0.8852941176470588,5.1471475768424675e-06,0.0026059847333191636,0.8852941176470588
TXNIP,-0.8823529411764707,6.095619569194933e-06,0.0028216622985803345,0.8823529411764707
RAB8B,0.8823529411764707,6.095619569194933e-06,0.0028216622985803345,0.8823529411764707
TAF7L,-0.8823529411764707,6.095619569194933e-06,0.0028216622985803345,0.8823529411764707
PAM,0.8823529411764707,6.095619569194933e-06,0.0028216622985803345,0.8823529411764707
AC090772.1,-0.8823529411764707,6.095619569194933e-06,0.0028216622985803345,0.8823529411764707
HAPLN2,-0.8823529411764707,6.095619569194933e-06,0.0028216622985803345,0.8823529411764707
GPRC5D-AS1,0.8794117647058824,7.187273041770846e-06,0.003147151464493253,0.8794117647058824
ARHGEF12,0.8794117647058824,7.187273041770846e-06,0.003147151464493253,0.8794117647058824
POLE2,-0.8794117647058824,7.187273041770846e-06,0.003147151464493253,0.8794117647058824
SSBP2,0.8794117647058824,7.187273041770846e-06,0.003147151464493253,0.8794117647058824
AGPAT2,0.8771157635808378,8.14988227226733e-06,0.003505804608626288,0.8771157635808378
FSD1L,0.8764705882352942,8.439118583861077e-06,0.003505804608626288,0.8764705882352942
AC010680.5,0.8764705882352942,8.439118583861077e-06,0.003505804608626288,0.8764705882352942
WNT9A,0.8764705882352942,8.439118583861077e-06,0.003505804608626288,0.8764705882352942
PTGER4,0.8747243008488694,9.265679950656753e-06,0.003553403588201926,0.8747243008488694
AL359382.1,0.8742673305420249,9.492878479033342e-06,0.003553403588201926,0.8742673305420249
ENTPD2,0.8742673305420249,9.492878479033342e-06,0.003553403588201926,0.8742673305420249
NPIPB15,0.8735294117647058,9.869651666147373e-06,0.003553403588201926,0.8735294117647058
NIPAL1,0.8735294117647058,9.869651666147373e-06,0.003553403588201926,0.8735294117647058
FOXP2,0.8735294117647058,9.869651666147373e-06,0.003553403588201926,0.8735294117647058
SLC22A18,0.8735294117647058,9.869651666147373e-06,0.003553403588201926,0.8735294117647058
RCC2,0.8735294117647058,9.869651666147373e-06,0.003553403588201926,0.8735294117647058
IQANK1,0.8735294117647058,9.869651666147373e-06,0.003553403588201926,0.8735294117647058
LGI1,-0.8735294117647058,9.869651666147373e-06,0.003553403588201926,0.8735294117647058
BEAN1,0.8735294117647058,9.869651666147373e-06,0.003553403588201926,0.8735294117647058
KIF3B,0.8735294117647058,9.869651666147373e-06,0.003553403588201926,0.8735294117647058
RXFP3,-0.8718340081776611,1.0783213743955357e-05,0.003802040657277927,0.8718340081776611
