supertype,comp_beta,se_y,comp_zval,comp_pval,comp_padj,abs_comp_beta,comp_logp,is_sst
L5/6 NP_4,0.173914484222229,0.0723978829717698,2.40220400215354,0.0162966173652479,0.192106022298078,0.173914484222229,1.787902531305275,False
L6 CT_1,0.2308172737216,0.0937106085227013,2.46308584866019,0.0137746929651014,0.187680191649506,0.2308172737216,1.8609180726974697,False
L6b_1,0.481296796598871,0.101095249618842,4.76082504779895,1.92803133457243e-06,0.0002101554154683,0.481296796598871,5.714885912175244,False
L6b_2,0.167197845733031,0.0871313688570625,1.91891677964243,0.0549948667087902,0.338304125851518,0.167197845733031,1.2596778462164624,False
Vip_12,-0.0683277828999998,0.0671702353212183,-1.01723304337473,0.30904258026592,0.623808171277505,0.0683277828999998,0.5099816788259178,False
L4 IT_3,0.0480322121884009,0.0736806507182668,0.651897231093439,0.514467471276935,0.762754537006271,0.0480322121884009,0.28864207958285654,False
Vip_15,-0.0179482346937108,0.0464797589030812,-0.386151630672959,0.699384373825,0.886429031940988,0.0179482346937108,0.1552840752543809,False
Pax6_2,0.118936931018439,0.0827116613009,1.437970524927,0.150442417440991,0.499604933085498,0.118936931018439,0.8226296965681212,False
L2/3 IT_7,0.208344907686777,0.0883656654048172,2.3577586015147,0.0183856444997348,0.192106022298078,0.208344907686777,1.7355211415485903,False
Lamp5_1,0.0403381814661403,0.0767968137036056,0.525258529889325,0.59940348180977,0.81582568961815,0.0403381814661403,0.22228073865701017,False
L4 IT_4,0.02729310786111,0.0579298689356221,0.471140507696315,0.637540399629103,0.833954729695128,0.02729310786111,0.19549228967036386,False
L2/3 IT_3,-0.0936134743193302,0.0729423924817765,-1.28338913948727,0.19935577689225,0.519939354955901,0.0936134743193302,0.7003711749196927,False
Vip_9,-0.0014910282198698,0.0587168882869469,-0.0253935156199572,0.979741083227422,0.995669874819086,0.0014910282198698,0.008888680411992048,False
L4 IT_1,0.049193184015191,0.0568427888277968,0.865425237389741,0.386805434047021,0.680028908243956,0.049193184015191,0.41250743334793344,False
Sst_2,-0.254509920135936,0.0591534995883802,-4.30253361013202,1.68856046339816e-05,0.0009202654525519,0.254509920135936,4.772483383681198,True
Lamp5_4,0.0751792802930142,0.0664533239767492,1.13130955374509,0.257924824611278,0.569755257858317,0.0751792802930142,0.5885068561061665,False
L2/3 IT_12,-0.0588886771125258,0.0824681365615157,-0.714077940497647,0.475178985744995,0.725161804665052,0.0588886771125258,0.3231427737860986,False
Sst_5,0.0309783749550944,0.0667703598466859,0.463953991355222,0.642680709122851,0.833954729695128,0.0309783749550944,0.19200473579402288,True
Pvalb_10,0.0431573824938302,0.0667359333543216,0.646688827512075,0.517833355398753,0.762754537006271,0.0431573824938302,0.28580997862292773,False
L2/3 IT_6,-0.0885649875776229,0.0760824244129518,-1.1640663170369,0.244397137513991,0.566793361468618,0.0885649875776229,0.6119038850463345,False
L5 ET_1,0.16890379147394,0.0902567516473144,1.87137015670523,0.0612937924285458,0.351632809195342,0.16890379147394,1.2125835067301862,False
Pvalb_13,0.0740884300815594,0.0621626044250759,1.19184887388136,0.233320508048255,0.552868160375212,0.0740884300815594,0.6320470865780694,False
L5 IT_5,-0.045306458296817,0.064001009081603,-0.707902249463756,0.47900596271453,0.725161804665052,0.045306458296817,0.31965908041028057,False
Pvalb_15,-0.062759661928616,0.041993052328719,-1.49452489038752,0.135038481239471,0.499604933085498,0.062759661928616,0.8695424551454509,False
L2/3 IT_8,-0.0750586405572907,0.0818561853224475,-0.916957469513392,0.359164927149959,0.652482950989092,0.0750586405572907,0.4447060792678772,False
Sst_25,-0.258992646343256,0.0826138738897393,-3.13497762723148,0.0017186721854707,0.0374670536432624,0.258992646343256,2.7648069514791676,True
L2/3 IT_10,-0.169067110295597,0.0842876847815801,-2.00583407568628,0.0448739537362267,0.305703809828044,0.169067110295597,1.3480056641379803,False
Sst_22,-0.27142856495951,0.0808981876307707,-3.35518721628652,0.0007931128967773,0.0216123264371826,0.27142856495951,3.100664988019614,True
Lamp5_6,0.11080758128473,0.0815145497421795,1.35935954544558,0.174032683746483,0.512977103115637,0.11080758128473,0.7593691825346762,False
Sst_9,-0.0612491014058203,0.0545312450350913,-1.12319279279991,0.261355622870788,0.569755257858317,0.0612491014058203,0.5827681519447009,True
Pvalb_8,0.0110182356205514,0.0692976447784177,0.158998702708912,0.873669895918211,0.961919380354394,0.0110182356205514,0.0586526285343731,False
Sst_19,-0.05323807353256,0.053867350818735,-0.988318020533577,0.322996922597446,0.640121173874938,0.05323807353256,0.4908016154562489,True
