CellType,estimate,se,zval,pval,I2,ci.lb,ci.ub,k,padj
L6 CT_4,0.019533691687456466,0.06965902318162724,0.2804186851217364,0.7791563032314295,75.0310893021006,-0.11699548494677364,0.1560628683216866,6,0.9066912112415545
Chandelier_2,0.1854846668753702,0.07450621903671924,2.4895192545464826,0.012791598956287786,21.815727651468304,0.03945516093914797,0.33151417281159246,7,0.11218313425729048
Sst_2,-0.2679252581321573,0.061120419217582614,-4.38356381651065,1.167534263645007e-5,19.65140815776386,-0.387719078518609,-0.14813143774570559,7,0.0012726123473730576
Sst_12,0.03137131302468181,0.062384893346754185,0.5028671420548966,0.6150576839919966,27.905207366264456,-0.09090083111432881,0.15364345716369243,7,0.8723300506286329
L5 IT_7,-0.057587999938464376,0.06732671698047736,-0.8553513749253969,0.3923566540563084,33.3102663261252,-0.18954594041752126,0.07436994054059252,7,0.7527070321384046
Pvalb_12,0.09153682242490417,0.06262716749527054,1.4616152396133326,0.1438466758763401,0,-0.031210170319583633,0.214283815169392,7,0.4510085784860005
Pvalb_8,0.07558677796745514,0.06800119205248004,1.111550778538131,0.266331345792632,0,-0.057693109361197065,0.20886666529610734,7,0.6047940977374352
L6 IT Car3_2,-0.17340391566177732,0.08173739923898295,-2.1214758149422,0.03388178109478175,0,-0.3336062743601555,-0.013201556963399141,7,0.20517300774062283
Sst_20,-0.21168750646194665,0.07248519979405715,-2.9204238529160027,0.003495556100275499,43.72474802398843,-0.3537558874704888,-0.06961912545340448,7,0.047626951866253674
L2/3 IT_7,0.2113364324150791,0.08544020210148709,2.4735010828280894,0.013379639865548406,39.26474058855546,0.043876713464340994,0.37879615136581724,7,0.11218313425729048
Sst Chodl_2,-0.009566534787892888,0.0754938630384033,-0.12671937032850533,0.8991625141257957,42.96992063463654,-0.1575317873969629,0.13839871782117716,6,0.969883901658038
L5 IT_3,-0.0035255341541028996,0.05829766805695335,-0.060474702875913715,0.9517775631458526,0,-0.1177868639284026,0.11073579562019681,7,0.969883901658038
Sst_9,-0.022830193640330995,0.05573449625835927,-0.4096241138432616,0.6820817050854731,0,-0.13206779900319754,0.08640741172253556,7,0.8850822125513876
Sncg_5,-0.004549278098779098,0.07190912385045715,-0.06326426822053648,0.949556068571673,5.7659820135072,-0.1454885710055053,0.13639001480794713,7,0.969883901658038
Sst_3,-0.17984030494769987,0.058309442669854376,-3.0842398197140755,0.0020407302012782694,0,-0.29412471253921746,-0.06555589735618225,7,0.037073265323221895
Sncg_2,0.21581052191130118,0.0871723074523886,2.475677519826714,0.013298363280534527,54.05911333957419,0.04495593885536697,0.3866651049672354,7,0.11218313425729048
Pax6_2,0.13672063083850564,0.07820378098750598,1.7482611340792902,0.08041881994581673,0,-0.016555963351864295,0.2899972250288756,7,0.324653754596075
L4 IT_3,0.05351925903699096,0.07422934122006233,0.7209987069442837,0.4709103103044693,49.41081692903187,-0.09196757635046568,0.19900609442444758,7,0.795057308242619
L6b_3,0.10200687372482024,0.08063652556183452,1.2650206964410724,0.20586390886522535,0,-0.05603781221481886,0.26005155966445936,6,0.5472967333246235
Sst_25,-0.2052734817554956,0.08173893558238152,-2.511330497429935,0.012027703215590092,0,-0.3654788516316029,-0.045068111879388334,7,0.11218313425729048
L2/3 IT_3,-0.12907009169321673,0.0726856923271647,-1.7757289992129524,0.07577759522661723,57.88992508801475,-0.2715314308458189,0.013391247459385414,7,0.324653754596075
L5/6 NP_6,0.20117060309842602,0.091588466429815385,2.1964621850348798,0.028058878940933174,87.23697261658693,0.021660507496732095,0.38068069870011995,5,0.19115111278510724
L6b_6,0.09722702325555448,0.08186182082000222,1.1876968076404906,0.23495288195407082,0,-0.06321919726052101,0.25767324377163,7,0.5820423666589482
Vip_14,0.051187837688833615,0.06331136771651015,0.8085094278493213,0.4187973809505201,23.051150593573958,-0.07290016284749815,0.17527583822516538,7,0.7527070321384046
Pax6_4,0.08957561482083784,0.0698529754336975,1.2823450148642632,0.19972164351192256,0,-0.04733370124217043,0.2264849308838461,7,0.5442414785699891
L6b_4,0.2657113587363204,0.07784569574598064,3.413308291358417,6.417929505885781e-4,26.44410791297592,0.11313659872273546,0.41828611874990534,7,0.03311929284517139
L2/3 IT_13,-0.058122669648143395,0.07269386895423281,-0.7995539442911854,0.42396928041646065,0,-0.20060003469531404,0.08435469539902726,7,0.7527070321384046
Vip_9,-0.018526470730401333,0.05957207401153703,-0.3109925420225155,0.7558062913162146,8.47337904308968,-0.13528559027736844,0.09823264881656577,7,0.9066912112415545
Lamp5_2,0.03174322127830218,0.0417659662697997,0.7600260238981995,0.4472390293789056,0,-0.050116568390019926,0.11360301094662428,7,0.7737945111476303
L4 IT_2,-0.03499807921891045,0.050472267171980126,-0.6934120692390804,0.4880509902243985,0,-0.13392190509407476,0.06392574665625388,7,0.795057308242619
L4 IT_4,0.037491763141736204,0.05815363377703401,0.6447019851843278,0.51912032959782,31.835147960022724,-0.07648726463138243,0.15147079091485482,7,0.8054879853659168
L2/3 IT_12,-0.08152792282246171,0.08442743387005139,-0.9656567668270892,0.3342159596345816,0,-0.24700265251489953,0.0839468068699761,7,0.6746211037068407
L2/3 IT_10,-0.16510699422706904,0.08643119268583839,-1.9102709229896067,0.05609833956511875,20.710379962587556,-0.334509019032154,0.004295030578015918,7,0.26585734837382363
Sst_5,0.06657076043021314,0.062441022704532056,1.0661382140587736,0.286361167272885,0,-0.05581139522851748,0.18895291608894377,7,0.6242673446548894
L2/3 IT_6,-0.13246480408299097,0.08023947374695183,-1.65086830580096,0.09876546879458017,0,-0.28973128276546367,0.024801674599481766,7,0.3588478699536413
L2/3 IT_2,0.09990687268808432,0.08855372377722669,1.1282063410390124,0.2592327865843496,0,-0.0736552366121882,0.27346898198835684,5,0.6011994412275342
L5/6 NP_2,0.1818127135533875,0.07726661060592199,2.3530566712790777,0.018619796074675284,26.376262170391076,0.03037293955829984,0.33325248754847514,7,0.14496841229568613
Vip_21,0.011405912777564763,0.061229264265400915,0.1862820485336119,0.8522235842668608,0,-0.10860123998250634,0.13141306553763588,7,0.9478813335213044
L2/3 IT_1,-0.06091899841370586,0.06250741172992927,-0.9745884004430333,0.32976446972211876,0,-0.1834312741711837,0.061593277343772,7,0.6746211037068407
Pvalb_3,0.03641743902747665,0.0580705029925216,0.6271245667041413,0.5305775847807319,17.72785328962946,-0.07739865540199112,0.1502335334569444,7,0.8054879853659168
Sst_4,-0.06824688320499439,0.06994930730237073,-0.9756620306471764,0.32923197395347786,0,-0.2053450062611656,0.06885123985117683,7,0.6746211037068407
Sncg_3,0.013092368713779824,0.06888998884714422,0.19004747907318842,0.8492719255294741,3.762365002973792,-0.12192952832198882,0.14811426574954847,7,0.9478813335213044
L6b_1,0.2788353632990313,0.0879333791110157,3.1709842851257,0.0015192336167509813,75.33904994061558,0.10648910720253382,0.4511816193955288,7,0.03311929284517139
Pvalb_7,0.07288874139606573,0.06802644904290792,1.0714764980616716,0.2839552325463035,0,-0.06044064872418299,0.20621813151631446,7,0.6242673446548894
Lamp5_1,0.03544032559845748,0.06812367787302094,0.5202350593066398,0.6028997522909079,21.380336127699728,-0.09807962952707175,0.1689602807239867,7,0.8723300506286329
