# MEAN_SAMPLE_SIZE = 90839
# TOTAL_GENES = 15855
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type91       COVAR   15855      0.21999    0.0017129       1.1881      0.42655
Type92       COVAR   15855       1.3569     0.012282      0.99131     0.085544
Type93       COVAR   15855       1.4521     0.014701      0.89168     0.051727
Type94       COVAR   15855       0.5243     0.004604       1.0447      0.30789
Type95       COVAR   15855       2.0594     0.020044      0.94407     0.014586
Type96       COVAR   15855       2.9629     0.023083       1.1587     0.005283
Type97       COVAR   15855      0.98674    0.0085698       1.0382      0.17096
Type98       COVAR   15855     -0.46085   -0.0043475      0.95891       0.6846
Type99       COVAR   15855       0.1944    0.0020052      0.85855      0.41043
Type100      COVAR   15855     -0.80898   -0.0086317      0.81235      0.84033
Type101      COVAR   15855      0.40317    0.0033528       1.0701      0.35317
Type102      COVAR   15855      -1.8375    -0.018283      0.91241      0.97798
Type103      COVAR   15855       0.3315    0.0026963       1.1594      0.38747
Type104      COVAR   15855      0.43843      0.00556      0.67087      0.25671
Type105      COVAR   15855      0.29695    0.0034121      0.71937      0.33988
Type106      COVAR   15855        1.169     0.010144       1.0665      0.13652
Type107      COVAR   15855     -0.82904    -0.012759      0.56841      0.92764
Type108      COVAR   15855     -0.81902     -0.01224      0.61036      0.91017
Type109      COVAR   15855      -1.0909    -0.016803      0.59404      0.96684
Type110      COVAR   15855     -0.86646    -0.013798      0.56322      0.93801
Type111      COVAR   15855     -0.60959    -0.010187      0.54631      0.86774
Type112      COVAR   15855      0.70348     0.011715      0.53604     0.094712
Type113      COVAR   15855     -0.29573   -0.0036555      0.75338      0.65267
Type114      COVAR   15855     -0.29847   -0.0043561      0.62142      0.68449
Type115      COVAR   15855      0.39114    0.0054464      0.65936      0.27653
Type116      COVAR   15855     0.025443   0.00036851      0.64315      0.48422
Type117      COVAR   15855      0.58223    0.0083215      0.63697      0.18035
Type118      COVAR   15855     -0.68254    -0.030435       0.2039      0.99959
Type119      COVAR   15855     -0.53311    -0.023842      0.19862      0.99636
Type120      COVAR   15855       2.2055     0.019324       1.0186     0.015194
Type121      COVAR   15855     -0.61947     -0.01352      0.40255      0.93807
Type122      COVAR   15855     -0.40733    -0.012964      0.27835      0.92831
Type123      COVAR   15855      0.28688    0.0045517      0.56363      0.30538
Type124      COVAR   15855      0.19252    0.0055469      0.29657      0.25812
