,Sst_1,Sst_2,Sst_3,Sst_4,Sst_5,Sst_7,Sst_9,Sst_10,Sst_11,Sst_12,Sst_13,Sst_19,Sst_20,Sst_22,Sst_23,Sst_25
MIR1302-2HG,0.002013629,0.0010530718,0.00029312377,0.0,0.0,0.0,0.00028632217,0.0,0.0,0.0009825412,0.0,0.0,0.0,0.0,0.0,0.0006845887
FAM138A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.1,0.0080885105,0.01098613,0.006357487,0.0053955647,0.0015175148,0.0007043459,0.00592961,0.0071659144,0.008859979,0.009991447,0.0056456225,0.009890256,0.0009496588,0.015341081,0.011746441,0.0077004973
AL627309.3,0.0,0.0,0.0012678739,0.0,0.0,0.0,0.0003818679,0.0,0.0,0.00089115836,0.0015580632,0.0006597523,0.0,0.0,0.0,0.0006756734
AL627309.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019951035,0.0,0.0,0.0,0.0,0.0
AL627309.5,0.011974286,0.018475303,0.02107088,0.01736127,0.013893546,0.013041414,0.018141564,0.009865315,0.020528505,0.02046346,0.019324485,0.017028209,0.020636352,0.020790651,0.015503726,0.014869398
AL627309.4,0.0,0.0,0.00015350786,0.0,0.0,0.0,0.0,0.0,0.0,0.00036937575,0.00024683564,0.0,0.0,0.0,0.0,0.0
AP006222.2,0.0011499289,0.0,0.0,0.0,0.0,0.0,0.0005447669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL732372.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC114498.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005698571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.2,0.0,0.0020672542,0.00042405102,0.0,0.0008954594,0.0,0.00072252896,0.0010099203,0.0,0.00041967662,0.0010517882,0.0017032021,0.0,0.0,0.0,0.00033279046
LINC01409,0.15787676,0.112707555,0.12931448,0.17005004,0.15043488,0.121492706,0.12855679,0.1499826,0.15051529,0.15430945,0.14944097,0.15414307,0.1295991,0.15081663,0.1327381,0.14912927
FAM87B,0.0,0.0,0.00030103064,0.0,0.0,0.0,0.0,0.0,0.0,0.00035391573,0.0008241451,0.0016044219,0.0008219564,0.0,0.0021063606,0.0
LINC01128,0.197789,0.17470008,0.15606938,0.18083586,0.13102968,0.16103254,0.18287149,0.17119913,0.11796784,0.15315402,0.17705028,0.16320482,0.15104492,0.13019072,0.11532636,0.13387704
LINC00115,0.012257739,0.019683372,0.017456565,0.01933959,0.025832579,0.023334052,0.019572655,0.012553001,0.028909862,0.010757711,0.0153584145,0.026811045,0.0123604825,0.01410971,0.014321297,0.025045361
FAM41C,0.0045474665,0.0011441947,0.0070132073,0.011726726,0.006012202,0.012227076,0.012126418,0.0030014515,0.00603409,0.0037740006,0.0060633654,0.0076162997,0.0044440906,0.007369483,0.003279678,0.0055063586
AL645608.6,0.0016319202,0.0040774997,0.0016542647,0.001661626,0.002345087,0.0,0.0015985288,0.00199351,0.0,0.0033345034,0.0010854249,0.0007746018,0.0,0.0,0.0018766728,0.0010140869
AL645608.2,0.006321664,0.005111575,0.0021510648,0.0022456194,0.0022300598,0.0033164523,0.0,0.0014895898,0.0,0.0018861712,0.0045502195,0.0016242197,0.0018818721,0.0,0.002622837,0.0015560527
AL645608.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
