safe_name,cell_type
Type0,Astro_1
Type1,Astro_2
Type2,Astro_3
Type3,Astro_4
Type4,Astro_5
Type5,Astro_6-SEAAD
Type6,Chandelier_1
Type7,Chandelier_2
Type8,Endo_2
Type9,L2/3 IT_1
Type10,L2/3 IT_2
Type11,L2/3 IT_3
Type12,L2/3 IT_5
Type13,L2/3 IT_6
Type14,L2/3 IT_7
Type15,L2/3 IT_8
Type16,L2/3 IT_10
Type17,L2/3 IT_12
Type18,L2/3 IT_13
Type19,L4 IT_1
Type20,L4 IT_2
Type21,L4 IT_3
Type22,L4 IT_4
Type23,L5 ET_2
Type24,L5 IT_1
Type25,L5 IT_2
Type26,L5 IT_3
Type27,L5 IT_5
Type28,L5 IT_6
Type29,L5 IT_7
Type30,L5/6 NP_1
Type31,L5/6 NP_2
Type32,L5/6 NP_3
Type33,L5/6 NP_4
Type34,L5/6 NP_6
Type35,L6 CT_1
Type36,L6 CT_2
Type37,L6 CT_3
Type38,L6 CT_4
Type39,L6 IT Car3_1
Type40,L6 IT Car3_2
Type41,L6 IT Car3_3
Type42,L6 IT_1
Type43,L6 IT_2
Type44,L6b_1
Type45,L6b_2
Type46,L6b_3
Type47,L6b_4
Type48,L6b_5
Type49,L6b_6
Type50,Lamp5_1
Type51,Lamp5_2
Type52,Lamp5_3
Type53,Lamp5_4
Type54,Lamp5_5
Type55,Lamp5_6
Type56,Lamp5_Lhx6_1
Type57,Micro-PVM_2
Type58,Micro-PVM_3-SEAAD
Type59,OPC_1
Type60,OPC_2
Type61,OPC_2_2-SEAAD
Type62,Oligo_1
Type63,Oligo_2
Type64,Oligo_3
Type65,Oligo_4
Type66,Pax6_1
Type67,Pax6_2
Type68,Pax6_3
Type69,Pax6_4
Type70,Pvalb_1
Type71,Pvalb_2
Type72,Pvalb_3
Type73,Pvalb_5
Type74,Pvalb_6
Type75,Pvalb_7
Type76,Pvalb_8
Type77,Pvalb_9
Type78,Pvalb_10
Type79,Pvalb_12
Type80,Pvalb_13
Type81,Pvalb_14
Type82,Pvalb_15
Type83,Sncg_1
Type84,Sncg_2
Type85,Sncg_3
Type86,Sncg_4
Type87,Sncg_5
Type88,Sncg_6
Type89,Sncg_8
Type90,Sst Chodl_1
Type91,Sst Chodl_2
Type92,Sst_1
Type93,Sst_2
Type94,Sst_3
Type95,Sst_4
Type96,Sst_5
Type97,Sst_7
Type98,Sst_9
Type99,Sst_10
Type100,Sst_11
Type101,Sst_12
Type102,Sst_13
Type103,Sst_19
Type104,Sst_20
Type105,Sst_22
Type106,Sst_23
Type107,Sst_25
Type108,VLMC_1
Type109,Vip_1
Type110,Vip_2
Type111,Vip_4
Type112,Vip_5
Type113,Vip_6
Type114,Vip_9
Type115,Vip_11
Type116,Vip_12
Type117,Vip_13
Type118,Vip_14
Type119,Vip_15
Type120,Vip_16
Type121,Vip_18
Type122,Vip_19
Type123,Vip_21
Type124,Vip_23
Type125,Bcell_0
Type126,Tcell_1
Type127,Nkcell_2
Type128,Mono_3
Type129,Mgl_4
Type130,Mgl_5
Type131,Mgl_7
Type132,Mgl_8
Type133,Mgl_9
Type134,Mgl_10
Type135,Mgl_12
Type136,VendPLVAP_13
Type137,VendAC_14
Type138,VendVC_16
Type139,VendV_17
Type140,VendA_18
Type141,Vsmc_19
Type142,Vsmc_20
Type143,Per_21
Type144,Per_22
Type145,Per_23
Type146,Fbl_24
Type147,Fbl_26
Type148,Fbl_27
Type149,Fbl_28
Type150,Fbl_29
Type151,Fbl_30
Type152,Fbl_31
Type153,OPC_32
Type154,OPC_33
Type155,OPC_34
Type156,OPC_36
Type157,COP_38
Type158,COP_39
Type159,COP_41
Type160,COP_42
Type161,COP_43
Type162,Oligo_46
Type163,Oligo_48
Type164,Oligo_49
Type165,Oligo_50
Type166,Bgl_51
Type167,Astro_53
Type168,Astro_55
Type169,Astro_56
Type170,Astro_57
Type171,Astro_59
Type172,Astro_60
Type173,Astro_62
Type174,Astro_63
Type175,Astro_64
Type176,Epen_65
Type177,Epen_66
Type178,Epen_67
Type179,Epen_68
Type180,Epen_69
Type181,Epen_70
Type182,Epen_71
Type183,Epen_72
Type184,Epen_73
Type185,Epen_74
Type186,COP_75
Type187,Chrp_76
Type188,Chrp_77
Type189,Chrp_78
Type190,Chrp_79
Type191,Chrp_80
Type192,Chrp_81
Type193,Chrp_82
Type194,DLNP_83
Type195,DLCT6b_84
Type196,DLNP_85
Type197,DLNP_87
Type198,DLNP_88
Type199,DLNP_91
Type200,DLNP_92
Type201,DLNP_94
Type202,DLNP_96
Type203,DLCT6b_97
Type204,DLCT6b_101
Type205,DLCT6b_102
Type206,DLCT6b_103
Type207,DLCT6b_104
Type208,DLCT6b_105
Type209,DLCT6b_107
Type210,DLCT6b_109
Type211,DLCT6b_111
Type212,DLCT6b_112
Type213,L5ET_113
Type214,L5ET_115
Type215,Misc_116
Type216,L5ET_117
Type217,L5ET_118
Type218,CA13_119
Type219,ULIT_121
Type220,ULIT_122
Type221,ULIT_127
Type222,ULIT_131
Type223,Misc_132
Type224,ULIT_133
Type225,DLIT_136
Type226,DLIT_140
Type227,DLIT_141
Type228,DLIT_143
Type229,DLIT_145
Type230,DLIT_146
Type231,DLIT_148
Type232,DLIT_151
Type233,DLIT_152
Type234,Amex_153
Type235,Amex_154
Type236,Amex_155
Type237,Amex_156
Type238,Amex_157
Type239,Amex_158
Type240,Amex_159
Type241,Amex_160
Type242,Amex_161
Type243,Amex_162
Type244,CA13_163
Type245,Misc_164
Type246,Misc_165
Type247,Misc_166
Type248,Misc_167
Type249,Misc_168
Type250,CA13_169
Type251,Misc_170
Type252,Amex_171
Type253,Amex_172
Type254,Amex_173
Type255,Amex_174
Type256,Amex_175
Type257,Misc_176
Type258,Misc_177
Type259,Misc_178
Type260,CA13_179
Type261,CA13_180
Type262,CA13_181
Type263,CA13_182
Type264,CA13_183
Type265,CA13_184
Type266,CA13_185
Type267,CA13_186
Type268,CA13_187
Type269,CA13_188
Type270,CA13_189
Type271,CA4_190
Type272,CA4_191
Type273,CA4_192
Type274,CA4_193
Type275,CA4_194
Type276,CA4_195
Type277,CA4_196
Type278,CA4_197
Type279,CA4_198
Type280,DG_199
Type281,DG_200
Type282,DG_201
Type283,DG_202
Type284,DG_203
Type285,DG_204
Type286,DG_205
Type287,MSN_206
Type288,MSN_207
Type289,MSN_208
Type290,MSN_209
Type291,MSN_210
Type292,MSN_211
Type293,MSN_212
Type294,MSN_213
Type295,MSN_214
Type296,MSN_215
Type297,MSN_216
Type298,MSN_217
Type299,MSN_218
Type300,MSN_219
Type301,MSN_220
Type302,MSN_221
Type303,EMSN_222
Type304,EMSN_223
Type305,EMSN_224
Type306,EMSN_225
Type307,EMSN_226
Type308,EMSN_227
Type309,EMSN_228
Type310,EMSN_229
Type311,EMSN_230
Type312,EMSN_231
Type313,EMSN_232
Type314,EMSN_233
Type315,EMSN_234
Type316,MGE_236
Type317,Splat_237
Type318,Splat_238
Type319,MGE_245
Type320,MGE_246
Type321,MGE_247
Type322,MGE_249
Type323,MGE_260
Type324,MGE_262
Type325,MGE_263
Type326,LLC_266
Type327,LLC_267
Type328,LLC_268
Type329,LLC_269
Type330,LLC_271
Type331,LLC_272
Type332,LLC_273
Type333,LLC_274
Type334,LLC_275
Type335,CGE_276
Type336,CGE_295
Type337,URL_297
Type338,CBI_298
Type339,CBI_299
Type340,CBI_300
Type341,CBI_301
Type342,CBI_302
Type343,CBI_303
Type344,CBI_304
Type345,CBI_305
Type346,CBI_306
Type347,CBI_307
Type348,URL_308
Type349,URL_309
Type350,URL_310
Type351,URL_311
Type352,URL_312
Type353,Splat_313
Type354,Misc_314
Type355,LRL_315
Type356,LRL_316
Type357,LRL_317
Type358,LRL_318
Type359,LRL_319
Type360,LRL_320
Type361,LRL_321
Type362,LRL_322
Type363,Mmb_323
Type364,Mmb_324
Type365,Mmb_325
