# MEAN_SAMPLE_SIZE = 57475
# TOTAL_GENES = 15956
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type93       COVAR   15956       5.6098     0.016595        3.087     0.034602
Type94       COVAR   15956       10.523     0.025017       3.9742    0.0040555
Type95       COVAR   15956       4.3155     0.012358       3.1433       0.0849
Type96       COVAR   15956       10.611     0.024609       3.9491    0.0036099
Type97       COVAR   15956       6.4134     0.015263       3.9498     0.052227
Type98       COVAR   15956       5.2792     0.010928       4.5605      0.12353
Type99       COVAR   15956       2.3254    0.0067118       3.1567      0.23068
Type100      COVAR   15956      -1.7859   -0.0062267        2.549      0.75823
Type101      COVAR   15956    -0.067696  -0.00019825       3.2293      0.50836
Type102      COVAR   15956      -1.9752   -0.0046813       4.0209      0.68837
Type103      COVAR   15956       1.9652    0.0043804       4.2792      0.32303
Type104      COVAR   15956       1.5985    0.0058609       2.4002      0.25273
Type105      COVAR   15956       3.6443     0.011559       2.8105     0.097386
Type106      COVAR   15956       10.158     0.021615       4.3414    0.0096565
Type107      COVAR   15956      -1.6955   -0.0065782       2.3634      0.76343
Type108      COVAR   15956      -1.3819   -0.0045553       2.9136      0.68235
Type109      COVAR   15956      -1.5147   -0.0054759       2.6622       0.7153
Type110      COVAR   15956     -0.67831   -0.0025406       2.4978      0.60702
Type111      COVAR   15956      -1.2406    -0.004746       2.5008      0.69007
Type112      COVAR   15956      0.66776    0.0030269        2.103      0.37543
Type113      COVAR   15956       2.5702    0.0063958        3.787      0.24868
Type114      COVAR   15956      0.22094   0.00083238       2.4984      0.46477
Type115      COVAR   15956        3.033    0.0097972       2.9103      0.14868
Type116      COVAR   15956       1.1763    0.0042608       2.6774      0.33021
Type117      COVAR   15956        1.713    0.0067594       2.3962      0.23735
Type118      COVAR   15956       -2.111    -0.017012       1.1801      0.96317
Type119      COVAR   15956      -2.4842    -0.020717       1.0955      0.98832
Type120      COVAR   15956       10.456     0.025595       3.6469    0.0020755
Type121      COVAR   15956      -3.0918    -0.019267         1.47      0.98227
Type122      COVAR   15956      -1.7358    -0.014839       1.0626       0.9488
Type123      COVAR   15956     -0.13539  -0.00063504       2.0053      0.52691
Type124      COVAR   15956      0.83685    0.0075795      0.99127      0.19928
Type125      COVAR   15956     -0.40182   -0.0047621      0.79161      0.69413
Type126      COVAR   15956      -2.1859     -0.02782      0.75642      0.99807
Type127      COVAR   15956      -1.7323    -0.025575      0.63468      0.99682
Type128      COVAR   15956      -1.9158    -0.027043      0.67661      0.99768
Type129      COVAR   15956      -2.9611    -0.022593       1.2062      0.99295
Type130      COVAR   15956      -3.5556     -0.02631        1.235        0.998
Type131      COVAR   15956      -3.8645    -0.025938       1.3706      0.99759
Type132      COVAR   15956      -4.1373    -0.025535        1.498      0.99712
Type133      COVAR   15956      -3.6335     -0.02444       1.3766      0.99584
Type134      COVAR   15956        -4.07    -0.025467       1.4652      0.99726
Type135      COVAR   15956      -3.2617    -0.026003       1.1609      0.99752
Type136      COVAR   15956      -3.2521    -0.024721       1.2183       0.9962
Type137      COVAR   15956      -3.6295    -0.024334       1.4249      0.99456
Type138      COVAR   15956      -3.7468    -0.022371       1.6181       0.9897
Type139      COVAR   15956      -2.3766    -0.019878       1.1446      0.98106
Type140      COVAR   15956      -2.0328    -0.016677       1.1423      0.96242
Type141      COVAR   15956      -3.3373    -0.021832       1.4312      0.99014
Type142      COVAR   15956      -4.2211    -0.024378       1.6236      0.99533
Type143      COVAR   15956      -0.9086   -0.0050913       1.6416      0.71003
Type144      COVAR   15956      -1.5204   -0.0077624       1.8236      0.79777
Type145      COVAR   15956      -2.4351     -0.01184       1.9063      0.89926
Type146      COVAR   15956      -5.6759    -0.033467       1.5898      0.99982
Type147      COVAR   15956      -9.3932    -0.045012        2.005            1
Type148      COVAR   15956      -10.633    -0.046521       2.1754            1
Type149      COVAR   15956      -7.0987    -0.041609       1.6329      0.99999
Type150      COVAR   15956      -3.7845     -0.02669       1.2796      0.99845
Type151      COVAR   15956      -8.2689    -0.037164       2.0853      0.99996
Type152      COVAR   15956      -5.9387     -0.03472       1.6116      0.99989
Type153      COVAR   15956     -0.21313  -0.00056112       3.6921      0.52302
Type154      COVAR   15956       3.6915    0.0091893       3.9107      0.17261
Type155      COVAR   15956       5.5102     0.012474       4.2761     0.098779
Type156      COVAR   15956       1.8555    0.0044477       4.0248       0.3224
Type157      COVAR   15956       1.1721    0.0036215       3.1302      0.35404
Type158      COVAR   15956      -1.1174   -0.0045529       2.4156      0.67816
Type159      COVAR   15956       8.0552     0.018507       4.1252      0.02544
Type160      COVAR   15956       9.7283     0.022279       4.1956     0.010213
Type161      COVAR   15956       3.1256    0.0081554       3.6327      0.19479
Type162      COVAR   15956       2.1746     0.006899       3.0343       0.2368
Type163      COVAR   15956     -0.52226   -0.0019939       2.4862      0.58319
Type164      COVAR   15956      -1.1488   -0.0047996       2.2637      0.69409
Type165      COVAR   15956     -0.98861   -0.0040714       2.3163      0.66524
Type166      COVAR   15956     -0.24972   -0.0010553       2.2693      0.54381
Type167      COVAR   15956      -3.3334    -0.010308       3.1151       0.8577
Type168      COVAR   15956      -3.1629    -0.009557       3.1808      0.83997
Type169      COVAR   15956       -3.925   -0.0095088       3.9527      0.83963
Type170      COVAR   15956      -3.6905    -0.010273       3.4713      0.85614
Type171      COVAR   15956      -5.0334    -0.017759       2.7106      0.96833
Type172      COVAR   15956      -4.7949    -0.015016       3.0659      0.94107
Type173      COVAR   15956      -5.9965    -0.020883       2.7573      0.98517
Type174      COVAR   15956      -7.4683    -0.027901       2.5505      0.99829
Type175      COVAR   15956      -5.3412     -0.02448       1.9876      0.99639
Type176      COVAR   15956      -5.9959    -0.022051       2.6115      0.98915
