# MEAN_SAMPLE_SIZE = 57475
# TOTAL_GENES = 15956
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type390      COVAR   15956       21.452     0.033746       6.1688   0.00025387
Type391      COVAR   15956       5.0372      0.00838       5.6397      0.18589
Type392      COVAR   15956       24.928     0.036491       6.5327   6.8176e-05
Type393      COVAR   15956       8.1304     0.012417       5.9392     0.085521
Type394      COVAR   15956       16.234     0.019946         7.66     0.017041
Type395      COVAR   15956       26.121     0.028857       8.4978    0.0010589
Type396      COVAR   15956        11.85     0.013951       7.9607     0.068318
Type397      COVAR   15956       12.211     0.018098       6.0976      0.02262
Type398      COVAR   15956       19.069     0.023899       7.4382    0.0051853
Type399      COVAR   15956       11.537     0.017994       5.6904     0.021324
Type400      COVAR   15956       23.056     0.035005       6.3527   0.00014269
Type401      COVAR   15956       5.0554    0.0087188       5.6207      0.18422
Type402      COVAR   15956       10.165     0.015098       6.4374     0.057167
Type403      COVAR   15956       9.7392     0.018342       4.8091     0.021437
Type404      COVAR   15956       16.757     0.026827        5.856    0.0021117
Type405      COVAR   15956       11.851     0.014606       7.7972     0.064275
Type406      COVAR   15956       8.0088     0.011671        6.394       0.1052
Type407      COVAR   15956       28.655     0.033307       8.1288   0.00021244
Type408      COVAR   15956       7.8442     0.015283       5.3879     0.072721
Type409      COVAR   15956       19.075     0.024201       7.4177    0.0050677
Type410      COVAR   15956       21.446     0.027386       7.4165    0.0019191
Type411      COVAR   15956       18.965     0.031479       5.6396    0.0003869
Type412      COVAR   15956        13.09     0.019848       6.0703     0.015532
Type413      COVAR   15956       8.3766      0.01223       6.3594     0.093897
Type414      COVAR   15956       10.192     0.015888        6.023     0.045311
Type415      COVAR   15956        13.04     0.021982        5.386     0.007743
Type416      COVAR   15956       9.5802     0.012982       6.9335     0.083539
Type417      COVAR   15956       13.472     0.019223       6.6005     0.020629
Type418      COVAR   15956        9.878     0.014853       6.2538     0.057121
Type419      COVAR   15956        8.957     0.015119       5.5268     0.052559
Type420      COVAR   15956       7.1014      0.01144       5.9147      0.11496
Type421      COVAR   15956       7.0603     0.011948       5.3377     0.092974
Type422      COVAR   15956       13.933     0.022641       5.6529    0.0068608
Type423      COVAR   15956       7.1628     0.013445       4.7375     0.065286
Type424      COVAR   15956       20.381     0.030469       6.3835    0.0007062
Type425      COVAR   15956       24.764     0.031421       7.6475   0.00060282
Type426      COVAR   15956       14.862     0.025557        5.322    0.0026188
Type427      COVAR   15956       16.075      0.02889       5.3716    0.0013857
Type428      COVAR   15956       15.487     0.027853       5.1145    0.0012333
Type429      COVAR   15956       31.598     0.041705       7.1221   4.6072e-06
Type430      COVAR   15956        19.42     0.025118       7.3406    0.0040825
Type431      COVAR   15956       18.912     0.030058       5.7267   0.00048059
Type432      COVAR   15956        8.234     0.011533       6.5397      0.10401
Type433      COVAR   15956       18.564     0.023436       7.4857     0.006578
Type434      COVAR   15956       11.505     0.019446       5.4933     0.018123
Type435      COVAR   15956       5.0655     0.011566       4.1337      0.11022
Type436      COVAR   15956       15.814     0.028292       5.3628    0.0015981
Type437      COVAR   15956       2.3572    0.0048006       4.6505      0.30612
Type438      COVAR   15956       2.0508    0.0047572       4.0638      0.30691
Type439      COVAR   15956        1.737    0.0053452       3.0573      0.28497
Type440      COVAR   15956       5.2098     0.015234       3.1753     0.050442
Type441      COVAR   15956        2.814    0.0057523       4.4862      0.26525
Type442      COVAR   15956       8.3881     0.014976       5.2447     0.054884
Type443      COVAR   15956       29.529     0.049087       5.6008   6.8496e-08
Type444      COVAR   15956       51.784     0.051635       8.8567    2.565e-09
Type445      COVAR   15956       47.876     0.053047       8.5382   1.0487e-08
Type446      COVAR   15956       10.628     0.016355       6.1837     0.042847
Type447      COVAR   15956       34.127     0.040481       7.9198   8.2596e-06
Type448      COVAR   15956       7.3375     0.019113       3.5189     0.018535
Type449      COVAR   15956       6.9495     0.017193       3.6982     0.030122
Type450      COVAR   15956       7.3966     0.015206       4.5385     0.051591
Type451      COVAR   15956       10.759     0.023405       4.3245    0.0064292
Type452      COVAR   15956       2.5058    0.0061412       4.0497      0.26805
Type453      COVAR   15956       2.6183    0.0060304       3.9557      0.25402
Type454      COVAR   15956       5.5439      0.00975       5.5144      0.15738
Type455      COVAR   15956        8.441     0.013124       6.2785     0.089416
Type456      COVAR   15956       8.4503     0.014534       5.6532     0.067497
Type457      COVAR   15956       10.336     0.015482       6.3399     0.051538
Type458      COVAR   15956        5.103       0.0087       5.4858      0.17614
Type459      COVAR   15956        26.16     0.030604        7.835   0.00042173
Type460      COVAR   15956       14.188     0.020342       6.2401     0.011503
Type461      COVAR   15956       17.934     0.023041       7.3291    0.0072092
Type462      COVAR   15956       27.223     0.031876       8.2354   0.00047527
Type463      COVAR   15956       51.274     0.053175       9.0542   7.5943e-09
Type464      COVAR   15956       44.437      0.04784       8.7171   1.7442e-07
Type465      COVAR   15956       32.755     0.037949       8.0988    2.638e-05
Type466      COVAR   15956       52.925     0.053914       9.2063   4.5981e-09
Type467      COVAR   15956       24.464      0.03314       6.7469   0.00014448
Type468      COVAR   15956       37.541     0.044235       8.0307   1.4868e-06
Type469      COVAR   15956       20.961     0.029991       6.9002    0.0011944
Type470      COVAR   15956       18.352     0.027485       6.5487    0.0025399
Type471      COVAR   15956      -5.4937    -0.014027       3.7041      0.93097
Type472      COVAR   15956     -0.52489   -0.0017406       3.0619      0.56805
Type473      COVAR   15956       17.486     0.033707       4.7967     0.000134
Type474      COVAR   15956       23.667     0.037135       6.0792   4.9734e-05
Type475      COVAR   15956        26.14     0.039504       6.2698   1.5382e-05
Type476      COVAR   15956       22.445     0.034991       6.1171   0.00012215
Type477      COVAR   15956       21.428     0.031689       6.4186   0.00042255
Type478      COVAR   15956       20.969     0.032606       6.0752   0.00027964
Type479      COVAR   15956       19.317     0.032571       5.4355   0.00019046
Type480      COVAR   15956       26.254     0.037859       6.5888   3.3971e-05
Type481      COVAR   15956       20.781     0.029548       6.6812   0.00093625
Type482      COVAR   15956       12.673     0.019603       6.1344      0.01943
Type483      COVAR   15956       13.988      0.02235       5.9062    0.0089412
Type484      COVAR   15956       27.163     0.039436       6.5999   1.9423e-05
Type485      COVAR   15956       2.2335    0.0056633       3.7657      0.27656
Type486      COVAR   15956       5.3539     0.010159       4.9514      0.13979
Type487      COVAR   15956       15.868     0.027431       5.5756    0.0022172
Type488      COVAR   15956       3.7634     0.010099       3.7261      0.15626
Type489      COVAR   15956       15.944     0.028086       5.4066    0.0015972
Type490      COVAR   15956       13.065     0.025521       4.9727    0.0043077
Type491      COVAR   15956       12.631     0.023553       5.2639    0.0082138
Type492      COVAR   15956       10.368     0.020545       4.8281     0.015886
Type493      COVAR   15956       8.9834     0.016553       5.3248     0.045805
Type494      COVAR   15956       17.708     0.028343       6.1442    0.0019786
Type495      COVAR   15956       9.3086     0.017883       4.9264     0.029422
Type496      COVAR   15956       29.043     0.039768       7.0442   1.8817e-05
Type497      COVAR   15956       14.389     0.026615       5.0216    0.0020853
Type498      COVAR   15956       5.2133     0.010251       4.9662      0.14692
Type499      COVAR   15956       8.8361     0.014715       5.8598     0.065799
Type500      COVAR   15956      -1.6134    -0.010146       1.7912      0.81613
