# MEAN_SAMPLE_SIZE = 90909
# TOTAL_GENES = 15981
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type93       COVAR   15981       4.1255     0.012254       2.9806     0.083169
Type94       COVAR   15981       4.8825       0.0119       3.7695      0.09763
Type95       COVAR   15981       6.6005     0.018898       3.1681     0.018617
Type96       COVAR   15981       8.7374     0.020282         3.91      0.01273
Type97       COVAR   15981       4.4817      0.01069       3.8189       0.1203
Type98       COVAR   15981       1.8523    0.0038626       4.3843      0.33634
Type99       COVAR   15981       1.8513    0.0053709       3.0323      0.27076
Type100      COVAR   15981      0.19993   0.00070362       2.4523      0.46751
Type101      COVAR   15981       1.4785    0.0043642       3.0564      0.31428
Type102      COVAR   15981      -3.4214   -0.0081263       3.8216      0.81468
Type103      COVAR   15981       3.3378    0.0074679       4.1723      0.21187
Type104      COVAR   15981       2.2147    0.0081268       2.2827      0.16598
Type105      COVAR   15981      0.69832    0.0022169       2.6269      0.39518
Type106      COVAR   15981       8.7837      0.01875       4.2496      0.01938
Type107      COVAR   15981      -2.2509   -0.0087279       2.2457      0.84189
Type108      COVAR   15981      -1.5227   -0.0050179       2.7458       0.7104
Type109      COVAR   15981      -2.4475   -0.0088648       2.5127      0.83498
Type110      COVAR   15981     -0.69471   -0.0026046       2.3592       0.6158
Type111      COVAR   15981     -0.20138  -0.00076984       2.3845      0.53365
Type112      COVAR   15981       2.1735    0.0098437       1.9857      0.13686
Type113      COVAR   15981       2.0704    0.0051531       3.6817      0.28695
Type114      COVAR   15981     -0.17858  -0.00067225       2.3937      0.52973
Type115      COVAR   15981       2.8664    0.0092503       2.8122      0.15405
Type116      COVAR   15981       0.9109    0.0032981       2.5393       0.3599
Type117      COVAR   15981       1.6216    0.0063923       2.3234       0.2426
Type118      COVAR   15981      -3.2553    -0.026208       1.1536      0.99761
Type119      COVAR   15981      -2.0851    -0.017384        1.047      0.97678
Type120      COVAR   15981       8.7903     0.021592       3.6075    0.0074176
Type121      COVAR   15981      -2.0502    -0.012772       1.4178      0.92591
Type122      COVAR   15981      -1.1863    -0.010131       1.0206      0.87746
Type123      COVAR   15981       0.4965     0.002327       1.8877      0.39627
Type124      COVAR   15981      0.41291    0.0037385      0.94489      0.33106
Type125      COVAR   15981     -0.85946    -0.010173      0.75869      0.87135
Type126      COVAR   15981      -1.7407    -0.022127      0.72996      0.99145
Type127      COVAR   15981      -1.3893    -0.020486       0.6125      0.98833
Type128      COVAR   15981      -1.4898    -0.021006      0.62858       0.9911
