# MEAN_SAMPLE_SIZE = 90909
# TOTAL_GENES = 15981
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type391      COVAR   15981       1.8315    0.0030459       5.4411      0.36821
Type392      COVAR   15981        21.08     0.030858       6.2159   0.00034875
Type393      COVAR   15981       5.1558    0.0078734       5.8029      0.18714
Type394      COVAR   15981       9.8197     0.012068       7.3502      0.09079
Type395      COVAR   15981       23.789     0.026288       8.1602    0.0017801
Type396      COVAR   15981       8.9298     0.010517       7.7684      0.12518
Type397      COVAR   15981       6.9427     0.010287       5.9627      0.12215
Type398      COVAR   15981       10.172     0.012749       7.2116     0.079209
Type399      COVAR   15981       11.066     0.017252       5.5356     0.022806
Type400      COVAR   15981       21.988     0.033371       6.3009   0.00024263
Type401      COVAR   15981      -1.1623   -0.0020037       5.4225      0.58486
Type402      COVAR   15981       2.9894    0.0044394       6.2538      0.31633
Type403      COVAR   15981       12.858     0.024298       4.6185    0.0026887
Type404      COVAR   15981       19.538     0.031266       5.6445   0.00026951
Type405      COVAR   15981       12.088     0.014897       7.2959     0.048787
Type406      COVAR   15981        1.889     0.002753        6.228      0.38083
Type407      COVAR   15981       25.659     0.029827        7.848   0.00054018
Type408      COVAR   15981       9.4453     0.018391       4.5685     0.019355
Type409      COVAR   15981       19.195     0.024354       6.9968     0.003044
Type410      COVAR   15981       19.216     0.024535       7.0327    0.0031477
Type411      COVAR   15981       16.202     0.026902       5.6078    0.0019342
Type412      COVAR   15981        7.465     0.011315       6.0331      0.10799
Type413      COVAR   15981       4.9918    0.0075293       5.6852      0.18997
Type414      COVAR   15981       5.2751    0.0082505       5.6911        0.177
Type415      COVAR   15981       8.3378     0.014049       5.3954      0.06114
Type416      COVAR   15981       7.8501     0.010637       6.6154      0.11769
Type417      COVAR   15981       18.579     0.026528       6.3532    0.0017289
Type418      COVAR   15981       10.348     0.015557       6.0517     0.043654
Type419      COVAR   15981       4.7759     0.009141       4.6339      0.15136
Type420      COVAR   15981       3.6866    0.0060313         5.64      0.25667
Type421      COVAR   15981       8.7649     0.014844       5.2686     0.048105
Type422      COVAR   15981       9.3174     0.015135       5.5954     0.047948
Type423      COVAR   15981       1.2379    0.0023253       4.5686      0.39322
Type424      COVAR   15981       18.136     0.027106       6.3087    0.0020249
Type425      COVAR   15981       19.199     0.024361       7.3194    0.0043625
Type426      COVAR   15981       10.104     0.017367       5.3137     0.028622
Type427      COVAR   15981       8.6867     0.015603       4.9218     0.038798
Type428      COVAR   15981       10.822     0.019455        5.019      0.01554
Type429      COVAR   15981        21.57      0.02847       6.9219   0.00091774
Type430      COVAR   15981       14.184     0.018345       6.9117     0.020087
Type431      COVAR   15981       16.241     0.025852       5.6472    0.0020174
Type432      COVAR   15981       7.0784     0.009914       6.5066      0.13833
Type433      COVAR   15981       17.721     0.022375       7.4794    0.0089177
Type434      COVAR   15981       10.939     0.018501       5.2361     0.018353
Type435      COVAR   15981       3.0016    0.0068485       4.0214      0.22771
Type436      COVAR   15981       15.295     0.027353        4.956    0.0010157
Type437      COVAR   15981       5.0365     0.010252        4.393      0.12581
Type438      COVAR   15981     -0.99255   -0.0023007       3.9375      0.59951
Type439      COVAR   15981     -0.02368  -7.2802e-05       2.9824      0.50317
Type440      COVAR   15981       1.8868    0.0055166       3.1584      0.27513
Type441      COVAR   15981       2.7123    0.0055417       4.4255      0.26998
Type442      COVAR   15981        1.344    0.0024066       4.9082      0.39211
Type443      COVAR   15981       24.373     0.040496       5.2672   1.8697e-06
Type444      COVAR   15981       60.358     0.060234        8.857    4.923e-12
Type445      COVAR   15981       42.759     0.047391       8.2021    9.417e-08
Type446      COVAR   15981       15.905     0.024466       6.3665    0.0062466
Type447      COVAR   15981       22.088     0.026198       7.5515    0.0017254
Type448      COVAR   15981       3.6295    0.0094465       3.3337      0.13815
Type449      COVAR   15981       3.8444     0.009504       3.5202       0.1374
Type450      COVAR   15981        5.799     0.011914       4.3332     0.090419
Type451      COVAR   15981       6.5829      0.01431       4.5236     0.072812
Type452      COVAR   15981       2.3819    0.0058331       4.0348      0.27748
Type453      COVAR   15981       3.8538    0.0088687       4.1529      0.17672
Type454      COVAR   15981       4.2475    0.0074664       5.4796      0.21913
Type455      COVAR   15981       9.1879      0.01428       5.7763      0.05586
Type456      COVAR   15981       7.9784     0.013716       5.5807     0.076421
Type457      COVAR   15981       9.7801     0.014656       6.1966      0.05726
Type458      COVAR   15981      0.72168    0.0012299       5.3851       0.4467
Type459      COVAR   15981       26.334     0.030928       7.6058   0.00026861
Type460      COVAR   15981       16.409     0.023521        6.271    0.0044452
Type461      COVAR   15981        14.51     0.018665       7.1318      0.02096
Type462      COVAR   15981       23.986      0.02809       7.9068    0.0012104
Type463      COVAR   15981       38.058     0.039598        8.965   1.0997e-05
Type464      COVAR   15981       35.319     0.038038       8.5247   1.7236e-05
Type465      COVAR   15981       24.834     0.029068       7.7521   0.00068025
Type466      COVAR   15981       55.656     0.056939       9.1226   5.4204e-10
Type467      COVAR   15981       22.086     0.029991       6.3528    0.0002547
Type468      COVAR   15981       42.095     0.049819       7.8753   4.5889e-08
Type469      COVAR   15981       17.013     0.024334       6.6067     0.005015
Type470      COVAR   15981       15.492     0.023194       6.2673    0.0067276
Type471      COVAR   15981      -3.0864   -0.0078745       3.6494      0.80114
Type472      COVAR   15981      -2.4343   -0.0080648       2.9948      0.79184
Type473      COVAR   15981       15.223     0.029327       4.5512   0.00041265
Type474      COVAR   15981       17.263     0.027092       6.0719    0.0022376
Type475      COVAR   15981       24.154     0.036496       6.2346   5.3741e-05
Type476      COVAR   15981       16.829     0.026261       6.0107      0.00256
Type477      COVAR   15981       16.156     0.023881       6.3631    0.0055643
Type478      COVAR   15981        17.85     0.027745       6.1604    0.0018835
Type479      COVAR   15981       16.016     0.026989       5.5773    0.0020446
Type480      COVAR   15981       20.738     0.029894       6.6157   0.00086193
Type481      COVAR   15981       15.153     0.021538       6.7608     0.012511
Type482      COVAR   15981       8.8281     0.013662       6.0615     0.072652
Type483      COVAR   15981        10.13      0.01618        5.902     0.043061
Type484      COVAR   15981        19.41     0.028171       6.4082    0.0012292
Type485      COVAR   15981       1.3297    0.0033691       3.5338      0.35335
Type486      COVAR   15981       3.8324    0.0072689        4.708      0.20782
Type487      COVAR   15981       12.729     0.021994       5.2106    0.0072914
Type488      COVAR   15981       3.8476     0.010319       3.5786      0.14116
Type489      COVAR   15981       10.413     0.018364       5.1586     0.021774
Type490      COVAR   15981        10.48     0.020481       4.7268     0.013318
Type491      COVAR   15981       10.907      0.02033       5.0392     0.015222
Type492      COVAR   15981          9.1     0.018023       4.5658     0.023136
Type493      COVAR   15981       7.3873     0.013607       5.0569      0.07204
Type494      COVAR   15981       16.488     0.026384       5.8635    0.0024659
Type495      COVAR   15981       5.6882     0.010922       4.7167      0.11392
Type496      COVAR   15981       24.672     0.033776       6.6662   0.00010779
Type497      COVAR   15981       12.169     0.022501        4.855    0.0061024
Type498      COVAR   15981      0.56452    0.0011093       4.6901       0.4521
Type499      COVAR   15981        1.681    0.0027994       5.7511      0.38504
Type500      COVAR   15981      -2.1076    -0.013301       1.6748      0.89586
