# MEAN_SAMPLE_SIZE = 57471
# TOTAL_GENES = 15828
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type0        COVAR   15828       3.4722     0.022882       1.4807    0.0095222
Type1        COVAR   15828       4.8224     0.029642       1.5278   0.00080019
Type2        COVAR   15828       5.0615     0.030207       1.6162    0.0008707
Type3        COVAR   15828       3.9484     0.026399       1.4162    0.0026562
Type4        COVAR   15828       5.7711     0.034761       1.5927   0.00014597
Type5        COVAR   15828       6.0683     0.033142       1.7065   0.00018887
Type6        COVAR   15828       6.1001     0.033155       1.7636   0.00027206
Type7        COVAR   15828       5.1836     0.030778        1.571   0.00048547
Type8        COVAR   15828       4.4255     0.031807       1.3075   0.00035745
Type9        COVAR   15828       1.3919     0.011544       1.0705     0.096776
Type10       COVAR   15828       3.9497      0.02758        1.355     0.001782
Type11       COVAR   15828       1.7266     0.013314       1.1436      0.06556
Type12       COVAR   15828        6.108      0.03855       1.5175   2.8654e-05
Type13       COVAR   15828       3.0198     0.020988       1.2935    0.0097908
Type14       COVAR   15828       5.9784     0.036066       1.5025   3.4799e-05
Type15       COVAR   15828       8.8572     0.047982       1.7514   2.1571e-07
Type16       COVAR   15828       3.9512     0.029377       1.2483   0.00077633
Type17       COVAR   15828       4.9405     0.030232       1.5353   0.00064703
Type18       COVAR   15828     -0.25834   -0.0019265       1.2441      0.58225
Type19       COVAR   15828       4.1079      0.02489       1.5464    0.0039536
Type20       COVAR   15828       2.3233      0.01579       1.3528      0.04297
Type21       COVAR   15828       4.5009     0.027313       1.5769    0.0021602
Type22       COVAR   15828       5.1681     0.036582        1.311   4.0583e-05
Type23       COVAR   15828       3.0146     0.021796       1.2726    0.0089271
Type24       COVAR   15828       4.0275     0.027733       1.3103     0.001059
Type25       COVAR   15828       4.8711     0.029839       1.5717   0.00097225
Type26       COVAR   15828       3.8205     0.022357       1.5808    0.0078366
Type27       COVAR   15828       3.6541     0.022565       1.5189    0.0080757
Type28       COVAR   15828       3.7837     0.025274       1.3693    0.0028661
Type29       COVAR   15828       3.7134     0.024809       1.3612    0.0031894
Type30       COVAR   15828        2.866     0.022127       1.1474    0.0062525
Type31       COVAR   15828        5.912     0.036308       1.4551   2.4379e-05
Type32       COVAR   15828       1.4747      0.01039       1.3137      0.13082
Type33       COVAR   15828       1.9395     0.012512       1.3873     0.081069
Type34       COVAR   15828      0.53482    0.0053877      0.93549      0.28377
Type35       COVAR   15828       1.7803     0.013981       1.1378     0.058841
Type36       COVAR   15828       2.1653     0.017189       1.1807     0.033346
Type37       COVAR   15828      0.94334    0.0069409       1.1992      0.21575
Type38       COVAR   15828       1.4599    0.0095552       1.4145      0.15102
Type39       COVAR   15828       6.2215     0.034378       1.7265   0.00015761
Type40       COVAR   15828       5.4652     0.030397       1.7306   0.00079599
Type41       COVAR   15828       4.6948     0.026985       1.5702    0.0013975
Type42       COVAR   15828       1.8038       0.0126       1.3228      0.08636
Type43       COVAR   15828       5.7495     0.033195       1.6165   0.00018846
Type44       COVAR   15828       3.1822     0.021104       1.4403     0.013584
Type45       COVAR   15828       2.3608     0.017516       1.2204     0.026545
Type46       COVAR   15828       6.7906     0.036704       1.7656   6.0288e-05
Type47       COVAR   15828        8.115     0.045225       1.6728   6.2142e-07
Type48       COVAR   15828       2.8481     0.017213       1.5312     0.031452
Type49       COVAR   15828       5.5112     0.032355       1.5574   0.00020174
Type50       COVAR   15828       3.9034     0.024226       1.5739    0.0065738
Type51       COVAR   15828       7.5324     0.041727       1.6913   4.2588e-06
Type52       COVAR   15828       9.8264     0.053907       1.7332   7.3114e-09
Type53       COVAR   15828       4.7437     0.028364        1.496   0.00076172
Type54       COVAR   15828       6.9922     0.041027       1.5459    3.076e-06
Type55       COVAR   15828       1.5729     0.011945       1.1937     0.093813
Type56       COVAR   15828       3.7558     0.022706       1.4949    0.0060017
Type57       COVAR   15828       4.1347     0.026084       1.3918     0.001488
Type58       COVAR   15828        6.902      0.03844       1.6848   2.1101e-05
Type59       COVAR   15828       4.7424     0.032599       1.3962   0.00034218
Type60       COVAR   15828       6.8343     0.039302       1.6066   1.0573e-05
Type61       COVAR   15828        5.964     0.034915       1.5886   8.7288e-05
Type62       COVAR   15828        4.142     0.027399       1.4389    0.0020003
Type63       COVAR   15828       3.4946     0.023421       1.3656    0.0052546
Type64       COVAR   15828       3.2416     0.020938       1.4126     0.010882
Type65       COVAR   15828       4.5739     0.028381        1.464   0.00089299
Type66       COVAR   15828       3.1166      0.02123       1.3529     0.010628
Type67       COVAR   15828       1.1252    0.0083147       1.1415      0.16216
Type68       COVAR   15828     -0.15037    -0.001209       1.1039      0.55417
Type69       COVAR   15828      -1.4687    -0.013738       0.9581      0.93734
Type70       COVAR   15828     -0.37965     -0.00321       1.0832        0.637
Type71       COVAR   15828      -1.8674    -0.012972       1.3916      0.91017
Type72       COVAR   15828      -1.5883    -0.013693       1.0477      0.93524
Type73       COVAR   15828      -1.3865    -0.011988       1.0639      0.90375
Type74       COVAR   15828     -0.99788   -0.0078987       1.1907        0.799
Type75       COVAR   15828      -1.4163    -0.010646       1.2172      0.87769
Type76       COVAR   15828       1.4143    0.0095345       1.3266      0.14321
Type77       COVAR   15828       2.0371     0.014069       1.3265     0.062318
Type78       COVAR   15828       2.1483     0.016393       1.1964     0.036295
Type79       COVAR   15828     -0.16535    -0.001148       1.3436      0.54897
Type80       COVAR   15828     -0.32471   -0.0025521       1.2076      0.60599
Type81       COVAR   15828       1.4346    0.0099131       1.2703      0.12939
Type82       COVAR   15828       -0.342   -0.0027815       1.1392      0.61799
Type83       COVAR   15828     0.021023   0.00015829       1.2415      0.49324
Type84       COVAR   15828     -0.44192    -0.003335       1.2699      0.63607
Type85       COVAR   15828       1.3822    0.0078217       1.6334      0.19872
Type86       COVAR   15828      -1.5175    -0.012026       1.1934      0.89822
Type87       COVAR   15828     0.084301    0.0006464       1.1983      0.47196
Type88       COVAR   15828      -1.8578    -0.017001       1.0361      0.96351
Type89       COVAR   15828       -1.793    -0.018539      0.91466      0.97501
Type90       COVAR   15828       4.0444     0.025145       1.5402    0.0043259
Type91       COVAR   15828      0.40335    0.0031348       1.1828      0.36655
Type92       COVAR   15828       1.9282     0.017455       1.0093     0.028046
Type93       COVAR   15828       1.9495     0.019746      0.92579      0.01762
Type94       COVAR   15828       1.4779     0.012861       1.0647     0.082574
Type95       COVAR   15828      0.82788    0.0080643      0.91427      0.18261
Type96       COVAR   15828       3.2492     0.025332       1.1679    0.0027047
Type97       COVAR   15828      0.98883    0.0085785       1.0683      0.17733
Type98       COVAR   15828      0.16099    0.0015171      0.94922      0.43266
Type99       COVAR   15828      0.69893    0.0072051      0.87257      0.21157
Type100      COVAR   15828      -1.4634    -0.015588      0.84093      0.95908
Type101      COVAR   15828     -0.84537   -0.0070293       1.1006      0.77879
Type102      COVAR   15828      -1.1273    -0.011225      0.92604      0.88825
Type103      COVAR   15828      0.32146    0.0026158       1.1626      0.39108
Type104      COVAR   15828       1.0945     0.013891      0.70279     0.059706
Type105      COVAR   15828       1.6764     0.019278      0.78403     0.016259
Type106      COVAR   15828       2.1356     0.018531       1.0581     0.021788
Type107      COVAR   15828     -0.93192    -0.014357      0.60799      0.93732
Type108      COVAR   15828     -0.79048    -0.011825      0.64751      0.88891
Type109      COVAR   15828     -0.83855    -0.012904      0.63086       0.9081
Type110      COVAR   15828     -0.89167    -0.014214      0.60189      0.93075
Type111      COVAR   15828     -0.94481    -0.015804      0.58004      0.94832
Type112      COVAR   15828      0.23917    0.0039869      0.56557      0.33619
Type113      COVAR   15828     -0.65646   -0.0081228      0.74476      0.81095
Type114      COVAR   15828     -0.31362   -0.0045821      0.64162       0.6875
Type115      COVAR   15828      0.35072    0.0048888       0.6735      0.30128
Type116      COVAR   15828     -0.16367   -0.0023732      0.66924       0.5966
Type117      COVAR   15828      0.33622    0.0048106      0.65137      0.30287
Type118      COVAR   15828     -0.49423    -0.022066      0.21292      0.98985
Type119      COVAR   15828     -0.61985    -0.027755      0.20386      0.99882
Type120      COVAR   15828       2.4957     0.021856        1.025     0.007456
Type121      COVAR   15828     -0.91055    -0.019892       0.4241      0.98409
Type122      COVAR   15828     -0.50901    -0.016218      0.28807      0.96137
Type123      COVAR   15828    -0.069052   -0.0010966      0.60017       0.5458
Type124      COVAR   15828      0.29124    0.0084011      0.31103      0.17455
