seaad_type,siletti_cluster,mean_auroc,spearman_r,second_best_r,r_margin
Astro_2,Astro_52,1.0,0.9246005236712587,0.8852412636363453,0.03935926003491341
L6 IT_2,DLIT_149,1.0,0.9129890967609159,0.894969153659144,0.018019943101771907
Chandelier_1,LLC_264,1.0,0.9112156232282209,0.8541588809934478,0.057056742234773083
L5 IT_5,DLIT_144,1.0,0.9107512113971414,0.8890225048519099,0.021728706545231513
Pvalb_2,MGE_261,1.0,0.9103112954084476,0.8874767360725448,0.022834559335902727
L5 IT_7,DLIT_142,1.0,0.9097164018734782,0.9007842681184953,0.008932133754982918
Sst_3,MGE_250,1.0,0.909329555907969,0.8595060538658937,0.04982350204207531
Sst_19,MGE_251,1.0,0.9089359237472137,0.8249493070051421,0.08398661674207153
L4 IT_4,ULIT_135,1.0,0.9075098144891416,0.8234808482736764,0.08402896621546518
OPC_2,OPC_35,1.0,0.9072027536724017,0.9003458753213613,0.006856878351040319
L5 IT_1,DLIT_137,1.0,0.9062359447783629,0.8351719513621589,0.07106399341620395
L4 IT_2,ULIT_138,1.0,0.905639449046832,0.8393116262238305,0.06632782282300154
L2/3 IT_12,ULIT_126,1.0,0.9049470053709403,0.893932953605301,0.011014051765639299
L6 CT_2,DLCT6b_108,1.0,0.9049338249786675,0.9004759376474578,0.0044578873312096645
L2/3 IT_5,ULIT_129,1.0,0.9046842687370309,0.899564043270248,0.005120225466782924
Lamp5_Lhx6_1,LLC_270,1.0,0.9041019614188497,0.9020693910771593,0.002032570341690354
Vip_15,CGE_284,1.0,0.9037775317338547,0.8122388994732636,0.09153863226059111
Lamp5_3,CGE_287,1.0,0.9035999393427561,0.8644839738469856,0.039115965495770455
Vip_19,CGE_294,1.0,0.9031414514539555,0.870703068744718,0.03243838270923749
L5 IT_2,DLIT_139,1.0,0.9029977649934761,0.8949389782786146,0.008058786714861488
Pax6_1,CGE_278,1.0,0.902989813913315,0.7932020948444622,0.10978771906885276
Pvalb_1,MGE_257,1.0,0.9027025934124093,0.861534898072043,0.04116769534036635
Sst_25,MGE_243,1.0,0.9022682447244249,0.8109790681542306,0.09128917657019431
Micro-PVM_2,Mgl_11,1.0,0.9019988354832936,0.8765092514091716,0.02548958407412205
L2/3 IT_1,ULIT_124,1.0,0.9007300487381422,0.8980012644229147,0.002728784315227495
L5/6 NP_2,DLNP_93,1.0,0.9007048046355378,0.9003390710175773,0.0003657336179605508
Pvalb_9,MGE_256,1.0,0.9000251196294462,0.8429790781212496,0.05704604150819659
L2/3 IT_13,ULIT_130,1.0,0.8984677181265248,0.896685744119032,0.0017819740074928037
Sst_23,MGE_241,1.0,0.897915617698073,0.8495246051995309,0.04839101249854216
L6b_2,DLCT6b_99,1.0,0.8975972746001288,0.8592140976642901,0.0383831769358387
L5 ET_2,L5ET_114,1.0,0.8974637463906366,0.8800442590837617,0.017419487306874926
L2/3 IT_8,ULIT_125,1.0,0.8972153308406622,0.8895075513312094,0.0077077795094527835
Vip_2,CGE_289,1.0,0.8972014871310043,0.8321217516045523,0.06507973552645208
L2/3 IT_3,ULIT_134,1.0,0.8971381662883473,0.8636254252082582,0.03351274108008906
Sst_11,MGE_242,1.0,0.8971163238138755,0.8414888899405861,0.05562743387328939
Vip_4,CGE_292,1.0,0.8969456311936406,0.8685651820245799,0.028380449169060684
Chandelier_2,LLC_265,1.0,0.8953459956569952,0.8608814662587287,0.0344645293982665
Lamp5_1,CGE_288,1.0,0.894649655713916,0.8445121097904066,0.050137545923509386
L6 CT_1,DLCT6b_110,1.0,0.894479330456726,0.8800044871253125,0.014474843331413467
Sst_2,MGE_239,1.0,0.8943169170844829,0.8450271249044036,0.04928979218007934
L5/6 NP_1,DLNP_90,1.0,0.8930380784389879,0.8873780593390389,0.005660019099948954
Sncg_4,CGE_282,1.0,0.8925517066603039,0.7864453709577067,0.1061063357025972
Sncg_3,CGE_281,1.0,0.8925076997292715,0.8071462385366525,0.085361461192619
Oligo_4,Oligo_47,1.0,0.8924814215304882,0.8837330913196377,0.008748330210850419
Pvalb_7,MGE_255,1.0,0.8923638573649594,0.8125612753361486,0.07980258202881074
Pax6_2,CGE_277,1.0,0.8894510224254208,0.7976264631196748,0.09182455930574607
Oligo_2,Oligo_45,1.0,0.8891112755128135,0.8817418717070904,0.0073694038057231515
Sncg_6,CGE_280,1.0,0.8878681887979682,0.8328590865935475,0.05500910220442079
L2/3 IT_7,ULIT_120,1.0,0.8878675015171203,0.8832986286610146,0.0045688728561057435
Vip_1,CGE_293,1.0,0.887073023617493,0.8753844882690089,0.01168853534848402
Oligo_1,Oligo_44,1.0,0.8860888953897142,0.87874074743954,0.007348147950174244
Astro_5,Astro_58,1.0,0.8836125683103975,0.8403338325466597,0.04327873576373775
L5/6 NP_4,DLNP_86,1.0,0.8828660963173597,0.8826738807452882,0.00019221557207149687
Sst_9,MGE_248,1.0,0.8823029260341615,0.8552394599699308,0.027063466064230712
L6 IT_1,DLIT_147,1.0,0.881577138433074,0.8725030949594268,0.009074043473647153
Pvalb_12,MGE_258,1.0,0.8807300255836656,0.8767624788878793,0.003967546695786361
Sst_10,MGE_252,1.0,0.880028469981338,0.8234960668656559,0.056532403115682084
Vip_11,CGE_290,1.0,0.8790464943033945,0.8357741084922278,0.04327238581116677
L4 IT_3,ULIT_128,1.0,0.8781267081983987,0.8683097359403916,0.00981697225800704
Pvalb_8,MGE_240,1.0,0.8770409699681908,0.8378785894282463,0.039162380539944475
Sst_4,MGE_254,1.0,0.8746013986151728,0.8101043984095982,0.06449700020557458
Astro_3,Astro_61,1.0,0.8728636520161182,0.8647177179260622,0.008145934090055929
Sst Chodl_2,MGE_244,1.0,0.872759261652175,0.7801978664347343,0.09256139521744067
Pvalb_5,MGE_259,1.0,0.8720230846492094,0.8378024060086927,0.0342206786405167
Sncg_2,CGE_283,1.0,0.8638114691910866,0.7852976949434125,0.07851377424767414
L6 IT Car3_1,DLIT_150,1.0,0.8633375121746063,0.8137609656533408,0.04957654652126553
L6b_5,DLCT6b_106,1.0,0.8620863234141559,0.8571614200633303,0.004924903350825627
Vip_6,CGE_291,1.0,0.861785917146384,0.8067374886668279,0.055048428479556044
Pax6_3,CGE_279,1.0,0.8589391295360356,0.7494634641007166,0.10947566543531895
Lamp5_4,CGE_286,1.0,0.8575020657680242,0.857372279836083,0.00012978593194123977
Vip_21,CGE_296,1.0,0.8572712206990186,0.7969367019825739,0.060334518716444685
L5/6 NP_6,DLNP_95,1.0,0.8562294389462867,0.8368779676501494,0.019351471296137235
L6b_1,DLCT6b_98,1.0,0.8532815377034645,0.8189229037997459,0.03435863390371863
Sst Chodl_1,Splat_235,1.0,0.850619404547248,0.7720558020332937,0.07856360251395433
Endo_2,VendC_15,1.0,0.8492411308495496,0.8326120019225394,0.016629128927010184
Sst_1,MGE_253,1.0,0.8376585642767749,0.7832987942335643,0.054359770043210576
Vip_14,CGE_285,1.0,0.8345249994197758,0.7519311902839685,0.08259380913580727
L2/3 IT_2,ULIT_123,1.0,0.8137582306175254,0.8086848753985749,0.0050733552189504705
Astro_1,Astro_54,1.0,0.812041420524433,0.8115295842865473,0.0005118362378856434
L6 CT_4,DLCT6b_100,1.0,0.8120392350799398,0.7863781287420188,0.025661106337920958
L5/6 NP_3,DLNP_89,1.0,0.8084019914362756,0.8016241093273357,0.0067778821089398145
Oligo_3,Oligo_40,1.0,0.7924850660836094,0.7646669472364049,0.02781811884720442
OPC_1,COP_37,1.0,0.5242285924463624,0.5114811007235935,0.0127474917227689
VLMC_1,Fbl_25,1.0,0.38475294158709383,0.38287611519708487,0.0018768263900089677
Micro-PVM_3-SEAAD,Mgl_6,1.0,0.24749472912130252,0.24664237960474217,0.0008523495165603523
