# MEAN_SAMPLE_SIZE = 90833
# TOTAL_GENES = 15861
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type0        COVAR   15861      -1.2148    -0.016079       0.6827       0.9624
Type1        COVAR   15861     -0.54526   -0.0077885      0.61681      0.81164
Type2        COVAR   15861      -1.2845    -0.019923      0.59448      0.98463
Type3        COVAR   15861     -0.41614   -0.0063848      0.58318      0.76225
Type4        COVAR   15861     -0.77821    -0.011089      0.64116      0.88757
Type5        COVAR   15861     -0.29024   -0.0049019      0.51229      0.71448
Type6        COVAR   15861       5.5122     0.031868       1.5996   0.00028525
Type7        COVAR   15861       3.6346     0.024851        1.289    0.0024072
Type8        COVAR   15861     -0.34101   -0.0085189      0.35108      0.83429
Type9        COVAR   15861      -1.1293    -0.027892      0.37635      0.99865
Type10       COVAR   15861      -1.0096    -0.021349       0.4164      0.99233
Type11       COVAR   15861       2.9976     0.019209       1.4422     0.018843
Type12       COVAR   15861       5.1274     0.034029        1.341   6.6045e-05
Type13       COVAR   15861        1.197    0.0088894       1.2412      0.16744
Type14       COVAR   15861       2.5152     0.018747        1.303     0.026796
Type15       COVAR   15861      0.74569    0.0056029       1.1959      0.26648
Type16       COVAR   15861       2.6396     0.017644       1.3385     0.024312
Type17       COVAR   15861      0.80442    0.0063127       1.1367      0.23957
Type18       COVAR   15861      0.49521    0.0037171       1.1905      0.33872
Type19       COVAR   15861       1.7688     0.013944       1.1301     0.058778
Type20       COVAR   15861      0.91702    0.0072666       1.1272      0.20797
Type21       COVAR   15861       2.8975      0.01888       1.4292     0.021324
Type22       COVAR   15861       2.9526     0.022326       1.2541    0.0092869
Type23       COVAR   15861       4.9678     0.030095       1.4994   0.00046257
Type24       COVAR   15861       1.4779     0.011573       1.1558      0.10053
Type25       COVAR   15861       -0.296   -0.0032942      0.79438      0.64528
Type26       COVAR   15861      0.36157    0.0029511       1.0952      0.37065
Type27       COVAR   15861       1.6648     0.011355       1.2988     0.099961
Type28       COVAR   15861       1.6125     0.010273       1.4643      0.13542
Type29       COVAR   15861       2.0894     0.014378       1.3654     0.062988
Type30       COVAR   15861   -0.0082674  -6.5415e-05       1.0863      0.50304
Type31       COVAR   15861      0.92062    0.0060459       1.4082      0.25665
Type32       COVAR   15861      0.15254   0.00099236        1.446        0.458
Type33       COVAR   15861      0.32933    0.0023767       1.3001      0.40001
Type34       COVAR   15861       1.8963     0.012998       1.3557     0.080962
Type35       COVAR   15861      0.71429    0.0055945       1.1404      0.26555
Type36       COVAR   15861      0.35773    0.0029608       1.0684      0.36888
Type37       COVAR   15861       1.2449     0.010092       1.1124      0.13156
Type38       COVAR   15861       3.1261     0.018465       1.6173     0.026633
Type39       COVAR   15861      -0.3118   -0.0021294       1.3793      0.58942
Type40       COVAR   15861      0.64305    0.0050079       1.1668      0.29077
Type41       COVAR   15861     -0.39739   -0.0031744       1.0939       0.6418
Type42       COVAR   15861       1.2232    0.0088771       1.2597      0.16578
Type43       COVAR   15861     -0.40457   -0.0032721       1.1063       0.6427
Type44       COVAR   15861       1.6592     0.011407       1.3263      0.10549
Type45       COVAR   15861       3.9158     0.023395       1.5052    0.0046454
Type46       COVAR   15861       1.1547    0.0079635       1.3099      0.18903
Type47       COVAR   15861      0.51675    0.0046439       1.0127      0.30494
Type48       COVAR   15861     -0.95697   -0.0079387       1.0555      0.81769
Type49       COVAR   15861       2.0955     0.016327       1.1294     0.031784
Type50       COVAR   15861       0.2614     0.002005       1.1453      0.40974
Type51       COVAR   15861        1.094     0.008619       1.1524      0.17124
