gene,specificity,gwas_z,gwas_p,gwas_fdr,driver_score
SPINT3,0.124436475,2.7673,0.0028265,0.02215748743718593,0.3171575913624577
C15orf56,0.043524142,5.2621,7.1196e-08,4.61027683018868e-06,0.3110907376612894
EYS,0.0412187,5.2061,9.6434e-08,5.931209462365592e-06,0.2891809114260732
KCNS3,0.0390986,4.8609,5.8441e-07,2.7475275616438357e-05,0.24371261373316688
TRPC4,0.023792211,5.8463,2.5131e-09,2.6620244444444445e-07,0.2046080237040427
PLCH2,0.022092318,5.8941,1.8842e-09,2.1127971428571432e-07,0.19275266883758554
HAPLN4,0.016514238,6.6596,1.373e-11,2.908725925925926e-09,0.17938309398248437
ERBB4,0.015255181,6.8222,4.482e-12,1.174394e-09,0.17312385097829835
EPN3,0.07181651,2.6071,0.0045658,0.03098842230130486,0.1680853291219782
C16orf92,0.014066032,6.9554,1.7577e-12,5.52864e-10,0.1653469832699074
WFDC6,0.064040534,2.7878,0.0026535,0.021090347383047707,0.16498000103114038
TM6SF2,0.014199536,6.7792,6.0442e-12,1.4061228648648647e-09,0.15929978320457583
EPPIN,0.061993055,2.7721,0.002785,0.021962591911764705,0.15840309194140623
ISL2,0.053940635,3.0145,0.001287,0.012278127848804892,0.1559111685976001
DKK1,0.03507751,3.9603,3.7428e-05,0.0007938300740740742,0.1552812398017545
ECM1,0.036938537,3.7846,7.6984e-05,0.00142200800861141,0.15195034833917465
ITIH1,0.012213756,7.0889,6.7601e-13,2.637765e-10,0.14864198309637802
PLCL1,0.011039333,7.3519,9.7691e-14,6.984906499999999e-11,0.14362332794336496
SPATA25,0.059559032,2.6138,0.004477,0.030592208598726117,0.13990493481402935
HCN1,0.011762805,6.9862,1.4126e-12,4.752983529411765e-10,0.13938901338161647
NOS1,0.023627836,4.6558,1.6139e-06,6.195642953020134e-05,0.1368553412767908
ACTC1,0.028426953,4.1629,1.5712e-05,0.0004018662295081967,0.13655650221259952
CYP17A1,0.0110887885,7.0952,6.4587e-13,2.637765e-10,0.1351707226934255
AS3MT,0.014103103,6.1094,5e-10,6.864000000000001e-08,0.1311733840349387
GSX2,0.021707922,4.7546,9.9424e-07,4.231341683168317e-05,0.13030199214928856
MSR1,0.0312736,3.8014,7.1938e-05,0.0013476594759825327,0.1295678270477919
ZNF804A,0.022589792,4.608,2.0332e-06,7.601244444444444e-05,0.12857702761917827
RGS5,0.040515717,3.1893,0.00071298,0.008002912230215828,0.12749982760927145
SDK1,0.016825536,5.4384,2.6888e-08,2.0130918260869564e-06,0.12737673600320587
ZNF408,0.011900954,6.5298,3.2925e-11,6.494172413793103e-09,0.12475144345515993
EPB42,0.028929666,3.8125,6.8782e-05,0.0012984588778877889,0.12042046375799133
SP9,0.02885007,3.7979,7.2974e-05,0.0013626048313384112,0.11934788838317162
POSTN,0.045969408,2.7851,0.0026757,0.02123778085991678,0.11825917890787509
OPRD1,0.02268358,4.3441,6.9933e-06,0.00021053513684210525,0.1169410646696522
TSSK6,0.010996638,6.5712,2.4949e-11,4.9781958139534884e-09,0.11659676831946762
WFDC8,0.04987319,2.6018,0.0046365,0.03131868764752164,0.11639453638144362
ALPK3,0.012501651,5.8328,2.7246e-09,2.8683519018404905e-07,0.10707285591159836
CDT1,0.03570638,3.0888,0.0010047,0.010237916864608076,0.10704642744708841
AMHR2,0.031962678,3.3177,0.00045373,0.0057207985304922855,0.10685770515080957
SLC32A1,0.012761077,5.7089,5.6871e-09,5.451990837988827e-07,0.10521647254764832
NGF,0.014898278,5.2015,9.8853e-08,6.058276714285715e-06,0.10436258855003146
AMPD1,0.02320675,3.9506,3.8983e-05,0.0008187861444308446,0.10232145560863598
NXPH1,0.021620806,4.1152,1.9341e-05,0.00046548605890603086,0.1019101247409833
SERINC4,0.017439311,4.6648,1.5444e-06,5.958183370786517e-05,0.10134402526641426
PCDHAC1,0.01305792,5.5045,1.8515e-08,1.464135483870968e-06,0.10097005671333596
ZNF536,0.014615137,5.0807,1.8799e-07,1.043881548387097e-05,0.09829944210328852
PCDHAC2,0.013052482,5.4012,3.3091e-08,2.4163470638297876e-06,0.09763635199459203
WFDC9,0.04381391,2.4722,0.0067136,0.040113292479108636,0.09520957780614901
MLN,0.013760538,5.1454,1.3347e-07,7.816877815699659e-06,0.09459841937555502
MMP16,0.012621799,5.3521,4.3474e-08,3.0325765853658535e-06,0.0929187862598537
MAP1A,0.011463505,5.6251,9.2723e-09,8.374350947368421e-07,0.09208418654974045
ZMAT4,0.016911259,4.4636,4.0298e-06,0.00013375506382978724,0.09123144808939636
CEMIP,0.027006187,3.301,0.00048173,0.0059858702389572775,0.08958482378029076
SOX5,0.01332044,5.0115,2.7006e-07,1.4304237037037036e-05,0.08749583945003346
RBMS3,0.0109231295,5.5807,1.1975e-08,1.027455e-06,0.08653002233556795
PLEKHO1,0.01106389,5.5123,1.7712e-08,1.4269385915492957e-06,0.08576431454392905
C1orf210,0.021186441,3.7309,9.5415e-05,0.0016918554545454546,0.08517761454401723
LETM2,0.012206967,5.178,1.1211e-07,6.7031623693379795e-06,0.0848427620264502
RPEL1,0.016508881,4.3343,7.3104e-06,0.00021854784668989547,0.08479058451698746
TGM7,0.0122993095,5.1398,1.3754e-07,8.027844897959184e-06,0.08439258513916446
STAR,0.015287426,4.4652,3.9998e-06,0.00013327488932038837,0.08252094040555018
SPHK1,0.025814306,3.2173,0.00064693,0.007500378947368422,0.08232550576551073
QPCT,0.011013972,5.3033,5.6851e-08,3.825737882352941e-06,0.07979911160827557
GJD2,0.01404773,4.5078,3.2745e-06,0.00011260605210420843,0.07704976220269238
KCNAB3,0.028223585,2.883,0.0019696,0.016975558011049725,0.07636235149047046
GCOM1,0.02175878,3.4059,0.00032976,0.004455654803149606,0.0757597642778202
TGM5,0.012272159,4.8131,7.4303e-07,3.311790857142857e-05,0.0752159845969035
DCST1,0.017757876,3.853,5.8351e-05,0.0011314159999999999,0.07518598922106569
ADAL,0.010992316,5.1299,1.4495e-07,8.263594684385383e-06,0.07517405038419893
LRRC4,0.011677484,4.9211,4.3038e-07,2.1222186206896552e-05,0.07434059046319749
SGCZ,0.017827058,3.8106,6.9322e-05,0.0013057799341383096,0.07414503241507678
ENOX1,0.011404469,4.962,3.4877e-07,1.775932700296736e-05,0.07364391240934196
TMIGD1,0.023304861,3.1951,0.00069901,0.007901620803159974,0.07353887600758094
TENM3,0.014933642,4.1906,1.3909e-05,0.0003643945648854962,0.07252828022294386
SPOCK3,0.011129586,4.9685,3.3729e-07,1.7277302686567163e-05,0.07203064202371419
PPP2R3A,0.011937586,4.7487,1.0238e-06,4.337878518518519e-05,0.0715035720642544
BOLA2B,0.015103226,4.118,1.9108e-05,0.0004611719831223629,0.07126887278722872
MAP7D1,0.0113343075,4.8855,5.1591e-07,2.4591709999999998e-05,0.07126362027974163
KIRREL3,0.015854478,3.9791,3.4584e-05,0.0007446191217063989,0.07072880463972285
ZNF385D,0.013220947,4.4203,4.9276e-06,0.000158347595505618,0.07016838547083895
GLDC,0.023409767,3.0862,0.0010136,0.010298029568302778,0.07009196521701548
CPLX1,0.019199241,3.4972,0.00023508,0.0033870468513853905,0.06966990465748933
PRKG1,0.01352871,4.3122,8.0819e-06,0.00023626133560477003,0.06889477340983634
