gene,specificity,gwas_z,gwas_p,gwas_fdr,driver_score
IRX1,0.6500753,3.0914,0.00099612,0.010174654285714286,1.9513234481916535
NAT8,0.24756362,3.56,0.00018545,0.002836294117647059,0.9238512730865921
CILP2,0.04081631,6.6107,1.9124e-11,3.860798117647059e-09,0.4374864050618627
SCGN,0.07964307,4.3195,7.8176e-06,0.0002301029433962264,0.4067313090813611
LMAN1L,0.10010931,3.3207,0.000449,0.005686355424354243,0.3351413088521326
YJEFN3,0.026638415,7.0115,1.1793e-12,4.0473575999999997e-10,0.3177530222114142
NT5DC2,0.021937821,7.1536,4.2277e-13,1.847043804878049e-10,0.27145631196789644
SULT6B1,0.052654125,4.1468,1.6858e-05,0.00042354799414348463,0.2513283509188325
PBX4,0.026151996,5.8749,2.1153e-09,2.3120094267515922e-07,0.22685883755782524
SERINC4,0.037218932,4.6648,1.5444e-06,5.958183370786517e-05,0.216288154101785
TRPC4,0.025011864,5.8463,2.5131e-09,2.6620244444444445e-07,0.21509678365723525
ADM5,0.022137798,6.1727,3.3562e-10,5.142177857142857e-08,0.20973686689300167
CHRNB4,0.022226326,6.1094,5e-10,6.864000000000001e-08,0.20672772481940624
SP7,0.05222818,3.6755,0.00011868,0.001996616470588235,0.20502811657593037
SGCD,0.020669654,6.183,3.1442e-10,4.860763243243243e-08,0.19641317706177996
FAM180B,0.063017,3.03,0.0012227,0.011800636670416196,0.18354836109248923
LGSN,0.035801493,4.2485,1.0762e-05,0.0003001748460291734,0.1778656484237343
PCDHA8,0.023418516,5.3659,4.0273e-08,2.832314262295082e-06,0.1731795983799431
GAL,0.07282277,2.6031,0.0046186,0.03125204100946372,0.17007682553022588
PCDHA3,0.020862868,5.5012,1.8863e-08,1.4848122935779818e-06,0.16115291299575493
HARBI1,0.012287301,7.2106,2.7861e-13,1.3659850285714288e-10,0.15426710459980406
SYNDIG1L,0.05586044,2.8852,0.0019556,0.01688723541247485,0.15131028943964958
FLRT1,0.019325275,5.5186,1.7087e-08,1.396252e-06,0.15010586905638698
TLR9,0.022330707,5.0642,2.0504e-07,1.12772e-05,0.14935137274449037
CYP19A1,0.03531083,3.7771,7.9343e-05,0.001456764705882353,0.14479175412927944
SLC17A8,0.040308304,3.4466,0.00028383,0.0039694562347188265,0.14297120442662828
CYP2D6,0.013914548,6.3878,8.4132e-11,1.5523710967741936e-08,0.1401896108013537
ADRA2C,0.036971282,3.54,0.00020003,0.0029952136125654446,0.13675325485690068
PCDHA11,0.019115362,5.2593,7.2302e-08,4.664294436090225e-06,0.13649992679651202
HHLA1,0.048945397,2.9347,0.0016695,0.014928931735278792,0.1359416101403473
SORCS3,0.020214645,5.0411,2.3145e-07,1.2689079872204474e-05,0.13413514238512358
KCNG1,0.021635069,4.7774,8.8775e-07,3.820271879699248e-05,0.13092914868507805
SLC32A1,0.015767748,5.7089,5.6871e-09,5.451990837988827e-07,0.1300068030762793
PCDHA2,0.016585534,5.5175,1.7193e-08,1.398255355450237e-06,0.12878083898841447
LACC1,0.02290128,4.5354,2.8747e-06,0.00010150175308641975,0.12690532408801217
GJD2,0.023095189,4.5078,3.2745e-06,0.00011260605210420843,0.12667376298350247
