cell_type,prec_panel,recall_panel,F1_panel,prec_hvg,recall_hvg,F1_hvg,prec_all,recall_all,F1_all,n,class,gap_all
Lamp5 Lhx6,0.9826,0.9725,0.9775,0.9981,0.9991,0.9986,0.9995,0.9991,0.9993,2147,GABAergic,0.0218
Vip,0.9885,0.9631,0.9756,0.9998,0.9641,0.9816,0.9993,0.9803,0.9897,9247,GABAergic,0.0141
Pvalb,0.953,0.9796,0.9661,0.9909,0.9764,0.9836,0.9953,0.98,0.9876,10828,GABAergic,0.0215
Sst,0.988,0.9314,0.9589,0.9788,0.9856,0.9822,0.9826,0.9947,0.9886,12393,GABAergic,0.0297
Lamp5,0.953,0.9067,0.9293,0.9978,0.9264,0.9608,0.9987,0.9318,0.9641,3356,GABAergic,0.0348
Chandelier,0.8504,0.9722,0.9072,0.9985,1.0,0.9993,0.9985,1.0,0.9993,684,GABAergic,0.092
Sncg,0.89,0.8301,0.859,0.7675,0.8974,0.8274,0.8104,0.9225,0.8628,1677,GABAergic,0.0038
Pax6,0.547,0.953,0.6951,0.6975,0.997,0.8207,0.7923,0.9954,0.8823,659,GABAergic,0.1872
Sst Chodl,0.2953,0.9434,0.4498,0.6478,0.9371,0.7661,0.908,0.9937,0.9489,159,GABAergic,0.4992
L5/6 NP,0.999,1.0,0.9995,0.9997,1.0,0.9998,1.0,1.0,1.0,3095,Glutamatergic,0.0005
L6 IT Car3,0.9674,0.9922,0.9797,0.9944,0.9933,0.9939,0.9996,0.9951,0.9973,4490,Glutamatergic,0.0177
L5 ET,0.9369,1.0,0.9674,0.9946,1.0,0.9973,1.0,1.0,1.0,371,Glutamatergic,0.0326
L6 CT,0.9302,0.9978,0.9628,0.9952,0.9978,0.9965,0.9974,0.9993,0.9983,2683,Glutamatergic,0.0355
L2/3 IT,0.9848,0.9327,0.9581,0.9978,0.9577,0.9774,0.9967,0.9646,0.9804,28712,Glutamatergic,0.0223
L6b,0.9853,0.9232,0.9533,0.9983,0.9956,0.997,0.9993,0.9977,0.9985,2982,Glutamatergic,0.0452
L6 IT,0.8708,0.939,0.9036,0.8981,0.9836,0.9389,0.9434,0.9891,0.9657,5966,Glutamatergic,0.0621
L4 IT,0.868,0.8543,0.8611,0.861,0.8893,0.8749,0.884,0.8808,0.8824,16808,Glutamatergic,0.0213
L5 IT,0.8297,0.8798,0.854,0.8697,0.8713,0.8705,0.8853,0.9177,0.9012,19580,Glutamatergic,0.0472
Astrocyte,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2590,Non-neuronal,0.0
Oligodendrocyte,0.9991,1.0,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,5513,Non-neuronal,0.0005
OPC,0.999,0.9971,0.9981,1.0,1.0,1.0,1.0,1.0,1.0,2055,Non-neuronal,0.0019
Microglia-PVM,0.9982,0.9973,0.9977,0.9982,1.0,0.9991,0.9991,1.0,0.9995,1095,Non-neuronal,0.0018
Endothelial,0.9667,0.9775,0.9721,1.0,1.0,1.0,1.0,1.0,1.0,89,Non-neuronal,0.0279
VLMC,0.9832,0.9435,0.963,1.0,0.9839,0.9919,1.0,0.9758,0.9878,124,Non-neuronal,0.0248
