celltype,merfish_prop,xenium_prop,n_merfish_cells,n_xenium_cells,klass
Astrocyte,0.12943904321234184,0.18763351354705052,42140,138801,Non-neuronal
Oligodendrocyte,0.1288365257571456,0.1572929578861069,47522,115393,Non-neuronal
L2/3 IT,0.12544559957591198,0.1468320518609685,44283,110740,Glutamatergic
Microglia-PVM,0.1027595453017638,0.07256340410515362,35591,55023,Non-neuronal
L4 IT,0.07279409711756951,0.047232489337718585,24573,35290,Glutamatergic
L5 IT,0.07053420570238968,0.06472044486977495,23636,47713,Glutamatergic
Endothelial,0.054337202388715235,0.04985464102203865,18010,34431,Non-neuronal
L6 IT,0.049998682312350815,0.02596772674396669,17117,20283,Glutamatergic
VLMC,0.04466842310330828,0.020187260380868616,14553,13853,Non-neuronal
OPC,0.03912938710451672,0.038355288850190745,12759,28289,Non-neuronal
L6 IT Car3,0.03040693749144712,0.006533779135106231,10006,5177,Glutamatergic
Pvalb,0.02432348132132382,0.026835172508135385,8343,19903,GABAergic
Vip,0.02204233900221387,0.031423795833674585,7401,23735,GABAergic
Sst,0.020473790143420205,0.03676639667509254,6974,27462,GABAergic
L6b,0.01820954490630741,0.008712049272744203,6299,6867,Glutamatergic
Lamp5,0.015481890982018355,0.01887787688354819,4779,14108,GABAergic
L6 CT,0.01242322559525425,0.011044497339358616,4615,8576,Glutamatergic
L5/6 NP,0.00964642223437839,0.00852573351907192,3321,6331,Glutamatergic
Sncg,0.005617064517645585,0.007588364412840783,1829,5641,GABAergic
L5 ET,0.004506842601482873,0.011054380001679201,1501,8109,Glutamatergic
Chandelier,0.003223114298293969,0.01468109557252197,1103,10988,GABAergic
Sst Chodl,0.0024499359144961206,0.0008022035347423675,698,586,GABAergic
Pax6,0.0023190354656771627,0.006493594391745314,806,4788,GABAergic
