celltype,merfish_prop,xenium_prop,n_merfish_cells,n_xenium_cells,klass
Oligo_1,0.0935431113708372,0.007614078750191774,34976.0,5710.0,Non-neuronal
Micro-PVM_2_3-SEAAD,0.06444589512679914,0.024430179080428948,21850.0,18715.0,Non-neuronal
L2/3 IT_1,0.04791473904041239,0.042260240890640156,16394.0,32618.0,Glutamatergic
L4 IT_2,0.04285711712625527,0.018442754640477326,14416.0,13997.0,Glutamatergic
Endo_2,0.03983922147902179,0.03624693125985124,13401.0,25131.0,Non-neuronal
Astro_3,0.037081519433586514,0.0007480309041496619,12360.0,508.0,Non-neuronal
L6 IT_2,0.03387845528479771,0.020311842894149054,11587.0,15851.0,Glutamatergic
Pericyte_1,0.03283669149729812,0.005561287035309532,10487.0,3883.0,Non-neuronal
OPC_2_1-SEAAD,0.02462463350859948,0.03155088586670372,8335.0,23102.0,Non-neuronal
Monocyte,0.02328009980653127,0.0004061730423788972,8588.0,321.0,Non-neuronal
L2/3 IT_13,0.019882833948657926,0.001106108645374375,7270.0,810.0,Glutamatergic
L5 IT_1,0.019191520340070316,0.002865073241342777,6071.0,2119.0,Glutamatergic
L2/3 IT_6,0.01910521505634087,0.021455694573631643,6804.0,16022.0,Glutamatergic
L6 IT Car3_3,0.017556157775206107,0.0018832688637817506,6178.0,1488.0,Glutamatergic
L6 IT_1,0.016120227027553096,0.005655883849817636,5530.0,4432.0,Glutamatergic
L2/3 IT_10,0.015706445111777566,0.009239278825561791,5560.0,6868.0,Glutamatergic
L4 IT_1,0.01462229757470062,0.016676853405436395,4745.0,12279.0,Glutamatergic
L5 IT_7,0.013199239358886781,0.012190274517717503,4650.0,9108.0,Glutamatergic
L5 IT_2,0.013045065626513199,0.009304856840359808,4430.0,6879.0,Glutamatergic
L2/3 IT_2,0.012538615315426292,0.0169066369236427,4507.0,12685.0,Glutamatergic
Endo_3,0.011193610178412321,0.004142027633513156,3617.0,2927.0,Non-neuronal
OPC_1,0.010443688940325298,0.0011651483527455415,3102.0,863.0,Non-neuronal
L5 IT_6,0.010401524855673814,0.023559277299607394,3427.0,17423.0,Glutamatergic
Micro-PVM_3-SEAAD,0.009323049932482152,0.013801714900603465,3208.0,10559.0,Non-neuronal
L6b_6,0.009298733985446271,0.0058883988062483515,3357.0,4460.0,Glutamatergic
L4 IT_3,0.009077739067729943,0.009022197140332302,3145.0,6669.0,Glutamatergic
L5 IT_3,0.00816137484658833,0.0006781488999964197,2794.0,502.0,Glutamatergic
VLMC_1,0.008158803871004578,0.0005830438328794455,2790.0,380.0,Non-neuronal
L6 IT Car3_2,0.00792293080497892,0.001982438275872588,2354.0,1582.0,Glutamatergic
L6 CT_3,0.007523070762508468,0.002932248710202848,2773.0,2314.0,Glutamatergic
L5 IT_5,0.006535480674657244,0.01612281407075104,2264.0,11682.0,Glutamatergic
Pvalb_15,0.006242477428254863,0.008265239637522246,2274.0,6072.0,GABAergic
L4 IT_4,0.006236943348883676,0.0030906841514725595,2267.0,2345.0,Glutamatergic
Lamp5_1,0.006224496676348094,0.004111889255616067,1739.0,3056.0,GABAergic
Pvalb_2,0.005738789817367148,0.0037792464308238315,2001.0,2733.0,GABAergic
L6 IT Car3_1,0.0049278489112620965,0.0026680719954518916,1474.0,2107.0,Glutamatergic
Lamp5_2,0.004714738851623087,0.005144716927852739,1528.0,3903.0,GABAergic
Oligo_2_1-SEAAD,0.004693887609338171,0.02870536551405382,1556.0,20538.0,Non-neuronal
Sst_9,0.004555064306738206,0.0012227801002778142,1523.0,925.0,GABAergic
Pvalb_5,0.004422947852896958,0.001081157069640429,1371.0,844.0,GABAergic
L6b_5,0.004246815243158873,0.0014474445983230885,1418.0,1105.0,Glutamatergic
L5/6 NP_2,0.0037594421667558908,0.0016022826998225309,1337.0,1170.0,Glutamatergic
Astro_4,0.0036921303152140958,0.012940884720097951,1325.0,9663.0,Non-neuronal
L2/3 IT_3,0.0036056209266705696,0.00025315075797869766,1280.0,192.0,Glutamatergic
L6 CT_2,0.0035072059880485625,0.003099229727120184,1338.0,2406.0,Glutamatergic
Micro-PVM_2,0.0034819236703629193,0.006398832816969859,1172.0,4988.0,Non-neuronal
Vip_9,0.003433117734600513,0.0009563269093490254,1147.0,739.0,GABAergic
Endo_1,0.003304370731281128,0.009465682128674243,992.0,6373.0,Non-neuronal
Astro_2,0.0031463130025333667,0.11257254283811113,993.0,82445.0,Non-neuronal
Astro_5,0.0031044013026791622,0.05061954090005299,1129.0,37097.0,Non-neuronal
L5 ET_2,0.003045182201102531,0.0033876202130017144,1027.0,2488.0,Glutamatergic
L2/3 IT_12,0.003007825524300082,0.023853908940547217,1117.0,18047.0,Glutamatergic
L2/3 IT_5,0.002949520855828123,0.006413105125424764,1091.0,4737.0,Glutamatergic
Vip_12,0.00269231036472314,0.0023342234680895856,884.0,1799.0,GABAergic
Lamp5_3,0.0026876259639325895,0.0024149170445436903,872.0,1815.0,GABAergic
L6b_3,0.0025945475543017868,0.0007432209464800194,832.0,535.0,Glutamatergic
L5/6 NP_3,0.0025157455617518167,0.0012579645006071383,789.0,895.0,Glutamatergic
Sst_19,0.002409610201383616,0.004980979595846753,804.0,3649.0,GABAergic
Chandelier_1,0.0023994831376669447,0.005588674215036788,830.0,4129.0,GABAergic
SMC-SEAAD,0.002396792606479887,0.0032541284776716243,798.0,1960.0,Non-neuronal
Sst_13,0.002210284309848342,0.0027519375445474157,728.0,1986.0,GABAergic
Vip_4,0.002172496357990616,0.0032968396766356466,730.0,2455.0,GABAergic
Sst Chodl_1,0.0019623743854299655,0.0003666441933072541,540.0,271.0,GABAergic
Vip_23,0.0019093082074330113,0.003139322232364221,606.0,2308.0,GABAergic
Sncg_3,0.001855509288811145,0.00015854496510743304,544.0,114.0,GABAergic
Vip_11,0.0018096110947048408,0.001269776179737779,632.0,972.0,GABAergic
L5/6 NP_1,0.001775912463179203,0.0017941641327889025,619.0,1352.0,Glutamatergic
Sst_25,0.0017512983419793427,0.001730432595907978,563.0,1414.0,GABAergic
Sst_3,0.001682483957243738,0.0030830686849554804,558.0,2354.0,GABAergic
Sncg_4,0.001593752025057449,0.002767491931898449,542.0,2068.0,GABAergic
Micro-PVM_1,0.001500087161355175,0.001248792526193442,510.0,927.0,Non-neuronal
L5 ET_1,0.001461660400380342,0.007666759788677486,474.0,5621.0,Glutamatergic
Sst_2,0.0014038036378559114,0.001730388962463552,452.0,1311.0,GABAergic
Pvalb_12,0.0013541565319883165,0.002340905182122027,420.0,1703.0,GABAergic
Oligo_4,0.0013518610637110002,0.10382792203030448,452.0,76803.0,Non-neuronal
Pvalb_6,0.0013318614182310086,0.006042861417355628,466.0,4598.0,GABAergic
Vip_19,0.001305552817296489,0.0027694802384344614,399.0,2095.0,GABAergic
Pericyte_2-SEAAD,0.001276135128525696,0.010788801035008013,478.0,7630.0,Non-neuronal
Sst_11,0.0012215543385985972,0.0042294581005950195,427.0,3143.0,GABAergic
L5/6 NP_6,0.0012040515071782259,0.0013361248379562395,423.0,988.0,Glutamatergic
Pax6_1,0.0011842607551033222,0.0024663338808521805,415.0,1802.0,GABAergic
Lamp5_5,0.001183676880511708,0.002944474004557458,397.0,2187.0,GABAergic
L6 CT_1,0.001182868073813788,0.0007041265550330234,432.0,483.0,Glutamatergic
Vip_21,0.0011469547408217773,0.0028373335737815718,348.0,2120.0,GABAergic
Vip_6,0.0011433805796411418,0.000607459634191087,392.0,481.0,GABAergic
Vip_13,0.0011196587651306857,0.002163050992148584,375.0,1702.0,GABAergic
Sst_1,0.001100854882411793,0.000550993178911451,360.0,404.0,GABAergic
Vip_14,0.0010664814437640658,0.00023440258552344544,340.0,176.0,GABAergic
Sncg_6,0.0010643759850705711,0.001411522067146507,336.0,1044.0,GABAergic
Vip_2,0.0010541530662476761,0.001929684248940228,351.0,1432.0,GABAergic
OPC_2_2-SEAAD,0.0010121179439638412,0.005635301908241925,367.0,4321.0,Non-neuronal
Sst_5,0.0009971670330547826,0.0019717792200349437,350.0,1450.0,GABAergic
Vip_5,0.0008957966364929793,0.0008646412523726545,299.0,675.0,GABAergic
Vip_15,0.0008919805574396628,0.002091881927865398,312.0,1564.0,GABAergic
Oligo_3,0.0008848888868281228,0.017145591591556805,282.0,12342.0,Non-neuronal
Vip_1,0.0008640420203928331,0.0037515193640454444,309.0,2803.0,GABAergic
Chandelier_2,0.0008553092821896018,0.009092421357485184,273.0,6859.0,GABAergic
L6b_2,0.0008302414150006599,0.0005945322049094533,281.0,436.0,Glutamatergic
Pvalb_9,0.0008152604729838929,0.0017156734923028793,252.0,1246.0,GABAergic
L6b_1,0.0007846712886738368,0.00011284040330389307,227.0,70.0,Glutamatergic
Micro-PVM_2_1-SEAAD,0.000756508435165188,0.024396400128918843,263.0,18219.0,Non-neuronal
Pvalb_10,0.0007306228711177683,0.002006362089601485,257.0,1512.0,GABAergic
Sst_23,0.0007303422329151848,0.0003440536207189465,243.0,253.0,GABAergic
Sst_20,0.0006624314543106351,0.0043243586943359415,228.0,3248.0,GABAergic
Pvalb_13,0.0006169377246324419,0.0009287867433282771,193.0,693.0,GABAergic
Sst_10,0.0006129644645545357,0.00450312285771011,214.0,3276.0,GABAergic
Sncg_8,0.000574678673727269,0.0007902232790304666,197.0,595.0,GABAergic
L6b_4,0.0005741585829611277,0.0003985017117929075,184.0,261.0,Glutamatergic
Sst_4,0.0005327156185214941,0.0008654822219479179,174.0,651.0,GABAergic
Pvalb_7,0.0005257799470366019,9.938065137468172e-05,160.0,67.0,GABAergic
Vip_18,0.0005213637405285158,0.002160781356279699,155.0,1652.0,GABAergic
L2/3 IT_7,0.0005159192802334714,0.013967965281764928,166.0,10404.0,Glutamatergic
Sst Chodl_2,0.0005070639902288015,0.00043555934143511333,158.0,315.0,GABAergic
Pax6_3,0.0005036117848867579,0.0007035328840153621,164.0,520.0,GABAergic
L5/6 NP_4,0.0004746237277706549,0.0025351973478971073,153.0,1926.0,Glutamatergic
Sst_22,0.0004405586005678141,0.00305265950547725,147.0,2296.0,GABAergic
Sst_12,0.00042443555627612225,0.0009159447625116868,145.0,677.0,GABAergic
Pax6_2,0.0004045031819098964,0.0028325574379766787,120.0,2100.0,GABAergic
Vip_16,0.0003997409383806722,0.0010170721939157538,122.0,762.0,GABAergic
Lamp5_6,0.0003942244640627731,0.0020626194088280794,113.0,1522.0,GABAergic
Lamp5_4,0.00037747324107641206,0.0021992602421501556,130.0,1625.0,GABAergic
Astro_6-SEAAD,0.00037666106128642784,0.010812454835688006,101.0,9086.0,Non-neuronal
Pax6_4,0.00035165228335267063,0.0004911701889010923,107.0,366.0,GABAergic
L2/3 IT_8,0.0003470590249806858,0.011375961896402248,94.0,8357.0,Glutamatergic
Sncg_2,0.00034131950825147934,0.0006721221469142147,79.0,500.0,GABAergic
Pvalb_8,0.0002872168503028138,0.0001843520053855451,101.0,137.0,GABAergic
Pvalb_1,0.00028271704654833857,0.0004046260736571617,87.0,296.0,GABAergic
Sncg_1,0.00027707328499456454,0.0006359361062755585,73.0,478.0,GABAergic
Sncg_5,0.00027250121367715515,0.001159129956680964,58.0,842.0,GABAergic
L6 CT_4,0.0002578264006296651,0.004367569559921978,72.0,3373.0,Glutamatergic
Sst_7,0.0002183304131616192,0.0005700794430762391,58.0,425.0,GABAergic
