class,subclass,supertype,med_depth,n_ctrl,n_scz,beta,p,fdr,sig
GABAergic,Chandelier,Chandelier_2,0.30514867018147385,3443,3416,0.03398411363715739,0.015036612317812422,0.21852745367077694,ns
GABAergic,Chandelier,Chandelier_1,0.5360476327224957,2271,1858,0.023187443594964673,0.0158376990837024,0.21852745367077694,ns
GABAergic,Lamp5,Lamp5_5,0.09209386612619017,1247,940,-0.007858125097584219,0.32317194934272964,0.7151038879073167,ns
GABAergic,Lamp5,Lamp5_4,0.12511051806921542,827,798,0.005543542317763493,0.6517510146406971,0.9818192956917948,ns
GABAergic,Lamp5,Lamp5_6,0.12584980925065736,805,717,0.007443421511305802,0.5986029045090622,0.9818192956917948,ns
GABAergic,Lamp5,Lamp5_3,0.23790100991693447,966,849,0.0057172671937840485,0.6913514707988093,0.9818192956917948,ns
GABAergic,Lamp5,Lamp5_2,0.45102454064367287,2213,1690,-0.003374174009526888,0.7979627347446994,0.9818192956917948,ns
GABAergic,Lamp5,Lamp5_1,0.5529385243325382,1390,1666,0.03071698157692898,0.09018798578361065,0.35501463337838296,ns
GABAergic,Pax6,Pax6_1,0.10579012946034327,982,820,0.002097434394803905,0.8145142109426251,0.9818192956917948,ns
GABAergic,Pax6,Pax6_2,0.1766020789843208,1180,920,-0.0012722855659199972,0.8839604000550941,0.9878209562106786,ns
GABAergic,Pax6,Pax6_4,0.18948318762180216,189,177,0.1023657461832976,9.07370545321224e-4,0.09436653671340729,FDR=0.09
GABAergic,Pax6,Pax6_3,0.2733624822722711,336,184,0.011761541570041839,0.641722241197831,0.9818192956917948,ns
GABAergic,Pvalb,Pvalb_5,0.26582068102612444,495,349,-0.0027344798300892583,0.7553116800661557,0.9818192956917948,ns
GABAergic,Pvalb,Pvalb_8,0.2726364468718239,65,72,0.00555591446220782,0.7420491063147787,0.9818192956917948,ns
GABAergic,Pvalb,Pvalb_2,0.34998171164141906,1410,1323,-0.001654594341577346,0.9023364503847544,0.9878209562106786,ns
GABAergic,Pvalb,Pvalb_6,0.46472320164380465,2823,1775,0.012755655301153216,0.1502469094605655,0.4199524027034729,ns
GABAergic,Pvalb,Pvalb_15,0.5262838642211689,3508,2564,0.001800467310704632,0.8342773629253311,0.9818192956917948,ns
GABAergic,Pvalb,Pvalb_1,0.5895662443392095,137,159,-0.0010168053492580773,0.9595130366870595,0.9912781911026444,ns
GABAergic,Pvalb,Pvalb_13,0.5927360339756135,467,226,0.02421931969230917,0.4398771181219566,0.8494316444122636,ns
GABAergic,Pvalb,Pvalb_12,0.6091196245996394,742,961,-0.009268374312315844,0.49836356943329596,0.8784713766281826,ns
GABAergic,Pvalb,Pvalb_9,0.6396871582642969,602,644,0.008888941619871995,0.32290993033510496,0.7151038879073167,ns
GABAergic,Pvalb,Pvalb_10,0.6614051188467582,900,612,0.04429023620933027,0.008325906651593119,0.21852745367077694,ns
GABAergic,Sncg,Sncg_5,0.08658109946110523,462,380,0.009204868222157974,0.3627415899934897,0.785940111652561,ns
GABAergic,Sncg,Sncg_2,0.11081543783431613,232,268,0.028958369730525006,0.11099326242066754,0.3607281028671695,ns
GABAergic,Sncg,Sncg_4,0.1123266067693854,1063,1005,0.0501851743015793,0.025576602155852283,0.22166388535071976,ns
