cell_type,gene,mean,pct,scaled_mean
Sst_23,SST,1.5380698442459106,0.7483588621444202,0.23419005602672044
Sst_23,CALB1,0.9526312351226807,0.6258205689277899,0.5702942264262184
Sst_23,GAD1,1.712463617324829,0.8708971553610503,0.28276869546292216
Sst_23,GAD2,0.7553808093070984,0.5382932166301969,0.25634431576733746
Sst_23,SLC32A1,0.3518379330635071,0.32166301969365424,0.43508160161736587
Sst_23,SEMA3D,0.5659378170967102,0.4048140043763676,1.0
Sst_23,SNTG2,0.7367293834686279,0.4617067833698031,1.0
Sst_23,HTR2C,1.8874398469924927,0.8293216630196937,1.0
Sst_23,FREM2,0.14982286095619202,0.10940919037199125,0.24526484511574118
Sst_23,MSR1,1.3177186250686646,0.5536105032822757,0.8646243034534833
Sst_23,ANOS1,1.538679838180542,0.8140043763676149,0.992090813792108
Sst_23,ADAMTSL1,0.9030483961105347,0.42669584245076586,0.2920812396182658
Sst_23,ITPR2,0.5251815915107727,0.3479212253829322,0.24475557959925334
Sst_23,EYA2,0.2706795036792755,0.1772428884026258,0.12811937395049416
Sst_23,SYNDIG1,0.20318245887756348,0.15098468271334792,0.0883508427022251
Sst_23,MME,0.386660635471344,0.28227571115973743,0.3024638320521945
Sst_23,TAC1,0.19660282135009766,0.13347921225382933,0.09021350119465195
Sst_23,PLPP4,0.10071351379156113,0.087527352297593,0.20215808624391854
Sst_23,HPSE2,0.208546981215477,0.1137855579868709,0.17259644671807575
Sst_23,SEMA6D,1.7791423797607422,0.8402625820568927,0.9772025359314829
Sst_23,TRPC7,0.10635393112897873,0.08315098468271334,0.17404330249313107
Sst_23,ADGRG6,0.0027129699010401964,0.002188183807439825,0.0015931736015061674
Sst_23,PROM1,0.004509152844548225,0.00437636761487965,0.0
Sst_23,STK32A,0.04014770686626434,0.03938730853391685,0.022147939018326502
Sst_23,SYT9,0.01357321534305811,0.015317286652078774,0.007050064128006022
Sst_23,EDNRA,0.016298552975058556,0.01312910284463895,0.006846187365924618
Sst_23,QRFPR,0.012974959798157215,0.010940919037199124,0.007618878472740547
Sst_23,FREM1,0.17647263407707214,0.14660831509846828,0.0
Sst_23,SGCD,0.14888358116149902,0.12910284463894967,0.004714448516816398
Sst_23,BMP3,0.005461128428578377,0.00437636761487965,0.009035146681484871
Sst_23,NR2F2,0.005973810330033302,0.006564551422319475,0.0022389173612861364
Sst_23,NR2F2-AS1,0.00619919877499342,0.006564551422319475,0.0
Sst_23,ALDH1A3,0.014947994612157345,0.015317286652078774,0.03736798696680072
Sst_23,RGS5,0.20820371806621552,0.16192560175054704,0.16681480934164034
Sst_23,GPR149,0.0,0.0,0.0
Sst_23,SAMD3,0.005854570772498846,0.006564551422319475,0.0063446459092111425
Sst_23,PRR16,0.06657209247350693,0.0525164113785558,0.029802922980139594
Sst_23,TMEM200A,0.0,0.0,0.0
Sst_23,HCRTR2,0.00643025990575552,0.006564551422319475,0.006292865873562241
Sst_23,LINC00943,0.0058462414890527725,0.00437636761487965,0.009408556541609535
Sst_23,VCAN,0.07729997485876083,0.06564551422319474,0.0514984216668785
Sst_23,MAML3,0.031018659472465515,0.0262582056892779,0.006803496738514305
Sst_23,TH,0.0,0.0,0.0
Sst_23,WNT16,0.0,0.0,0.0
Sst_23,CPED1,0.019579343497753143,0.015317286652078774,0.03566092207956319
Sst_23,LYPD6,0.0,0.0,0.0
Sst_23,THSD7B,0.039916347712278366,0.03282275711159737,0.007988400263420127
Sst_25,SST,2.289539337158203,0.947178002894356,0.840612253536302
Sst_25,CALB1,1.6687546968460083,0.8986975397973951,1.0
Sst_25,GAD1,2.032287120819092,0.9623733719247467,0.5656657181139889
Sst_25,GAD2,0.4162181615829468,0.35672937771345875,0.0
Sst_25,SLC32A1,0.33290895819664,0.3227206946454414,0.3945356767987697
Sst_25,SEMA3D,0.02721375785768032,0.02604920405209841,0.04438868420448982
Sst_25,SNTG2,0.051867932081222534,0.03690303907380608,0.05455882642918091
